Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,11:6:21:381,276.91,31.33,419.92,0.5539999999999999,941.897,418.51308673731575,276.91
1,1,26/1/2021,11:6:21:506,276.41,31.45,417.72,0.5539999999999999,941.897,418.56858688635594,276.91
2,2,26/1/2021,11:6:21:538,276.91,31.43,435.12,0.5539999999999999,941.897,418.61612108865097,276.91
3,3,26/1/2021,11:6:21:647,277.41,31.39,404.02,0.5539999999999999,941.897,418.65525841607763,276.91
4,4,26/1/2021,11:6:21:756,276.91,31.41,438.82,0.5529999999999999,941.747,418.68562512588477,276.91
5,5,26/1/2021,11:6:21:866,276.41,31.39,404.02,0.5539999999999999,941.897,418.7068896173149,276.91
6,6,26/1/2021,11:6:21:975,276.91,31.47,421.72,0.5539999999999999,941.897,418.71874274544234,276.91
7,7,26/1/2021,11:6:22:116,276.91,31.49,421.72,0.5539999999999999,941.897,418.7208683280808,276.91
8,8,26/1/2021,11:6:22:194,276.41,31.45,420.22,0.5539999999999999,941.897,418.7129432558832,276.91
9,9,26/1/2021,11:6:22:351,276.41,31.61,425.12,0.5529999999999999,941.897,418.6946715022077,276.91
10,10,26/1/2021,11:6:22:414,276.41,31.49,442.42,0.5529999999999999,941.747,418.66582872611167,276.91
11,11,26/1/2021,11:6:22:523,277.41,31.43,416.82,0.5539999999999999,942.047,418.6263279092389,276.91
12,12,26/1/2021,11:6:22:632,275.91,31.47,442.12,0.5529999999999999,941.747,418.57626350332566,276.91
13,13,26/1/2021,11:6:22:742,276.41,31.49,418.92,0.5529999999999999,941.897,418.5159105828537,276.91
14,14,26/1/2021,11:6:22:851,276.41,31.51,423.52,0.5529999999999999,941.897,418.4457046536875,276.91
15,15,26/1/2021,11:6:22:960,276.41,31.35,420.22,0.5529999999999999,941.897,418.3661952859548,276.91
16,16,26/1/2021,11:6:23:101,276.41,31.45,425.72,0.5529999999999999,941.897,418.27800077763663,276.91
17,17,26/1/2021,11:6:23:179,276.91,31.39,419.62,0.5539999999999999,941.897,418.18180090481917,276.91
18,18,26/1/2021,11:6:23:289,276.41,31.43,414.72,0.5539999999999999,941.897,418.078333513422,276.91
19,19,26/1/2021,11:6:23:398,276.41,31.43,409.22,0.5539999999999999,941.897,417.9683540736964,276.91
20,20,26/1/2021,11:6:23:508,276.41,31.35,404.62,0.5539999999999999,941.897,417.8525642336048,276.91
21,21,26/1/2021,11:6:23:617,276.91,31.53,426.62,0.5539999999999999,941.897,417.73155978663215,276.91
22,22,26/1/2021,11:6:23:726,276.91,31.49,415.92,0.5539999999999999,941.897,417.605854712652,276.91
23,23,26/1/2021,11:6:23:851,276.41,31.53,429.32,0.5539999999999999,941.897,417.4759598241595,276.91
24,24,26/1/2021,11:6:23:945,276.41,31.41,412.22,0.5539999999999999,941.897,417.34243905230767,276.91
25,25,26/1/2021,11:6:24:101,276.41,31.47,419.92,0.5539999999999999,941.897,417.2059103967315,276.91
26,26,26/1/2021,11:6:24:163,276.91,31.43,413.82,0.5539999999999999,941.897,417.06701386639463,276.91
27,27,26/1/2021,11:6:24:273,276.91,31.43,408.32,0.5539999999999999,941.897,416.9263758583229,276.91
28,28,26/1/2021,11:6:24:382,276.41,31.47,403.72,0.5539999999999999,941.897,416.78456303937065,276.91
