Unnamed: 0,Unnamed: 0.1.1,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,11:53:24:42,281.81,31.59,425.42,0.552,943.547,422.58616932248293,281.81
1,1,26/1/2021,11:53:24:135,285.71,31.63,425.12,0.552,943.547,422.5757228963653,281.81
2,2,26/1/2021,11:53:24:245,281.31,31.65,418.62,0.552,943.547,422.5640186982132,281.81
3,3,26/1/2021,11:53:24:385,281.81,31.69,429.62,0.552,943.547,422.5510982951136,281.81
4,4,26/1/2021,11:53:24:464,282.21,31.75,426.92,0.552,943.547,422.53702471765615,281.81
5,5,26/1/2021,11:53:24:573,281.81,31.61,430.82,0.552,943.547,422.52191465330816,281.81
6,6,26/1/2021,11:53:24:713,282.21,31.63,426.02,0.552,943.547,422.5059699746079,281.81
7,7,26/1/2021,11:53:24:823,281.81,31.59,425.12,0.552,943.547,422.4894813872015,281.81
8,8,26/1/2021,11:53:24:901,281.31,31.65,445.52,0.552,943.547,422.47282955424345,281.81
9,9,26/1/2021,11:53:25:10,281.81,31.65,428.12,0.552,943.547,422.45652777946884,281.81
10,10,26/1/2021,11:53:25:135,282.21,31.61,409.52,0.552,943.547,422.4412474276793,281.81
11,11,26/1/2021,11:53:25:229,283.71,31.51,409.52,0.552,943.547,422.4277224898214,281.81
12,12,26/1/2021,11:53:25:385,283.21,31.65,416.22,0.552,943.547,422.4165995107537,281.81
13,13,26/1/2021,11:53:25:448,282.21,31.59,426.62,0.552,943.547,422.40838453990716,281.81
14,14,26/1/2021,11:53:25:557,281.81,31.57,432.72,0.552,943.547,422.40351089426804,281.81
15,15,26/1/2021,11:53:25:667,281.31,31.65,411.92,0.552,943.547,422.4024297978078,281.81
16,16,26/1/2021,11:53:25:776,281.31,31.55,435.42,0.552,943.547,422.4056350334202,281.81
17,17,26/1/2021,11:53:25:900,281.81,31.61,440.62,0.552,943.547,422.41367192936906,281.81
18,18,26/1/2021,11:53:25:993,281.81,31.61,411.62,0.552,943.547,422.42719163328695,281.81
19,19,26/1/2021,11:53:26:140,281.81,31.61,411.92,0.552,943.547,422.4469399599563,281.81
20,20,26/1/2021,11:53:26:218,281.81,31.57,411.62,0.552,943.547,422.47363154646507,281.81
21,21,26/1/2021,11:53:26:328,281.81,31.61,421.72,0.552,943.547,422.5078519036071,281.81
22,22,26/1/2021,11:53:26:437,282.21,31.61,415.02,0.552,943.547,422.55006099379364,281.81
23,23,26/1/2021,11:53:26:547,282.21,31.59,409.52,0.552,943.547,422.6006194186422,281.81
24,24,26/1/2021,11:53:26:656,282.21,31.67,435.12,0.552,943.547,422.65979117125397,281.81
25,25,26/1/2021,11:53:26:759,281.81,31.57,440.92,0.552,943.547,422.7277999044586,281.81
26,26,26/1/2021,11:53:26:914,281.31,31.67,412.82,0.552,943.547,422.80494505039024,281.81
27,27,26/1/2021,11:53:26:976,281.81,31.67,427.52,0.552,943.547,422.89163391948966,281.81
28,28,26/1/2021,11:53:27:148,281.81,31.65,416.22,0.552,943.547,422.98830997393736,281.81
29,29,26/1/2021,11:53:27:195,282.71,31.63,445.52,0.552,943.547,423.0954180160369,281.81
30,30,26/1/2021,11:53:27:304,281.81,31.57,408.62,0.552,943.547,423.2134448121322,281.81
31,31,26/1/2021,11:53:27:414,282.71,31.59,409.22,0.552,943.547,423.342915759151,281.81
32,32,26/1/2021,11:53:27:523,281.81,31.59,411.62,0.5529999999999999,943.547,423.4842850647975,281.81
33,33,26/1/2021,11:53:27:648,281.81,31.69,426.62,0.5529999999999999,943.547,423.6378458423854,281.81
34,34,26/1/2021,11:53:27:742,281.31,31.65,411.92,0.5529999999999999,943.547,423.80375248174437,281.81
35,35,26/1/2021,11:53:27:898,281.31,31.61,427.22,0.552,943.547,423.9820735551979,281.81
36,36,26/1/2021,11:53:27:960,281.81,31.57,416.22,0.552,943.547,424.1728130269937,281.81
37,37,26/1/2021,11:53:28:70,281.31,31.49,410.72,0.552,943.547,424.3759060073413,281.81
