Unnamed: 0,Unnamed: 0.1.1,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,12:15:7:277,286.21,31.79,431.82,0.5529999999999999,943.847,435.68839937281405,286.21
1,1,26/1/2021,12:15:7:340,284.71,31.71,419.92,0.5529999999999999,943.847,435.5798784455645,286.21
2,2,26/1/2021,12:15:7:449,286.61,31.69,453.72,0.5529999999999999,943.847,435.47160110173485,286.21
3,3,26/1/2021,12:15:7:558,285.21,31.73,416.22,0.5529999999999999,943.997,435.3635895415172,286.21
4,4,26/1/2021,12:15:7:668,286.61,31.73,454.02,0.5529999999999999,943.847,435.2558659195309,286.21
5,5,26/1/2021,12:15:7:777,285.21,31.77,430.82,0.5529999999999999,943.997,435.148452430966,286.21
6,6,26/1/2021,12:15:7:886,285.21,31.77,430.22,0.5529999999999999,943.997,435.04137136974265,286.21
7,7,26/1/2021,12:15:8:11,285.71,31.75,430.22,0.5529999999999999,943.997,434.93464504804365,286.21
8,8,26/1/2021,12:15:8:105,286.21,31.75,426.02,0.5529999999999999,943.847,434.82829560856766,286.21
9,9,26/1/2021,12:15:8:277,286.21,31.67,416.52,0.5529999999999999,943.847,434.7223448702649,286.21
10,10,26/1/2021,12:15:8:324,286.21,31.67,416.52,0.5529999999999999,943.847,434.6168141374814,286.21
11,11,26/1/2021,12:15:8:433,285.71,31.77,433.02,0.5529999999999999,943.847,434.5117240290597,286.21
12,12,26/1/2021,12:15:8:573,285.21,31.77,432.42,0.5529999999999999,943.847,434.40709455483216,286.21
13,13,26/1/2021,12:15:8:652,285.71,31.79,436.32,0.552,943.847,434.30294540047174,286.21
14,14,26/1/2021,12:15:8:776,284.21,31.81,431.22,0.5529999999999999,943.997,434.1992961566896,286.21
15,15,26/1/2021,12:15:8:870,285.71,31.71,436.02,0.552,943.847,434.09616639166535,286.21
16,16,26/1/2021,12:15:9:11,285.71,31.73,433.32,0.5529999999999999,943.847,433.99357565890966,286.21
17,17,26/1/2021,12:15:9:90,286.21,31.77,425.42,0.5529999999999999,943.847,433.89154348266436,286.21
18,18,26/1/2021,12:15:9:199,286.61,31.77,420.22,0.5529999999999999,943.847,433.79008924339104,286.21
19,19,26/1/2021,12:15:9:308,285.71,31.81,431.82,0.5529999999999999,943.847,433.6892319903895,286.21
20,20,26/1/2021,12:15:9:418,285.21,31.71,413.12,0.5529999999999999,943.847,433.5889903306112,286.21
21,21,26/1/2021,12:15:9:527,285.71,31.83,413.82,0.5529999999999999,943.997,433.4893823315795,286.21
22,22,26/1/2021,12:15:9:652,285.71,31.67,417.12,0.5529999999999999,943.997,433.3904253268527,286.21
23,23,26/1/2021,12:15:9:761,285.21,31.71,435.12,0.5529999999999999,943.847,433.29213583547966,286.21
24,24,26/1/2021,12:15:9:856,284.71,31.77,432.42,0.5529999999999999,943.847,433.19452979184234,286.21
25,25,26/1/2021,12:15:10:12,286.21,31.75,429.92,0.5529999999999999,943.847,433.0976228842636,286.21
26,26,26/1/2021,12:15:10:74,284.71,31.71,433.02,0.5529999999999999,943.847,433.0014307202407,286.21
27,27,26/1/2021,12:15:10:184,285.71,31.75,419.92,0.5529999999999999,943.847,432.9059688050865,286.21
28,28,26/1/2021,12:15:10:293,285.21,31.71,415.92,0.5529999999999999,943.847,432.81125239144967,286.21
29,29,26/1/2021,12:15:10:402,285.21,31.67,413.82,0.5529999999999999,943.847,432.71729621723466,286.21
30,30,26/1/2021,12:15:10:512,286.21,31.75,414.72,0.5529999999999999,943.847,432.6241142619247,286.21
31,31,26/1/2021,12:15:10:621,287.11,31.84,414.12,0.5529999999999999,943.847,432.531719632259,286.21
32,32,26/1/2021,12:15:10:777,284.71,31.67,431.22,0.5529999999999999,943.847,432.44012459048133,286.21
33,33,26/1/2021,12:15:10:840,285.71,31.75,415.32,0.5529999999999999,943.847,432.3493407137835,286.21
34,34,26/1/2021,12:15:10:949,285.21,31.79,447.62,0.5529999999999999,943.847,432.2593791133363,286.21
35,35,26/1/2021,12:15:11:58,284.71,31.69,414.12,0.5529999999999999,943.847,432.17025064805466,286.21
36,36,26/1/2021,12:15:11:168,286.21,31.83,437.32,0.5529999999999999,943.697,432.0819660412015,286.21
37,37,26/1/2021,12:15:11:277,285.21,31.77,414.12,0.5529999999999999,943.847,431.99453582914185,286.21
38,38,26/1/2021,12:15:11:387,285.21,31.65,431.82,0.5529999999999999,943.847,431.90797025012205,286.21
39,39,26/1/2021,12:15:11:512,284.21,31.67,413.52,0.5529999999999999,943.847,431.82227916435636,286.21
40,40,26/1/2021,12:15:11:605,284.71,31.71,414.42,0.5529999999999999,943.847,431.7374719485624,286.21
41,41,26/1/2021,12:15:11:762,285.21,31.75,435.42,0.5529999999999999,943.847,431.65355738461267,286.21
42,42,26/1/2021,12:15:11:824,285.21,31.73,417.12,0.5529999999999999,943.847,431.5705437116513,286.21
43,43,26/1/2021,12:15:11:934,285.21,31.71,430.52,0.5529999999999999,943.847,431.4884387885015,286.21
44,44,26/1/2021,12:15:12:43,286.21,31.71,434.82,0.5529999999999999,943.847,431.4072501991722,286.21
45,45,26/1/2021,12:15:12:152,285.21,31.71,441.52,0.5529999999999999,943.847,431.3269854170208,286.21
46,46,26/1/2021,12:15:12:277,285.21,31.71,432.72,0.5529999999999999,943.847,431.2476520518553,286.21
47,47,26/1/2021,12:15:12:371,286.21,31.65,445.82,0.5529999999999999,943.847,431.1692580035575,286.21
48,48,26/1/2021,12:15:12:511,285.21,31.75,414.72,0.5539999999999999,943.847,431.09181146475464,286.21
49,49,26/1/2021,12:15:12:590,285.21,31.96,416.22,0.5539999999999999,943.847,431.01532070092765,286.21
50,50,26/1/2021,12:15:12:699,285.71,31.81,417.72,0.5529999999999999,943.847,430.93979363776833,286.21
51,51,26/1/2021,12:15:12:808,285.21,31.79,430.22,0.5539999999999999,943.847,430.8652376073858,286.21
52,52,26/1/2021,12:15:12:918,286.21,31.73,426.32,0.5539999999999999,943.847,430.7916594442237,286.21
53,53,26/1/2021,12:15:13:27,285.21,31.79,431.82,0.5539999999999999,943.847,430.7190657112437,286.21
54,54,26/1/2021,12:15:13:137,285.21,31.75,421.72,0.5529999999999999,943.847,430.6474628264811,286.21
55,55,26/1/2021,12:15:13:261,285.21,31.69,416.82,0.5529999999999999,943.847,430.5768570192833,286.21
56,56,26/1/2021,12:15:13:355,284.71,31.77,429.62,0.5529999999999999,943.847,430.5072541823105,286.21
57,57,26/1/2021,12:15:13:527,284.71,31.73,431.82,0.5529999999999999,943.847,430.43865984150665,286.21
58,58,26/1/2021,12:15:13:574,286.61,31.73,430.22,0.5529999999999999,943.847,430.37107932641004,286.21
59,59,26/1/2021,12:15:13:683,286.21,31.71,416.82,0.5529999999999999,943.847,430.304517895542,286.21
60,60,26/1/2021,12:15:13:792,284.71,31.77,417.12,0.5529999999999999,943.847,430.23898061279687,286.21
