Unnamed: 0,Unnamed: 0.1.1,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,12:2:48:38,280.81,31.69,448.92,0.5529999999999999,943.547,444.3236197925952,280.81
1,1,26/1/2021,12:2:48:116,280.81,31.69,446.72,0.5529999999999999,943.547,443.97394933891815,280.81
2,2,26/1/2021,12:2:48:279,280.31,31.65,437.32,0.5529999999999999,943.547,443.62033933380684,280.81
3,3,26/1/2021,12:2:48:361,281.31,31.63,430.52,0.5529999999999999,943.547,443.26319590393433,280.81
4,4,26/1/2021,12:2:48:440,280.81,31.73,442.42,0.5529999999999999,943.547,442.9029144972558,280.81
5,5,26/1/2021,12:2:48:559,280.81,31.73,441.82,0.5529999999999999,943.547,442.5398758408138,280.81
6,6,26/1/2021,12:2:48:668,280.81,31.69,431.82,0.552,943.547,442.1744500224415,280.81
7,7,26/1/2021,12:2:48:778,281.31,31.67,426.92,0.5529999999999999,943.547,441.80699621619726,280.81
8,8,26/1/2021,12:2:48:887,280.81,31.73,423.82,0.552,943.547,441.4378529198236,280.81
9,9,26/1/2021,12:2:49:27,281.31,31.67,444.32,0.552,943.547,441.067329834745,280.81
10,10,26/1/2021,12:2:49:106,280.31,31.69,442.82,0.5529999999999999,943.547,440.6957134033045,280.81
11,11,26/1/2021,12:2:49:215,280.31,31.59,439.12,0.552,943.547,440.3232815818602,280.81
12,12,26/1/2021,12:2:49:324,282.21,31.75,436.32,0.5529999999999999,943.547,439.9503122825795,280.81
13,13,26/1/2021,12:2:49:434,280.81,31.71,432.42,0.5529999999999999,943.547,439.5770809321804,280.81
14,14,26/1/2021,12:2:49:543,280.31,31.67,428.42,0.5529999999999999,943.547,439.2038536982362,280.81
15,15,26/1/2021,12:2:49:653,281.31,31.65,447.02,0.5529999999999999,943.547,438.8308831800673,280.81
16,16,26/1/2021,12:2:49:777,281.81,31.71,426.02,0.5529999999999999,943.547,438.458410868306,280.81
17,17,26/1/2021,12:2:49:871,281.31,31.69,447.62,0.5529999999999999,943.397,438.0866722562678,280.81
18,18,26/1/2021,12:2:50:27,280.31,31.61,447.32,0.5529999999999999,943.397,437.71590212410285,280.81
19,19,26/1/2021,12:2:50:90,280.81,31.65,448.62,0.5529999999999999,943.397,437.3463447201947,280.81
20,20,26/1/2021,12:2:50:199,281.31,31.63,430.82,0.5529999999999999,943.547,436.9782620126094,280.81
21,21,26/1/2021,12:2:50:308,280.31,31.65,428.12,0.5529999999999999,943.547,436.61192792207976,280.81
22,22,26/1/2021,12:2:50:418,280.31,31.63,427.52,0.5529999999999999,943.547,436.24761275365546,280.81
23,23,26/1/2021,12:2:50:543,280.81,31.73,431.52,0.5539999999999999,943.547,435.8855717985566,280.81
24,24,26/1/2021,12:2:50:637,280.81,31.57,439.12,0.5529999999999999,943.547,435.5260449322562,280.81
25,25,26/1/2021,12:2:50:793,281.31,31.67,448.92,0.5529999999999999,943.547,435.16926601970044,280.81
26,26,26/1/2021,12:2:50:855,279.81,31.63,426.62,0.5529999999999999,943.547,434.8154750395649,280.81
27,27,26/1/2021,12:2:50:965,281.31,31.63,433.62,0.5529999999999999,943.397,434.46492050568855,280.81
28,28,26/1/2021,12:2:51:74,280.31,31.69,426.32,0.5529999999999999,943.547,434.1178506777608,280.81
29,29,26/1/2021,12:2:51:183,280.81,31.59,427.52,0.5529999999999999,943.547,433.7745048949472,280.81
30,30,26/1/2021,12:2:51:293,280.81,31.61,426.62,0.5529999999999999,943.397,433.43510942355203,280.81
31,31,26/1/2021,12:2:51:402,280.81,31.61,426.32,0.5529999999999999,943.547,433.0998755136317,280.81
32,32,26/1/2021,12:2:51:527,280.31,31.57,426.62,0.5529999999999999,943.547,432.7689989103518,280.81
33,33,26/1/2021,12:2:51:621,281.81,31.63,432.72,0.5529999999999999,943.547,432.44266108048913,280.81
34,34,26/1/2021,12:2:51:777,280.81,31.61,408.32,0.5529999999999999,943.547,432.1210299360518,280.81
35,35,26/1/2021,12:2:51:839,280.81,31.67,427.52,0.5529999999999999,943.547,431.8042546628536,280.81
36,36,26/1/2021,12:2:51:949,282.71,31.59,444.92,0.5529999999999999,943.397,431.4924624803809,280.81
37,37,26/1/2021,12:2:52:58,281.31,31.59,416.82,0.5529999999999999,943.547,431.1857688263007,280.81
38,38,26/1/2021,12:2:52:168,282.21,31.61,446.12,0.5529999999999999,943.397,430.8842887614105,280.81
39,39,26/1/2021,12:2:52:277,281.31,31.65,414.42,0.5529999999999999,943.547,430.58813850689074,280.81
40,40,26/1/2021,12:2:52:386,280.81,31.69,447.62,0.5529999999999999,943.397,430.29743428808746,280.81
41,41,26/1/2021,12:2:52:527,281.31,31.63,426.92,0.5529999999999999,943.397,430.0122946154916,280.81
42,42,26/1/2021,12:2:52:605,281.31,31.67,426.62,0.5529999999999999,943.397,429.73284365462416,280.81
43,43,26/1/2021,12:2:52:714,280.81,31.61,426.32,0.5529999999999999,943.547,429.45920832163284,280.81
44,44,26/1/2021,12:2:52:824,280.31,31.53,426.02,0.5529999999999999,943.397,429.1915112639082,280.81
45,45,26/1/2021,12:2:52:933,281.31,31.69,437.32,0.5529999999999999,943.547,428.92986952333604,280.81
46,46,26/1/2021,12:2:53:42,280.31,31.67,425.42,0.5529999999999999,943.547,428.6743995051378,280.81
47,47,26/1/2021,12:2:53:152,280.81,31.57,425.72,0.5529999999999999,943.547,428.42522033833916,280.81
48,48,26/1/2021,12:2:53:292,280.81,31.67,426.92,0.5529999999999999,943.547,428.18245097503484,280.81
49,49,26/1/2021,12:2:53:370,280.81,31.63,426.02,0.5529999999999999,943.547,427.94620633296216,280.81
50,50,26/1/2021,12:2:53:526,280.81,31.61,426.62,0.5529999999999999,943.547,427.7165969162512,280.81
51,51,26/1/2021,12:2:53:589,280.81,31.61,438.22,0.5529999999999999,943.547,427.49373134882256,280.81
52,52,26/1/2021,12:2:53:698,280.31,31.67,426.32,0.5529999999999999,943.547,427.2777220810687,280.81
53,53,26/1/2021,12:2:53:808,280.81,31.55,425.42,0.5529999999999999,943.547,427.0686891821817,280.81
54,54,26/1/2021,12:2:53:917,280.31,31.67,424.42,0.5529999999999999,943.547,426.8667566377073,280.81
55,55,26/1/2021,12:2:54:26,282.21,31.63,427.52,0.5529999999999999,943.547,426.6720467032196,280.81
56,56,26/1/2021,12:2:54:136,280.31,31.61,411.02,0.5539999999999999,943.547,426.48467666202055,280.81
57,57,26/1/2021,12:2:54:277,280.81,31.67,445.82,0.5529999999999999,943.397,426.30475674010376,280.81
58,58,26/1/2021,12:2:54:355,279.81,31.67,427.22,0.5539999999999999,943.547,426.13239532354095,280.81
59,59,26/1/2021,12:2:54:464,280.81,31.69,445.22,0.5529999999999999,943.547,425.9677123476658,280.81
60,60,26/1/2021,12:2:54:573,280.81,31.71,409.22,0.5539999999999999,943.547,425.81084652328866,280.81
61,61,26/1/2021,12:2:54:683,280.31,31.65,444.92,0.5529999999999999,943.547,425.6619499353608,280.81
62,62,26/1/2021,12:2:54:792,280.31,31.65,411.02,0.5529999999999999,943.547,425.5211806233326,280.81
