Unnamed: 0,Unnamed: 0.1.1,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,11:29:1:511,280.31,31.57,407.72,0.555,941.897,410.218899174146,280.31
1,1,26/1/2021,11:29:1:578,280.31,31.51,428.12,0.555,941.897,411.0756345981088,280.31
2,2,26/1/2021,11:29:1:750,280.31,31.57,422.32,0.555,941.747,411.9341812940271,280.31
3,3,26/1/2021,11:29:1:797,279.81,31.55,429.62,0.555,941.747,412.7918046354883,280.31
4,4,26/1/2021,11:29:1:906,280.31,31.51,417.72,0.555,941.747,413.6459644664132,280.31
5,5,26/1/2021,11:29:2:15,280.31,31.53,429.32,0.555,941.747,414.49430661369934,280.31
6,6,26/1/2021,11:29:2:125,279.81,31.57,427.22,0.555,941.747,415.33464596672053,280.31
7,7,26/1/2021,11:29:2:234,280.31,31.59,412.82,0.555,941.747,416.1649595951014,280.31
8,8,26/1/2021,11:29:2:344,280.31,31.53,428.12,0.555,941.747,416.9833537525862,280.31
9,9,26/1/2021,11:29:2:500,280.31,31.61,423.22,0.5539999999999999,941.747,417.7880246964356,280.31
10,10,26/1/2021,11:29:2:562,279.81,31.51,429.62,0.5539999999999999,941.747,418.57726436421797,280.31
11,11,26/1/2021,11:29:2:672,281.31,31.51,426.92,0.5539999999999999,941.747,419.3494871369986,280.31
12,12,26/1/2021,11:29:2:812,280.31,31.55,445.82,0.555,941.747,420.1032586956026,280.31
13,13,26/1/2021,11:29:2:890,280.31,31.53,427.82,0.555,941.747,420.837344551184,280.31
14,14,26/1/2021,11:29:3:4,280.31,31.53,437.32,0.5539999999999999,941.747,421.5507436463658,280.31
15,15,26/1/2021,11:29:3:110,280.31,31.59,424.42,0.555,941.747,422.24266715320283,280.31
16,16,26/1/2021,11:29:3:232,280.81,31.57,407.72,0.555,941.747,422.9124645320349,280.31
17,17,26/1/2021,11:29:3:320,280.31,31.49,445.52,0.555,941.747,423.55952846620596,280.31
18,18,26/1/2021,11:29:3:481,280.31,31.55,434.52,0.555,941.747,424.1832823656822,280.31
19,19,26/1/2021,11:29:3:551,280.31,31.49,441.52,0.555,941.747,424.7832776620555,280.31
20,20,26/1/2021,11:29:3:655,281.31,31.53,446.72,0.555,941.747,425.35928327319,280.31
21,21,26/1/2021,11:29:3:764,280.31,31.55,428.42,0.555,941.747,425.9113135983013,280.31
22,22,26/1/2021,11:29:3:874,280.81,31.55,428.42,0.555,941.747,426.4395951443966,280.31
23,23,26/1/2021,11:29:3:995,280.81,31.51,416.82,0.555,941.747,426.9444666146315,280.31
24,24,26/1/2021,11:29:4:92,281.81,31.45,429.32,0.555,941.747,427.4262712708191,280.31
25,25,26/1/2021,11:29:4:262,280.31,31.59,438.22,0.555,941.747,427.88532076592764,280.31
26,26,26/1/2021,11:29:4:309,280.31,31.59,417.72,0.555,941.747,428.32193024642083,280.31
27,27,26/1/2021,11:29:4:418,280.31,31.67,426.32,0.555,941.747,428.73642913274745,280.31
28,28,26/1/2021,11:29:4:527,280.31,31.49,414.72,0.555,941.747,429.12910348612826,280.31
29,29,26/1/2021,11:29:4:637,280.31,31.57,428.42,0.555,941.747,429.5001366724536,280.31
30,30,26/1/2021,11:29:4:747,280.81,31.55,444.32,0.555,941.747,429.8496178633834,280.31
31,31,26/1/2021,11:29:4:861,280.81,31.61,429.92,0.555,941.747,430.1776275402288,280.31
32,32,26/1/2021,11:29:5:32,280.81,31.55,411.02,0.556,941.747,430.48429260999114,280.31
33,33,26/1/2021,11:29:5:79,281.31,31.55,441.82,0.555,941.747,430.76972871286216,280.31
34,34,26/1/2021,11:29:5:251,280.81,31.57,448.22,0.556,941.747,431.03401056350657,280.31
35,35,26/1/2021,11:29:5:298,281.31,31.57,446.72,0.556,941.597,431.2772834678157,280.31
36,36,26/1/2021,11:29:5:407,280.31,31.53,410.72,0.556,941.747,431.4998574174566,280.31
37,37,26/1/2021,11:29:5:516,280.81,31.55,439.12,0.555,941.747,431.70213677050833,280.31
38,38,26/1/2021,11:29:5:626,280.31,31.49,409.22,0.555,941.747,431.8844881231337,280.31
39,39,26/1/2021,11:29:5:751,280.31,31.45,439.12,0.555,941.597,432.0471739457856,280.31
40,40,26/1/2021,11:29:5:844,280.31,31.53,445.22,0.555,941.597,432.190373046804,280.31
41,41,26/1/2021,11:29:5:985,280.31,31.49,448.62,0.555,941.597,432.3142911754125,280.31
42,42,26/1/2021,11:29:6:63,283.21,31.55,446.72,0.555,941.747,432.4192933868209,280.31
43,43,26/1/2021,11:29:6:170,280.31,31.51,428.42,0.555,941.747,432.5059497037134,280.31
44,44,26/1/2021,11:29:6:280,280.31,31.61,444.02,0.555,941.747,432.574985387253,280.31
45,45,26/1/2021,11:29:6:389,280.81,31.55,422.92,0.555,941.747,432.6272086694542,280.31
46,46,26/1/2021,11:29:6:499,280.31,31.55,426.02,0.555,941.747,432.66344841608566,280.31
