Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,10:52:2:490,259.81,31.65,401.22,0.551,940.347,401.8299034724184,259.81
1,1,26/1/2021,10:52:2:537,259.81,31.69,404.92,0.551,940.347,401.83795992398734,259.81
2,2,26/1/2021,10:52:2:647,259.81,31.65,383.82,0.551,940.347,401.84542291499434,259.81
3,3,26/1/2021,10:52:2:756,260.31,31.63,422.32,0.551,940.347,401.8522280930225,259.81
4,4,26/1/2021,10:52:2:865,259.81,31.67,383.82,0.551,940.497,401.8583080256467,259.81
5,5,26/1/2021,10:52:2:975,260.31,31.61,417.72,0.551,940.347,401.8635950433252,259.81
6,6,26/1/2021,10:52:3:84,259.81,31.61,409.52,0.551,940.347,401.86802399836137,259.81
7,7,26/1/2021,10:52:3:225,260.31,31.67,407.02,0.551,940.347,401.87153722631484,259.81
8,8,26/1/2021,10:52:3:303,259.31,31.57,403.42,0.551,940.347,401.87408777982245,259.81
9,9,26/1/2021,10:52:3:412,259.81,31.59,401.22,0.552,940.347,401.8756365418544,259.81
10,10,26/1/2021,10:52:3:522,259.81,31.65,400.62,0.552,940.347,401.8761475737463,259.81
11,11,26/1/2021,10:52:3:631,260.31,31.73,397.62,0.552,940.347,401.8755847590441,259.81
12,12,26/1/2021,10:52:3:740,259.81,31.71,400.62,0.552,940.347,401.8739094408985,259.81
13,13,26/1/2021,10:52:3:850,260.31,31.65,393.62,0.552,940.347,401.87107876019513,259.81
14,14,26/1/2021,10:52:3:974,259.81,31.65,423.82,0.552,940.347,401.8670463761248,259.81
15,15,26/1/2021,10:52:4:68,259.81,31.59,389.62,0.552,940.347,401.8617675343264,259.81
16,16,26/1/2021,10:52:4:224,260.31,31.57,403.12,0.552,940.347,401.85520218122383,259.81
17,17,26/1/2021,10:52:4:287,260.31,31.69,401.92,0.552,940.347,401.8473113253231,259.81
18,18,26/1/2021,10:52:4:396,260.31,31.69,401.22,0.552,940.347,401.83805410901255,259.81
19,19,26/1/2021,10:52:4:505,259.81,31.65,400.02,0.552,940.347,401.82738863300034,259.81
20,20,26/1/2021,10:52:4:615,261.71,31.65,400.02,0.552,940.347,401.8152719419978,259.81
21,21,26/1/2021,10:52:4:755,260.81,31.71,403.72,0.551,940.347,401.80165933231524,259.81
22,22,26/1/2021,10:52:4:834,259.81,31.71,415.92,0.551,940.347,401.7865064014109,259.81
23,23,26/1/2021,10:52:4:974,259.81,31.61,421.42,0.551,940.197,401.76977618242506,259.81
24,24,26/1/2021,10:52:5:53,260.31,31.59,406.72,0.552,940.347,401.7514481705245,259.81
25,25,26/1/2021,10:52:5:162,259.81,31.71,399.72,0.551,940.347,401.7315202093527,259.81
26,26,26/1/2021,10:52:5:271,260.31,31.57,399.42,0.551,940.197,401.7100007434921,259.81
27,27,26/1/2021,10:52:5:382,260.31,31.65,400.02,0.551,940.347,401.6868997884847,259.81
28,28,26/1/2021,10:52:5:491,260.31,31.69,400.02,0.551,940.347,401.6622249859794,259.81
29,29,26/1/2021,10:52:5:601,260.31,31.71,400.02,0.551,940.347,401.635981204064,259.81
30,30,26/1/2021,10:52:5:726,260.31,31.59,400.32,0.551,940.197,401.60817080129783,259.81
31,31,26/1/2021,10:52:5:820,259.81,31.63,399.12,0.551,940.347,401.57879372306417,259.81
32,32,26/1/2021,10:52:5:992,259.81,31.71,401.92,0.552,940.347,401.54784752471426,259.81
33,33,26/1/2021,10:52:6:38,259.81,31.65,404.92,0.552,940.197,401.51532819066483,259.81
34,34,26/1/2021,10:52:6:148,260.31,31.67,384.22,0.552,940.347,401.4812305212865,259.81
35,35,26/1/2021,10:52:6:257,259.81,31.67,409.52,0.551,940.347,401.44554539507004,259.81
36,36,26/1/2021,10:52:6:367,259.81,31.67,385.12,0.552,940.347,401.40825674030737,259.81
37,37,26/1/2021,10:52:6:476,260.81,31.59,412.82,0.551,940.347,401.3693417874424,259.81
38,38,26/1/2021,10:52:6:585,259.81,31.63,399.72,0.551,940.347,401.32877412973914,259.81
39,39,26/1/2021,10:52:6:741,260.31,31.69,382.32,0.551,940.347,401.2865260589589,259.81
40,40,26/1/2021,10:52:6:804,260.31,31.61,403.12,0.551,940.347,401.2425647532517,259.81
41,41,26/1/2021,10:52:6:916,260.31,31.65,400.62,0.551,940.347,401.1968477684813,259.81
42,42,26/1/2021,10:52:7:25,259.81,31.61,399.72,0.551,940.347,401.1493260523108,259.81
43,43,26/1/2021,10:52:7:135,259.81,31.71,418.62,0.551,940.347,401.0999502581032,259.81
44,44,26/1/2021,10:52:7:244,259.31,31.61,402.82,0.551,940.197,401.0486769765245,259.81
45,45,26/1/2021,10:52:7:354,261.21,31.69,420.22,0.551,940.347,400.9954746203884,259.81
46,46,26/1/2021,10:52:7:478,259.81,31.65,408.92,0.552,940.347,400.9403271111074,259.81
47,47,26/1/2021,10:52:7:572,259.81,31.69,420.52,0.551,940.347,400.88323646269686,259.81
48,48,26/1/2021,10:52:7:744,258.81,31.71,411.02,0.552,940.347,400.8242250285981,259.81
49,49,26/1/2021,10:52:7:791,259.31,31.71,396.72,0.552,940.347,400.7633345959777,259.81
50,50,26/1/2021,10:52:7:900,259.31,31.69,400.62,0.552,940.347,400.7006193704215,259.81
51,51,26/1/2021,10:52:8:9,260.31,31.71,400.32,0.552,940.347,400.63613691336417,259.81
52,52,26/1/2021,10:52:8:119,260.31,31.63,418.02,0.552,940.347,400.5699457049307,259.81
53,53,26/1/2021,10:52:8:228,260.31,31.69,400.32,0.552,940.347,400.5021102107183,259.81
54,54,26/1/2021,10:52:8:338,260.31,31.63,400.02,0.552,940.347,400.4327045529338,259.81
55,55,26/1/2021,10:52:8:478,259.31,31.65,398.82,0.552,940.347,400.3618090134024,259.81
56,56,26/1/2021,10:52:8:556,259.31,31.67,402.52,0.552,940.347,400.2895048478524,259.81
57,57,26/1/2021,10:52:8:666,260.31,31.67,395.12,0.552,940.347,400.2158726263478,259.81
58,58,26/1/2021,10:52:8:775,260.31,31.59,404.62,0.552,940.347,400.1409920590979,259.81
59,59,26/1/2021,10:52:8:884,259.81,31.65,383.22,0.552,940.347,400.06494076616264,259.81
60,60,26/1/2021,10:52:8:994,260.31,31.75,380.52,0.552,940.347,399.9877889866457,259.81
61,61,26/1/2021,10:52:9:103,259.81,31.69,399.42,0.552,940.347,399.9095912192452,259.81
62,62,26/1/2021,10:52:9:228,260.81,31.67,399.72,0.552,940.197,399.8303847894545,259.81
63,63,26/1/2021,10:52:9:322,260.31,31.69,398.82,0.552,940.347,399.75019766740087,259.81
64,64,26/1/2021,10:52:9:478,259.31,31.73,401.92,0.552,940.347,399.66905559755423,259.81
65,65,26/1/2021,10:52:9:540,260.81,31.67,398.52,0.552,940.347,399.5869844589608,259.81
66,66,26/1/2021,10:52:9:650,260.31,31.59,403.12,0.551,940.347,399.50401098306656,259.81
67,67,26/1/2021,10:52:9:759,259.81,31.69,422.62,0.552,940.347,399.42016561751257,259.81
68,68,26/1/2021,10:52:9:869,261.71,31.63,403.12,0.552,940.347,399.33548979379975,259.81
