Unnamed: 0,Unnamed: 0.1.1,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/1/2021,10:35:17:213,251.01,32.06,398.52,0.5820000000000001,936.997,391.10166555171025,251.01
1,1,26/1/2021,10:35:17:323,251.01,32.02,387.22,0.581,937.147,391.09074792237146,251.01
2,2,26/1/2021,10:35:17:432,250.51,32.04,372.62,0.581,937.297,391.0801307916557,251.01
3,3,26/1/2021,10:35:17:541,250.51,32.14,384.52,0.58,937.447,391.06984600345237,251.01
4,4,26/1/2021,10:35:17:650,251.01,32.16,377.42,0.58,937.597,391.0599241989538,251.01
5,5,26/1/2021,10:35:17:760,251.01,32.06,371.92,0.58,937.597,391.0503945738218,251.01
6,6,26/1/2021,10:35:17:885,251.01,32.12,371.62,0.5820000000000001,937.747,391.0412846375826,251.01
7,7,26/1/2021,10:35:17:979,251.01,32.12,404.62,0.5820000000000001,937.597,391.0326200806141,251.01
8,8,26/1/2021,10:35:18:150,250.51,32.1,369.22,0.586,937.747,391.0244252732617,251.01
9,9,26/1/2021,10:35:18:197,250.51,32.08,404.62,0.5870000000000001,937.597,391.0167239119557,251.01
10,10,26/1/2021,10:35:18:307,251.01,32.04,378.72,0.5870000000000001,937.447,391.00953928550797,251.01
11,11,26/1/2021,10:35:18:417,251.01,32.1,406.42,0.586,937.447,391.00289448752886,251.01
12,12,26/1/2021,10:35:18:526,250.01,32.08,374.72,0.5870000000000001,937.447,390.99681264394434,251.01
13,13,26/1/2021,10:35:18:635,251.51,32.1,369.82,0.59,937.297,390.9913166583478,251.01
14,14,26/1/2021,10:35:18:745,251.01,32.06,367.72,0.591,937.147,390.986428250065,251.01
15,15,26/1/2021,10:35:18:885,250.51,32.0,381.72,0.5870000000000001,936.997,390.9821670232211,251.01
16,16,26/1/2021,10:35:18:963,251.01,32.14,369.82,0.5870000000000001,936.997,390.9785503172473,251.01
17,17,26/1/2021,10:35:19:73,251.01,32.1,371.62,0.586,936.997,390.975593396141,251.01
18,18,26/1/2021,10:35:19:182,250.51,32.08,386.92,0.585,936.847,390.9733094868042,251.01
19,19,26/1/2021,10:35:19:292,251.01,32.08,390.62,0.583,936.697,390.971710098524,251.01
20,20,26/1/2021,10:35:19:401,251.01,32.27,388.42,0.5820000000000001,936.847,390.9708057789863,251.01
21,21,26/1/2021,10:35:19:511,252.01,32.16,390.62,0.58,936.847,390.9706067102658,251.01
