,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,27/1/2021,11:15:23:718,271.51,31.61,421.12,0.551,941.097,421.9813786297066,271.51
1,1,27/1/2021,11:15:23:764,271.01,31.53,397.32,0.551,941.097,421.82411371097083,271.51
2,2,27/1/2021,11:15:23:889,272.01,31.43,406.72,0.551,941.097,421.66726484367683,271.51
3,3,27/1/2021,11:15:23:967,271.51,31.47,405.82,0.551,941.097,421.5109072798997,271.51
4,4,27/1/2021,11:15:24:77,272.01,31.49,405.52,0.551,941.247,421.3551133320195,271.51
5,5,27/1/2021,11:15:24:186,272.01,31.47,405.82,0.551,941.097,421.1999524827684,271.51
6,6,27/1/2021,11:15:24:296,272.01,31.45,420.52,0.551,941.097,421.0454916316223,271.51
7,7,27/1/2021,11:15:24:405,273.91,31.49,387.52,0.552,941.097,420.89179540270135,271.51
8,8,27/1/2021,11:15:24:514,271.51,31.43,411.32,0.551,941.097,420.7389259617914,271.51
9,9,27/1/2021,11:15:24:639,271.01,31.41,408.62,0.552,941.097,420.58694253283517,271.51
10,10,27/1/2021,11:15:24:733,272.01,31.43,410.42,0.552,941.097,420.43590160639815,271.51
11,11,27/1/2021,11:15:24:889,272.01,31.39,426.62,0.551,941.097,420.2858577300644,271.51
12,12,27/1/2021,11:15:24:952,273.01,31.43,406.42,0.552,941.097,420.13686428766175,271.51
13,13,27/1/2021,11:15:25:61,272.01,31.49,406.42,0.551,941.097,419.9889737556465,271.51
14,14,27/1/2021,11:15:25:170,272.51,31.37,406.12,0.551,941.097,419.84223712523817,271.51
15,15,27/1/2021,11:15:25:280,272.01,31.47,419.92,0.551,941.097,419.69670335627035,271.51
16,16,27/1/2021,11:15:25:389,271.51,31.47,420.22,0.551,941.097,419.55241977163706,271.51
17,17,27/1/2021,11:15:25:499,272.01,31.43,418.02,0.551,941.097,419.4094329697924,271.51
18,18,27/1/2021,11:15:25:655,271.51,31.39,403.42,0.551,941.097,419.2677892165648,271.51
19,19,27/1/2021,11:15:25:717,271.01,31.43,422.92,0.551,941.097,419.1275340620974,271.51
20,20,27/1/2021,11:15:25:827,271.01,31.45,385.72,0.551,941.097,418.9887117572872,271.51
