,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,25/1/2021,12:26:54:787,271.01,31.43,417.72,0.555,941.397,420.7884863402734,271.01
1,1,25/1/2021,12:26:54:834,271.51,31.24,432.42,0.555,941.397,420.7948433172633,271.01
2,2,25/1/2021,12:26:54:943,271.51,31.35,398.82,0.555,941.597,420.8020742627663,271.01
3,3,25/1/2021,12:26:55:53,272.01,31.39,416.52,0.555,941.397,420.81009330725004,271.01
4,4,25/1/2021,12:26:55:162,271.01,31.35,413.52,0.555,941.597,420.81870444256316,271.01
5,5,25/1/2021,12:26:55:271,271.51,31.35,415.62,0.555,941.397,420.82757857459256,271.01
6,6,25/1/2021,12:26:55:381,272.01,31.39,408.92,0.555,941.397,420.83627377674134,271.01
7,7,25/1/2021,12:26:55:521,272.01,31.32,417.72,0.555,941.397,420.8442354474987,271.01
8,8,25/1/2021,12:26:55:599,271.51,31.37,422.62,0.555,941.397,420.8508013485482,271.01
9,9,25/1/2021,12:26:55:755,272.01,31.3,414.42,0.556,941.597,420.85524001291634,271.01
10,10,25/1/2021,12:26:55:818,271.51,31.41,434.82,0.555,941.597,420.8567950276827,271.01
11,11,25/1/2021,12:26:55:927,271.51,31.35,415.92,0.556,941.397,420.854725838739,271.01
12,12,25/1/2021,12:26:56:37,271.51,31.37,418.92,0.556,941.397,420.8483290929677,271.01
13,13,25/1/2021,12:26:56:146,271.01,31.32,397.62,0.556,941.597,420.8368905901355,271.01
14,14,25/1/2021,12:26:56:255,271.51,31.45,420.82,0.555,941.397,420.81958863129717,271.01
15,15,25/1/2021,12:26:56:365,271.51,31.37,415.32,0.556,941.597,420.79544797103785,271.01
16,16,25/1/2021,12:26:56:505,271.51,31.33,435.72,0.555,941.397,420.76339413075834,271.01
17,17,25/1/2021,12:26:56:615,273.01,31.3,435.72,0.555,941.397,420.7223709260894,271.01
18,18,25/1/2021,12:26:56:693,272.01,31.26,435.42,0.555,941.397,420.67146123884817,271.01
19,19,25/1/2021,12:26:56:802,271.01,31.32,432.72,0.555,941.397,420.60995808632936,271.01
20,20,25/1/2021,12:26:56:912,272.51,31.39,431.52,0.555,941.397,420.53737185877714,271.01
21,21,25/1/2021,12:26:57:21,271.51,31.33,429.62,0.555,941.397,420.45340777653496,271.01
22,22,25/1/2021,12:26:57:130,271.51,31.43,425.72,0.555,941.397,420.3579379590085,271.01
23,23,25/1/2021,12:26:57:255,271.01,31.35,430.82,0.555,941.597,420.2509740600407,271.01
24,24,25/1/2021,12:26:57:349,271.51,31.35,420.22,0.555,941.597,420.132646909365,271.01
25,25,25/1/2021,12:26:57:505,271.01,31.32,431.22,0.5539999999999999,941.597,420.0031903315348,271.01
26,26,25/1/2021,12:26:57:567,270.51,31.37,418.32,0.5539999999999999,941.597,419.8629273847411,271.01
27,27,25/1/2021,12:26:57:677,271.01,31.3,425.42,0.5539999999999999,941.597,419.7122569676946,271.01
28,28,25/1/2021,12:26:57:786,272.01,31.43,424.42,0.5539999999999999,941.597,419.55163981426057,271.01
29,29,25/1/2021,12:26:57:896,271.01,31.37,421.12,0.5539999999999999,941.597,419.381595671745,271.01
30,30,25/1/2021,12:26:58:5,272.51,31.39,417.12,0.5539999999999999,941.597,419.2026982930533,271.01
31,31,25/1/2021,12:26:58:115,273.51,31.37,414.42,0.555,941.597,419.01554355771447,271.01
32,32,25/1/2021,12:26:58:255,271.01,31.39,422.92,0.555,941.597,418.82071275649247,271.01
33,33,25/1/2021,12:26:58:334,271.51,31.35,413.52,0.555,941.597,418.6187648760174,271.01
34,34,25/1/2021,12:26:58:443,271.01,31.41,405.52,0.555,941.597,418.41023046644,271.01
35,35,25/1/2021,12:26:58:552,271.01,31.35,414.12,0.555,941.597,418.19556748329626,271.01
36,36,25/1/2021,12:26:58:662,271.01,31.35,403.42,0.555,941.597,417.97511245339945,271.01
37,37,25/1/2021,12:26:58:771,270.51,31.32,433.02,0.555,941.597,417.74908089611847,271.01
38,38,25/1/2021,12:26:58:880,270.51,31.32,413.52,0.555,941.597,417.5176303573982,271.01
39,39,25/1/2021,12:26:59:5,270.51,31.35,412.52,0.555,941.597,417.28092674998834,271.01
40,40,25/1/2021,12:26:59:99,271.01,31.35,412.52,0.555,941.597,417.03913499169886,271.01
41,41,25/1/2021,12:26:59:255,271.01,31.37,402.82,0.555,941.597,416.7923601766951,271.01
42,42,25/1/2021,12:26:59:318,271.01,31.37,419.92,0.555,941.597,416.5406072612152,271.01
43,43,25/1/2021,12:26:59:427,270.51,31.39,433.62,0.555,941.397,416.28380725073123,271.01
44,44,25/1/2021,12:26:59:536,270.51,31.32,410.42,0.555,941.597,416.02191417991486,271.01
45,45,25/1/2021,12:26:59:646,273.01,31.35,434.52,0.555,941.397,415.7549795425357,271.01
46,46,25/1/2021,12:26:59:755,271.01,31.37,410.72,0.556,941.597,415.4831615476307,271.01
47,47,25/1/2021,12:26:59:864,272.01,31.35,414.42,0.555,941.597,415.20670392434647,271.01
48,48,25/1/2021,12:27:0:5,271.01,31.41,419.32,0.556,941.597,414.9258914909101,271.01
49,49,25/1/2021,12:27:0:83,271.51,31.43,415.62,0.555,941.597,414.6410222794864,271.01
50,50,25/1/2021,12:27:0:193,271.01,31.28,414.12,0.555,941.597,414.35241591523317,271.01
51,51,25/1/2021,12:27:0:302,271.51,31.37,413.82,0.555,941.597,414.06041298752615,271.01
52,52,25/1/2021,12:27:0:411,271.51,31.33,413.52,0.555,941.597,413.76535965367515,271.01
53,53,25/1/2021,12:27:0:520,271.01,31.33,413.12,0.556,941.597,413.46759941582536,271.01
54,54,25/1/2021,12:27:0:630,271.01,31.39,425.72,0.556,941.597,413.1674840627932,271.01
55,55,25/1/2021,12:27:0:755,272.51,31.41,413.82,0.556,941.597,412.8654120620631,271.01
56,56,25/1/2021,12:27:0:849,271.01,31.37,427.52,0.555,941.397,412.56187206011145,271.01
57,57,25/1/2021,12:27:1:5,271.51,31.41,413.12,0.555,941.597,412.2574661248052,271.01
58,58,25/1/2021,12:27:1:67,271.01,31.35,429.62,0.555,941.597,411.9529204275146,271.01
59,59,25/1/2021,12:27:1:177,271.51,31.39,412.82,0.555,941.597,411.64909554762187,271.01
60,60,25/1/2021,12:27:1:286,271.51,31.43,412.22,0.555,941.747,411.3469788312998,271.01
61,61,25/1/2021,12:27:1:395,272.01,31.33,411.62,0.555,941.597,411.04763821082,271.01
62,62,25/1/2021,12:27:1:505,271.51,31.35,410.42,0.555,941.597,410.7521704369504,271.01
63,63,25/1/2021,12:27:1:614,271.01,31.28,402.82,0.555,941.597,410.46167140876884,271.01
64,64,25/1/2021,12:27:1:754,271.51,31.41,411.32,0.555,941.597,410.1772094667003,271.01
65,65,25/1/2021,12:27:1:833,271.01,31.45,395.82,0.555,941.597,409.8997982180791,271.01
66,66,25/1/2021,12:27:1:942,271.51,31.41,416.52,0.555,941.397,409.63037960787454,271.01
67,67,25/1/2021,12:27:2:51,271.51,31.37,413.52,0.555,941.597,409.3698411155357,271.01
68,68,25/1/2021,12:27:2:161,271.51,31.39,416.52,0.555,941.597,409.1190801331145,271.01
69,69,25/1/2021,12:27:2:270,271.51,31.43,402.52,0.555,941.597,408.8790541593603,271.01
70,70,25/1/2021,12:27:2:380,271.01,31.37,396.72,0.556,941.597,408.6507504700248,271.01
71,71,25/1/2021,12:27:2:504,271.01,31.43,394.52,0.556,941.597,408.435091928552,271.01
72,72,25/1/2021,12:27:2:598,271.01,31.37,412.82,0.556,941.597,408.23286417007455,271.01
73,73,25/1/2021,12:27:2:754,271.01,31.3,403.42,0.556,941.397,408.0447320308416,271.01
74,74,25/1/2021,12:27:2:817,270.51,31.35,397.62,0.556,941.597,407.8712932233094,271.01
75,75,25/1/2021,12:27:2:926,271.51,31.45,416.22,0.555,941.597,407.71309102119073,271.01
76,76,25/1/2021,12:27:3:35,272.01,31.37,397.92,0.555,941.597,407.5706189126426,271.01
77,77,25/1/2021,12:27:3:145,271.51,31.32,418.32,0.555,941.597,407.44434862008455,271.01
78,78,25/1/2021,12:27:3:254,272.51,31.33,410.42,0.555,941.597,407.3347640195543,271.01
79,79,25/1/2021,12:27:3:364,271.01,31.37,420.22,0.555,941.397,407.2424079746573,271.01
80,80,25/1/2021,12:27:3:504,271.01,31.41,397.62,0.555,941.597,407.167915742126,271.01
81,81,25/1/2021,12:27:3:582,271.01,31.33,397.62,0.555,941.597,407.1119746622055,271.01
82,82,25/1/2021,12:27:3:691,272.01,31.41,401.52,0.555,941.597,407.0752273883695,271.01
83,83,25/1/2021,12:27:3:801,271.01,31.43,394.52,0.555,941.597,407.05820252846837,271.01
84,84,25/1/2021,12:27:3:910,270.01,31.37,394.22,0.555,941.597,407.0612883913242,271.01
85,85,25/1/2021,12:27:4:20,270.51,31.39,394.52,0.555,941.597,407.0847066217096,271.01
86,86,25/1/2021,12:27:4:129,271.01,31.32,395.42,0.556,941.597,407.1284889365831,271.01
87,87,25/1/2021,12:27:4:254,271.01,31.47,394.22,0.556,941.597,407.19247285788657,271.01
88,88,25/1/2021,12:27:4:348,271.51,31.39,412.82,0.556,941.397,407.2763206355437,271.01
89,89,25/1/2021,12:27:4:504,270.51,31.39,406.72,0.556,941.597,407.3795816508057,271.01
