,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,25/1/2021,14:49:29:419,277.81,31.37,438.82,0.5529999999999999,943.547,434.9232326597385,277.81
1,1,25/1/2021,14:49:29:497,277.81,31.35,421.12,0.5529999999999999,943.397,434.7525960139383,277.81
2,2,25/1/2021,14:49:29:606,277.81,31.41,421.12,0.5529999999999999,943.547,434.58094205288114,277.81
3,3,25/1/2021,14:49:29:716,277.81,31.32,421.12,0.5529999999999999,943.547,434.4085169092118,277.81
4,4,25/1/2021,14:49:29:825,277.41,31.35,421.12,0.5529999999999999,943.547,434.2355503368717,277.81
5,5,25/1/2021,14:49:29:950,277.81,31.37,438.52,0.5529999999999999,943.547,434.0622559146817,277.81
6,6,25/1/2021,14:49:30:44,277.41,31.28,420.82,0.5529999999999999,943.547,433.88883557590674,277.81
7,7,25/1/2021,14:49:30:200,277.41,31.39,425.12,0.5529999999999999,943.547,433.7154829782343,277.81
8,8,25/1/2021,14:49:30:262,277.81,31.3,405.82,0.5529999999999999,943.547,433.54238052690295,277.81
9,9,25/1/2021,14:49:30:372,277.81,31.39,437.32,0.5529999999999999,943.397,433.3696935308186,277.81
10,10,25/1/2021,14:49:30:481,277.41,31.35,404.62,0.5529999999999999,943.547,433.1975685261717,277.81
11,11,25/1/2021,14:49:30:591,277.81,31.32,440.02,0.5529999999999999,943.397,433.02613522046613,277.81
12,12,25/1/2021,14:49:30:715,277.81,31.39,422.32,0.5529999999999999,943.547,432.85550957098803,277.81
13,13,25/1/2021,14:49:30:809,277.81,31.32,439.42,0.5529999999999999,943.547,432.6857989338465,277.81
14,14,25/1/2021,14:49:30:965,277.41,31.33,443.12,0.552,943.397,432.51710848798416,277.81
15,15,25/1/2021,14:49:31:28,277.81,31.3,421.42,0.552,943.397,432.3495464565153,277.81
16,16,25/1/2021,14:49:31:153,277.41,31.33,421.42,0.552,943.547,432.1832231785513,277.81
17,17,25/1/2021,14:49:31:246,277.41,31.37,421.42,0.552,943.547,432.01824318620515,277.81
18,18,25/1/2021,14:49:31:356,277.81,31.32,421.12,0.552,943.547,431.85469851456116,277.81
19,19,25/1/2021,14:49:31:481,277.41,31.35,406.42,0.5529999999999999,943.547,431.69266580482736,277.81
20,20,25/1/2021,14:49:31:590,277.41,31.39,423.82,0.552,943.547,431.5322029415821,277.81
21,21,25/1/2021,14:49:31:731,277.41,31.39,422.32,0.5529999999999999,943.547,431.3733475026483,277.81
22,22,25/1/2021,14:49:31:809,277.41,31.35,422.02,0.5529999999999999,943.547,431.2161202033136,277.81
23,23,25/1/2021,14:49:31:996,277.41,31.33,422.02,0.5529999999999999,943.547,431.0605288107288,277.81
24,24,25/1/2021,14:49:32:59,277.41,31.33,440.02,0.5529999999999999,943.547,430.90657063926255,277.81
25,25,25/1/2021,14:49:32:168,277.41,31.37,425.12,0.5529999999999999,943.547,430.7542372643238,277.81
26,26,25/1/2021,14:49:32:277,277.81,31.37,426.62,0.5529999999999999,943.547,430.60351883629636,277.81
