,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,2/2/2021,15:1:8:733,461.52,30.36,644.23,0.556,930.897,648.6076238526357,461.52
1,1,2/2/2021,15:1:8:826,461.02,30.75,637.23,0.556,930.897,648.0184008924344,461.52
2,2,2/2/2021,15:1:8:936,461.02,30.49,641.13,0.556,930.897,647.4355931059905,461.52
3,3,2/2/2021,15:1:9:45,461.02,30.4,623.13,0.556,931.047,646.8605340310554,461.52
4,4,2/2/2021,15:1:9:155,461.02,30.42,640.53,0.555,930.897,646.2943757358003,461.52
5,5,2/2/2021,15:1:9:311,461.52,30.38,621.33,0.555,930.897,645.7380499909042,461.52
6,6,2/2/2021,15:1:9:373,460.52,30.42,640.23,0.555,930.897,645.1922560296769,461.52
7,7,2/2/2021,15:1:9:545,461.02,30.42,639.03,0.555,930.897,644.6574797586302,461.52
8,8,2/2/2021,15:1:9:592,461.52,30.4,662.53,0.555,930.747,644.1340731809449,461.52
9,9,2/2/2021,15:1:9:701,461.02,30.4,623.43,0.555,930.897,643.6223642757473,461.52
10,10,2/2/2021,15:1:9:811,461.02,30.57,642.73,0.555,930.897,643.1226827205293,461.52
11,11,2/2/2021,15:1:9:920,461.02,30.44,640.23,0.555,930.897,642.6353024267643,461.52
12,12,2/2/2021,15:1:10:45,461.02,30.34,640.83,0.555,930.897,642.1604234883989,461.52
13,13,2/2/2021,15:1:10:139,461.02,30.48,640.83,0.555,930.747,641.6982046583455,461.52
14,14,2/2/2021,15:1:10:295,460.52,30.4,621.63,0.555,930.897,641.248764613336,461.52
15,15,2/2/2021,15:1:10:357,460.52,30.53,653.03,0.5539999999999999,930.897,640.8121447869006,461.52
16,16,2/2/2021,15:1:10:467,460.52,30.51,640.23,0.5539999999999999,930.747,640.3883146273189,461.52
17,17,2/2/2021,15:1:10:576,461.02,30.42,647.23,0.5539999999999999,930.897,639.9772441518697,461.52
18,18,2/2/2021,15:1:10:686,461.02,30.46,643.93,0.5539999999999999,930.897,639.5789635240964,461.52
