,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,3/2/2021,14:47:47:345,464.42,30.42,645.43,0.546,933.347,653.0450732405917,464.42
1,1,3/2/2021,14:47:47:455,465.42,30.44,628.33,0.546,933.347,652.8823273792283,464.42
2,2,3/2/2021,14:47:47:642,464.92,30.44,662.83,0.546,933.197,652.730149458205,464.42
3,3,3/2/2021,14:47:47:673,464.92,30.46,633.23,0.546,933.347,652.5877063514873,464.42
4,4,3/2/2021,14:47:47:783,467.32,30.44,668.63,0.546,933.197,652.4540610750662,464.42
5,5,3/2/2021,14:47:47:892,465.42,30.46,666.53,0.546,933.347,652.3282557781105,464.42
6,6,3/2/2021,14:47:48:2,464.42,30.46,664.63,0.547,933.197,652.2094291251898,464.42
7,7,3/2/2021,14:47:48:111,466.42,30.44,664.93,0.547,933.197,652.096908098156,464.42
8,8,3/2/2021,14:47:48:220,464.92,30.38,654.33,0.547,933.197,651.9902159031127,464.42
9,9,3/2/2021,14:47:48:345,465.92,30.48,627.73,0.547,933.347,651.888998723955,464.42
10,10,3/2/2021,14:47:48:439,464.92,30.46,658.53,0.547,933.197,651.7928909354893,464.42
11,11,3/2/2021,14:47:48:611,465.92,30.46,648.23,0.547,933.197,651.7014300727604,464.42
12,12,3/2/2021,14:47:48:658,465.42,30.44,650.93,0.547,933.347,651.6140869129423,464.42
13,13,3/2/2021,14:47:48:767,465.42,30.46,645.43,0.547,933.347,651.5303060192588,464.42
14,14,3/2/2021,14:47:48:892,465.42,30.42,663.73,0.547,933.347,651.4495091566741,464.42
15,15,3/2/2021,14:47:48:985,464.92,30.44,664.03,0.547,933.197,651.3711365941792,464.42
16,16,3/2/2021,14:47:49:95,465.92,30.48,663.73,0.547,933.197,651.294737519159,464.42
17,17,3/2/2021,14:47:49:204,466.42,30.44,661.63,0.547,933.347,651.2200358336796,464.42
18,18,3/2/2021,14:47:49:345,465.42,30.42,625.93,0.547,933.347,651.1469055990785,464.42
19,19,3/2/2021,14:47:49:423,464.92,30.44,654.63,0.547,933.197,651.0752477451503,464.42
20,20,3/2/2021,14:47:49:532,464.42,30.48,668.63,0.547,933.347,651.0048994295929,464.42
21,21,3/2/2021,14:47:49:642,464.42,30.44,651.83,0.547,933.197,650.9357000198706,464.42
22,22,3/2/2021,14:47:49:751,466.92,30.36,629.53,0.547,933.347,650.8675639797693,464.42
23,23,3/2/2021,14:47:49:860,464.92,30.38,656.13,0.547,933.197,650.8004051881361,464.42
24,24,3/2/2021,14:47:49:970,465.42,30.46,628.93,0.547,933.347,650.7340328576772,464.42
25,25,3/2/2021,14:47:50:95,464.42,30.48,659.83,0.547,933.197,650.6681288829615,464.42
26,26,3/2/2021,14:47:50:188,464.42,30.32,666.53,0.547,933.347,650.6022988178007,464.42
27,27,3/2/2021,14:47:50:344,464.92,30.38,644.83,0.547,933.347,650.5361785397154,464.42
28,28,3/2/2021,14:47:50:407,464.42,30.44,650.93,0.547,933.347,650.4694898034643,464.42
29,29,3/2/2021,14:47:50:516,464.42,30.44,648.23,0.547,933.197,650.4019917261413,464.42
30,30,3/2/2021,14:47:50:626,464.92,30.4,665.33,0.547,933.347,650.3334455459237,464.42
31,31,3/2/2021,14:47:50:735,464.92,30.44,649.73,0.547,933.197,650.2636540094633,464.42
32,32,3/2/2021,14:47:50:844,464.92,30.4,646.33,0.547,933.347,650.1924937526288,464.42
33,33,3/2/2021,14:47:50:954,465.92,30.46,649.13,0.547,933.347,650.1198786436986,464.42
34,34,3/2/2021,14:47:51:94,464.92,30.44,657.03,0.547,933.347,650.0457154421783,464.42
35,35,3/2/2021,14:47:51:173,464.92,30.46,648.53,0.547,933.347,649.9699153692485,464.42
