,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,1/2/2021,15:22:33:352,459.02,31.41,658.53,0.5479999999999999,931.797,659.5674009605158,459.02
1,1,1/2/2021,15:22:33:446,459.52,31.35,641.43,0.5489999999999999,931.947,658.6622895718731,459.02
2,2,1/2/2021,15:22:33:571,459.52,31.41,648.53,0.5489999999999999,931.947,657.762370357425,459.02
3,3,1/2/2021,15:22:33:665,460.02,31.45,623.13,0.5489999999999999,931.947,656.8710523888071,459.02
4,4,1/2/2021,15:22:33:836,460.02,31.43,638.43,0.5479999999999999,931.947,655.9914736944502,459.02
5,5,1/2/2021,15:22:33:883,461.02,31.35,620.43,0.5479999999999999,931.947,655.1264196559607,459.02
6,6,1/2/2021,15:22:33:993,460.52,31.43,621.33,0.5479999999999999,931.947,654.278264730539,459.02
7,7,1/2/2021,15:22:34:133,460.02,31.41,650.63,0.5479999999999999,931.947,653.4489476002993,459.02
8,8,1/2/2021,15:22:34:212,460.02,31.41,637.53,0.5479999999999999,931.947,652.6400358931131,459.02
9,9,1/2/2021,15:22:34:321,461.02,31.41,636.93,0.5479999999999999,931.947,651.852844843099,459.02
10,10,1/2/2021,15:22:34:430,458.12,31.39,636.63,0.5479999999999999,931.947,651.0884857979353,459.02
11,11,1/2/2021,15:22:34:571,464.42,31.39,642.73,0.5479999999999999,931.947,650.3478572319357,459.02
12,12,1/2/2021,15:22:34:649,460.02,31.41,641.43,0.5479999999999999,931.947,649.6316623247627,459.02
13,13,1/2/2021,15:22:34:759,460.02,31.33,638.43,0.5479999999999999,931.947,648.9404464590879,459.02
14,14,1/2/2021,15:22:34:868,459.52,31.33,640.83,0.5479999999999999,931.947,648.2746149282477,459.02
15,15,1/2/2021,15:22:34:977,459.52,31.43,655.53,0.5479999999999999,931.947,647.6344507428597,459.02
16,16,1/2/2021,15:22:35:86,460.02,31.39,621.63,0.5479999999999999,931.947,647.0201503792551,459.02
17,17,1/2/2021,15:22:35:196,459.52,31.43,620.43,0.5489999999999999,931.947,646.4317928026634,459.02
18,18,1/2/2021,15:22:35:321,459.52,31.43,639.03,0.55,931.947,645.8692238154603,459.02
19,19,1/2/2021,15:22:35:415,460.52,31.37,646.93,0.5529999999999999,931.797,645.3320205681792,459.02
20,20,1/2/2021,15:22:35:586,459.52,31.45,642.43,0.552,931.647,644.8195978795393,459.02
21,21,1/2/2021,15:22:35:633,460.02,31.39,661.63,0.551,931.497,644.3313354250124,459.02
