,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,1/2/2021,14:21:38:238,449.82,30.97,627.43,0.546,931.347,627.064988391247,449.82
1,1,1/2/2021,14:21:38:395,451.22,30.99,630.23,0.546,931.197,626.9719370116509,449.82
2,2,1/2/2021,14:21:38:442,449.82,30.93,650.03,0.546,931.197,626.8791121861257,449.82
3,3,1/2/2021,14:21:38:551,451.72,30.97,625.33,0.546,931.347,626.78656116403,449.82
4,4,1/2/2021,14:21:38:660,449.82,31.04,630.83,0.546,931.347,626.6943402211982,449.82
5,5,1/2/2021,14:21:38:770,449.82,30.95,630.83,0.546,931.347,626.6025120996683,449.82
6,6,1/2/2021,14:21:38:894,449.82,30.93,631.73,0.546,931.197,626.5111433931503,449.82
7,7,1/2/2021,14:21:38:988,451.22,30.97,619.53,0.546,931.197,626.4203039578192,449.82
8,8,1/2/2021,14:21:39:144,450.72,30.97,641.13,0.546,931.347,626.3300660230059,449.82
9,9,1/2/2021,14:21:39:207,451.72,30.95,623.13,0.547,931.347,626.2405042063481,449.82
10,10,1/2/2021,14:21:39:317,450.32,31.02,621.03,0.546,931.197,626.1516960557702,449.82
11,11,1/2/2021,14:21:39:426,450.72,31.0,629.23,0.546,931.197,626.0637200976407,449.82
12,12,1/2/2021,14:21:39:535,452.22,30.99,620.43,0.546,931.347,625.9766535845459,449.82
13,13,1/2/2021,14:21:39:644,449.82,31.04,635.63,0.546,931.197,625.8905727474238,449.82
14,14,1/2/2021,14:21:39:754,449.82,31.0,613.43,0.546,931.347,625.8055538678943,449.82
15,15,1/2/2021,14:21:39:879,449.82,30.99,630.83,0.546,931.347,625.7216729292566,449.82
16,16,1/2/2021,14:21:39:973,450.32,31.0,612.53,0.546,931.197,625.6390039060117,449.82
17,17,1/2/2021,14:21:40:129,449.32,31.0,641.83,0.546,931.347,625.5576180591536,449.82
18,18,1/2/2021,14:21:40:191,449.82,31.0,615.53,0.546,931.347,625.477585723467,449.82
19,19,1/2/2021,14:21:40:301,451.22,31.02,617.33,0.546,931.347,625.3989773804075,449.82
20,20,1/2/2021,14:21:40:410,450.32,30.99,619.53,0.546,931.347,625.3218607681788,449.82
21,21,1/2/2021,14:21:40:519,451.22,31.04,632.03,0.546,931.347,625.2462983320577,449.82
22,22,1/2/2021,14:21:40:629,450.72,30.97,632.63,0.546,931.347,625.1723499772721,449.82
23,23,1/2/2021,14:21:40:738,451.72,31.0,631.13,0.546,931.347,625.1000783255453,449.82
24,24,1/2/2021,14:21:40:878,450.32,31.0,629.23,0.546,931.347,625.0295516567172,449.82
25,25,1/2/2021,14:21:40:957,449.82,31.02,629.83,0.546,931.347,624.9608439120898,449.82
26,26,1/2/2021,14:21:41:66,449.82,30.95,630.23,0.546,931.347,624.8940339229705,449.82
27,27,1/2/2021,14:21:41:175,451.72,30.97,630.23,0.546,931.347,624.8292052427867,449.82
28,28,1/2/2021,14:21:41:285,450.32,30.99,612.53,0.546,931.347,624.7664453241165,449.82
29,29,1/2/2021,14:21:41:394,449.82,30.95,611.53,0.546,931.347,624.7058414095459,449.82
30,30,1/2/2021,14:21:41:504,449.82,30.91,613.13,0.546,931.347,624.6474741071689,449.82
31,31,1/2/2021,14:21:41:628,451.72,31.02,628.33,0.547,931.197,624.5914141404185,449.82
32,32,1/2/2021,14:21:41:722,450.32,30.97,632.03,0.546,931.197,624.5377255444361,449.82
33,33,1/2/2021,14:21:41:878,450.32,31.06,610.33,0.547,931.347,624.4864710956957,449.82
34,34,1/2/2021,14:21:41:941,450.72,31.06,631.13,0.547,931.347,624.4377134781922,449.82
35,35,1/2/2021,14:21:42:50,451.22,30.97,628.33,0.547,931.347,624.3915141459056,449.82
36,36,1/2/2021,14:21:42:159,450.32,31.02,628.03,0.547,931.347,624.3479351794713,449.82
37,37,1/2/2021,14:21:42:269,450.72,30.97,610.63,0.547,931.347,624.3070408946766,449.82
38,38,1/2/2021,14:21:42:378,450.32,30.97,611.53,0.547,931.347,624.2688942343607,449.82
39,39,1/2/2021,14:21:42:488,449.82,31.02,612.53,0.547,931.197,624.2335505866598,449.82
40,40,1/2/2021,14:21:42:628,450.32,31.02,646.63,0.546,931.197,624.201056239356,449.82
41,41,1/2/2021,14:21:42:706,449.82,31.06,612.13,0.547,931.347,624.1714540533437,449.82
42,42,1/2/2021,14:21:42:816,449.82,30.95,613.13,0.547,931.347,624.1447878388389,449.82
43,43,1/2/2021,14:21:42:925,449.82,31.02,646.63,0.547,931.347,624.1211004599253,449.82
44,44,1/2/2021,14:21:43:34,450.72,31.0,628.63,0.547,931.347,624.1004349448747,449.82
