,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,1/2/2021,13:56:26:820,480.02,30.65,690.93,0.551,934.097,688.4438278945929,480.02
1,1,1/2/2021,13:56:26:929,481.02,30.67,692.43,0.551,934.097,687.9494023856225,480.02
2,2,1/2/2021,13:56:27:23,480.52,30.67,691.53,0.551,934.097,687.4528433324872,480.02
3,3,1/2/2021,13:56:27:195,480.02,30.65,691.53,0.551,934.097,686.9546792704577,480.02
4,4,1/2/2021,13:56:27:257,480.52,30.71,668.63,0.551,934.097,686.4554445390334,480.02
5,5,1/2/2021,13:56:27:351,480.02,30.69,674.43,0.551,934.097,685.9556690508438,480.02
6,6,1/2/2021,13:56:27:460,482.02,30.69,653.73,0.551,934.097,685.4558619317962,480.02
7,7,1/2/2021,13:56:27:570,480.52,30.69,680.53,0.55,934.097,684.9564981062343,480.02
8,8,1/2/2021,13:56:27:694,480.52,30.71,674.43,0.551,934.097,684.4580164017303,480.02
9,9,1/2/2021,13:56:27:788,480.02,30.61,676.93,0.551,933.947,683.9608284941761,480.02
10,10,1/2/2021,13:56:27:929,481.52,30.65,681.43,0.551,934.097,683.4653281710787,480.02
11,11,1/2/2021,13:56:28:7,482.52,30.73,685.43,0.55,933.947,682.9718973923552,480.02
12,12,1/2/2021,13:56:28:116,481.02,30.69,672.33,0.55,933.947,682.4809116309124,480.02
13,13,1/2/2021,13:56:28:244,480.52,30.77,654.93,0.551,934.097,681.9927376444963,480.02
14,14,1/2/2021,13:56:28:338,482.02,30.69,692.73,0.55,934.097,681.5077229740792,480.02
15,15,1/2/2021,13:56:28:447,480.52,30.73,680.53,0.55,933.947,681.0261951769132,480.02
16,16,1/2/2021,13:56:28:556,480.52,30.75,669.53,0.55,934.097,680.5484736094332,480.02
17,17,1/2/2021,13:56:28:681,481.02,30.65,650.93,0.55,934.247,680.0748701570677,480.02
18,18,1/2/2021,13:56:28:775,480.02,30.65,669.53,0.55,934.097,679.605673214538,480.02
19,19,1/2/2021,13:56:28:947,480.52,30.71,672.63,0.55,934.097,679.1411370975268,480.02
20,20,1/2/2021,13:56:28:994,480.02,30.65,674.13,0.55,934.097,678.6814881358894,480.02
21,21,1/2/2021,13:56:29:103,481.02,30.67,674.73,0.55,934.097,678.2269359923367,480.02
22,22,1/2/2021,13:56:29:212,480.52,30.71,671.73,0.55,934.097,677.7776796465423,480.02
23,23,1/2/2021,13:56:29:322,480.52,30.75,672.03,0.55,933.947,677.333908453817,480.02
24,24,1/2/2021,13:56:29:431,480.52,30.71,685.13,0.55,934.097,676.8958030905565,480.02
25,25,1/2/2021,13:56:29:540,480.02,30.61,654.33,0.551,934.247,676.4635379987999,480.02
26,26,1/2/2021,13:56:29:681,480.52,30.65,673.53,0.551,934.097,676.0372788017955,480.02
27,27,1/2/2021,13:56:29:759,480.52,30.69,670.43,0.551,934.097,675.6171757141743,480.02
28,28,1/2/2021,13:56:29:868,481.02,30.73,675.33,0.551,934.097,675.203364107552,480.02
29,29,1/2/2021,13:56:29:978,481.02,30.75,670.13,0.551,934.097,674.795970720913,480.02
30,30,1/2/2021,13:56:30:87,480.02,30.67,672.93,0.551,934.097,674.3951168374385,480.02
31,31,1/2/2021,13:56:30:196,480.52,30.71,664.63,0.551,934.097,674.0009176083516,480.02
32,32,1/2/2021,13:56:30:306,481.02,30.79,673.83,0.551,934.097,673.6134799170336,480.02
33,33,1/2/2021,13:56:30:431,480.52,30.69,674.13,0.551,934.097,673.2329023286362,480.02
34,34,1/2/2021,13:56:30:524,480.52,30.69,674.43,0.551,934.097,672.8592792496872,480.02
35,35,1/2/2021,13:56:30:696,480.52,30.73,671.73,0.551,934.097,672.4927053936364,480.02
36,36,1/2/2021,13:56:30:743,481.02,30.67,650.93,0.551,934.247,672.1332740628076,480.02
37,37,1/2/2021,13:56:30:853,480.02,30.65,688.43,0.551,934.097,671.7810701681274,480.02
38,38,1/2/2021,13:56:30:962,480.52,30.73,650.93,0.551,934.247,671.4361680468405,480.02
39,39,1/2/2021,13:56:31:71,481.02,30.71,689.43,0.551,934.097,671.0986357163766,480.02
40,40,1/2/2021,13:56:31:181,480.52,30.67,659.83,0.551,934.097,670.768539241265,480.02
41,41,1/2/2021,13:56:31:290,480.52,30.67,658.83,0.551,934.247,670.4459433091097,480.02
42,42,1/2/2021,13:56:31:442,481.52,30.73,656.43,0.55,934.247,670.1309032668812,480.02
43,43,1/2/2021,13:56:31:504,480.52,30.67,673.23,0.55,934.247,669.823455708314,480.02
44,44,1/2/2021,13:56:31:614,481.02,30.69,663.73,0.55,934.097,669.5236203605944,480.02
45,45,1/2/2021,13:56:31:723,481.02,30.67,666.23,0.55,934.247,669.2314077152878,480.02
46,46,1/2/2021,13:56:31:832,481.52,30.69,669.23,0.55,934.247,668.9468223046583,480.02
47,47,1/2/2021,13:56:31:941,480.02,30.79,650.63,0.551,934.247,668.6698616617583,480.02
48,48,1/2/2021,13:56:32:51,480.02,30.73,674.13,0.55,934.097,668.4005127562042,480.02
49,49,1/2/2021,13:56:32:176,481.02,30.77,668.33,0.551,934.247,668.1387514222278,480.02
50,50,1/2/2021,13:56:32:269,481.02,30.73,672.63,0.551,934.247,667.8845493996462,480.02
51,51,1/2/2021,13:56:32:426,480.52,30.65,672.93,0.551,934.247,667.6378823064567,480.02
52,52,1/2/2021,13:56:32:488,479.62,30.65,673.23,0.551,934.097,667.3987336921057,480.02
53,53,1/2/2021,13:56:32:598,481.02,30.71,673.23,0.551,934.247,667.1670973857846,480.02
54,54,1/2/2021,13:56:32:707,480.02,30.69,657.33,0.551,934.247,666.9429768854374,480.02
55,55,1/2/2021,13:56:32:816,481.02,30.67,659.13,0.55,934.097,666.7263781140392,480.02
56,56,1/2/2021,13:56:32:925,480.52,30.71,661.03,0.55,934.247,666.5172988710127,480.02
57,57,1/2/2021,13:56:33:35,480.52,30.75,662.53,0.55,934.247,666.3157236824309,480.02
58,58,1/2/2021,13:56:33:191,480.52,30.77,667.13,0.55,934.097,666.1216259315416,480.02
59,59,1/2/2021,13:56:33:254,480.52,30.79,690.03,0.5489999999999999,934.097,665.9349759128983,480.02
60,60,1/2/2021,13:56:33:363,481.02,30.69,663.43,0.55,934.247,665.7557540933686,480.02
61,61,1/2/2021,13:56:33:472,480.02,30.69,672.33,0.55,934.097,665.5839591484931,480.02
62,62,1/2/2021,13:56:33:582,481.52,30.71,668.33,0.55,934.097,665.4196042592798,480.02
63,63,1/2/2021,13:56:33:691,481.02,30.63,654.33,0.55,934.097,665.2627097715225,480.02
64,64,1/2/2021,13:56:33:800,481.02,30.69,654.03,0.55,934.097,665.1132944063307,480.02
65,65,1/2/2021,13:56:33:925,480.52,30.63,653.73,0.55,934.097,664.9713637290945,480.02
66,66,1/2/2021,13:56:34:19,480.52,30.77,655.23,0.55,934.097,664.8369025837843,480.02
67,67,1/2/2021,13:56:34:175,480.52,30.71,675.03,0.55,934.097,664.7098765099839,480.02
68,68,1/2/2021,13:56:34:269,480.52,30.69,688.43,0.55,934.097,664.5902448305768,480.02
69,69,1/2/2021,13:56:34:347,480.52,30.71,656.43,0.55,934.097,664.4779796119752,480.02
70,70,1/2/2021,13:56:34:456,481.02,30.73,689.73,0.55,933.947,664.3730744080052,480.02
71,71,1/2/2021,13:56:34:566,482.02,30.75,667.13,0.55,934.097,664.2755434658623,480.02
72,72,1/2/2021,13:56:34:675,481.02,30.69,680.53,0.55,933.947,664.1854229904931,480.02
73,73,1/2/2021,13:56:34:784,481.02,30.73,650.93,0.55,934.247,664.1027700131464,480.02
74,74,1/2/2021,13:56:34:925,481.52,30.65,652.13,0.55,934.097,664.0276505571576,480.02
75,75,1/2/2021,13:56:35:3,480.52,30.67,653.03,0.55,934.247,663.9601217726707,480.02
76,76,1/2/2021,13:56:35:113,481.02,30.71,653.73,0.55,934.097,663.9002201228991,480.02
77,77,1/2/2021,13:56:35:222,480.52,30.73,653.73,0.55,934.247,663.847959397667,480.02
78,78,1/2/2021,13:56:35:331,480.52,30.75,653.73,0.551,934.097,663.8033319880226,480.02
79,79,1/2/2021,13:56:35:440,481.02,30.75,672.63,0.55,934.097,663.7663118859548,480.02
80,80,1/2/2021,13:56:35:550,480.52,30.71,653.03,0.55,934.097,663.7368620331229,480.02
81,81,1/2/2021,13:56:35:675,480.02,30.69,669.53,0.55,933.947,663.7149409884438,480.02
82,82,1/2/2021,13:56:35:769,480.02,30.69,653.03,0.551,934.247,663.7005039484052,480.02
83,83,1/2/2021,13:56:35:925,479.12,30.71,649.73,0.551,934.097,663.6934989777602,480.02
84,84,1/2/2021,13:56:35:987,480.02,30.71,651.53,0.551,934.097,663.6938588474715,480.02
85,85,1/2/2021,13:56:36:97,480.52,30.71,669.23,0.551,934.097,663.7014953661568,480.02
86,86,1/2/2021,13:56:36:206,480.02,30.67,650.93,0.551,934.097,663.716303680069,480.02
87,87,1/2/2021,13:56:36:315,480.52,30.73,652.13,0.551,934.097,663.7381671341673,480.02
