,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,5/2/2021,11:51:8:237,361.92,31.32,517.53,0.546,937.297,525.2120507843713,361.92
1,1,5/2/2021,11:51:8:362,361.92,31.3,523.63,0.546,937.297,525.1222015453607,361.92
2,2,5/2/2021,11:51:8:440,361.42,31.3,530.03,0.546,937.297,525.0422142800132,361.92
3,3,5/2/2021,11:51:8:549,361.92,31.28,536.13,0.546,937.447,524.9708854876932,361.92
4,4,5/2/2021,11:51:8:658,362.32,31.32,539.83,0.546,937.447,524.9070856354679,361.92
5,5,5/2/2021,11:51:8:768,361.92,31.33,540.13,0.546,937.447,524.8498416261814,361.92
6,6,5/2/2021,11:51:8:877,361.42,31.32,539.83,0.546,937.297,524.798390374308,361.92
7,7,5/2/2021,11:51:8:987,362.82,31.28,516.63,0.546,937.447,524.7521780471208,361.92
8,8,5/2/2021,11:51:9:134,361.42,31.28,522.43,0.545,937.447,524.7107790381684,361.92
9,9,5/2/2021,11:51:9:212,361.42,31.28,501.73,0.546,937.597,524.673762480467,361.92
10,10,5/2/2021,11:51:9:369,361.92,31.3,534.33,0.545,937.447,524.6405870679679,361.92
11,11,5/2/2021,11:51:9:431,361.42,31.28,539.23,0.545,937.447,524.6106124641013,361.92
12,12,5/2/2021,11:51:9:541,361.92,31.22,541.03,0.545,937.447,524.5832363767196,361.92
13,13,5/2/2021,11:51:9:650,363.32,31.28,540.73,0.545,937.447,524.5580374350303,361.92
14,14,5/2/2021,11:51:9:766,361.92,31.32,538.63,0.546,937.447,524.5348338498808,361.92
15,15,5/2/2021,11:51:9:875,361.42,31.26,521.23,0.546,937.447,524.5136686901478,361.92
16,16,5/2/2021,11:51:9:985,361.42,31.22,519.13,0.546,937.447,524.4947286058024,361.92
17,17,5/2/2021,11:51:10:141,361.42,31.3,532.23,0.546,937.447,524.478238426326,361.92
18,18,5/2/2021,11:51:10:204,361.42,31.22,520.03,0.546,937.447,524.4644184405887,361.92
19,19,5/2/2021,11:51:10:313,360.92,31.2,520.93,0.546,937.447,524.4534894318027,361.92
20,20,5/2/2021,11:51:10:422,361.42,31.26,520.93,0.545,937.447,524.4456540667758,361.92
21,21,5/2/2021,11:51:10:532,361.92,31.3,538.93,0.545,937.447,524.4410850678004,361.92
22,22,5/2/2021,11:51:10:688,362.32,31.32,502.33,0.546,937.597,524.4399514735792,361.92
23,23,5/2/2021,11:51:10:751,361.42,31.32,536.13,0.545,937.447,524.4424151003303,361.92
24,24,5/2/2021,11:51:10:876,361.92,31.24,518.83,0.545,937.597,524.4486015896383,361.92
25,25,5/2/2021,11:51:10:969,361.42,31.26,501.43,0.546,937.597,524.4585884694768,361.92
26,26,5/2/2021,11:51:11:157,362.82,31.28,540.43,0.545,937.447,524.472370138706,361.92
