,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,5/2/2021,11:39:47:823,358.42,31.22,510.23,0.551,936.097,506.1579123037245,358.42
1,1,5/2/2021,11:39:47:917,359.42,31.3,525.23,0.551,936.097,506.9326052519402,358.42
2,2,5/2/2021,11:39:48:27,358.42,31.24,514.83,0.551,936.247,507.697393264171,358.42
3,3,5/2/2021,11:39:48:136,360.42,31.28,524.23,0.551,936.097,508.45033513990546,358.42
4,4,5/2/2021,11:39:48:245,358.92,31.28,515.73,0.551,936.097,509.18967472295236,358.42
5,5,5/2/2021,11:39:48:401,357.52,31.2,513.03,0.551,936.247,509.91382243468354,358.42
6,6,5/2/2021,11:39:48:462,358.92,31.22,515.73,0.551,936.097,510.62131263393184,358.42
7,7,5/2/2021,11:39:48:638,359.42,31.26,535.83,0.551,936.097,511.31078267120887,358.42
8,8,5/2/2021,11:39:48:685,358.92,31.28,503.23,0.551,936.247,511.9810054574408,358.42
9,9,5/2/2021,11:39:48:795,358.42,31.28,535.83,0.551,936.097,512.6309088527199,358.42
10,10,5/2/2021,11:39:48:904,358.92,31.26,497.42,0.551,936.247,513.2595452102968,358.42
11,11,5/2/2021,11:39:49:13,358.92,31.2,535.23,0.551,936.097,513.8660514634673,358.42
12,12,5/2/2021,11:39:49:138,358.92,31.18,522.13,0.551,936.097,514.4496446668727,358.42
13,13,5/2/2021,11:39:49:232,359.92,31.26,528.53,0.551,936.097,515.0096708843022,358.42
14,14,5/2/2021,11:39:49:388,358.42,31.28,529.13,0.551,936.097,515.5456550280461,358.42
15,15,5/2/2021,11:39:49:451,358.92,31.28,516.03,0.551,936.097,516.0573049099927,358.42
16,16,5/2/2021,11:39:49:560,358.92,31.26,535.83,0.551,936.247,516.5444867857021,358.42
17,17,5/2/2021,11:39:49:669,359.42,31.12,535.83,0.551,936.247,517.0072265391652,358.42
18,18,5/2/2021,11:39:49:779,359.42,31.22,516.03,0.551,936.097,517.4457481172603,358.42
19,19,5/2/2021,11:39:49:888,358.92,31.28,504.43,0.552,936.247,517.8604422147927,358.42
20,20,5/2/2021,11:39:49:997,358.92,31.2,514.53,0.552,936.247,518.2517274599313,358.42
21,21,5/2/2021,11:39:50:122,361.42,31.24,496.82,0.552,936.397,518.6199209349587,358.42
22,22,5/2/2021,11:39:50:216,358.92,31.26,536.13,0.552,936.247,518.9651958518133,358.42
23,23,5/2/2021,11:39:50:372,358.92,31.26,532.23,0.551,936.247,519.2876498160222,358.42
24,24,5/2/2021,11:39:50:438,359.42,31.22,516.03,0.551,936.097,519.5874392280417,358.42
25,25,5/2/2021,11:39:50:540,358.92,31.2,535.83,0.551,936.097,519.8648436281094,358.42
26,26,5/2/2021,11:39:50:649,358.92,31.24,536.53,0.551,936.247,520.1202672676993,358.42
27,27,5/2/2021,11:39:50:759,358.92,31.26,534.63,0.551,936.247,520.3542845212248,358.42
28,28,5/2/2021,11:39:50:868,358.42,31.2,532.53,0.551,936.097,520.5676919793669,358.42
29,29,5/2/2021,11:39:50:977,358.92,31.26,517.83,0.551,936.097,520.7614931838565,358.42
30,30,5/2/2021,11:39:51:133,358.92,31.22,520.93,0.551,936.097,520.9368219411672,358.42
31,31,5/2/2021,11:39:51:196,358.42,31.32,517.83,0.552,936.247,521.0948522859455,358.42
32,32,5/2/2021,11:39:51:306,357.52,31.24,505.03,0.552,936.247,521.2367298980027,358.42
33,33,5/2/2021,11:39:51:415,358.42,31.22,534.33,0.551,936.097,521.3635278811937,358.42
34,34,5/2/2021,11:39:51:524,359.42,31.28,500.12,0.551,936.247,521.4762415074981,358.42
35,35,5/2/2021,11:39:51:633,358.92,31.2,536.53,0.551,936.097,521.575806781557,358.42
36,36,5/2/2021,11:39:51:743,359.42,31.22,535.53,0.551,936.097,521.6631413761911,358.42
37,37,5/2/2021,11:39:51:883,358.92,31.24,517.23,0.551,936.097,521.7392295089795,358.42
38,38,5/2/2021,11:39:51:961,358.42,31.18,517.83,0.551,936.097,521.8051525931327,358.42
39,39,5/2/2021,11:39:52:118,359.92,31.22,522.43,0.551,936.247,521.8620193851232,358.42
40,40,5/2/2021,11:39:52:180,358.92,31.2,519.13,0.551,936.247,521.9109108140417,358.42
41,41,5/2/2021,11:39:52:290,359.42,31.24,514.23,0.551,936.247,521.9528728433152,358.42
42,42,5/2/2021,11:39:52:399,358.92,31.26,513.63,0.551,936.097,521.988895216714,358.42
43,43,5/2/2021,11:39:52:508,358.42,31.26,517.23,0.551,936.247,522.0198749020475,358.42
44,44,5/2/2021,11:39:52:618,358.92,31.28,513.93,0.551,936.247,522.0466005012566,358.42
45,45,5/2/2021,11:39:52:727,358.92,31.16,504.73,0.551,936.247,522.0697438602724,358.42
46,46,5/2/2021,11:39:52:867,358.42,31.22,534.03,0.551,936.097,522.0898464791594,358.42
47,47,5/2/2021,11:39:52:945,359.42,31.24,532.23,0.551,936.097,522.1073685005873,358.42
48,48,5/2/2021,11:39:53:55,358.42,31.22,512.63,0.552,936.097,522.1227946106342,358.42
49,49,5/2/2021,11:39:53:164,358.92,31.18,514.83,0.552,936.097,522.1366542443876,358.42
50,50,5/2/2021,11:39:53:274,358.92,31.16,522.43,0.552,936.097,522.1494441890751,358.42
51,51,5/2/2021,11:39:53:383,359.42,31.26,528.23,0.551,936.097,522.1615983224063,358.42
52,52,5/2/2021,11:39:53:493,358.42,31.28,525.83,0.552,936.097,522.173541640325,358.42
53,53,5/2/2021,11:39:53:617,358.92,31.18,502.03,0.552,936.247,522.1857232266957,358.42
54,54,5/2/2021,11:39:53:711,358.42,31.22,517.83,0.551,936.097,522.1985546149173,358.42
55,55,5/2/2021,11:39:53:883,358.42,31.22,534.03,0.551,936.097,522.2123440495428,358.42
56,56,5/2/2021,11:39:53:930,359.92,31.28,517.23,0.551,936.097,522.2273403704871,358.42
57,57,5/2/2021,11:39:54:39,358.92,31.2,531.33,0.551,936.097,522.2438142395274,358.42
58,58,5/2/2021,11:39:54:149,358.92,31.26,518.43,0.551,936.097,522.2620806303498,358.42
59,59,5/2/2021,11:39:54:258,359.42,31.37,520.93,0.551,936.097,522.2824834507205,358.42
60,60,5/2/2021,11:39:54:367,358.92,31.2,515.43,0.551,936.097,522.3053627748172,358.42
61,61,5/2/2021,11:39:54:477,358.42,31.24,531.63,0.551,936.097,522.3310269191163,358.42
62,62,5/2/2021,11:39:54:617,358.92,31.24,514.23,0.552,936.097,522.3597632997219,358.42
63,63,5/2/2021,11:39:54:695,358.92,31.28,525.23,0.551,936.097,522.3918566592318,358.42
64,64,5/2/2021,11:39:54:805,358.92,31.18,496.22,0.552,936.097,522.4275592475785,358.42
65,65,5/2/2021,11:39:54:914,358.92,31.26,524.93,0.551,936.097,522.4670174295912,358.42
66,66,5/2/2021,11:39:55:23,358.92,31.26,494.92,0.551,936.097,522.5102100390731,358.42
67,67,5/2/2021,11:39:55:133,359.42,31.22,513.03,0.551,936.097,522.5569139079872,358.42
68,68,5/2/2021,11:39:55:242,360.42,31.2,518.83,0.551,936.097,522.606687597924,358.42
69,69,5/2/2021,11:39:55:367,358.92,31.24,523.63,0.551,936.097,522.6589148883405,358.42
70,70,5/2/2021,11:39:55:461,359.42,31.24,529.13,0.551,936.097,522.7129034243682,358.42
71,71,5/2/2021,11:39:55:617,359.42,31.16,514.83,0.551,936.097,522.7679598009269,358.42
72,72,5/2/2021,11:39:55:680,358.92,31.28,535.83,0.551,936.097,522.8234099887226,358.42
73,73,5/2/2021,11:39:55:789,358.92,31.28,516.93,0.551,936.097,522.8786044300738,358.42
74,74,5/2/2021,11:39:55:898,358.42,31.18,536.53,0.551,936.097,522.932935027951,358.42
75,75,5/2/2021,11:39:56:8,359.42,31.32,515.43,0.551,936.247,522.9858475544314,358.42
76,76,5/2/2021,11:39:56:117,358.92,31.2,527.33,0.551,936.097,523.0368315410993,358.42
77,77,5/2/2021,11:39:56:226,358.42,31.32,494.02,0.552,936.097,523.0853679478319,358.42
78,78,5/2/2021,11:39:56:367,358.92,31.18,519.13,0.551,936.097,523.1308293415793,358.42
79,79,5/2/2021,11:39:56:445,358.92,31.16,524.23,0.551,936.097,523.1724129940102,358.42
80,80,5/2/2021,11:39:56:554,358.42,31.2,529.43,0.551,936.097,523.2091937457878,358.42
81,81,5/2/2021,11:39:56:664,358.92,31.28,533.73,0.551,936.097,523.2402431698961,358.42
82,82,5/2/2021,11:39:56:773,358.92,31.22,536.13,0.551,936.097,523.2647229430534,358.42
83,83,5/2/2021,11:39:56:882,358.92,31.2,536.83,0.551,936.097,523.281944840821,358.42
84,84,5/2/2021,11:39:56:992,358.92,31.22,536.53,0.551,936.097,523.2914086930995,358.42
85,85,5/2/2021,11:39:57:132,358.42,31.2,534.33,0.551,936.097,523.2928164572495,358.42
86,86,5/2/2021,11:39:57:210,358.92,31.26,516.03,0.551,936.097,523.2860489563861,358.42
87,87,5/2/2021,11:39:57:366,360.42,31.22,517.83,0.551,936.097,523.2710828541009,358.42
