,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,5/2/2021,10:53:29:235,343.32,31.43,514.53,0.55,936.547,512.213913229738,343.32
1,1,5/2/2021,10:53:29:329,343.82,31.35,512.63,0.55,936.547,511.9921891959593,343.32
2,2,5/2/2021,10:53:29:438,343.32,31.37,510.23,0.55,936.547,511.76715647078044,343.32
3,3,5/2/2021,10:53:29:548,344.32,31.45,512.03,0.55,936.547,511.5398461000895,343.32
4,4,5/2/2021,10:53:29:673,343.32,31.35,480.62,0.55,936.547,511.3112568583102,343.32
5,5,5/2/2021,10:53:29:767,343.32,31.39,498.92,0.55,936.547,511.0822534087122,343.32
6,6,5/2/2021,10:53:29:969,343.32,31.41,513.33,0.55,936.547,510.8534761794491,343.32
7,7,5/2/2021,10:53:29:985,343.32,31.37,516.63,0.55,936.547,510.6253906773723,343.32
8,8,5/2/2021,10:53:30:94,343.32,31.28,514.53,0.55,936.547,510.39842697290993,343.32
9,9,5/2/2021,10:53:30:204,343.32,31.26,513.63,0.55,936.547,510.1730675674432,343.32
10,10,5/2/2021,10:53:30:313,344.32,31.35,513.63,0.55,936.547,509.94986206053534,343.32
11,11,5/2/2021,10:53:30:422,343.32,31.37,501.73,0.55,936.547,509.72940881424006,343.32
12,12,5/2/2021,10:53:30:524,343.32,31.39,512.63,0.55,936.547,509.5123170759574,343.32
13,13,5/2/2021,10:53:30:674,344.32,31.28,516.93,0.55,936.547,509.2991866149665,343.32
14,14,5/2/2021,10:53:30:745,343.32,31.41,507.53,0.55,936.547,509.09063607521864,343.32
15,15,5/2/2021,10:53:30:851,343.32,31.39,493.72,0.55,936.547,508.8873122366395,343.32
16,16,5/2/2021,10:53:30:960,343.32,31.32,476.32,0.551,936.547,508.6897948105682,343.32
17,17,5/2/2021,10:53:31:70,343.82,31.39,514.23,0.55,936.547,508.4984553994094,343.32
18,18,5/2/2021,10:53:31:179,346.22,31.37,494.92,0.55,936.547,508.31342477024214,343.32
19,19,5/2/2021,10:53:31:289,343.32,31.39,498.32,0.55,936.547,508.134664320772,343.32
20,20,5/2/2021,10:53:31:415,343.82,31.39,513.33,0.55,936.547,507.9620147999882,343.32
21,21,5/2/2021,10:53:31:509,344.82,31.3,513.93,0.5489999999999999,936.547,507.7952397819422,343.32
22,22,5/2/2021,10:53:31:665,343.82,31.35,497.72,0.5489999999999999,936.547,507.63409716476326,343.32
23,23,5/2/2021,10:53:31:730,343.82,31.35,512.03,0.5489999999999999,936.397,507.4783578786405,343.32
24,24,5/2/2021,10:53:31:837,343.82,31.37,509.63,0.5489999999999999,936.547,507.32778400831864,343.32
25,25,5/2/2021,10:53:31:946,343.82,31.41,509.03,0.5489999999999999,936.397,507.1821423641764,343.32
26,26,5/2/2021,10:53:32:56,343.32,31.41,509.93,0.5489999999999999,936.547,507.0412313450191,343.32
27,27,5/2/2021,10:53:32:167,343.32,31.45,514.83,0.55,936.547,506.90489258586473,343.32
28,28,5/2/2021,10:53:32:273,345.72,31.39,502.03,0.55,936.547,506.7730203759911,343.32
29,29,5/2/2021,10:53:32:420,344.32,31.43,498.92,0.55,936.397,506.6455424170389,343.32
30,30,5/2/2021,10:53:32:501,343.32,31.37,515.13,0.55,936.397,506.5223706452278,343.32
31,31,5/2/2021,10:53:32:610,343.82,31.37,514.83,0.55,936.547,506.4034028118033,343.32
32,32,5/2/2021,10:53:32:720,343.82,31.41,514.83,0.55,936.397,506.288593481962,343.32
33,33,5/2/2021,10:53:32:829,343.82,31.39,502.33,0.55,936.547,506.1780021537532,343.32
34,34,5/2/2021,10:53:32:985,344.32,31.35,479.72,0.55,936.547,506.07173886784335,343.32
35,35,5/2/2021,10:53:33:48,343.82,31.39,503.23,0.55,936.547,505.969827205247,343.32
36,36,5/2/2021,10:53:33:251,343.32,31.37,496.22,0.55,936.547,505.87210974445054,343.32
37,37,5/2/2021,10:53:33:267,344.32,31.35,515.13,0.55,936.547,505.778277929132,343.32
38,38,5/2/2021,10:53:33:423,343.32,31.41,501.73,0.5489999999999999,936.547,505.68796294946077,343.32
39,39,5/2/2021,10:53:33:486,344.32,31.45,498.62,0.55,936.547,505.60078814328597,343.32
40,40,5/2/2021,10:53:33:595,343.82,31.35,516.63,0.5489999999999999,936.547,505.51636436121765,343.32
41,41,5/2/2021,10:53:33:829,343.82,31.39,515.43,0.55,936.547,505.4343083893817,343.32
42,42,5/2/2021,10:53:33:923,343.32,31.35,515.13,0.55,936.547,505.3543194906877,343.32
43,43,5/2/2021,10:53:34:32,343.82,31.41,515.43,0.55,936.547,505.2762400196746,343.32
44,44,5/2/2021,10:53:34:173,343.82,31.41,495.22,0.55,936.547,505.20004925921074,343.32
45,45,5/2/2021,10:53:34:251,344.32,31.35,514.83,0.55,936.547,505.12580433185167,343.32
46,46,5/2/2021,10:53:34:360,343.82,31.32,476.32,0.55,936.697,505.05356293917833,343.32
47,47,5/2/2021,10:53:34:470,343.82,31.35,499.52,0.55,936.547,504.98329310805764,343.32
48,48,5/2/2021,10:53:34:579,343.82,31.28,482.42,0.55,936.697,504.9147795803146,343.32
49,49,5/2/2021,10:53:34:688,344.32,31.41,518.43,0.55,936.547,504.84759797123934,343.32
50,50,5/2/2021,10:53:35:126,343.82,31.41,514.23,0.55,936.547,504.7812051180044,343.32
51,51,5/2/2021,10:53:35:235,344.32,31.37,497.72,0.55,936.547,504.7150742948872,343.32
52,52,5/2/2021,10:53:35:345,344.32,31.37,500.73,0.55,936.697,504.64873401019065,343.32
53,53,5/2/2021,10:53:35:719,344.32,31.37,519.13,0.5489999999999999,936.547,504.5817208487813,343.32
54,54,5/2/2021,10:53:35:782,343.32,31.32,483.02,0.55,936.697,504.51356618277975,343.32
55,55,5/2/2021,10:53:35:938,343.32,31.39,518.13,0.5489999999999999,936.547,504.4437939047554,343.32
56,56,5/2/2021,10:53:36:0,343.32,31.33,517.53,0.55,936.697,504.3719212902327,343.32
57,57,5/2/2021,10:53:36:110,343.32,31.35,516.63,0.55,936.547,504.2975394076493,343.32
58,58,5/2/2021,10:53:36:219,343.32,31.35,515.43,0.55,936.547,504.22040781071655,343.32
59,59,5/2/2021,10:53:36:329,343.32,31.35,500.43,0.55,936.697,504.14046302614753,343.32
60,60,5/2/2021,10:53:36:438,343.82,31.43,501.43,0.55,936.547,504.0577510916095,343.32
61,61,5/2/2021,10:53:36:547,343.82,31.33,500.73,0.55,936.697,503.97233867852026,343.32
62,62,5/2/2021,10:53:36:688,343.82,31.47,513.33,0.55,936.697,503.88427010039527,343.32
63,63,5/2/2021,10:53:36:766,343.32,31.39,498.92,0.55,936.697,503.7935889234491,343.32
64,64,5/2/2021,10:53:36:954,343.32,31.35,509.33,0.5489999999999999,936.547,503.7003652563097,343.32
65,65,5/2/2021,10:53:36:979,343.82,31.3,496.52,0.55,936.697,503.60468942993174,343.32
66,66,5/2/2021,10:53:37:93,342.32,31.41,498.92,0.55,936.697,503.5066428055189,343.32
67,67,5/2/2021,10:53:37:203,343.32,31.43,518.43,0.55,936.547,503.40627925235015,343.32
68,68,5/2/2021,10:53:37:312,343.82,31.35,517.23,0.55,936.547,503.3036758460218,343.32
69,69,5/2/2021,10:53:37:453,343.32,31.39,498.92,0.55,936.547,503.19902293945864,343.32
70,70,5/2/2021,10:53:37:531,343.82,31.32,515.13,0.55,936.697,503.0926415734485,343.32
71,71,5/2/2021,10:53:37:703,344.82,31.41,502.63,0.55,936.547,502.9849433516322,343.32
72,72,5/2/2021,10:53:37:750,343.32,31.33,514.83,0.55,936.547,502.87641748638816,343.32
73,73,5/2/2021,10:53:37:859,343.82,31.37,480.02,0.55,936.697,502.76761835235044,343.32
74,74,5/2/2021,10:53:37:968,343.82,31.39,499.22,0.55,936.697,502.6590885314123,343.32
75,75,5/2/2021,10:53:38:78,343.32,31.35,497.72,0.55,936.697,502.55126564163527,343.32
76,76,5/2/2021,10:53:38:183,342.82,31.41,481.22,0.55,936.697,502.4444505332405,343.32
77,77,5/2/2021,10:53:38:292,342.82,31.33,517.83,0.55,936.547,502.3388124802839,343.32
78,78,5/2/2021,10:53:38:417,344.32,31.43,498.02,0.55,936.547,502.23443067076585,343.32
79,79,5/2/2021,10:53:38:511,344.32,31.43,498.92,0.55,936.547,502.1313678566291,343.32
80,80,5/2/2021,10:53:38:698,343.32,31.39,500.12,0.55,936.547,502.0296874711699,343.32
81,81,5/2/2021,10:53:38:730,343.32,31.39,500.12,0.55,936.547,501.9294236055938,343.32
82,82,5/2/2021,10:53:38:839,343.82,31.39,500.12,0.55,936.547,501.8305738074599,343.32
83,83,5/2/2021,10:53:38:948,343.32,31.39,499.22,0.55,936.697,501.7331053272045,343.32
84,84,5/2/2021,10:53:39:58,344.32,31.39,495.92,0.55,936.547,501.63695110141794,343.32
85,85,5/2/2021,10:53:39:167,343.32,31.33,518.83,0.55,936.547,501.5420154783149,343.32
86,86,5/2/2021,10:53:39:277,343.82,31.37,479.12,0.551,936.697,501.44820354645066,343.32
87,87,5/2/2021,10:53:39:417,343.82,31.33,518.43,0.55,936.547,501.35542635270286,343.32
88,88,5/2/2021,10:53:39:495,342.32,31.43,518.43,0.55,936.547,501.2636095067209,343.32
89,89,5/2/2021,10:53:39:605,343.32,31.3,518.83,0.55,936.397,501.1727924885528,343.32
90,90,5/2/2021,10:53:39:714,343.32,31.39,498.92,0.55,936.397,501.08322685773203,343.32
91,91,5/2/2021,10:53:39:824,343.82,31.35,499.22,0.55,936.547,500.99534096531744,343.32
92,92,5/2/2021,10:53:39:933,343.82,31.39,500.12,0.55,936.547,500.90962843913684,343.32
93,93,5/2/2021,10:53:40:42,343.32,31.37,476.32,0.551,936.547,500.8265543160644,343.32
94,94,5/2/2021,10:53:40:183,342.82,31.33,494.62,0.55,936.547,500.746468387625,343.32
95,95,5/2/2021,10:53:40:261,343.82,31.35,482.12,0.55,936.547,500.66953021955214,343.32
96,96,5/2/2021,10:53:40:417,343.32,31.32,512.33,0.55,936.547,500.59570621601165,343.32
97,97,5/2/2021,10:53:40:480,343.32,31.35,493.72,0.55,936.547,500.5248455633865,343.32
98,98,5/2/2021,10:53:40:589,343.32,31.39,498.62,0.55,936.547,500.45675943289353,343.32
99,99,5/2/2021,10:53:40:695,342.82,31.37,498.62,0.55,936.547,500.3912379669763,343.32
100,100,5/2/2021,10:53:40:804,343.32,31.35,498.32,0.55,936.547,500.3280365861003,343.32
101,101,5/2/2021,10:53:40:914,343.82,31.35,498.62,0.55,936.547,500.2668771009712,343.32
102,102,5/2/2021,10:53:41:23,344.32,31.35,499.52,0.55,936.547,500.20745377296265,343.32
103,103,5/2/2021,10:53:41:179,343.32,31.32,494.32,0.55,936.547,500.14943329558287,343.32
104,104,5/2/2021,10:53:41:242,343.32,31.35,495.92,0.55,936.697,500.09244314212236,343.32
105,105,5/2/2021,10:53:41:351,343.32,31.39,515.13,0.55,936.547,500.0360708256461,343.32
106,106,5/2/2021,10:53:41:460,343.32,31.39,484.02,0.55,936.697,499.9798993490625,343.32
107,107,5/2/2021,10:53:41:570,343.32,31.41,498.02,0.55,936.547,499.9235139598666,343.32
108,108,5/2/2021,10:53:41:679,343.82,31.39,493.42,0.55,936.547,499.866447609296,343.32
109,109,5/2/2021,10:53:41:789,342.82,31.41,498.32,0.55,936.547,499.80814796122064,343.32
110,110,5/2/2021,10:53:41:920,344.82,31.37,498.02,0.5489999999999999,936.547,499.7479944684661,343.32
111,111,5/2/2021,10:53:42:14,342.82,31.43,498.02,0.5489999999999999,936.547,499.68532250135394,343.32
112,112,5/2/2021,10:53:42:170,343.82,31.35,513.93,0.5489999999999999,936.547,499.61945268474767,343.32
113,113,5/2/2021,10:53:42:233,342.82,31.3,498.92,0.5489999999999999,936.547,499.54974292267775,343.32
114,114,5/2/2021,10:53:42:342,343.32,31.37,514.83,0.55,936.697,499.4756392045952,343.32
115,115,5/2/2021,10:53:42:452,343.32,31.43,516.93,0.55,936.547,499.396715049247,343.32
116,116,5/2/2021,10:53:42:567,344.32,31.43,489.82,0.55,936.697,499.3127044811306,343.32
117,117,5/2/2021,10:53:42:680,343.82,31.39,502.93,0.55,936.547,499.22347000403863,343.32
118,118,5/2/2021,10:53:42:778,343.32,31.37,518.83,0.55,936.547,499.1289356273381,343.32
119,119,5/2/2021,10:53:42:911,342.82,31.37,515.43,0.55,936.547,499.0291199782821,343.32
120,120,5/2/2021,10:53:43:6,343.32,31.32,498.32,0.55,936.547,498.9242255802375,343.32
121,121,5/2/2021,10:53:43:193,343.32,31.35,498.92,0.55,936.547,498.81462916277474,343.32
122,122,5/2/2021,10:53:43:224,343.32,31.35,498.92,0.55,936.547,498.70078774817205,343.32
123,123,5/2/2021,10:53:43:334,343.32,31.37,498.62,0.55,936.697,498.5831735061458,343.32
124,124,5/2/2021,10:53:43:552,343.32,31.43,498.62,0.55,936.547,498.46226000858735,343.32
125,125,5/2/2021,10:53:43:575,344.32,31.3,513.93,0.55,936.547,498.33853782386484,343.32
126,126,5/2/2021,10:53:43:666,343.32,31.37,494.02,0.55,936.547,498.2125555416832,343.32
127,127,5/2/2021,10:53:43:776,342.32,31.32,497.72,0.55,936.547,498.08493693493375,343.32
128,128,5/2/2021,10:53:43:882,344.32,31.35,518.13,0.55,936.547,497.95636047757074,343.32
129,129,5/2/2021,10:53:43:991,342.82,31.45,497.72,0.55,936.547,497.827579960552,343.32
130,130,5/2/2021,10:53:44:105,343.32,31.35,479.12,0.55,936.697,497.6994431811487,343.32
131,131,5/2/2021,10:53:44:214,343.32,31.41,498.62,0.55,936.547,497.57280419225526,343.32
132,132,5/2/2021,10:53:44:319,343.82,31.43,498.92,0.55,936.547,497.4484330934189,343.32
133,133,5/2/2021,10:53:44:431,346.22,31.35,484.32,0.551,936.547,497.32702657468224,343.32
134,134,5/2/2021,10:53:44:538,344.82,31.28,498.92,0.551,936.547,497.2092268235682,343.32
135,135,5/2/2021,10:53:44:647,342.82,31.3,481.22,0.551,936.547,497.0955978599632,343.32
