,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,22/2/2021,13:3:5:165,339.42,31.08,507.23,0.5479999999999999,933.197,504.01912687970423,339.42
1,1,22/2/2021,13:3:5:227,338.42,31.06,505.93,0.5479999999999999,933.347,503.64306470063036,339.42
2,2,22/2/2021,13:3:5:337,338.42,31.04,502.03,0.5479999999999999,933.347,503.2624921808555,339.42
3,3,22/2/2021,13:3:5:446,338.92,31.06,498.32,0.547,933.197,502.8779189980418,339.42
4,4,22/2/2021,13:3:5:556,338.92,31.04,495.62,0.547,933.197,502.48984969971013,339.42
5,5,22/2/2021,13:3:5:665,338.92,30.93,491.62,0.5479999999999999,933.347,502.09877152337936,339.42
6,6,22/2/2021,13:3:5:774,338.42,31.02,491.62,0.5479999999999999,933.347,501.7051430003374,339.42
7,7,22/2/2021,13:3:5:898,338.42,31.0,488.52,0.5479999999999999,933.347,501.3093849485616,339.42
8,8,22/2/2021,13:3:5:992,337.92,31.02,509.93,0.5479999999999999,933.347,500.91187960776057,339.42
9,9,22/2/2021,13:3:6:148,338.42,31.06,501.43,0.5479999999999999,933.347,500.51298614582566,339.42
10,10,22/2/2021,13:3:6:211,337.92,31.04,510.83,0.5479999999999999,933.347,500.1130655778549,339.42
11,11,22/2/2021,13:3:6:320,338.42,31.06,494.62,0.5479999999999999,933.347,499.71249587527916,339.42
12,12,22/2/2021,13:3:6:429,338.42,31.08,510.23,0.5479999999999999,933.347,499.3116722144229,339.42
13,13,22/2/2021,13:3:6:538,338.92,30.99,508.43,0.5479999999999999,933.347,498.9110066927016,339.42
14,14,22/2/2021,13:3:6:648,338.92,31.04,489.82,0.5479999999999999,933.347,498.51093312300253,339.42
15,15,22/2/2021,13:3:6:757,338.92,30.93,489.12,0.5479999999999999,933.347,498.11189854976107,339.42
16,16,22/2/2021,13:3:6:898,338.92,30.97,508.73,0.5479999999999999,933.347,497.7143428580854,339.42
17,17,22/2/2021,13:3:6:976,338.42,31.06,489.12,0.5479999999999999,933.347,497.31869489416465,339.42
18,18,22/2/2021,13:3:7:85,338.92,31.08,493.42,0.5479999999999999,933.347,496.9253797173797,339.42
19,19,22/2/2021,13:3:7:195,338.92,31.0,489.52,0.5479999999999999,933.347,496.53481343063487,339.42
20,20,22/2/2021,13:3:7:304,338.92,31.18,493.12,0.5479999999999999,933.347,496.1473933112342,339.42
21,21,22/2/2021,13:3:7:413,338.92,31.1,489.52,0.5479999999999999,933.197,495.76349557821504,339.42
22,22,22/2/2021,13:3:7:522,338.92,31.06,489.12,0.5479999999999999,933.347,495.38347582433175,339.42
23,23,22/2/2021,13:3:7:648,338.92,31.06,488.52,0.5479999999999999,933.347,495.0076671919168,339.42
24,24,22/2/2021,13:3:7:741,338.92,31.12,489.12,0.5479999999999999,933.347,494.6363780999044,339.42
25,25,22/2/2021,13:3:7:897,338.42,31.06,473.62,0.5479999999999999,933.347,494.269888195958,339.42
26,26,22/2/2021,13:3:7:960,338.42,30.97,487.62,0.5479999999999999,933.347,493.9084378450373,339.42
27,27,22/2/2021,13:3:8:69,338.92,31.12,492.82,0.5479999999999999,933.197,493.55222198019914,339.42
28,28,22/2/2021,13:3:8:179,338.42,31.02,473.32,0.5489999999999999,933.347,493.2013976640236,339.42
29,29,22/2/2021,13:3:8:288,339.92,31.08,511.43,0.5479999999999999,933.197,492.85609364386215,339.42
30,30,22/2/2021,13:3:8:397,338.42,30.99,492.22,0.5479999999999999,933.347,492.5164247814792,339.42
31,31,22/2/2021,13:3:8:507,338.92,31.04,511.13,0.5479999999999999,933.197,492.1825184080392,339.42
32,32,22/2/2021,13:3:8:647,338.92,31.14,488.52,0.5479999999999999,933.347,491.85453372177966,339.42
33,33,22/2/2021,13:3:8:725,338.92,31.02,487.32,0.5479999999999999,933.347,491.5326588408555,339.42
34,34,22/2/2021,13:3:8:835,338.42,31.08,483.72,0.5479999999999999,933.197,491.2170898160047,339.42
35,35,22/2/2021,13:3:8:944,338.42,31.04,476.62,0.5479999999999999,933.347,490.9080064084298,339.42
36,36,22/2/2021,13:3:9:54,338.92,31.06,489.12,0.5479999999999999,933.347,490.6055568398148,339.42
37,37,22/2/2021,13:3:9:163,338.92,31.06,488.82,0.5479999999999999,933.197,490.3098568864682,339.42
38,38,22/2/2021,13:3:9:272,338.42,31.1,489.12,0.5479999999999999,933.197,490.02100183688935,339.42
39,39,22/2/2021,13:3:9:397,338.92,31.08,509.63,0.5479999999999999,933.197,489.73908369775717,339.42
40,40,22/2/2021,13:3:9:491,338.42,31.14,489.52,0.5479999999999999,933.347,489.4642114850806,339.42
41,41,22/2/2021,13:3:9:663,337.92,31.14,482.12,0.5479999999999999,933.347,489.19652157468175,339.42
42,42,22/2/2021,13:3:9:709,338.92,31.06,489.82,0.5479999999999999,933.197,488.936163481202,339.42
43,43,22/2/2021,13:3:9:819,338.92,31.04,471.72,0.5479999999999999,933.347,488.6832776060773,339.42
44,44,22/2/2021,13:3:9:928,338.42,31.08,470.82,0.5479999999999999,933.347,488.4379767310595,339.42
45,45,22/2/2021,13:3:10:38,338.42,31.08,489.12,0.5479999999999999,933.347,488.2003290888128,339.42
46,46,22/2/2021,13:3:10:147,338.92,31.1,488.52,0.5479999999999999,933.347,487.9703599995016,339.42
47,47,22/2/2021,13:3:10:256,339.42,31.06,487.32,0.5479999999999999,933.347,487.7480743658471,339.42
48,48,22/2/2021,13:3:10:397,338.42,31.12,470.82,0.5479999999999999,933.347,487.5334696856675,339.42
49,49,22/2/2021,13:3:10:475,338.92,31.06,486.12,0.5479999999999999,933.347,487.3265262583846,339.42
50,50,22/2/2021,13:3:10:585,338.92,31.04,511.43,0.5479999999999999,933.347,487.1272035023015,339.42
51,51,22/2/2021,13:3:10:694,338.92,31.04,487.02,0.5489999999999999,933.347,486.93546663757513,339.42
52,52,22/2/2021,13:3:10:803,338.92,31.0,509.33,0.5479999999999999,933.197,486.75131838218283,339.42
53,53,22/2/2021,13:3:10:912,338.92,30.99,488.22,0.5489999999999999,933.347,486.5748094674723,339.42
54,54,22/2/2021,13:3:11:22,339.92,31.12,487.62,0.5479999999999999,933.347,486.4060333994538,339.42
55,55,22/2/2021,13:3:11:147,338.42,30.99,485.82,0.5479999999999999,933.347,486.24511035686095,339.42
56,56,22/2/2021,13:3:11:240,338.92,31.08,478.52,0.5479999999999999,933.197,486.0921674401727,339.42
57,57,22/2/2021,13:3:11:397,338.42,31.12,473.32,0.5489999999999999,933.347,485.94732182334405,339.42
58,58,22/2/2021,13:3:11:459,338.42,31.02,470.22,0.5489999999999999,933.347,485.81066214327103,339.42
59,59,22/2/2021,13:3:11:569,338.92,31.12,489.12,0.5479999999999999,933.347,485.6822349003767,339.42
60,60,22/2/2021,13:3:11:678,338.42,31.02,487.02,0.5479999999999999,933.347,485.5620518428677,339.42
61,61,22/2/2021,13:3:11:787,338.92,31.02,489.52,0.5479999999999999,933.197,485.4501133922892,339.42
62,62,22/2/2021,13:3:11:896,338.92,31.08,483.02,0.5479999999999999,933.347,485.3464252845993,339.42
63,63,22/2/2021,13:3:12:6,338.42,31.1,506.83,0.5479999999999999,933.347,485.25100496466456,339.42
64,64,22/2/2021,13:3:12:162,338.42,31.08,489.12,0.5479999999999999,933.347,485.1638938369426,339.42
65,65,22/2/2021,13:3:12:225,338.92,31.06,469.62,0.5479999999999999,933.347,485.08516504720563,339.42
66,66,22/2/2021,13:3:12:334,338.42,30.99,470.22,0.5489999999999999,933.347,485.0148996564991,339.42
67,67,22/2/2021,13:3:12:443,339.42,31.04,471.42,0.5489999999999999,933.347,484.95314609218764,339.42
68,68,22/2/2021,13:3:12:553,338.42,31.02,473.32,0.5489999999999999,933.347,484.8998986759842,339.42
69,69,22/2/2021,13:3:12:662,338.42,30.99,487.02,0.5489999999999999,933.347,484.8551007798292,339.42
70,70,22/2/2021,13:3:12:771,339.42,30.99,487.02,0.5489999999999999,933.347,484.81866328320984,339.42
71,71,22/2/2021,13:3:12:896,338.42,31.0,471.72,0.5489999999999999,933.347,484.790484040582,339.42
72,72,22/2/2021,13:3:12:990,338.42,31.08,487.02,0.5489999999999999,933.347,484.77045078140844,339.42
73,73,22/2/2021,13:3:13:146,337.92,31.02,469.92,0.5479999999999999,933.347,484.7584325637156,339.42
74,74,22/2/2021,13:3:13:209,339.42,31.1,487.92,0.5479999999999999,933.347,484.75427481194777,339.42
75,75,22/2/2021,13:3:13:318,337.92,31.06,473.32,0.5479999999999999,933.347,484.7577995445949,339.42
76,76,22/2/2021,13:3:13:427,338.92,31.02,472.72,0.5479999999999999,933.347,484.7688043470228,339.42
77,77,22/2/2021,13:3:13:537,338.42,31.04,475.42,0.5479999999999999,933.347,484.78705410358964,339.42
78,78,22/2/2021,13:3:13:646,338.42,31.04,478.82,0.5479999999999999,933.347,484.81227336169235,339.42
79,79,22/2/2021,13:3:13:756,337.92,31.06,482.42,0.5479999999999999,933.347,484.8441504358565,339.42
80,80,22/2/2021,13:3:13:912,337.92,31.04,490.12,0.5489999999999999,933.347,484.88235073095007,339.42
81,81,22/2/2021,13:3:13:974,338.42,31.04,487.32,0.5489999999999999,933.347,484.9265334010205,339.42
