,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,25/2/2021,11:57:0:297,366.32,29.85,500.43,0.5479999999999999,933.497,498.1027325275633,366.32
1,1,25/2/2021,11:57:0:376,365.82,29.79,503.23,0.5479999999999999,933.497,499.4674104917102,366.32
2,2,25/2/2021,11:57:0:532,366.32,29.85,543.23,0.5479999999999999,933.497,500.8242512658268,366.32
3,3,25/2/2021,11:57:0:594,366.32,29.77,503.23,0.5479999999999999,933.497,502.16962267901977,366.32
4,4,25/2/2021,11:57:0:704,366.32,29.93,537.43,0.5479999999999999,933.497,503.50011675350504,366.32
5,5,25/2/2021,11:57:0:813,366.32,29.93,519.73,0.5479999999999999,933.497,504.8125644596896,366.32
6,6,25/2/2021,11:57:0:923,366.32,29.87,528.23,0.5479999999999999,933.497,506.10403690044257,366.32
7,7,25/2/2021,11:57:1:32,365.82,29.83,535.53,0.5479999999999999,933.497,507.371853211978,366.32
8,8,25/2/2021,11:57:1:141,365.82,29.79,521.83,0.5479999999999999,933.497,508.6135872595444,366.32
9,9,25/2/2021,11:57:1:282,365.82,29.91,538.33,0.5489999999999999,933.497,509.8270687471292,366.32
10,10,25/2/2021,11:57:1:360,366.32,29.95,521.83,0.5489999999999999,933.497,511.0103724770452,366.32
11,11,25/2/2021,11:57:1:469,365.82,29.75,542.63,0.5489999999999999,933.497,512.1618088752482,366.32
12,12,25/2/2021,11:57:1:579,366.32,29.89,508.13,0.5489999999999999,933.497,513.2799117545652,366.32
13,13,25/2/2021,11:57:1:688,365.82,29.93,521.83,0.5489999999999999,933.497,514.3633895600774,366.32
14,14,25/2/2021,11:57:1:797,365.82,29.83,514.23,0.5489999999999999,933.647,515.4110451042721,366.32
15,15,25/2/2021,11:57:1:907,366.32,29.85,527.03,0.5479999999999999,933.497,516.4217249936072,366.32
16,16,25/2/2021,11:57:2:32,365.82,29.85,537.73,0.5479999999999999,933.497,517.394333982496,366.32
17,17,25/2/2021,11:57:2:125,365.82,29.89,541.63,0.5479999999999999,933.497,518.3279005263893,366.32
18,18,25/2/2021,11:57:2:297,366.32,29.91,538.93,0.5479999999999999,933.497,519.2216528277487,366.32
19,19,25/2/2021,11:57:2:344,365.82,29.93,542.93,0.5479999999999999,933.497,520.0750602554449,366.32
20,20,25/2/2021,11:57:2:454,365.82,29.65,543.23,0.5479999999999999,933.347,520.8878420990246,366.32
21,21,25/2/2021,11:57:2:563,365.82,29.89,541.03,0.5479999999999999,933.347,521.6599693390074,366.32
22,22,25/2/2021,11:57:2:672,366.32,29.89,539.53,0.5479999999999999,933.347,522.3916587132111,366.32
23,23,25/2/2021,11:57:2:797,366.32,29.93,543.83,0.5479999999999999,933.347,523.0833567651047,366.32
24,24,25/2/2021,11:57:2:891,365.82,29.91,520.63,0.5479999999999999,933.497,523.7357143780378,366.32
25,25,25/2/2021,11:57:3:31,365.82,29.95,540.43,0.5479999999999999,933.497,524.3495386996582,366.32
26,26,25/2/2021,11:57:3:110,366.32,29.81,521.23,0.5479999999999999,933.497,524.9257396624107,366.32
27,27,25/2/2021,11:57:3:219,366.32,29.95,522.43,0.5479999999999999,933.497,525.4652901123401,366.32
28,28,25/2/2021,11:57:3:328,366.72,29.85,522.73,0.547,933.497,525.9691800083763,366.32
29,29,25/2/2021,11:57:3:438,365.82,29.85,541.33,0.547,933.497,526.4383884757556,366.32
30,30,25/2/2021,11:57:3:547,367.22,29.95,539.23,0.547,933.497,526.8739211469297,366.32
31,31,25/2/2021,11:57:3:656,365.82,29.91,538.93,0.547,933.497,527.2768808834625,366.32
32,32,25/2/2021,11:57:3:781,366.72,29.81,524.63,0.5479999999999999,933.497,527.6484964327792,366.32
33,33,25/2/2021,11:57:3:875,366.72,29.91,537.73,0.547,933.497,527.9900919383391,366.32
34,34,25/2/2021,11:57:4:47,366.72,29.91,541.93,0.5479999999999999,933.497,528.3030591263399,366.32
35,35,25/2/2021,11:57:4:94,365.82,29.89,519.43,0.5479999999999999,933.647,528.5888644826879,366.32
36,36,25/2/2021,11:57:4:203,366.32,29.95,524.23,0.5479999999999999,933.497,528.849029783909,366.32
37,37,25/2/2021,11:57:4:312,366.32,29.93,501.43,0.5479999999999999,933.647,529.085050164691,366.32
38,38,25/2/2021,11:57:4:422,367.22,29.83,523.33,0.5479999999999999,933.497,529.2982997532284,366.32
39,39,25/2/2021,11:57:4:531,366.72,29.87,523.63,0.5479999999999999,933.497,529.4899911788701,366.32
40,40,25/2/2021,11:57:4:640,366.72,29.91,538.93,0.5479999999999999,933.497,529.6612175767607,366.32
41,41,25/2/2021,11:57:4:781,366.72,29.91,538.93,0.5479999999999999,933.497,529.813042793556,366.32
42,42,25/2/2021,11:57:4:859,365.82,29.91,534.63,0.5479999999999999,933.497,529.9465793903712,366.32
43,43,25/2/2021,11:57:5:62,366.32,29.91,543.23,0.5479999999999999,933.497,530.0630251389199,366.32
44,44,25/2/2021,11:57:5:93,365.82,29.91,499.52,0.5479999999999999,933.497,530.1636471419015,366.32
45,45,25/2/2021,11:57:5:209,365.82,29.85,520.03,0.5479999999999999,933.497,530.2496937398197,366.32
46,46,25/2/2021,11:57:5:321,366.72,29.97,523.03,0.547,933.497,530.322286936082,366.32
47,47,25/2/2021,11:57:5:430,366.32,29.85,538.93,0.5479999999999999,933.497,530.3824103436583,366.32
48,48,25/2/2021,11:57:5:540,365.82,29.81,538.63,0.5479999999999999,933.497,530.4309948607341,366.32
49,49,25/2/2021,11:57:5:649,365.82,29.91,538.93,0.5479999999999999,933.497,530.4690098284916,366.32
50,50,25/2/2021,11:57:5:791,365.82,29.83,501.73,0.5479999999999999,933.647,530.4974832926422,366.32
51,51,25/2/2021,11:57:5:869,366.32,29.91,539.53,0.5479999999999999,933.497,530.5174332112513,366.32
52,52,25/2/2021,11:57:5:979,366.32,29.81,522.43,0.5479999999999999,933.497,530.5298033294545,366.32
53,53,25/2/2021,11:57:6:88,366.32,29.95,519.73,0.5479999999999999,933.497,530.5354681504783,366.32
54,54,25/2/2021,11:57:6:197,366.32,30.03,521.53,0.5479999999999999,933.497,530.5352345232149,366.32
55,55,25/2/2021,11:57:6:307,365.82,29.85,535.53,0.5479999999999999,933.497,530.5298230570178,366.32
56,56,25/2/2021,11:57:6:416,365.82,29.93,499.52,0.5479999999999999,933.497,530.5198702104042,366.32
57,57,25/2/2021,11:57:6:572,365.82,29.97,518.13,0.5479999999999999,933.497,530.5059016406835,366.32
58,58,25/2/2021,11:57:6:635,365.82,29.83,532.53,0.5479999999999999,933.497,530.4882821086632,366.32
59,59,25/2/2021,11:57:6:791,365.82,30.2,499.52,0.5479999999999999,933.647,530.4672201295089,366.32
60,60,25/2/2021,11:57:6:854,366.32,29.89,531.33,0.5479999999999999,933.497,530.4427859671715,366.32
61,61,25/2/2021,11:57:6:963,366.72,29.87,528.53,0.5479999999999999,933.497,530.4149137509024,366.32
62,62,25/2/2021,11:57:7:73,365.82,29.87,542.93,0.547,933.497,530.3834570285006,366.32
63,63,25/2/2021,11:57:7:182,365.82,29.83,542.63,0.547,933.497,530.3482865320242,366.32
64,64,25/2/2021,11:57:7:291,366.72,29.97,503.23,0.5479999999999999,933.497,530.309338573021,366.32
65,65,25/2/2021,11:57:7:401,365.82,29.91,542.33,0.5479999999999999,933.497,530.2665680775651,366.32
66,66,25/2/2021,11:57:7:541,365.82,29.85,538.63,0.5479999999999999,933.497,530.2198980486917,366.32
67,67,25/2/2021,11:57:7:620,367.72,29.91,536.83,0.5479999999999999,933.497,530.1692635285904,366.32
68,68,25/2/2021,11:57:7:729,365.82,29.89,532.23,0.547,933.497,530.1146721680897,366.32
