,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,25/2/2021,11:45:30:48,361.92,29.95,517.83,0.5489999999999999,932.247,522.3636340087638,361.92
1,1,25/2/2021,11:45:30:110,362.32,29.97,514.83,0.5489999999999999,932.247,522.1215511381115,361.92
2,2,25/2/2021,11:45:30:220,361.92,29.91,514.53,0.5489999999999999,932.247,521.8801883738365,361.92
3,3,25/2/2021,11:45:30:329,363.32,29.93,535.23,0.5479999999999999,932.247,521.63966823717,361.92
4,4,25/2/2021,11:45:30:438,362.82,29.93,508.43,0.5489999999999999,932.247,521.4001123681533,361.92
5,5,25/2/2021,11:45:30:548,362.32,29.93,511.13,0.5479999999999999,932.247,521.1616419938831,361.92
6,6,25/2/2021,11:45:30:657,361.92,29.97,514.23,0.5479999999999999,932.247,520.9243764626418,361.92
7,7,25/2/2021,11:45:30:782,361.42,30.01,516.63,0.5479999999999999,932.247,520.6884319930058,361.92
8,8,25/2/2021,11:45:30:876,361.42,29.99,497.12,0.5479999999999999,932.247,520.4539215887828,361.92
9,9,25/2/2021,11:45:31:47,362.32,30.01,498.32,0.5479999999999999,932.247,520.2209539846324,361.92
10,10,25/2/2021,11:45:31:110,362.32,29.93,508.43,0.5479999999999999,932.247,519.9896315719835,361.92
11,11,25/2/2021,11:45:31:204,361.92,29.97,531.33,0.5479999999999999,932.247,519.7600503657982,361.92
12,12,25/2/2021,11:45:31:317,361.92,29.95,514.23,0.5479999999999999,932.247,519.5323030092602,361.92
13,13,25/2/2021,11:45:31:427,361.92,29.91,535.23,0.5479999999999999,932.247,519.3064820486129,361.92
14,14,25/2/2021,11:45:31:536,362.82,29.97,495.22,0.5479999999999999,932.247,519.0826810644392,361.92
15,15,25/2/2021,11:45:31:645,361.92,29.87,509.63,0.5479999999999999,932.247,518.8609931828112,361.92
16,16,25/2/2021,11:45:31:786,362.32,29.95,512.63,0.5479999999999999,932.247,518.6415084387241,361.92
17,17,25/2/2021,11:45:31:864,363.32,30.01,515.43,0.5479999999999999,932.247,518.4243129475714,361.92
18,18,25/2/2021,11:45:31:973,361.92,30.03,516.93,0.5479999999999999,932.247,518.2094901598022,361.92
19,19,25/2/2021,11:45:32:82,361.92,29.97,517.23,0.5479999999999999,932.247,517.9971221432538,361.92
20,20,25/2/2021,11:45:32:192,361.92,29.97,513.93,0.547,932.247,517.7872901769838,361.92
21,21,25/2/2021,11:45:32:301,361.92,29.89,528.23,0.547,932.247,517.5800751166536,361.92
22,22,25/2/2021,11:45:32:411,361.42,29.99,529.13,0.5479999999999999,932.247,517.375558468049,361.92
23,23,25/2/2021,11:45:32:536,362.32,29.93,500.12,0.5479999999999999,932.247,517.1738236166599,361.92
24,24,25/2/2021,11:45:32:630,362.32,29.89,515.13,0.5479999999999999,932.247,516.9749548969083,361.92
25,25,25/2/2021,11:45:32:786,361.42,29.95,508.13,0.5479999999999999,932.247,516.7790351745381,361.92
26,26,25/2/2021,11:45:32:848,361.92,29.97,511.13,0.5479999999999999,932.247,516.5861447115706,361.92
