,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,26/2/2021,11:6:5:898,348.72,30.51,494.32,0.5479999999999999,931.797,493.94568182987314,348.72
1,1,26/2/2021,11:6:5:992,349.22,30.57,487.92,0.5479999999999999,931.947,494.1107716299935,348.72
2,2,26/2/2021,11:6:6:101,348.72,30.59,483.02,0.5479999999999999,931.947,494.2707109117021,348.72
3,3,26/2/2021,11:6:6:211,348.72,30.49,500.12,0.5479999999999999,931.797,494.42463335586905,348.72
4,4,26/2/2021,11:6:6:335,348.72,30.49,500.43,0.5479999999999999,931.797,494.5716109478652,348.72
5,5,26/2/2021,11:6:6:429,348.72,30.48,511.13,0.5479999999999999,931.797,494.7107379422158,348.72
6,6,26/2/2021,11:6:6:601,348.72,30.46,498.32,0.5479999999999999,931.947,494.84122157775175,348.72
7,7,26/2/2021,11:6:6:711,348.72,30.48,497.72,0.5489999999999999,931.797,494.9624098565334,348.72
8,8,26/2/2021,11:6:6:757,348.72,30.48,502.63,0.5479999999999999,931.797,495.0737590419636,348.72
9,9,26/2/2021,11:6:6:866,348.72,30.46,499.52,0.5479999999999999,931.797,495.17480484172387,348.72
10,10,26/2/2021,11:6:6:976,348.72,30.53,501.73,0.5489999999999999,931.797,495.2651645946836,348.72
11,11,26/2/2021,11:6:7:85,348.22,30.57,500.12,0.5489999999999999,931.797,495.3445431195577,348.72
12,12,26/2/2021,11:6:7:195,349.62,30.46,480.32,0.5489999999999999,931.797,495.4127113021583,348.72
13,13,26/2/2021,11:6:7:335,348.72,30.55,499.22,0.5489999999999999,931.797,495.4694422102003,348.72
14,14,26/2/2021,11:6:7:413,348.72,30.65,498.62,0.5489999999999999,931.797,495.5144631840785,348.72
15,15,26/2/2021,11:6:7:523,349.22,30.51,502.63,0.5489999999999999,931.947,495.54748831140864,348.72
16,16,26/2/2021,11:6:7:632,348.72,30.59,522.43,0.5489999999999999,931.797,495.5683035984982,348.72
17,17,26/2/2021,11:6:7:742,348.72,30.53,520.33,0.5489999999999999,931.797,495.57688121900804,348.72
18,18,26/2/2021,11:6:7:851,348.72,30.4,486.72,0.5489999999999999,931.947,495.5734691479741,348.72
19,19,26/2/2021,11:6:7:960,348.72,30.49,522.73,0.5479999999999999,931.797,495.55856389113495,348.72
20,20,26/2/2021,11:6:8:101,348.72,30.51,480.62,0.5489999999999999,931.947,495.5328243796133,348.72
21,21,26/2/2021,11:6:8:179,348.72,30.61,523.03,0.5479999999999999,931.797,495.49702683278974,348.72
22,22,26/2/2021,11:6:8:335,349.22,30.55,484.32,0.5489999999999999,931.947,495.45205413222106,348.72
23,23,26/2/2021,11:6:8:397,349.22,30.48,498.32,0.5489999999999999,931.797,495.39887802664185,348.72
24,24,26/2/2021,11:6:8:507,348.72,30.51,494.92,0.5489999999999999,931.797,495.338508980032,348.72
25,25,26/2/2021,11:6:8:616,348.72,30.51,488.22,0.5489999999999999,931.947,495.2719494636731,348.72
26,26,26/2/2021,11:6:8:726,348.72,30.48,483.02,0.5489999999999999,931.947,495.2001606450991,348.72
27,27,26/2/2021,11:6:8:851,348.22,30.57,502.93,0.5479999999999999,931.797,495.12402373139656,348.72
28,28,26/2/2021,11:6:8:945,349.22,30.53,500.43,0.5479999999999999,931.947,495.04435643503297,348.72
29,29,26/2/2021,11:6:9:101,349.62,30.48,484.02,0.5479999999999999,931.947,494.961978091363,348.72
30,30,26/2/2021,11:6:9:163,349.22,30.46,500.73,0.5479999999999999,931.797,494.87772114669036,348.72
31,31,26/2/2021,11:6:9:273,349.22,30.59,481.22,0.5479999999999999,931.797,494.7923922324929,348.72
32,32,26/2/2021,11:6:9:382,348.72,30.63,519.73,0.5479999999999999,931.797,494.70676624652606,348.72
33,33,26/2/2021,11:6:9:491,348.72,30.46,486.72,0.5479999999999999,931.947,494.6216407387049,348.72
34,34,26/2/2021,11:6:9:601,348.72,30.51,482.12,0.5479999999999999,931.797,494.5378695162484,348.72
35,35,26/2/2021,11:6:9:710,348.72,30.53,480.32,0.5479999999999999,931.947,494.4562822975057,348.72
36,36,26/2/2021,11:6:9:837,349.62,30.57,480.92,0.5479999999999999,931.947,494.3775614284259,348.72
37,37,26/2/2021,11:6:9:932,350.12,30.55,482.42,0.5479999999999999,931.947,494.3021862764845,348.72
38,38,26/2/2021,11:6:10:87,349.22,30.63,498.62,0.5479999999999999,931.797,494.23044811067916,348.72
39,39,26/2/2021,11:6:10:150,349.22,30.49,502.33,0.5479999999999999,931.797,494.16252746194107,348.72
