,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,3/3/2021,14:31:23:288,203.11,30.59,304.22,0.541,925.9960000000001,308.47030272226675,203.11
1,1,3/3/2021,14:31:23:382,202.61,30.51,300.82,0.541,925.9960000000001,308.75356140251625,203.11
2,2,3/3/2021,14:31:23:523,203.11,30.55,339.62,0.541,925.9960000000001,309.04101249007783,203.11
3,3,3/3/2021,14:31:23:601,203.11,30.55,300.82,0.541,925.9960000000001,309.33093191183565,203.11
4,4,3/3/2021,14:31:23:710,202.61,30.53,303.62,0.541,925.846,309.6217003926976,203.11
5,5,3/3/2021,14:31:23:820,203.11,30.57,342.92,0.541,925.846,309.9117691948818,203.11
6,6,3/3/2021,14:31:23:929,203.11,30.48,319.82,0.541,925.846,310.1996892426458,203.11
7,7,3/3/2021,14:31:24:38,203.11,30.48,335.02,0.541,925.846,310.4842343806452,203.11
8,8,3/3/2021,14:31:24:148,205.11,30.57,300.82,0.541,925.9960000000001,310.7644437081318,203.11
9,9,3/3/2021,14:31:24:273,202.61,30.55,303.02,0.541,925.9960000000001,311.03952302236166,203.11
10,10,3/3/2021,14:31:24:367,203.11,30.59,320.42,0.541,925.9960000000001,311.3087026316539,203.11
11,11,3/3/2021,14:31:24:522,202.61,30.63,320.12,0.541,925.846,311.5711949314377,203.11
12,12,3/3/2021,14:31:24:585,203.11,30.53,332.02,0.541,925.9960000000001,311.8262777005424,203.11
13,13,3/3/2021,14:31:24:695,203.61,30.53,303.02,0.541,925.9960000000001,312.0733764284304,203.11
14,14,3/3/2021,14:31:24:804,202.61,30.53,319.42,0.541,925.846,312.31204863439166,203.11
15,15,3/3/2021,14:31:24:913,202.61,30.46,318.52,0.541,925.9960000000001,312.54191954165816,203.11
16,16,3/3/2021,14:31:25:22,203.11,30.57,324.32,0.541,925.846,312.76267494181303,203.11
17,17,3/3/2021,14:31:25:132,203.11,30.46,318.22,0.541,925.9960000000001,312.9741047203972,203.11
18,18,3/3/2021,14:31:25:288,202.61,30.55,303.02,0.541,925.9960000000001,313.1761072164317,203.11
19,19,3/3/2021,14:31:25:350,202.61,30.57,304.52,0.541,925.846,313.3686141361953,203.11
20,20,3/3/2021,14:31:25:460,202.61,30.57,334.72,0.541,925.846,313.55151561386367,203.11
21,21,3/3/2021,14:31:25:585,202.61,30.53,300.82,0.541,925.846,313.7246854939262,203.11
22,22,3/3/2021,14:31:25:679,202.61,30.55,319.82,0.541,925.846,313.88803251347645,203.11
23,23,3/3/2021,14:31:25:789,202.61,30.51,304.22,0.541,925.9960000000001,314.04147741022143,203.11
24,24,3/3/2021,14:31:25:899,203.11,30.63,318.52,0.541,925.846,314.1849118466801,203.11
25,25,3/3/2021,14:31:26:23,202.61,30.57,319.12,0.541,925.846,314.3182021612223,203.11
26,26,3/3/2021,14:31:26:117,203.11,30.51,311.52,0.541,925.846,314.4412234145523,203.11
27,27,3/3/2021,14:31:26:289,203.61,30.59,302.02,0.541,925.9960000000001,314.5538624800362,203.11
28,28,3/3/2021,14:31:26:336,202.61,30.51,323.12,0.541,925.846,314.65597145263763,203.11
29,29,3/3/2021,14:31:26:445,202.61,30.57,319.12,0.541,925.846,314.74735964984365,203.11
30,30,3/3/2021,14:31:26:555,202.61,30.61,322.52,0.541,925.846,314.8278587351529,203.11
31,31,3/3/2021,14:31:26:664,203.11,30.55,329.52,0.541,925.846,314.89739103235456,203.11
32,32,3/3/2021,14:31:26:789,202.61,30.59,304.52,0.541,925.9960000000001,314.95599606799647,203.11
33,33,3/3/2021,14:31:26:883,202.61,30.57,318.22,0.541,925.9960000000001,315.0037956405175,203.11
34,34,3/3/2021,14:31:27:39,202.61,30.51,336.82,0.541,925.846,315.0409488178507,203.11
35,35,3/3/2021,14:31:27:102,202.11,30.55,310.62,0.541,925.846,315.06768766917264,203.11
36,36,3/3/2021,14:31:27:211,202.61,30.49,306.02,0.541,925.9960000000001,315.08434789521505,203.11
37,37,3/3/2021,14:31:27:321,202.61,30.61,339.32,0.54,925.846,315.09131554314644,203.11
38,38,3/3/2021,14:31:27:430,202.11,30.57,310.92,0.541,925.846,315.0890179652038,203.11
39,39,3/3/2021,14:31:27:539,202.61,30.61,340.82,0.54,925.846,315.0779934457874,203.11
40,40,3/3/2021,14:31:27:649,202.61,30.44,306.32,0.541,925.9960000000001,315.058933466765,203.11
41,41,3/3/2021,14:31:27:774,203.11,30.48,304.52,0.541,925.9960000000001,315.0326431764454,203.11
42,42,3/3/2021,14:31:27:868,202.61,30.53,318.52,0.541,925.9960000000001,314.999935365094,203.11
43,43,3/3/2021,14:31:28:24,203.11,30.57,319.12,0.541,925.846,314.96157010314084,203.11
44,44,3/3/2021,14:31:28:87,202.61,30.44,310.62,0.541,925.9960000000001,314.91829055418776,203.11
45,45,3/3/2021,14:31:28:196,202.61,30.55,306.62,0.541,925.846,314.87084288032105,203.11
46,46,3/3/2021,14:31:28:305,203.11,30.51,302.72,0.541,925.846,314.8199237538824,203.11
47,47,3/3/2021,14:31:28:415,202.61,30.57,300.82,0.541,925.9960000000001,314.7661080370655,203.11
48,48,3/3/2021,14:31:28:524,202.61,30.55,320.72,0.541,925.846,314.7098148487962,203.11
49,49,3/3/2021,14:31:28:634,202.61,30.57,324.32,0.54,925.846,314.65135931577544,203.11
50,50,3/3/2021,14:31:28:790,202.61,30.51,304.82,0.54,925.9960000000001,314.5910537168705,203.11
51,51,3/3/2021,14:31:28:852,202.61,30.53,312.12,0.541,925.9960000000001,314.52923628859884,203.11
