,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,3/3/2021,14:19:32:436,186.51,30.99,279.21,0.541,923.696,288.7127646889491,186.51
1,1,3/3/2021,14:19:32:530,186.51,31.08,297.81,0.541,923.696,288.99328846061894,186.51
2,2,3/3/2021,14:19:32:686,186.51,31.08,282.51,0.541,923.696,289.27683379176887,186.51
3,3,3/3/2021,14:19:32:748,188.51,31.02,300.52,0.541,923.696,289.56316807897684,186.51
4,4,3/3/2021,14:19:32:858,186.51,31.08,314.32,0.541,923.696,289.8520621066872,186.51
5,5,3/3/2021,14:19:32:967,186.01,31.14,296.91,0.541,923.696,290.14329630034837,186.51
6,6,3/3/2021,14:19:33:92,186.01,31.04,284.31,0.541,923.846,290.43666406491747,186.51
7,7,3/3/2021,14:19:33:186,187.01,31.08,281.31,0.541,923.696,290.7319661250544,186.51
8,8,3/3/2021,14:19:33:342,186.51,31.06,285.61,0.54,923.696,291.02900140990175,186.51
9,9,3/3/2021,14:19:33:404,186.51,31.06,278.51,0.54,923.696,291.32756195571494,186.51
10,10,3/3/2021,14:19:33:514,187.01,31.14,279.81,0.54,923.846,291.6274309633932,186.51
11,11,3/3/2021,14:19:33:623,186.51,31.0,279.51,0.54,923.846,291.9283810065669,186.51
12,12,3/3/2021,14:19:33:733,186.01,31.08,298.71,0.54,923.846,292.23017383538604,186.51
13,13,3/3/2021,14:19:33:842,187.01,31.04,298.71,0.54,923.846,292.5325647041185,186.51
14,14,3/3/2021,14:19:33:951,186.51,31.04,303.32,0.54,923.696,292.8353096644305,186.51
15,15,3/3/2021,14:19:34:92,186.51,31.04,296.91,0.54,923.696,293.13817086938656,186.51
16,16,3/3/2021,14:19:34:170,187.01,31.08,301.12,0.54,923.696,293.4409178781908,186.51
17,17,3/3/2021,14:19:34:280,187.01,31.08,299.61,0.54,923.696,293.74332705198435,186.51
18,18,3/3/2021,14:19:34:389,187.01,31.06,318.22,0.54,923.696,294.04518231166014,186.51
19,19,3/3/2021,14:19:34:498,186.51,31.06,288.31,0.54,923.696,294.3462777401991,186.51
20,20,3/3/2021,14:19:34:608,186.51,31.06,285.31,0.54,923.696,294.64641646487814,186.51
21,21,3/3/2021,14:19:34:717,187.51,31.1,298.71,0.54,923.696,294.9454036895612,186.51
22,22,3/3/2021,14:19:34:842,187.01,31.02,299.01,0.54,923.696,295.24304226291787,186.51
23,23,3/3/2021,14:19:34:936,186.01,31.18,317.62,0.539,923.546,295.5391360700561,186.51
24,24,3/3/2021,14:19:35:107,187.01,31.02,298.71,0.54,923.696,295.83349657077116,186.51
25,25,3/3/2021,14:19:35:154,186.51,31.04,301.72,0.54,923.546,296.12594589815103,186.51
26,26,3/3/2021,14:19:35:264,186.01,31.08,293.21,0.54,923.696,296.4163143300616,186.51
