,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,4/3/2021,9:51:54:471,193.41,30.63,288.61,0.54,924.346,295.57047404369143,193.41
1,1,4/3/2021,9:51:54:549,193.41,30.61,288.91,0.54,924.346,295.9648419560477,193.41
2,2,4/3/2021,9:51:54:705,193.41,30.59,317.32,0.54,924.196,296.3611463555479,193.41
3,3,4/3/2021,9:51:54:768,192.91,30.69,321.02,0.54,924.346,296.7589427702895,193.41
4,4,4/3/2021,9:51:54:877,193.41,30.73,288.91,0.54,924.346,297.1578031934202,193.41
5,5,4/3/2021,9:51:54:986,193.41,30.65,327.42,0.54,924.196,297.55731974100485,193.41
6,6,4/3/2021,9:51:55:95,193.41,30.61,288.31,0.54,924.346,297.95710089779146,193.41
7,7,4/3/2021,9:51:55:205,193.41,30.65,308.82,0.54,924.346,298.35676821270926,193.41
8,8,4/3/2021,9:51:55:314,194.31,30.63,298.41,0.54,924.346,298.7559519392571,193.41
9,9,4/3/2021,9:51:55:455,192.91,30.75,295.31,0.539,924.346,299.15428681282515,193.41
10,10,4/3/2021,9:51:55:533,193.41,30.65,292.01,0.539,924.346,299.5514082307807,193.41
11,11,4/3/2021,9:51:55:642,193.41,30.67,307.52,0.539,924.346,299.94694823277234,193.41
12,12,4/3/2021,9:51:55:752,192.91,30.61,307.52,0.539,924.196,300.3405367013023,193.41
13,13,4/3/2021,9:51:55:861,193.41,30.61,307.82,0.539,924.196,300.7318078547073,193.41
14,14,4/3/2021,9:51:55:970,193.41,30.69,308.22,0.539,924.196,301.1204052082081,193.41
15,15,4/3/2021,9:51:56:80,193.41,30.61,301.12,0.539,924.346,301.5059820835964,193.41
16,16,4/3/2021,9:51:56:204,192.91,30.69,317.32,0.5379999999999999,924.196,301.88820024932784,193.41
17,17,4/3/2021,9:51:56:298,194.31,30.59,294.41,0.5379999999999999,924.346,302.26672946370695,193.41
18,18,4/3/2021,9:51:56:454,192.91,30.61,328.92,0.5379999999999999,924.346,302.641248021718,193.41
19,19,4/3/2021,9:51:56:517,192.91,30.65,311.22,0.5379999999999999,924.346,303.0114459243112,193.41
20,20,4/3/2021,9:51:56:626,192.91,30.65,309.72,0.539,924.346,303.3770297737897,193.41
21,21,4/3/2021,9:51:56:736,193.41,30.63,309.12,0.539,924.346,303.7377224441939,193.41
22,22,4/3/2021,9:51:56:845,192.91,30.59,308.82,0.539,924.346,304.09325813938096,193.41
23,23,4/3/2021,9:51:56:970,192.91,30.57,328.92,0.539,924.346,304.44338109240044,193.41
24,24,4/3/2021,9:51:57:64,192.91,30.61,311.82,0.539,924.346,304.78785033083597,193.41
25,25,4/3/2021,9:51:57:220,193.81,30.57,308.22,0.539,924.346,305.1264434587113,193.41
26,26,4/3/2021,9:51:57:283,193.41,30.67,310.92,0.539,924.346,305.4589530113781,193.41
27,27,4/3/2021,9:51:57:392,193.81,30.61,306.02,0.539,924.346,305.7851800835653,193.41
28,28,4/3/2021,9:51:57:501,193.41,30.63,291.11,0.54,924.346,306.10492926891163,193.41
29,29,4/3/2021,9:51:57:610,193.81,30.61,307.52,0.54,924.346,306.4180021749023,193.41
30,30,4/3/2021,9:51:57:720,193.81,30.63,317.32,0.54,924.346,306.72419411513044,193.41
31,31,4/3/2021,9:51:57:829,193.41,30.69,315.82,0.54,924.346,307.0233002239168,193.41
32,32,4/3/2021,9:51:57:954,193.81,30.59,314.02,0.54,924.346,307.31512434495085,193.41
33,33,4/3/2021,9:51:58:48,193.81,30.59,311.52,0.54,924.346,307.5994819802508,193.41
34,34,4/3/2021,9:51:58:220,193.81,30.65,308.82,0.54,924.346,307.87619805335584,193.41
35,35,4/3/2021,9:51:58:267,194.31,30.63,328.32,0.54,924.196,308.14510511490874,193.41
36,36,4/3/2021,9:51:58:376,193.81,30.65,305.42,0.54,924.346,308.40604542398086,193.41
37,37,4/3/2021,9:51:58:485,193.81,30.63,327.42,0.54,924.346,308.6588736834162,193.41
38,38,4/3/2021,9:51:58:595,193.81,30.63,317.92,0.54,924.346,308.90345816211425,193.41
39,39,4/3/2021,9:51:58:704,193.81,30.57,326.82,0.539,924.346,309.1396831510505,193.41
40,40,4/3/2021,9:51:58:814,193.81,30.73,325.22,0.539,924.346,309.36745246866315,193.41
41,41,4/3/2021,9:51:58:954,193.41,30.57,323.42,0.539,924.346,309.58669179436225,193.41
42,42,4/3/2021,9:51:59:32,193.81,30.67,324.32,0.539,924.346,309.7973492703572,193.41
43,43,4/3/2021,9:51:59:142,193.41,30.59,320.12,0.539,924.346,309.99939436273036,193.41
44,44,4/3/2021,9:51:59:251,194.31,30.57,318.52,0.539,924.346,310.1928155509605,193.41
