,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,5/3/2021,11:7:36:651,207.51,30.51,323.72,0.544,927.096,325.7164507521694,207.51
1,1,5/3/2021,11:7:36:714,208.01,30.57,327.72,0.544,927.096,325.7323992774728,207.51
2,2,5/3/2021,11:7:36:823,208.01,30.44,329.52,0.544,927.096,325.748359240999,207.51
3,3,5/3/2021,11:7:36:932,208.01,30.51,332.32,0.544,926.946,325.76432957330553,207.51
4,4,5/3/2021,11:7:37:42,208.01,30.51,329.22,0.544,926.946,325.7803092321727,207.51
5,5,5/3/2021,11:7:37:151,208.01,30.55,310.02,0.544,927.096,325.79629720080106,207.51
6,6,5/3/2021,11:7:37:261,207.51,30.57,313.02,0.544,926.946,325.8122924505832,207.51
7,7,5/3/2021,11:7:37:385,207.51,30.55,312.12,0.544,926.946,325.8282938878443,207.51
8,8,5/3/2021,11:7:37:479,208.01,30.49,318.52,0.544,926.946,325.8443003261013,207.51
9,9,5/3/2021,11:7:37:651,209.51,30.55,324.02,0.5429999999999999,926.946,325.8603104945891,207.51
10,10,5/3/2021,11:7:37:698,208.51,30.55,307.22,0.5429999999999999,926.946,325.8763230582382,207.51
11,11,5/3/2021,11:7:37:807,208.01,30.48,330.42,0.542,926.946,325.8923366239578,207.51
12,12,5/3/2021,11:7:37:948,208.01,30.51,329.52,0.542,926.946,325.9083497496296,207.51
13,13,5/3/2021,11:7:38:26,207.51,30.51,329.52,0.542,926.946,325.9243609785264,207.51
14,14,5/3/2021,11:7:38:151,209.01,30.55,329.82,0.542,926.946,325.9403688723292,207.51
15,15,5/3/2021,11:7:38:245,206.11,30.48,313.32,0.542,926.946,325.95637201301673,207.51
16,16,5/3/2021,11:7:38:401,208.01,30.51,349.42,0.542,926.946,325.97236898919243,207.51
17,17,5/3/2021,11:7:38:463,207.01,30.63,318.52,0.542,926.946,325.9883584033022,207.51
18,18,5/3/2021,11:7:38:573,207.51,30.49,321.62,0.542,926.946,326.0043388857228,207.51
19,19,5/3/2021,11:7:38:682,207.51,30.49,324.32,0.542,926.946,326.020309074826,207.51
20,20,5/3/2021,11:7:38:791,207.51,30.49,327.42,0.542,926.946,326.03626759115383,207.51
21,21,5/3/2021,11:7:38:901,207.51,30.57,326.52,0.542,926.946,326.0522130415987,207.51
22,22,5/3/2021,11:7:39:10,207.51,30.55,346.02,0.542,926.946,326.06814404190516,207.51
23,23,5/3/2021,11:7:39:135,208.01,30.53,310.32,0.542,926.946,326.08405924085355,207.51
24,24,5/3/2021,11:7:39:229,208.51,30.59,345.12,0.542,926.746,326.0999573241131,207.51
25,25,5/3/2021,11:7:39:385,208.01,30.61,315.82,0.542,926.946,326.11583700141125,207.51
26,26,5/3/2021,11:7:39:448,207.51,30.53,318.22,0.542,926.946,326.1316969927204,207.51
27,27,5/3/2021,11:7:39:557,208.51,30.55,321.02,0.542,927.096,326.14753600014393,207.51
28,28,5/3/2021,11:7:39:666,207.51,30.57,324.62,0.542,926.946,326.16335268293375,207.51
29,29,5/3/2021,11:7:39:776,207.51,30.49,327.42,0.542,926.946,326.17914566405517,207.51
30,30,5/3/2021,11:7:39:885,208.01,30.49,328.62,0.542,926.946,326.1949135523152,207.51
31,31,5/3/2021,11:7:39:994,208.01,30.48,325.92,0.542,926.946,326.21065495911665,207.51
32,32,5/3/2021,11:7:40:135,207.51,30.53,321.92,0.542,926.946,326.22636850170494,207.51
33,33,5/3/2021,11:7:40:213,208.51,30.44,326.22,0.542,927.096,326.2420527935634,207.51
34,34,5/3/2021,11:7:40:322,207.51,30.61,326.52,0.542,927.096,326.2577064367706,207.51
35,35,5/3/2021,11:7:40:432,207.51,30.51,326.52,0.542,926.946,326.2733280257625,207.51
36,36,5/3/2021,11:7:40:541,209.51,30.59,321.32,0.542,927.096,326.2889161517955,207.51
