,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,5/3/2021,11:37:22:537,210.91,30.75,353.62,0.5429999999999999,927.696,352.96463781472426,210.91
1,1,5/3/2021,11:37:22:584,211.91,30.75,340.52,0.5429999999999999,927.696,352.79063348316384,210.91
2,2,5/3/2021,11:37:22:693,210.51,30.61,312.42,0.5429999999999999,927.696,352.6164787164311,210.91
3,3,5/3/2021,11:37:22:802,214.81,30.77,330.42,0.5429999999999999,927.696,352.44218938281983,210.91
4,4,5/3/2021,11:37:22:912,210.91,30.73,349.72,0.5429999999999999,927.696,352.26778106252465,210.91
5,5,5/3/2021,11:37:23:21,210.91,30.67,346.92,0.5429999999999999,927.696,352.0932690928652,210.91
6,6,5/3/2021,11:37:23:131,211.41,30.69,347.82,0.5429999999999999,927.696,351.9186686835968,210.91
7,7,5/3/2021,11:37:23:255,210.51,30.63,315.22,0.5429999999999999,927.696,351.74399495645446,210.91
8,8,5/3/2021,11:37:23:350,210.51,30.61,353.32,0.5429999999999999,927.696,351.5692628875657,210.91
9,9,5/3/2021,11:37:23:521,210.51,30.73,332.32,0.5429999999999999,927.696,351.3944872615305,210.91
10,10,5/3/2021,11:37:23:568,210.51,30.77,336.22,0.5429999999999999,927.696,351.2196826879362,210.91
11,11,5/3/2021,11:37:23:678,210.91,30.75,332.92,0.5429999999999999,927.846,351.0448636080974,210.91
12,12,5/3/2021,11:37:23:787,210.91,30.63,353.32,0.5429999999999999,927.696,350.8700442855828,210.91
13,13,5/3/2021,11:37:23:896,211.41,30.73,315.22,0.5429999999999999,927.846,350.69523882219966,210.91
14,14,5/3/2021,11:37:24:21,210.51,30.73,344.82,0.542,927.696,350.5204611527636,210.91
15,15,5/3/2021,11:37:24:115,211.41,30.61,341.72,0.5429999999999999,927.696,350.3457250206996,210.91
16,16,5/3/2021,11:37:24:255,210.91,30.79,328.62,0.5429999999999999,927.696,350.171043995389,210.91
17,17,5/3/2021,11:37:24:334,211.91,30.71,336.22,0.5429999999999999,927.696,349.9964314870933,210.91
18,18,5/3/2021,11:37:24:443,210.91,30.75,332.92,0.5429999999999999,927.696,349.82190072308265,210.91
19,19,5/3/2021,11:37:24:552,210.91,30.65,350.02,0.5429999999999999,927.696,349.6474647452077,210.91
20,20,5/3/2021,11:37:24:662,210.51,30.69,350.62,0.5429999999999999,927.696,349.47313646239905,210.91
21,21,5/3/2021,11:37:24:771,210.51,30.71,320.42,0.5429999999999999,927.696,349.29892870521377,210.91
22,22,5/3/2021,11:37:24:880,211.41,30.71,333.22,0.5429999999999999,927.696,349.12485419817193,210.91
23,23,5/3/2021,11:37:25:5,210.51,30.67,350.92,0.5429999999999999,927.696,348.95092549155606,210.91
24,24,5/3/2021,11:37:25:99,211.41,30.77,333.52,0.5429999999999999,927.696,348.7771549710988,210.91
25,25,5/3/2021,11:37:25:271,210.51,30.77,329.82,0.5429999999999999,927.696,348.60355490092894,210.91
26,26,5/3/2021,11:37:25:318,211.41,30.75,332.62,0.5429999999999999,927.696,348.43013740082694,210.91
27,27,5/3/2021,11:37:25:427,210.91,30.73,331.02,0.5429999999999999,927.696,348.25691439945916,210.91
28,28,5/3/2021,11:37:25:536,210.51,30.81,348.42,0.5429999999999999,927.696,348.0838976331466,210.91
29,29,5/3/2021,11:37:25:646,210.91,30.79,348.42,0.5429999999999999,927.696,347.91109869910764,210.91
30,30,5/3/2021,11:37:25:755,210.91,30.77,347.82,0.5429999999999999,927.696,347.73852913347383,210.91
31,31,5/3/2021,11:37:25:864,211.41,30.71,348.42,0.5429999999999999,927.696,347.56620046354266,210.91
32,32,5/3/2021,11:37:26:21,211.41,30.71,339.62,0.5429999999999999,927.696,347.39412421547644,210.91
33,33,5/3/2021,11:37:26:83,210.91,30.73,334.72,0.5429999999999999,927.696,347.22231188691774,210.91
34,34,5/3/2021,11:37:26:193,210.91,30.67,314.02,0.5429999999999999,927.696,347.05077487989996,210.91
35,35,5/3/2021,11:37:26:302,210.01,30.69,350.32,0.5429999999999999,927.696,346.87952441920714,210.91
36,36,5/3/2021,11:37:26:412,211.91,30.69,331.02,0.5429999999999999,927.696,346.70857153422384,210.91
37,37,5/3/2021,11:37:26:521,212.41,30.75,330.42,0.5429999999999999,927.696,346.53792710063726,210.91
38,38,5/3/2021,11:37:26:631,210.51,30.75,349.12,0.5429999999999999,927.696,346.36760186145136,210.91
39,39,5/3/2021,11:37:26:755,210.91,30.75,349.12,0.5429999999999999,927.696,346.1976064520126,210.91
