,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,2/3/2021,11:32:6:323,197.81,31.12,337.52,0.537,925.546,336.11082302566126,197.81
1,1,2/3/2021,11:32:6:448,197.81,31.18,322.22,0.537,925.696,335.48796594931486,197.81
2,2,2/3/2021,11:32:6:526,198.71,31.14,335.92,0.537,925.546,334.86675131199013,197.81
3,3,2/3/2021,11:32:6:636,198.71,31.08,317.62,0.537,925.696,334.24814214202416,197.81
4,4,2/3/2021,11:32:6:761,197.81,31.16,319.12,0.537,925.696,333.6330801512429,197.81
5,5,2/3/2021,11:32:6:855,198.21,31.14,299.61,0.537,925.696,333.02247326581187,197.81
6,6,2/3/2021,11:32:6:964,197.31,31.14,319.12,0.5379999999999999,925.696,332.4171788933299,197.81
7,7,2/3/2021,11:32:7:74,198.21,31.08,318.52,0.5379999999999999,925.696,331.8179968115562,197.81
8,8,2/3/2021,11:32:7:214,198.21,31.16,320.72,0.5379999999999999,925.546,331.22567760236814,197.81
9,9,2/3/2021,11:32:7:292,197.81,31.18,316.72,0.5379999999999999,925.696,330.64093434346086,197.81
10,10,2/3/2021,11:32:7:464,197.81,31.16,304.52,0.537,925.696,330.06444456195504,197.81
11,11,2/3/2021,11:32:7:511,197.81,31.12,310.92,0.537,925.696,329.4968419942204,197.81
12,12,2/3/2021,11:32:7:620,197.31,31.06,339.92,0.537,925.546,328.93871267555426,197.81
13,13,2/3/2021,11:32:7:729,196.81,31.18,316.42,0.537,925.696,328.390609645612,197.81
14,14,2/3/2021,11:32:7:839,197.81,31.1,340.82,0.537,925.546,327.853074325102,197.81
15,15,2/3/2021,11:32:7:948,197.81,31.08,322.22,0.537,925.546,327.32664818292665,197.81
16,16,2/3/2021,11:32:8:58,197.31,31.26,315.22,0.5379999999999999,925.546,326.8118741862368,197.81
17,17,2/3/2021,11:32:8:198,197.81,31.12,308.22,0.5379999999999999,925.696,326.30928599084905,197.81
18,18,2/3/2021,11:32:8:276,197.81,31.14,302.02,0.5379999999999999,925.546,325.81938804185216,197.81
19,19,2/3/2021,11:32:8:386,197.31,31.1,298.71,0.5379999999999999,925.696,325.34263724218243,197.81
20,20,2/3/2021,11:32:8:495,197.81,31.18,299.91,0.5379999999999999,925.696,324.8794300642093,197.81
21,21,2/3/2021,11:32:8:605,197.81,31.1,318.52,0.5379999999999999,925.546,324.43009907058405,197.81
22,22,2/3/2021,11:32:8:714,197.81,31.18,320.42,0.5379999999999999,925.696,323.9949249766658,197.81
23,23,2/3/2021,11:32:8:823,197.81,31.1,318.52,0.537,925.546,323.57415791106155,197.81
24,24,2/3/2021,11:32:8:948,197.31,31.16,306.92,0.5379999999999999,925.696,323.1680300333845,197.81
25,25,2/3/2021,11:32:9:42,197.81,31.14,338.12,0.537,925.546,322.7767566037864,197.81
26,26,2/3/2021,11:32:9:214,197.81,31.14,321.92,0.537,925.546,322.4005426959938,197.81
27,27,2/3/2021,11:32:9:261,197.81,31.18,299.91,0.537,925.696,322.03959303985613,197.81
