,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,2/3/2021,13:45:20:287,196.31,31.12,325.22,0.54,926.446,327.23842716292233,196.31
1,1,2/3/2021,13:45:20:381,197.81,31.24,332.92,0.54,926.446,327.10320415452117,196.31
2,2,2/3/2021,13:45:20:490,197.81,31.22,310.92,0.54,926.446,326.96816447565226,196.31
3,3,2/3/2021,13:45:20:599,197.81,31.08,310.62,0.54,926.596,326.83332393436297,196.31
4,4,2/3/2021,13:45:20:708,196.81,31.22,296.31,0.54,926.596,326.69869821870714,196.31
5,5,2/3/2021,13:45:20:818,197.31,31.28,308.52,0.54,926.446,326.56430280867863,196.31
6,6,2/3/2021,13:45:20:974,197.31,31.2,316.72,0.54,926.446,326.4301529410729,196.31
7,7,2/3/2021,13:45:21:37,197.81,31.22,297.51,0.54,926.596,326.2962636316554,196.31
8,8,2/3/2021,13:45:21:146,196.81,31.18,330.12,0.54,926.446,326.1626497045093,196.31
9,9,2/3/2021,13:45:21:255,197.31,31.2,303.02,0.54,926.446,326.02932581686264,196.31
10,10,2/3/2021,13:45:21:365,197.31,31.16,332.62,0.54,926.446,325.8963064945739,196.31
11,11,2/3/2021,13:45:21:474,198.21,31.16,297.51,0.541,926.446,325.763606156129,196.31
12,12,2/3/2021,13:45:21:584,198.21,31.16,332.92,0.54,926.446,325.63123911187176,196.31
13,13,2/3/2021,13:45:21:724,197.31,31.16,296.61,0.541,926.596,325.49921955561285,196.31
14,14,2/3/2021,13:45:21:802,197.81,31.18,312.72,0.541,926.446,325.36756154673736,196.31
15,15,2/3/2021,13:45:21:958,196.81,31.04,314.62,0.541,926.446,325.23627897998887,196.31
16,16,2/3/2021,13:45:22:21,197.31,31.2,296.91,0.541,926.446,325.1053855705495,196.31
17,17,2/3/2021,13:45:22:130,197.31,31.08,293.51,0.541,926.446,324.9748948310607,196.31
18,18,2/3/2021,13:45:22:240,197.31,31.24,292.01,0.541,926.446,324.8448200042868,196.31
19,19,2/3/2021,13:45:22:349,197.81,31.14,311.22,0.541,926.446,324.71517401093934,196.31
20,20,2/3/2021,13:45:22:458,197.81,31.24,315.52,0.54,926.446,324.5859694799157,196.31
21,21,2/3/2021,13:45:22:568,201.21,31.18,311.82,0.541,926.446,324.457218833871,196.31
22,22,2/3/2021,13:45:22:724,197.81,31.14,309.72,0.54,926.446,324.3289343500366,196.31
23,23,2/3/2021,13:45:22:786,197.31,31.22,312.42,0.54,926.446,324.20112816766874,196.31
24,24,2/3/2021,13:45:22:896,197.31,31.22,301.12,0.541,926.446,324.07381227286413,196.31
25,25,2/3/2021,13:45:23:5,196.81,30.97,296.91,0.541,926.446,323.94699846807225,196.31
26,26,2/3/2021,13:45:23:114,197.31,31.22,293.51,0.541,926.446,323.8206983176215,196.31
27,27,2/3/2021,13:45:23:224,197.31,31.26,292.31,0.541,926.446,323.69492309097086,196.31
28,28,2/3/2021,13:45:23:333,196.81,31.14,293.81,0.54,926.446,323.56968372760343,196.31
29,29,2/3/2021,13:45:23:473,197.31,31.26,314.32,0.54,926.446,323.4449908395014,196.31
30,30,2/3/2021,13:45:23:552,197.81,31.3,292.61,0.54,926.446,323.3208547556348,196.31
31,31,2/3/2021,13:45:23:723,196.81,31.2,310.02,0.54,926.596,323.197285564542,196.31
32,32,2/3/2021,13:45:23:771,197.81,31.26,292.31,0.54,926.446,323.07429311940035,196.31
33,33,2/3/2021,13:45:23:880,197.31,31.16,315.82,0.54,926.446,322.9518870329365,196.31
34,34,2/3/2021,13:45:23:989,196.81,31.26,297.81,0.54,926.446,322.83007669128534,196.31
35,35,2/3/2021,13:45:24:99,197.31,31.16,294.41,0.54,926.446,322.708871263961,196.31
36,36,2/3/2021,13:45:24:208,195.31,31.18,292.91,0.541,926.596,322.58827967222925,196.31
37,37,2/3/2021,13:45:24:317,198.21,31.24,294.41,0.541,926.446,322.4683105387302,196.31
38,38,2/3/2021,13:45:24:458,197.31,31.22,308.22,0.541,926.596,322.3489721741801,196.31
39,39,2/3/2021,13:45:24:536,197.31,31.14,294.71,0.541,926.446,322.2302726078488,196.31
40,40,2/3/2021,13:45:24:645,196.81,31.16,321.02,0.54,926.446,322.1122196309246,196.31
41,41,2/3/2021,13:45:24:755,196.81,31.2,295.61,0.54,926.446,321.99482083696955,196.31
42,42,2/3/2021,13:45:24:864,196.81,31.26,325.62,0.54,926.446,321.87808365566536,196.31
43,43,2/3/2021,13:45:24:973,197.31,31.22,292.61,0.54,926.446,321.76201537267013,196.31
44,44,2/3/2021,13:45:25:83,196.81,31.22,330.12,0.54,926.446,321.64662313812187,196.31
45,45,2/3/2021,13:45:25:208,197.31,31.16,292.01,0.54,926.446,321.53191397393766,196.31
46,46,2/3/2021,13:45:25:302,197.31,31.22,293.81,0.54,926.446,321.4178947556578,196.31
47,47,2/3/2021,13:45:25:473,197.31,31.22,334.42,0.54,926.446,321.3045721687667,196.31
48,48,2/3/2021,13:45:25:520,197.31,31.24,295.01,0.54,926.596,321.1919527232971,196.31
49,49,2/3/2021,13:45:25:630,197.31,31.18,296.61,0.54,926.446,321.0800427950697,196.31
50,50,2/3/2021,13:45:25:739,197.81,31.22,310.32,0.54,926.446,320.9688485902421,196.31
51,51,2/3/2021,13:45:25:848,196.81,31.28,310.92,0.54,926.446,320.8583761099345,196.31
52,52,2/3/2021,13:45:25:973,196.81,31.22,316.42,0.54,926.446,320.748631191756,196.31
53,53,2/3/2021,13:45:26:67,197.31,31.06,321.62,0.54,926.446,320.6396195725253,196.31
54,54,2/3/2021,13:45:26:223,196.81,31.26,293.21,0.54,926.446,320.53134691875306,196.31
55,55,2/3/2021,13:45:26:286,197.31,31.16,312.12,0.54,926.446,320.42381879902786,196.31
56,56,2/3/2021,13:45:26:395,198.21,31.2,293.81,0.54,926.446,320.3170406240503,196.31
57,57,2/3/2021,13:45:26:505,196.31,31.24,295.01,0.54,926.446,320.21101760061737,196.31
58,58,2/3/2021,13:45:26:614,196.81,31.14,296.61,0.541,926.446,320.1057546932027,196.31
59,59,2/3/2021,13:45:26:723,197.31,31.2,297.21,0.541,926.446,320.00125659687313,196.31
60,60,2/3/2021,13:45:26:833,196.81,31.26,310.02,0.541,926.446,319.8975277464382,196.31
61,61,2/3/2021,13:45:26:957,197.31,31.2,310.32,0.541,926.446,319.79457236184,196.31
62,62,2/3/2021,13:45:27:51,196.81,31.16,307.82,0.541,926.446,319.69239450538663,196.31
63,63,2/3/2021,13:45:27:223,197.81,31.22,293.21,0.541,926.446,319.5909981033699,196.31
64,64,2/3/2021,13:45:27:270,197.31,31.3,310.62,0.541,926.446,319.4903869176066,196.31
65,65,2/3/2021,13:45:27:379,197.31,31.22,330.72,0.54,926.446,319.3905645412125,196.31
66,66,2/3/2021,13:45:27:489,196.81,31.28,311.52,0.54,926.446,319.29153447352974,196.31
67,67,2/3/2021,13:45:27:598,198.71,31.14,295.61,0.541,926.596,319.19330017968485,196.31
68,68,2/3/2021,13:45:27:707,197.31,31.3,310.32,0.541,926.446,319.09586504497094,196.31
69,69,2/3/2021,13:45:27:817,197.31,31.26,295.91,0.541,926.446,318.99923230004,196.31
70,70,2/3/2021,13:45:27:957,196.81,31.26,314.32,0.54,926.446,318.9034049981767,196.31
71,71,2/3/2021,13:45:28:35,196.81,31.16,301.12,0.541,926.446,318.80838602830397,196.31
72,72,2/3/2021,13:45:28:145,196.31,31.12,312.42,0.54,926.446,318.71417813440587,196.31
73,73,2/3/2021,13:45:28:254,197.31,31.18,299.61,0.541,926.446,318.62078392535125,196.31
74,74,2/3/2021,13:45:28:364,196.31,31.24,315.52,0.541,926.446,318.52820587460275,196.31
75,75,2/3/2021,13:45:28:473,197.31,31.28,295.61,0.541,926.446,318.43644632047386,196.31
76,76,2/3/2021,13:45:28:582,196.31,31.16,334.72,0.541,926.446,318.3455074777355,196.31
77,77,2/3/2021,13:45:28:707,196.31,31.18,296.31,0.541,926.596,318.2553914734615,196.31
78,78,2/3/2021,13:45:28:801,197.31,31.24,296.61,0.541,926.446,318.16610036044955,196.31
79,79,2/3/2021,13:45:28:972,196.81,31.16,307.22,0.541,926.446,318.07763606036895,196.31
80,80,2/3/2021,13:45:29:20,196.31,31.2,296.61,0.541,926.446,317.99000030775915,196.31
81,81,2/3/2021,13:45:29:129,196.81,31.26,312.42,0.541,926.446,317.9031946508997,196.31
82,82,2/3/2021,13:45:29:238,197.31,31.2,296.31,0.541,926.446,317.817220471269,196.31
83,83,2/3/2021,13:45:29:348,196.81,31.26,312.42,0.541,926.446,317.7320789948807,196.31
84,84,2/3/2021,13:45:29:457,197.31,31.16,314.62,0.541,926.446,317.64777130918617,196.31
85,85,2/3/2021,13:45:29:566,196.81,31.26,332.62,0.541,926.446,317.56429841676584,196.31
86,86,2/3/2021,13:45:29:707,196.81,31.3,295.01,0.541,926.446,317.4816613038716,196.31
87,87,2/3/2021,13:45:29:785,196.81,31.24,317.92,0.541,926.446,317.3998609451601,196.31
88,88,2/3/2021,13:45:29:894,196.81,31.2,310.02,0.541,926.446,317.3188982569027,196.31
89,89,2/3/2021,13:45:30:4,197.31,31.24,309.42,0.541,926.446,317.23877407875517,196.31
90,90,2/3/2021,13:45:30:113,197.31,31.24,296.61,0.541,926.446,317.1594891686247,196.31
91,91,2/3/2021,13:45:30:222,196.31,31.24,299.61,0.541,926.446,317.08104416091834,196.31
92,92,2/3/2021,13:45:30:332,196.81,31.18,295.61,0.541,926.446,317.00343951165513,196.31
93,93,2/3/2021,13:45:30:456,196.81,31.18,332.92,0.54,926.446,316.9266754905212,196.31
94,94,2/3/2021,13:45:30:550,197.31,31.26,294.11,0.54,926.446,316.85075224207884,196.31
95,95,2/3/2021,13:45:30:706,200.71,31.2,293.21,0.54,926.446,316.7756698251921,196.31
96,96,2/3/2021,13:45:30:769,196.81,31.14,302.72,0.54,926.446,316.70142815630345,196.31
97,97,2/3/2021,13:45:30:879,197.31,31.18,314.92,0.54,926.446,316.62802695877554,196.31
98,98,2/3/2021,13:45:30:988,197.31,31.24,314.62,0.54,926.446,316.55546580822886,196.31
99,99,2/3/2021,13:45:31:97,197.31,31.14,309.12,0.54,926.446,316.48374420640187,196.31
100,100,2/3/2021,13:45:31:206,197.31,31.26,304.52,0.54,926.446,316.41286160304617,196.31
101,101,2/3/2021,13:45:31:316,197.31,31.14,299.31,0.541,926.446,316.3428173645944,196.31
102,102,2/3/2021,13:45:31:456,197.31,31.32,334.72,0.541,926.446,316.2736107500637,196.31
103,103,2/3/2021,13:45:31:534,197.81,31.24,293.51,0.541,926.446,316.20524094374593,196.31
104,104,2/3/2021,13:45:31:644,197.31,31.24,330.72,0.541,926.446,316.13770709783887,196.31
105,105,2/3/2021,13:45:31:753,197.31,31.18,293.21,0.541,926.446,316.07100833356924,196.31
106,106,2/3/2021,13:45:31:863,196.81,31.2,330.42,0.541,926.446,316.00514372856554,196.31
107,107,2/3/2021,13:45:31:972,197.31,31.24,299.01,0.541,926.596,315.94011231760965,196.31
108,108,2/3/2021,13:45:32:81,197.31,31.22,333.22,0.541,926.446,315.87591310676885,196.31
109,109,2/3/2021,13:45:32:206,196.81,31.26,295.31,0.541,926.446,315.81254508949064,196.31
110,110,2/3/2021,13:45:32:300,198.21,31.32,305.72,0.541,926.596,315.75000723013244,196.31
111,111,2/3/2021,13:45:32:472,197.81,31.37,293.21,0.541,926.446,315.6882983992119,196.31
112,112,2/3/2021,13:45:32:519,196.81,31.14,296.61,0.541,926.446,315.6274173025093,196.31
113,113,2/3/2021,13:45:32:628,196.81,31.12,293.81,0.541,926.596,315.5673624391096,196.31
114,114,2/3/2021,13:45:32:737,196.81,31.24,292.01,0.541,926.596,315.50813207937665,196.31
115,115,2/3/2021,13:45:32:847,196.81,31.22,312.12,0.541,926.446,315.44972426365797,196.31
116,116,2/3/2021,13:45:32:972,197.31,31.22,313.02,0.541,926.446,315.39213684716304,196.31
117,117,2/3/2021,13:45:33:65,196.81,31.22,330.42,0.541,926.446,315.3353675934005,196.31
118,118,2/3/2021,13:45:33:221,197.81,31.24,296.91,0.541,926.446,315.27941425947967,196.31
119,119,2/3/2021,13:45:33:284,197.31,31.22,334.12,0.541,926.446,315.22427461879386,196.31
120,120,2/3/2021,13:45:33:393,196.81,31.22,309.42,0.541,926.446,315.169946457126,196.31
121,121,2/3/2021,13:45:33:507,197.31,31.28,304.22,0.541,926.596,315.11642757511754,196.31
122,122,2/3/2021,13:45:33:617,197.81,31.18,299.61,0.541,926.596,315.06371574781207,196.31
123,123,2/3/2021,13:45:33:726,197.31,31.24,312.42,0.541,926.596,315.01180865590436,196.31
124,124,2/3/2021,13:45:33:836,196.81,31.2,293.51,0.541,926.596,314.96070385756286,196.31
125,125,2/3/2021,13:45:33:960,197.31,31.2,314.92,0.541,926.446,314.9103987883031,196.31
