,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,2/3/2021,11:20:36:277,185.11,31.33,282.51,0.532,923.396,275.302167407193,185.11
1,1,2/3/2021,11:20:36:365,185.11,31.33,280.41,0.532,923.396,275.9420634741504,185.11
2,2,2/3/2021,11:20:36:505,185.11,31.39,281.01,0.532,923.396,276.5795851080001,185.11
3,3,2/3/2021,11:20:36:583,185.51,31.37,281.61,0.532,923.396,277.21409189282554,185.11
4,4,2/3/2021,11:20:36:693,186.01,31.35,299.01,0.532,923.396,277.8449611699438,185.11
5,5,2/3/2021,11:20:36:802,185.11,31.35,284.01,0.532,923.396,278.47159753470896,185.11
6,6,2/3/2021,11:20:36:911,185.11,31.37,282.51,0.532,923.396,279.0934398699862,185.11
7,7,2/3/2021,11:20:37:21,185.11,31.37,296.61,0.532,923.396,279.70995707987663,185.11
8,8,2/3/2021,11:20:37:130,185.11,31.32,285.61,0.532,923.396,280.3206449186944,185.11
9,9,2/3/2021,11:20:37:255,185.11,31.32,313.62,0.532,923.396,280.9250334052533,185.11
10,10,2/3/2021,11:20:37:349,185.11,31.35,301.72,0.532,923.396,281.52270239252704,185.11
11,11,2/3/2021,11:20:37:520,184.61,31.41,279.81,0.532,923.396,282.11329315230506,185.11
12,12,2/3/2021,11:20:37:567,185.11,31.37,283.41,0.532,923.396,282.6964958130842,185.11
13,13,2/3/2021,11:20:37:677,186.01,31.41,282.51,0.532,923.396,283.27202048895197,185.11
14,14,2/3/2021,11:20:37:786,186.51,31.32,284.71,0.532,923.396,283.83957986446035,185.11
15,15,2/3/2021,11:20:37:896,185.11,31.37,285.31,0.532,923.396,284.39888669710535,185.11
16,16,2/3/2021,11:20:38:20,184.61,31.32,288.31,0.5329999999999999,923.396,284.94965568737916,185.11
17,17,2/3/2021,11:20:38:114,185.11,31.43,307.22,0.532,923.246,285.4916100511837,185.11
18,18,2/3/2021,11:20:38:255,185.11,31.41,308.52,0.5329999999999999,923.396,286.0244993397477,185.11
19,19,2/3/2021,11:20:38:333,185.11,31.33,317.62,0.532,923.246,286.54812530450334,185.11
20,20,2/3/2021,11:20:38:442,185.11,31.41,281.91,0.5329999999999999,923.396,287.06235733566587,185.11
21,21,2/3/2021,11:20:38:551,185.51,31.37,318.52,0.5329999999999999,923.246,287.56712541184584,185.11
22,22,2/3/2021,11:20:38:661,184.61,31.37,286.51,0.5329999999999999,923.396,288.0624062814682,185.11
23,23,2/3/2021,11:20:38:770,185.11,31.35,291.41,0.5329999999999999,923.396,288.54821456633704,185.11
24,24,2/3/2021,11:20:38:880,186.01,31.43,294.41,0.534,923.396,289.0245896702564,185.11
25,25,2/3/2021,11:20:39:20,185.11,31.32,279.81,0.534,923.396,289.4915815585838,185.11
26,26,2/3/2021,11:20:39:98,185.51,31.35,298.71,0.534,923.396,289.94924260100885,185.11
27,27,2/3/2021,11:20:39:255,184.61,31.41,283.71,0.534,923.396,290.39762412024714,185.11
28,28,2/3/2021,11:20:39:317,184.61,31.45,298.41,0.534,923.396,290.83677744811814,185.11
29,29,2/3/2021,11:20:39:427,185.11,31.37,302.02,0.534,923.396,291.26675907835784,185.11
30,30,2/3/2021,11:20:39:536,185.51,31.49,309.42,0.534,923.246,291.687642826734,185.11
31,31,2/3/2021,11:20:39:646,185.51,31.39,300.82,0.534,923.396,292.0995354609937,185.11
32,32,2/3/2021,11:20:39:755,185.11,31.37,280.41,0.534,923.396,292.50257905675636,185.11
33,33,2/3/2021,11:20:39:864,186.51,31.47,300.52,0.534,923.396,292.89693400613515,185.11
34,34,2/3/2021,11:20:40:20,185.51,31.37,300.82,0.5329999999999999,923.396,293.2827642538864,185.11
35,35,2/3/2021,11:20:40:83,185.51,31.41,302.02,0.5329999999999999,923.396,293.6602425039435,185.11
36,36,2/3/2021,11:20:40:193,185.51,31.43,283.11,0.5329999999999999,923.246,294.0295583791785,185.11
37,37,2/3/2021,11:20:40:302,185.11,31.41,287.11,0.532,923.246,294.390908763879,185.11
38,38,2/3/2021,11:20:40:412,185.11,31.39,290.51,0.532,923.396,294.7444791705691,185.11
39,39,2/3/2021,11:20:40:521,185.11,31.39,282.51,0.532,923.396,295.0904337973198,185.11
40,40,2/3/2021,11:20:40:630,185.51,31.39,319.82,0.531,923.246,295.4289188944586,185.11
41,41,2/3/2021,11:20:40:771,185.11,31.39,302.02,0.531,923.396,295.7600815220592,185.11
42,42,2/3/2021,11:20:40:849,186.01,31.43,321.92,0.531,923.246,296.0840967606582,185.11
43,43,2/3/2021,11:20:41:5,185.51,31.39,302.72,0.531,923.396,296.40118529746564,185.11
44,44,2/3/2021,11:20:41:68,185.51,31.37,287.41,0.531,923.396,296.7116111115198,185.11
45,45,2/3/2021,11:20:41:177,185.51,31.47,290.81,0.531,923.396,297.0156586285962,185.11
46,46,2/3/2021,11:20:41:286,185.11,31.43,294.11,0.531,923.246,297.3136058471262,185.11
47,47,2/3/2021,11:20:41:398,186.01,31.41,297.51,0.532,923.246,297.6057148504061,185.11
48,48,2/3/2021,11:20:41:507,185.51,31.26,300.52,0.532,923.246,297.8922376851811,185.11
49,49,2/3/2021,11:20:41:617,184.61,31.37,299.31,0.5329999999999999,923.396,298.173424837406,185.11
50,50,2/3/2021,11:20:41:773,185.51,31.41,283.11,0.5329999999999999,923.396,298.44952706542784,185.11
51,51,2/3/2021,11:20:41:835,185.51,31.33,299.61,0.5329999999999999,923.246,298.72078663614485,185.11
52,52,2/3/2021,11:20:41:945,185.51,31.37,304.52,0.5329999999999999,923.246,298.98743093403215,185.11
