,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,11/3/2021,17:5:53:685,367.22,30.38,504.43,0.5479999999999999,932.897,512.4345987955529,367.22
1,1,11/3/2021,17:5:53:795,365.82,30.34,541.03,0.5479999999999999,932.747,512.607210512901,367.22
2,2,11/3/2021,17:5:53:857,365.82,30.34,522.43,0.5479999999999999,932.747,512.7806575149102,367.22
3,3,11/3/2021,17:5:54:112,365.82,30.3,512.03,0.547,932.897,512.9547999070187,367.22
4,4,11/3/2021,17:5:54:190,365.82,30.3,535.53,0.547,932.747,513.1295032686576,367.22
5,5,11/3/2021,17:5:54:268,365.82,30.38,511.73,0.547,932.897,513.3046376687107,367.22
6,6,11/3/2021,17:5:54:424,365.82,30.32,521.83,0.547,932.897,513.4800774524749,367.22
7,7,11/3/2021,17:5:54:487,366.32,30.32,505.93,0.5479999999999999,932.897,513.6557001154985,367.22
8,8,11/3/2021,17:5:54:596,365.82,30.3,541.93,0.5479999999999999,932.747,513.8313850571532,367.22
9,9,11/3/2021,17:5:54:706,365.82,30.32,503.83,0.5479999999999999,932.897,514.0070143100942,367.22
10,10,11/3/2021,17:5:54:815,365.82,30.34,522.43,0.5479999999999999,932.897,514.1824733177366,367.22
11,11,11/3/2021,17:5:54:924,366.32,30.36,522.73,0.5479999999999999,932.897,514.3576500751226,367.22
12,12,11/3/2021,17:5:55:34,366.32,30.18,513.93,0.5479999999999999,932.897,514.53243467227,367.22
13,13,11/3/2021,17:5:55:159,365.82,30.26,518.13,0.5479999999999999,932.897,514.7067194232436,367.22
14,14,11/3/2021,17:5:55:253,366.72,30.3,500.73,0.5479999999999999,932.897,514.8803977731911,367.22
15,15,11/3/2021,17:5:55:409,366.32,30.36,522.43,0.5479999999999999,932.897,515.0533624848979,367.22
16,16,11/3/2021,17:5:55:471,367.72,30.4,531.03,0.5479999999999999,932.897,515.2255055253335,367.22
17,17,11/3/2021,17:5:55:581,366.72,30.38,533.43,0.5479999999999999,932.747,515.3967210336234,367.22
18,18,11/3/2021,17:5:55:690,365.82,30.32,520.93,0.5479999999999999,932.897,515.5669087849111,367.22
19,19,11/3/2021,17:5:55:799,366.32,30.36,519.73,0.547,932.897,515.7359746876958,367.22
20,20,11/3/2021,17:5:55:908,365.82,30.34,523.93,0.547,932.747,515.9038289783596,367.22
21,21,11/3/2021,17:5:56:18,366.32,30.3,524.63,0.547,932.897,516.070385019834,367.22
22,22,11/3/2021,17:5:56:158,365.82,30.36,530.03,0.547,932.897,516.235559704456,367.22
23,23,11/3/2021,17:5:56:238,366.32,30.48,522.43,0.547,932.897,516.3992743889744,367.22
24,24,11/3/2021,17:5:56:348,366.72,30.36,523.03,0.5479999999999999,932.897,516.5614551034948,367.22
25,25,11/3/2021,17:5:56:457,365.82,30.3,523.03,0.5479999999999999,932.747,516.7220318452079,367.22
26,26,11/3/2021,17:5:56:567,365.82,30.36,505.63,0.5479999999999999,932.897,516.8809373353154,367.22
27,27,11/3/2021,17:5:56:676,365.82,30.26,524.23,0.5479999999999999,932.897,517.0381052542045,367.22
28,28,11/3/2021,17:5:56:785,365.82,30.3,502.93,0.5479999999999999,932.897,517.1934686425898,367.22
29,29,11/3/2021,17:5:56:910,365.82,30.36,527.63,0.5479999999999999,932.897,517.3469592704569,367.22
30,30,11/3/2021,17:5:57:4,365.82,30.38,518.13,0.5489999999999999,933.047,517.4985081179858,367.22
31,31,11/3/2021,17:5:57:160,366.32,30.42,540.13,0.5479999999999999,932.897,517.6480472717897,367.22
32,32,11/3/2021,17:5:57:223,368.22,30.4,522.43,0.5479999999999999,932.897,517.7955125788404,367.22
33,33,11/3/2021,17:5:57:332,365.82,30.07,523.03,0.5479999999999999,932.897,517.9408450310932,367.22
