,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
0,0,11/3/2021,16:22:26:339,311.12,31.04,470.52,0.544,925.996,311.12
1,1,11/3/2021,16:22:26:433,312.02,31.06,449.82,0.545,926.146,311.12
2,2,11/3/2021,16:22:26:542,312.02,31.08,470.22,0.545,926.146,311.12
3,3,11/3/2021,16:22:26:667,311.12,31.04,452.22,0.545,925.996,311.12
4,4,11/3/2021,16:22:26:761,311.52,31.06,471.42,0.545,925.996,311.12
5,5,11/3/2021,16:22:26:917,311.52,31.06,453.42,0.545,925.996,311.12
6,6,11/3/2021,16:22:26:979,311.52,31.06,450.72,0.545,925.996,311.12
7,7,11/3/2021,16:22:27:89,311.52,31.06,449.82,0.545,926.146,311.12
8,8,11/3/2021,16:22:27:198,311.52,31.04,469.62,0.545,926.146,311.12
9,9,11/3/2021,16:22:27:297,312.02,31.06,467.52,0.545,926.146,311.12
10,10,11/3/2021,16:22:27:421,313.02,31.04,470.22,0.545,925.996,311.12
11,11,11/3/2021,16:22:27:515,312.52,31.02,432.72,0.545,926.146,311.12
12,12,11/3/2021,16:22:27:656,311.52,31.0,473.92,0.545,926.146,311.12
13,13,11/3/2021,16:22:27:750,312.02,31.1,438.52,0.545,926.296,311.12
14,14,11/3/2021,16:22:27:859,311.52,31.08,473.32,0.544,926.146,311.12
15,15,11/3/2021,16:22:27:968,311.52,31.08,453.72,0.544,926.146,311.12
16,16,11/3/2021,16:22:28:78,311.52,30.99,452.22,0.544,926.146,311.12
17,17,11/3/2021,16:22:28:187,311.52,31.06,471.72,0.544,926.146,311.12
18,18,11/3/2021,16:22:28:296,311.52,31.08,470.52,0.544,926.146,311.12
19,19,11/3/2021,16:22:28:421,312.02,31.08,451.62,0.544,926.146,311.12
20,20,11/3/2021,16:22:28:500,311.12,31.06,470.52,0.544,926.146,311.12
21,21,11/3/2021,16:22:28:609,311.52,31.02,458.62,0.544,926.146,311.12
22,22,11/3/2021,16:22:28:734,312.02,31.06,440.02,0.545,926.146,311.12
23,23,11/3/2021,16:22:28:828,311.52,31.12,450.12,0.545,926.146,311.12
24,24,11/3/2021,16:22:28:953,311.52,31.02,432.72,0.545,926.146,311.12
25,25,11/3/2021,16:22:29:47,311.52,31.1,441.82,0.545,926.146,311.12
26,26,11/3/2021,16:22:29:187,311.52,31.02,457.42,0.544,925.996,311.12
27,27,11/3/2021,16:22:29:281,311.12,31.02,455.32,0.545,926.146,311.12
28,28,11/3/2021,16:22:29:426,311.52,31.06,432.42,0.545,926.146,311.12
29,29,11/3/2021,16:22:29:489,312.52,31.06,472.42,0.544,926.146,311.12
30,30,11/3/2021,16:22:29:598,311.52,31.06,471.12,0.544,926.146,311.12
31,31,11/3/2021,16:22:29:707,312.02,31.06,470.22,0.544,926.146,311.12
32,32,11/3/2021,16:22:29:817,311.52,31.02,445.22,0.544,926.146,311.12
33,33,11/3/2021,16:22:29:942,311.52,31.06,453.72,0.544,926.146,311.12
34,34,11/3/2021,16:22:30:35,311.52,31.06,438.82,0.544,926.146,311.12
35,35,11/3/2021,16:22:30:176,311.52,31.0,465.02,0.544,925.996,311.12
36,36,11/3/2021,16:22:30:254,311.12,31.1,433.02,0.544,926.146,311.12
37,37,11/3/2021,16:22:30:364,311.12,31.04,460.82,0.544,925.996,311.12
38,38,11/3/2021,16:22:30:473,313.52,31.1,474.22,0.544,926.146,311.12
39,39,11/3/2021,16:22:30:582,311.52,31.08,473.32,0.544,926.146,311.12
40,40,11/3/2021,16:22:30:691,311.52,31.12,473.92,0.544,926.146,311.12
41,41,11/3/2021,16:22:30:801,311.52,31.1,473.62,0.544,925.996,311.12
42,42,11/3/2021,16:22:30:926,312.02,31.02,455.92,0.545,926.146,311.12
43,43,11/3/2021,16:22:31:20,312.02,31.02,453.12,0.545,926.146,311.12
44,44,11/3/2021,16:22:31:191,311.52,31.08,469.62,0.545,925.996,311.12
45,45,11/3/2021,16:22:31:238,311.52,31.1,444.32,0.545,926.146,311.12
46,46,11/3/2021,16:22:31:348,311.12,31.06,458.32,0.545,926.146,311.12
47,47,11/3/2021,16:22:31:457,312.02,30.99,453.12,0.545,926.146,311.12
48,48,11/3/2021,16:22:31:567,311.52,31.04,453.12,0.544,925.996,311.12
49,49,11/3/2021,16:22:31:676,311.52,31.08,453.42,0.544,925.996,311.12
50,50,11/3/2021,16:22:31:786,311.52,31.02,472.72,0.544,925.996,311.12
51,51,11/3/2021,16:22:31:926,312.02,31.08,463.82,0.544,925.996,311.12
52,52,11/3/2021,16:22:32:5,311.52,30.99,473.92,0.544,925.996,311.12
53,53,11/3/2021,16:22:32:114,311.52,31.14,473.02,0.545,926.146,311.12
54,54,11/3/2021,16:22:32:223,311.52,30.93,474.52,0.545,926.146,311.12
55,55,11/3/2021,16:22:32:333,311.52,31.0,449.22,0.545,926.146,311.12
56,56,11/3/2021,16:22:32:442,311.52,30.99,467.52,0.546,926.146,311.12
57,57,11/3/2021,16:22:32:552,311.52,31.04,450.72,0.545,926.146,311.12
58,58,11/3/2021,16:22:32:692,312.02,31.02,455.32,0.545,926.146,311.12
59,59,11/3/2021,16:22:32:770,311.52,31.04,457.42,0.545,925.996,311.12
60,60,11/3/2021,16:22:32:926,312.02,31.04,450.12,0.545,926.146,311.12
61,61,11/3/2021,16:22:32:989,312.02,31.04,465.32,0.545,926.146,311.12
62,62,11/3/2021,16:22:33:99,311.52,30.93,468.72,0.545,925.996,311.12
63,63,11/3/2021,16:22:33:208,311.52,31.06,453.42,0.545,925.996,311.12
64,64,11/3/2021,16:22:33:317,311.52,31.0,433.02,0.545,926.146,311.12
65,65,11/3/2021,16:22:33:426,311.52,31.04,450.12,0.545,926.146,311.12
66,66,11/3/2021,16:22:33:536,312.52,30.97,430.82,0.545,926.146,311.12
67,67,11/3/2021,16:22:33:676,312.52,31.08,453.72,0.544,925.996,311.12
68,68,11/3/2021,16:22:33:755,312.02,31.04,450.12,0.545,926.146,311.12
69,69,11/3/2021,16:22:33:864,312.02,30.97,454.72,0.544,925.996,311.12
70,70,11/3/2021,16:22:33:973,312.02,31.0,455.02,0.544,925.996,311.12
71,71,11/3/2021,16:22:34:83,311.52,31.12,455.62,0.544,925.996,311.12
72,72,11/3/2021,16:22:34:192,312.02,31.02,452.22,0.545,926.146,311.12
73,73,11/3/2021,16:22:34:301,312.02,31.06,453.12,0.545,926.146,311.12
74,74,11/3/2021,16:22:34:426,311.52,31.1,451.02,0.545,926.146,311.12
75,75,11/3/2021,16:22:34:520,312.02,30.95,452.82,0.545,926.146,311.12
76,76,11/3/2021,16:22:34:692,312.02,31.02,453.72,0.545,926.146,311.12
77,77,11/3/2021,16:22:34:739,312.02,30.97,446.12,0.546,926.146,311.12
78,78,11/3/2021,16:22:34:848,312.02,31.02,455.32,0.545,926.146,311.12
79,79,11/3/2021,16:22:34:957,311.52,31.0,436.32,0.545,926.146,311.12
80,80,11/3/2021,16:22:35:67,312.02,31.12,453.72,0.545,925.996,311.12
81,81,11/3/2021,16:22:35:176,311.52,31.06,454.02,0.544,926.146,311.12
82,82,11/3/2021,16:22:35:285,312.02,30.95,454.02,0.544,926.146,311.12
83,83,11/3/2021,16:22:35:426,312.02,31.08,452.82,0.544,925.996,311.12
84,84,11/3/2021,16:22:35:505,312.02,31.08,455.02,0.544,925.996,311.12
85,85,11/3/2021,16:22:35:614,313.02,31.0,449.82,0.545,926.146,311.12
86,86,11/3/2021,16:22:35:723,312.02,31.1,448.22,0.544,925.996,311.12
87,87,11/3/2021,16:22:35:833,312.02,30.99,450.72,0.545,926.146,311.12
88,88,11/3/2021,16:22:35:942,311.52,31.04,440.62,0.545,926.146,311.12
89,89,11/3/2021,16:22:36:51,311.52,31.0,472.72,0.545,925.996,311.12
90,90,11/3/2021,16:22:36:176,312.52,31.02,433.02,0.545,925.996,311.12
91,91,11/3/2021,16:22:36:270,311.52,31.04,453.12,0.545,925.996,311.12
92,92,11/3/2021,16:22:36:426,312.02,31.04,472.42,0.545,925.996,311.12
93,93,11/3/2021,16:22:36:489,311.52,31.04,453.12,0.545,926.146,311.12
94,94,11/3/2021,16:22:36:599,312.02,31.12,453.12,0.545,925.996,311.12
95,95,11/3/2021,16:22:36:708,311.52,31.12,453.72,0.545,925.996,311.12
96,96,11/3/2021,16:22:36:817,312.02,31.0,432.42,0.545,926.146,311.12
97,97,11/3/2021,16:22:36:926,312.02,31.04,451.92,0.545,925.996,311.12
98,98,11/3/2021,16:22:37:36,311.52,31.16,444.02,0.545,925.996,311.12
99,99,11/3/2021,16:22:37:192,312.02,31.06,451.92,0.544,926.146,311.12
100,100,11/3/2021,16:22:37:255,311.52,30.99,456.52,0.544,926.146,311.12
101,101,11/3/2021,16:22:37:364,312.52,31.0,452.82,0.544,925.996,311.12
102,102,11/3/2021,16:22:37:473,311.52,31.08,452.82,0.544,926.146,311.12
103,103,11/3/2021,16:22:37:583,312.02,31.04,432.72,0.544,926.146,311.12
104,104,11/3/2021,16:22:37:697,312.52,31.06,453.12,0.544,925.996,311.12
105,105,11/3/2021,16:22:37:806,312.02,31.12,452.82,0.544,925.996,311.12
106,106,11/3/2021,16:22:37:931,311.52,31.06,473.62,0.544,926.146,311.12
107,107,11/3/2021,16:22:38:25,312.02,31.12,452.22,0.545,925.996,311.12
108,108,11/3/2021,16:22:38:181,312.02,31.16,444.92,0.545,926.146,311.12
109,109,11/3/2021,16:22:38:244,311.52,31.08,452.22,0.545,926.146,311.12
110,110,11/3/2021,16:22:38:353,312.02,31.06,460.82,0.545,925.996,311.12
111,111,11/3/2021,16:22:38:463,312.02,31.06,429.92,0.545,926.146,311.12
