,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,11/3/2021,15:49:29:758,319.92,30.77,458.02,0.545,926.446,453.42693790188736,319.92
1,1,11/3/2021,15:49:29:821,319.92,30.75,440.02,0.546,926.596,453.4459206442107,319.92
2,2,11/3/2021,15:49:29:930,319.92,30.79,440.32,0.546,926.596,453.4650557313896,319.92
3,3,11/3/2021,15:49:30:55,319.92,30.65,456.22,0.546,926.446,453.48440336402336,319.92
4,4,11/3/2021,15:49:30:149,319.42,30.75,446.12,0.546,926.596,453.5040180257334,319.92
5,5,11/3/2021,15:49:30:321,319.92,30.79,437.92,0.546,926.446,453.5239498473616,319.92
6,6,11/3/2021,15:49:30:367,319.42,30.73,461.12,0.546,926.446,453.54424430305914,319.92
7,7,11/3/2021,15:49:30:477,320.32,30.77,459.52,0.545,926.446,453.5649429997076,319.92
8,8,11/3/2021,15:49:30:587,320.32,30.85,441.82,0.546,926.446,453.58608697943436,319.92
9,9,11/3/2021,15:49:30:696,319.92,30.75,463.82,0.545,926.446,453.6077179082199,319.92
10,10,11/3/2021,15:49:30:805,319.42,30.79,440.62,0.545,926.596,453.6298769300152,319.92
11,11,11/3/2021,15:49:30:915,319.42,30.71,440.62,0.545,926.446,453.65260312534895,319.92
12,12,11/3/2021,15:49:31:40,319.92,30.79,444.32,0.546,926.446,453.6759304992083,319.92
13,13,11/3/2021,15:49:31:134,320.32,30.71,447.62,0.545,926.446,453.6998855428553,319.92
14,14,11/3/2021,15:49:31:321,319.42,30.83,438.22,0.546,926.446,453.72448734532287,319.92
15,15,11/3/2021,15:49:31:446,319.42,30.67,473.32,0.545,926.446,453.74974905072906,319.92
16,16,11/3/2021,15:49:31:477,319.42,30.67,459.82,0.546,926.446,453.77568185604736,319.92
17,17,11/3/2021,15:49:31:571,319.92,30.69,462.62,0.546,926.446,453.8023007406338,319.92
18,18,11/3/2021,15:49:31:680,319.42,30.73,457.72,0.546,926.446,453.82962703403314,319.92
19,19,11/3/2021,15:49:31:789,319.92,30.73,478.52,0.546,926.446,453.8576883550475,319.92
20,20,11/3/2021,15:49:31:899,319.92,30.79,457.72,0.546,926.596,453.8865200022436,319.92
21,21,11/3/2021,15:49:32:71,320.32,30.77,460.52,0.546,926.446,453.9161662014759,319.92
22,22,11/3/2021,15:49:32:118,320.32,30.77,475.72,0.546,926.596,453.9466791611178,319.92
23,23,11/3/2021,15:49:32:228,319.42,30.73,457.72,0.546,926.596,453.9781189215939,319.92
24,24,11/3/2021,15:49:32:352,319.92,31.24,437.92,0.546,926.596,454.0105528642543,319.92
25,25,11/3/2021,15:49:32:446,320.32,30.65,439.72,0.546,926.596,454.0440500917625,319.92
26,26,11/3/2021,15:49:32:555,319.42,30.77,457.72,0.546,926.596,454.0786744936358,319.92
27,27,11/3/2021,15:49:32:665,319.42,30.75,460.82,0.546,926.596,454.1144842023828,319.92
28,28,11/3/2021,15:49:32:821,319.92,30.73,445.22,0.546,926.596,454.15153580443877,319.92
29,29,11/3/2021,15:49:32:884,321.82,30.73,458.02,0.546,926.596,454.18988628039637,319.92
30,30,11/3/2021,15:49:33:71,319.42,30.77,460.82,0.546,926.446,454.22959255502235,319.92
31,31,11/3/2021,15:49:33:102,320.82,30.79,438.52,0.546,926.596,454.2707117631117,319.92
32,32,11/3/2021,15:49:33:212,319.92,30.77,438.22,0.546,926.596,454.3132995156011,319.92
33,33,11/3/2021,15:49:33:322,319.42,30.71,439.72,0.546,926.596,454.35740483800623,319.92
34,34,11/3/2021,15:49:33:428,319.42,30.73,440.92,0.546,926.596,454.4030664173008,319.92
