,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,9/3/2021,11:20:55:391,322.32,31.16,451.62,0.547,927.546,451.8978011199119,322.32
1,1,9/3/2021,11:20:55:516,321.82,31.22,487.32,0.547,927.396,452.4937229530201,322.32
2,2,9/3/2021,11:20:55:579,321.82,31.24,481.22,0.547,927.396,453.0844763039515,322.32
3,3,9/3/2021,11:20:55:689,322.82,31.24,447.92,0.547,927.546,453.66821011832184,322.32
4,4,9/3/2021,11:20:55:813,321.82,31.26,469.62,0.547,927.396,454.243366172638,322.32
5,5,9/3/2021,11:20:55:907,321.82,31.2,447.02,0.547,927.546,454.8085487378677,322.32
6,6,9/3/2021,11:20:56:16,321.82,31.3,456.82,0.547,927.546,455.3624281235109,322.32
7,7,9/3/2021,11:20:56:126,321.82,31.26,451.92,0.547,927.546,455.9036852449272,322.32
8,8,9/3/2021,11:20:56:282,321.82,31.18,453.12,0.547,927.546,456.43097538675096,322.32
9,9,9/3/2021,11:20:56:344,321.82,31.26,466.62,0.547,927.546,456.942925131094,322.32
10,10,9/3/2021,11:20:56:454,321.82,31.18,466.32,0.547,927.546,457.43817398094785,322.32
11,11,9/3/2021,11:20:56:563,321.82,31.28,476.02,0.547,927.546,457.9154535796708,322.32
12,12,9/3/2021,11:20:56:673,321.82,31.22,473.32,0.547,927.546,458.3736672879256,322.32
13,13,9/3/2021,11:20:56:782,321.82,31.26,489.12,0.546,927.546,458.8119563844857,322.32
14,14,9/3/2021,11:20:56:891,321.82,31.18,469.32,0.546,927.546,459.2297570040699,322.32
15,15,9/3/2021,11:20:57:16,322.32,31.26,465.92,0.546,927.546,459.6268041284571,322.32
16,16,9/3/2021,11:20:57:110,322.32,31.22,448.92,0.546,927.546,460.00303835771547,322.32
17,17,9/3/2021,11:20:57:266,321.82,31.18,466.32,0.546,927.546,460.3584686242377,322.32
18,18,9/3/2021,11:20:57:329,321.82,31.26,466.62,0.546,927.546,460.6931024342437,322.32
19,19,9/3/2021,11:20:57:443,322.82,31.26,467.22,0.547,927.546,461.0069742638674,322.32
20,20,9/3/2021,11:20:57:552,321.82,31.26,466.32,0.547,927.546,461.300194859952,322.32
21,21,9/3/2021,11:20:57:662,321.82,31.3,465.32,0.547,927.546,461.5729635074754,322.32
22,22,9/3/2021,11:20:57:802,321.32,31.3,447.32,0.547,927.546,461.82553936029336,322.32
23,23,9/3/2021,11:20:57:880,321.32,31.24,470.22,0.546,927.396,462.0581805131292,322.32
24,24,9/3/2021,11:20:58:36,321.32,31.26,451.62,0.546,927.696,462.27110114048963,322.32
25,25,9/3/2021,11:20:58:99,321.82,31.26,489.52,0.546,927.546,462.4644950773081,322.32
26,26,9/3/2021,11:20:58:208,321.32,31.24,451.32,0.546,927.546,462.63860603772065,322.32
27,27,9/3/2021,11:20:58:317,321.82,31.18,485.52,0.546,927.396,462.79378048393454,322.32
28,28,9/3/2021,11:20:58:427,321.82,31.26,465.92,0.547,927.546,462.9304853891875,322.32
29,29,9/3/2021,11:20:58:536,321.82,31.3,465.02,0.547,927.546,463.0493165415586,322.32
30,30,9/3/2021,11:20:58:646,321.82,31.14,464.72,0.547,927.546,463.15097406986666,322.32
31,31,9/3/2021,11:20:58:770,321.82,31.3,463.82,0.547,927.546,463.2362101569504,322.32
32,32,9/3/2021,11:20:58:864,321.82,31.3,458.32,0.547,927.696,463.3057941871174,322.32
33,33,9/3/2021,11:20:59:20,321.32,31.16,466.62,0.547,927.396,463.36049073204316,322.32
34,34,9/3/2021,11:20:59:83,321.82,31.18,466.32,0.547,927.546,463.4010545573863,322.32
35,35,9/3/2021,11:20:59:193,321.82,31.26,469.92,0.547,927.546,463.42825834173465,322.32
36,36,9/3/2021,11:20:59:302,321.32,31.2,486.72,0.547,927.546,463.44294773133345,322.32
37,37,9/3/2021,11:20:59:411,322.82,31.22,469.92,0.547,927.546,463.4461180609468,322.32
38,38,9/3/2021,11:20:59:537,322.82,31.26,451.62,0.547,927.696,463.43894279281227,322.32
39,39,9/3/2021,11:20:59:631,321.32,31.18,464.72,0.547,927.546,463.42268557690653,322.32
40,40,9/3/2021,11:20:59:787,321.32,31.26,464.72,0.547,927.546,463.3985952078575,322.32
41,41,9/3/2021,11:20:59:849,321.32,31.18,455.02,0.547,927.396,463.3678852885408,322.32
42,42,9/3/2021,11:20:59:959,322.32,31.22,450.12,0.547,927.546,463.33172523298265,322.32
43,43,9/3/2021,11:21:0:68,321.32,31.2,447.32,0.547,927.696,463.2911748988191,322.32
44,44,9/3/2021,11:21:0:177,321.82,31.26,466.32,0.547,927.396,463.2471262308124,322.32
45,45,9/3/2021,11:21:0:287,321.82,31.26,447.92,0.547,927.546,463.2003151035073,322.32
46,46,9/3/2021,11:21:0:396,322.82,31.24,470.82,0.546,927.546,463.1513680405142,322.32
47,47,9/3/2021,11:21:0:537,321.82,31.28,464.72,0.546,927.546,463.10085005066696,322.32
48,48,9/3/2021,11:21:0:615,321.32,31.24,470.22,0.546,927.546,463.04932771381203,322.32
49,49,9/3/2021,11:21:0:787,321.82,31.28,487.32,0.546,927.396,462.9974438005018,322.32
