,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,9/3/2021,11:9:29:343,321.32,31.12,447.92,0.547,927.246,448.3135119523412,321.32
1,1,9/3/2021,11:9:29:421,322.82,31.06,454.42,0.547,927.096,448.72595792974226,321.32
2,2,9/3/2021,11:9:29:530,321.32,31.18,465.92,0.547,927.096,449.13979661961264,321.32
3,3,9/3/2021,11:9:29:686,322.32,31.12,449.52,0.547,927.096,449.55474088966866,321.32
4,4,9/3/2021,11:9:29:749,321.82,31.14,453.42,0.547,927.246,449.9705133244123,321.32
5,5,9/3/2021,11:9:29:859,321.32,31.06,445.82,0.547,927.096,450.3868428007405,321.32
6,6,9/3/2021,11:9:29:968,321.32,31.08,459.22,0.547,927.096,450.8034603090196,321.32
7,7,9/3/2021,11:9:30:77,321.82,31.14,463.82,0.547,927.246,451.22009934836234,321.32
8,8,9/3/2021,11:9:30:186,321.82,31.08,447.02,0.547,927.246,451.636499681592,321.32
9,9,9/3/2021,11:9:30:296,321.82,31.0,463.82,0.547,927.246,452.052408606666,321.32
10,10,9/3/2021,11:9:30:436,321.82,31.08,448.62,0.546,927.246,452.4675791374551,321.32
11,11,9/3/2021,11:9:30:515,321.82,31.0,463.82,0.546,927.096,452.8817689232582,321.32
12,12,9/3/2021,11:9:30:671,321.82,31.08,455.92,0.546,927.246,453.29474066855437,321.32
13,13,9/3/2021,11:9:30:733,321.32,31.02,464.42,0.546,927.246,453.7062634766252,321.32
14,14,9/3/2021,11:9:30:843,321.82,31.08,446.42,0.547,927.246,454.1161134334726,321.32
15,15,9/3/2021,11:9:30:952,321.32,31.1,465.62,0.547,927.246,454.5240717023132,321.32
16,16,9/3/2021,11:9:31:61,322.32,31.14,467.22,0.547,927.246,454.9299237503975,321.32
17,17,9/3/2021,11:9:31:186,321.32,31.14,449.22,0.547,927.246,455.3334619305042,321.32
18,18,9/3/2021,11:9:31:280,322.82,31.06,448.62,0.547,927.096,455.7344846588487,321.32
19,19,9/3/2021,11:9:31:420,323.32,31.14,465.32,0.547,927.246,456.1327906826317,321.32
20,20,9/3/2021,11:9:31:499,321.32,31.04,454.02,0.547,927.096,456.52817716437295,321.32
21,21,9/3/2021,11:9:31:608,321.32,31.08,486.12,0.547,927.096,456.9204443205187,321.32
22,22,9/3/2021,11:9:31:717,322.32,31.1,447.92,0.547,927.246,457.3094017475052,321.32
23,23,9/3/2021,11:9:31:827,321.32,31.1,486.72,0.547,927.096,457.69487179143266,321.32
24,24,9/3/2021,11:9:31:936,321.82,31.1,449.22,0.547,927.246,458.07668950024834,321.32
25,25,9/3/2021,11:9:32:46,321.32,31.1,467.82,0.547,927.246,458.4547006656793,321.32
26,26,9/3/2021,11:9:32:186,322.82,31.14,467.82,0.547,927.096,458.82875877014015,321.32
27,27,9/3/2021,11:9:32:264,321.82,31.14,468.12,0.547,927.096,459.1987245756082,321.32
28,28,9/3/2021,11:9:32:436,321.32,31.08,461.72,0.547,927.096,459.5644681009115,321.32
29,29,9/3/2021,11:9:32:483,321.32,31.08,461.72,0.547,927.096,459.92586776684715,321.32
30,30,9/3/2021,11:9:32:582,322.32,31.18,464.72,0.547,927.246,460.28280731671026,321.32
31,31,9/3/2021,11:9:32:692,321.32,31.1,464.42,0.546,927.096,460.6351743260758,321.32
32,32,9/3/2021,11:9:32:801,321.82,31.0,466.32,0.547,927.246,460.98286070948507,321.32
33,33,9/3/2021,11:9:32:926,321.32,31.04,468.72,0.546,927.096,461.3257638401789,321.32
34,34,9/3/2021,11:9:33:20,322.32,31.14,465.02,0.547,927.246,461.66378759100564,321.32
35,35,9/3/2021,11:9:33:160,321.82,31.1,468.12,0.547,927.246,461.9968426815229,321.32
36,36,9/3/2021,11:9:33:238,321.32,31.0,461.12,0.547,927.246,462.3248458546969,321.32
37,37,9/3/2021,11:9:33:348,321.82,31.04,465.32,0.547,927.096,462.64771811397776,321.32
38,38,9/3/2021,11:9:33:457,322.32,31.12,466.62,0.547,927.096,462.9653831511208,321.32
39,39,9/3/2021,11:9:33:568,321.82,31.06,467.22,0.547,927.096,463.2777674180508,321.32
40,40,9/3/2021,11:9:33:678,321.32,31.06,467.82,0.547,927.246,463.5848013200199,321.32
41,41,9/3/2021,11:9:33:792,321.32,31.0,465.92,0.547,927.246,463.88641986934755,321.32
42,42,9/3/2021,11:9:33:916,324.72,31.06,482.42,0.547,927.096,464.18256355334086,321.32
43,43,9/3/2021,11:9:34:10,321.82,31.1,469.32,0.547,927.246,464.47318138482814,321.32
44,44,9/3/2021,11:9:34:166,321.82,31.08,469.32,0.547,927.096,464.75823358266695,321.32
45,45,9/3/2021,11:9:34:229,321.82,31.12,473.02,0.547,927.096,465.0376903838444,321.32
46,46,9/3/2021,11:9:34:338,322.82,31.06,467.22,0.547,927.246,465.3115296245073,321.32
47,47,9/3/2021,11:9:34:448,321.32,31.04,467.82,0.547,927.246,465.57973535818223,321.32
48,48,9/3/2021,11:9:34:557,322.32,31.14,468.12,0.547,927.246,465.84229618872496,321.32
49,49,9/3/2021,11:9:34:666,321.32,31.04,467.82,0.547,927.096,466.0992037870414,321.32
50,50,9/3/2021,11:9:34:776,322.32,31.08,468.12,0.547,927.096,466.35045237586286,321.32
51,51,9/3/2021,11:9:34:916,321.32,31.14,447.92,0.547,927.246,466.5960369528078,321.32
52,52,9/3/2021,11:9:34:994,321.82,31.12,447.32,0.547,927.246,466.83594679173865,321.32
53,53,9/3/2021,11:9:35:104,322.82,31.1,483.72,0.547,927.096,467.0701585051362,321.32
54,54,9/3/2021,11:9:35:213,321.32,31.12,468.12,0.547,927.096,467.2986392781698,321.32
55,55,9/3/2021,11:9:35:322,322.32,31.16,483.72,0.547,927.096,467.521358037028,321.32
56,56,9/3/2021,11:9:35:432,321.32,31.28,449.82,0.547,927.246,467.7382913112753,321.32
57,57,9/3/2021,11:9:35:541,321.82,31.0,468.42,0.547,927.096,467.9494191615638,321.32
58,58,9/3/2021,11:9:35:673,322.32,31.1,461.72,0.547,927.096,468.15471807734826,321.32
59,59,9/3/2021,11:9:35:751,321.32,31.12,470.22,0.547,927.096,468.35415866423364,321.32
60,60,9/3/2021,11:9:35:923,321.32,31.08,469.92,0.547,927.096,468.5477080056516,321.32
61,61,9/3/2021,11:9:35:969,321.82,31.04,480.32,0.546,927.096,468.735333415746,321.32
62,62,9/3/2021,11:9:36:79,321.32,31.12,486.12,0.547,927.096,468.91700780648284,321.32
63,63,9/3/2021,11:9:36:188,321.82,31.08,487.92,0.547,927.096,469.09271673822235,321.32
64,64,9/3/2021,11:9:36:298,321.82,31.04,467.82,0.547,927.096,469.2624630556044,321.32
65,65,9/3/2021,11:9:36:407,321.32,31.04,463.52,0.547,927.246,469.4262635727643,321.32
66,66,9/3/2021,11:9:36:516,320.82,31.32,448.22,0.547,927.096,469.5841380923661,321.32
67,67,9/3/2021,11:9:36:657,321.82,31.1,473.62,0.547,927.096,469.73609842425986,321.32
68,68,9/3/2021,11:9:36:735,321.32,31.04,467.82,0.547,927.096,469.8821456308543,321.32
69,69,9/3/2021,11:9:36:845,321.32,31.04,486.42,0.547,927.096,470.0222761681248,321.32
70,70,9/3/2021,11:9:36:954,321.32,31.06,487.92,0.547,927.096,470.1564915015876,321.32
71,71,9/3/2021,11:9:37:63,321.82,31.06,486.72,0.547,927.096,470.2848070529277,321.32
