,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,10/3/2021,11:10:20:900,357.02,31.04,531.33,0.55,930.297,537.4693047492052,357.02
1,1,10/3/2021,11:10:21:41,354.52,30.93,531.03,0.55,930.297,536.2782652249197,357.02
2,2,10/3/2021,11:10:21:103,354.52,30.97,509.63,0.55,930.447,535.1063006897583,357.02
3,3,10/3/2021,11:10:21:213,355.52,31.04,512.03,0.551,930.447,533.9572453537638,357.02
4,4,10/3/2021,11:10:21:322,355.52,31.02,512.63,0.551,930.297,532.8346526131227,357.02
5,5,10/3/2021,11:10:21:432,355.02,31.02,513.03,0.55,930.297,531.7417459464356,357.02
6,6,10/3/2021,11:10:21:556,355.52,31.02,508.13,0.55,930.297,530.681425191922,357.02
7,7,10/3/2021,11:10:21:650,355.02,31.0,510.23,0.55,930.297,529.6562735343164,357.02
8,8,10/3/2021,11:10:21:791,355.52,31.02,499.22,0.55,930.447,528.668544956175,357.02
9,9,10/3/2021,11:10:21:869,354.52,30.97,492.52,0.551,930.447,527.7201242908866,357.02
10,10,10/3/2021,11:10:21:978,355.02,31.02,511.13,0.551,930.297,526.8124736147879,357.02
11,11,10/3/2021,11:10:22:88,354.52,31.02,489.82,0.552,930.447,525.946618741209,357.02
12,12,10/3/2021,11:10:22:197,355.02,31.1,515.73,0.551,930.147,525.1231775396493,357.02
13,13,10/3/2021,11:10:22:306,355.02,31.08,489.82,0.551,930.297,524.3423906197776,357.02
14,14,10/3/2021,11:10:22:416,354.52,31.06,513.33,0.55,930.297,523.604142665895,357.02
15,15,10/3/2021,11:10:22:540,355.02,30.97,514.53,0.55,930.297,522.9079961882669,357.02
16,16,10/3/2021,11:10:22:634,355.02,30.93,521.23,0.55,930.297,522.2532760347668,357.02
17,17,10/3/2021,11:10:22:790,354.52,31.08,502.93,0.55,930.297,521.6391620256992,357.02
18,18,10/3/2021,11:10:22:853,355.02,31.0,512.03,0.5489999999999999,930.297,521.0647034791334,357.02
19,19,10/3/2021,11:10:22:963,355.02,31.06,512.33,0.5489999999999999,930.297,520.5287848128473,357.02
20,20,10/3/2021,11:10:23:72,357.92,31.02,512.33,0.55,930.447,520.0301240815214,357.02
21,21,10/3/2021,11:10:23:181,354.52,31.06,514.53,0.55,930.447,519.5673029060129,357.02
22,22,10/3/2021,11:10:23:290,354.52,31.04,512.33,0.551,930.447,519.13879075031,357.02
23,23,10/3/2021,11:10:23:400,355.02,30.95,519.43,0.552,930.297,518.7429636656474,357.02
24,24,10/3/2021,11:10:23:540,355.02,31.02,520.03,0.552,930.147,518.3781349846986,357.02
25,25,10/3/2021,11:10:23:619,355.52,31.02,524.93,0.551,930.147,518.0426037456508,357.02
26,26,10/3/2021,11:10:23:728,355.02,31.02,529.13,0.55,930.147,517.7347126789723,357.02
27,27,10/3/2021,11:10:23:837,354.52,31.06,531.33,0.5489999999999999,930.147,517.4529099307264,357.02
28,28,10/3/2021,11:10:23:947,354.52,31.16,530.33,0.5489999999999999,930.297,517.1958057694603,357.02
29,29,10/3/2021,11:10:24:56,354.52,30.97,530.73,0.5489999999999999,930.147,516.9622075240271,357.02
