,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,10/3/2021,11:38:19:769,355.02,31.18,530.03,0.546,931.647,529.2321300525293,355.02
1,1,10/3/2021,11:38:19:816,354.52,31.24,493.42,0.547,931.647,528.2846895421802,355.02
2,2,10/3/2021,11:38:19:957,356.52,31.33,513.33,0.546,931.647,527.3419392305826,355.02
3,3,10/3/2021,11:38:20:35,355.52,31.32,509.93,0.546,931.647,526.406839651382,355.02
4,4,10/3/2021,11:38:20:147,356.52,31.35,512.33,0.546,931.497,525.4821244732461,355.02
5,5,10/3/2021,11:38:20:256,354.52,31.24,507.83,0.546,931.647,524.5703325757944,355.02
6,6,10/3/2021,11:38:20:366,355.02,31.24,512.03,0.546,931.647,523.6738243508673,355.02
7,7,10/3/2021,11:38:20:475,355.02,31.22,516.63,0.546,931.647,522.7947931060467,355.02
8,8,10/3/2021,11:38:20:585,354.52,31.28,494.02,0.547,931.647,521.9352798861181,355.02
9,9,10/3/2021,11:38:20:741,355.02,31.33,507.53,0.546,931.647,521.0971561970412,355.02
10,10,10/3/2021,11:38:20:803,355.02,31.24,500.73,0.547,931.647,520.2820848539984,355.02
11,11,10/3/2021,11:38:20:975,355.02,31.3,509.33,0.547,931.647,519.4915124766763,355.02
12,12,10/3/2021,11:38:21:22,355.02,31.26,501.43,0.547,931.647,518.7266921609868,355.02
13,13,10/3/2021,11:38:21:132,355.52,31.32,504.73,0.547,931.647,517.9887002043124,355.02
14,14,10/3/2021,11:38:21:241,355.02,31.35,490.12,0.547,931.797,517.2784293538938,355.02
15,15,10/3/2021,11:38:21:350,355.02,31.26,527.03,0.546,931.497,516.596579087564,355.02
16,16,10/3/2021,11:38:21:459,354.52,31.28,491.32,0.547,931.647,515.943686380933,355.02
17,17,10/3/2021,11:38:21:569,355.02,31.26,527.93,0.546,931.647,515.3201790763843,355.02
18,18,10/3/2021,11:38:21:701,354.52,31.24,496.52,0.546,931.647,514.7264091415717,355.02
19,19,10/3/2021,11:38:21:795,355.02,31.32,500.12,0.546,931.647,514.1626539197638,355.02
20,20,10/3/2021,11:38:21:905,355.52,31.22,503.53,0.546,931.647,513.629078226408,355.02
21,21,10/3/2021,11:38:22:14,354.52,31.28,507.23,0.546,931.647,513.125703474826,355.02
22,22,10/3/2021,11:38:22:123,354.52,31.3,510.53,0.546,931.647,512.6524302934162,355.02
23,23,10/3/2021,11:38:22:232,355.02,31.28,511.73,0.546,931.647,512.2090850535577,355.02
24,24,10/3/2021,11:38:22:342,355.52,31.3,493.42,0.546,931.647,511.7954439802806,355.02
25,25,10/3/2021,11:38:22:482,355.52,31.35,512.63,0.546,931.647,511.4112159868448,355.02
26,26,10/3/2021,11:38:22:561,354.52,31.3,491.02,0.546,931.647,511.05601267380854,355.02
27,27,10/3/2021,11:38:22:717,354.02,31.24,501.73,0.546,931.647,510.7293285141066,355.02
28,28,10/3/2021,11:38:22:779,355.02,31.24,490.72,0.547,931.647,510.43051558551775,355.02
29,29,10/3/2021,11:38:22:889,355.02,31.32,509.03,0.547,931.647,510.15876592926367,355.02
30,30,10/3/2021,11:38:22:998,355.02,31.32,510.83,0.547,931.647,509.9131378585072,355.02
31,31,10/3/2021,11:38:23:107,355.52,31.35,511.13,0.547,931.647,509.6926224000245,355.02
32,32,10/3/2021,11:38:23:217,356.02,31.35,511.73,0.547,931.647,509.4962025062262,355.02
33,33,10/3/2021,11:38:23:326,358.42,31.41,511.73,0.547,931.797,509.3228780473177,355.02
34,34,10/3/2021,11:38:23:466,355.52,31.2,513.93,0.546,931.647,509.1716747949628,355.02
35,35,10/3/2021,11:38:23:545,356.02,31.3,512.03,0.546,931.647,509.04165372938735,355.02
36,36,10/3/2021,11:38:23:654,356.02,31.24,531.03,0.546,931.797,508.93193180712854,355.02
37,37,10/3/2021,11:38:23:763,355.52,31.3,512.33,0.546,931.647,508.8417246495835,355.02
38,38,10/3/2021,11:38:23:873,355.52,31.28,508.73,0.546,931.647,508.77037056953554,355.02
39,39,10/3/2021,11:38:23:982,356.02,31.32,511.73,0.546,931.647,508.7172944496872,355.02
40,40,10/3/2021,11:38:24:92,356.52,31.3,512.63,0.546,931.647,508.6819601180316,355.02
41,41,10/3/2021,11:38:24:232,355.52,31.22,507.53,0.547,931.797,508.6638585108081,355.02
42,42,10/3/2021,11:38:24:310,355.02,31.28,499.22,0.547,931.647,508.66249689232234,355.02
43,43,10/3/2021,11:38:24:482,355.52,31.28,513.33,0.547,931.797,508.677366653698,355.02
44,44,10/3/2021,11:38:24:529,355.52,31.28,513.33,0.547,931.797,508.7079336200181,355.02
45,45,10/3/2021,11:38:24:639,355.52,31.2,491.02,0.547,931.797,508.7536559236219,355.02
46,46,10/3/2021,11:38:24:748,355.02,31.3,527.03,0.547,931.647,508.81397980591623,355.02
47,47,10/3/2021,11:38:24:857,355.52,31.24,491.02,0.547,931.797,508.8883302605497,355.02
48,48,10/3/2021,11:38:24:966,355.02,31.24,512.33,0.546,931.647,508.9761133858772,355.02
49,49,10/3/2021,11:38:25:76,354.52,31.35,496.82,0.547,931.797,509.076697001821,355.02
50,50,10/3/2021,11:38:25:217,354.52,31.26,512.03,0.546,931.797,509.1893893012564,355.02
51,51,10/3/2021,11:38:25:295,355.52,31.24,512.63,0.546,931.797,509.3134508822823,355.02
52,52,10/3/2021,11:38:25:404,356.52,31.28,513.63,0.546,931.797,509.4481339378149,355.02
53,53,10/3/2021,11:38:25:514,355.52,31.32,510.53,0.546,931.797,509.592718226412,355.02
54,54,10/3/2021,11:38:25:623,355.02,31.3,511.73,0.546,931.647,509.74651878560445,355.02
55,55,10/3/2021,11:38:25:732,355.52,31.3,512.03,0.546,931.797,509.908877506654,355.02
56,56,10/3/2021,11:38:25:842,355.02,31.41,526.73,0.546,931.647,510.0791700838474,355.02
57,57,10/3/2021,11:38:25:967,354.52,31.3,527.63,0.546,931.797,510.25685157452784,355.02
58,58,10/3/2021,11:38:26:61,354.52,31.32,493.12,0.546,931.797,510.4414992246657,355.02
59,59,10/3/2021,11:38:26:217,355.02,31.37,506.83,0.547,931.647,510.6327653585692,355.02
60,60,10/3/2021,11:38:26:280,355.52,31.26,509.93,0.547,931.647,510.83027681934897,355.02
61,61,10/3/2021,11:38:26:389,354.52,31.32,518.83,0.547,931.647,511.0336074277388,355.02
62,62,10/3/2021,11:38:26:498,355.02,31.3,511.73,0.547,931.647,511.24232629793113,355.02
63,63,10/3/2021,11:38:26:608,354.52,31.32,511.43,0.546,931.647,511.4560335897696,355.02
64,64,10/3/2021,11:38:26:717,355.02,31.24,498.92,0.546,931.647,511.6743447628746,355.02
65,65,10/3/2021,11:38:26:827,354.52,31.37,498.02,0.546,931.647,511.8968337039033,355.02
66,66,10/3/2021,11:38:26:967,356.02,31.28,509.03,0.547,931.647,512.1229730097839,355.02
67,67,10/3/2021,11:38:27:45,355.02,31.26,528.83,0.546,931.647,512.3521374038543,355.02
68,68,10/3/2021,11:38:27:155,355.02,31.33,494.62,0.546,931.797,512.5836723885451,355.02
69,69,10/3/2021,11:38:27:264,355.02,31.3,530.03,0.546,931.647,512.8169369799376,355.02
70,70,10/3/2021,11:38:27:373,355.02,31.33,510.53,0.546,931.797,513.0513062565395,355.02
71,71,10/3/2021,11:38:27:482,354.52,31.3,531.33,0.546,931.647,513.2861972883852,355.02
72,72,10/3/2021,11:38:27:592,354.52,31.33,529.73,0.546,931.647,513.5211204684393,355.02
73,73,10/3/2021,11:38:27:717,355.02,31.98,511.73,0.546,931.647,513.7557201476267,355.02
74,74,10/3/2021,11:38:27:811,354.02,31.33,513.03,0.545,931.647,513.9897593327591,355.02
75,75,10/3/2021,11:38:27:967,354.52,31.26,509.03,0.546,931.647,514.2230474068336,355.02
76,76,10/3/2021,11:38:28:29,355.02,31.32,515.73,0.546,931.647,514.4553808606454,355.02
77,77,10/3/2021,11:38:28:139,355.52,31.28,511.43,0.546,931.647,514.6865297384367,355.02
78,78,10/3/2021,11:38:28:248,358.42,31.35,525.23,0.546,931.647,514.9162514580008,355.02
79,79,10/3/2021,11:38:28:357,354.52,31.35,508.73,0.546,931.647,515.1443148685803,355.02
80,80,10/3/2021,11:38:28:467,355.02,31.3,491.92,0.546,931.797,515.3704895886151,355.02
81,81,10/3/2021,11:38:28:576,355.02,31.22,490.42,0.546,931.647,515.5944554324409,355.02
82,82,10/3/2021,11:38:28:717,354.52,31.39,527.33,0.546,931.647,515.8157078685783,355.02
83,83,10/3/2021,11:38:28:795,355.02,31.32,511.13,0.546,931.647,516.0335844207783,355.02
84,84,10/3/2021,11:38:28:905,355.52,31.16,521.23,0.546,931.647,516.2473702217814,355.02
85,85,10/3/2021,11:38:29:14,355.52,31.35,527.03,0.546,931.647,516.4563669162645,355.02
86,86,10/3/2021,11:38:29:124,355.52,31.37,531.03,0.546,931.647,516.6599351295964,355.02
87,87,10/3/2021,11:38:29:233,355.52,31.35,493.12,0.546,931.647,516.8575198394561,355.02
88,88,10/3/2021,11:38:29:342,356.02,31.26,531.63,0.546,931.647,517.0486059618868,355.02
89,89,10/3/2021,11:38:29:467,356.52,31.37,507.53,0.546,931.647,517.232659057251,355.02
90,90,10/3/2021,11:38:29:561,355.52,31.32,531.33,0.546,931.647,517.4091311688077,355.02
91,91,10/3/2021,11:38:29:717,356.02,31.26,519.43,0.546,931.647,517.5774998294079,355.02
92,92,10/3/2021,11:38:29:780,355.52,31.35,525.53,0.547,931.647,517.7372985745117,355.02
93,93,10/3/2021,11:38:29:889,354.52,31.32,530.33,0.547,931.647,517.888136644793,355.02
94,94,10/3/2021,11:38:29:998,355.02,31.3,531.93,0.547,931.647,518.0297223244761,355.02
95,95,10/3/2021,11:38:30:108,354.52,31.32,530.73,0.546,931.647,518.1618960841125,355.02
96,96,10/3/2021,11:38:30:217,355.02,31.24,512.33,0.546,931.647,518.2846376737946,355.02
97,97,10/3/2021,11:38:30:326,355.02,31.12,527.93,0.546,931.647,518.3980239403542,355.02
98,98,10/3/2021,11:38:30:467,356.02,31.33,509.33,0.546,931.647,518.502174880159,355.02
99,99,10/3/2021,11:38:30:545,355.52,31.3,528.23,0.546,931.647,518.5972246862923,355.02
100,100,10/3/2021,11:38:30:655,354.52,31.28,502.33,0.546,931.647,518.6833070391688,355.02
101,101,10/3/2021,11:38:30:764,356.02,31.3,528.23,0.546,931.647,518.7605365976442,355.02
102,102,10/3/2021,11:38:30:873,355.02,31.28,498.02,0.546,931.647,518.8289891623024,355.02
103,103,10/3/2021,11:38:30:982,354.52,31.28,512.63,0.546,931.647,518.8886740372975,355.02
104,104,10/3/2021,11:38:31:92,356.02,31.28,528.83,0.546,931.647,518.9395114670704,355.02
105,105,10/3/2021,11:38:31:217,354.52,31.37,527.33,0.546,931.647,518.9813740306347,355.02
106,106,10/3/2021,11:38:31:311,355.02,31.22,528.53,0.546,931.647,519.014176711562,355.02
107,107,10/3/2021,11:38:31:482,356.02,31.28,521.83,0.546,931.647,519.0379278957133,355.02
108,108,10/3/2021,11:38:31:529,356.02,31.28,521.83,0.546,931.647,519.0527219104291,355.02
109,109,10/3/2021,11:38:31:639,355.52,31.32,527.63,0.547,931.647,519.0587153596238,355.02
110,110,10/3/2021,11:38:31:748,355.52,31.28,509.63,0.547,931.647,519.0561116097016,355.02
111,111,10/3/2021,11:38:31:857,355.02,31.32,520.63,0.547,931.647,519.0451359844724,355.02
112,112,10/3/2021,11:38:31:967,355.02,31.32,509.33,0.547,931.647,519.0259966302049,355.02
113,113,10/3/2021,11:38:32:76,355.02,31.33,514.23,0.547,931.647,518.9988542014931,355.02
114,114,10/3/2021,11:38:32:232,355.02,31.18,514.23,0.547,931.647,518.963805402183,355.02
115,115,10/3/2021,11:38:32:295,355.52,31.28,523.33,0.546,931.647,518.9208865436676,355.02
116,116,10/3/2021,11:38:32:404,355.02,31.28,520.33,0.546,931.647,518.8701053131851,355.02
