,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,10/3/2021,11:31:14:921,356.52,31.2,527.03,0.547,931.347,523.747592390862,356.52
1,1,10/3/2021,11:31:15:46,356.52,31.1,511.43,0.547,931.347,523.4179251755316,356.52
2,2,10/3/2021,11:31:15:124,355.52,31.3,521.23,0.547,931.197,523.0842228113452,356.52
3,3,10/3/2021,11:31:15:234,355.52,31.18,518.13,0.547,931.197,522.746992457688,356.52
4,4,10/3/2021,11:31:15:343,356.52,31.28,514.53,0.547,931.197,522.4067198765143,356.52
5,5,10/3/2021,11:31:15:453,355.52,31.2,514.83,0.547,931.197,522.0638684663559,356.52
6,6,10/3/2021,11:31:15:562,355.52,31.12,514.83,0.547,931.197,521.7188746880815,356.52
7,7,10/3/2021,11:31:15:671,356.02,31.26,519.43,0.547,931.197,521.3721466014364,356.52
8,8,10/3/2021,11:31:15:827,356.52,31.14,511.43,0.547,931.197,521.024067386145,356.52
9,9,10/3/2021,11:31:15:890,356.02,31.24,522.73,0.547,931.197,520.6749986618972,356.52
10,10,10/3/2021,11:31:16:46,356.02,31.26,522.73,0.547,931.197,520.3252860022225,356.52
11,11,10/3/2021,11:31:16:109,356.02,31.26,516.03,0.547,931.047,519.9752691676015,356.52
12,12,10/3/2021,11:31:16:218,356.02,31.2,513.33,0.547,931.197,519.6252855682325,356.52
13,13,10/3/2021,11:31:16:327,355.52,31.24,512.03,0.547,931.047,519.2756610416408,356.52
14,14,10/3/2021,11:31:16:437,356.02,31.2,511.73,0.547,931.197,518.9266986764119,356.52
15,15,10/3/2021,11:31:16:546,356.52,31.22,529.43,0.547,931.197,518.5786779763898,356.52
16,16,10/3/2021,11:31:16:656,356.52,31.2,494.02,0.5479999999999999,931.197,518.2318630068653,356.52
17,17,10/3/2021,11:31:16:781,356.02,31.1,513.63,0.5479999999999999,931.197,517.8864990695901,356.52
18,18,10/3/2021,11:31:16:875,356.52,31.1,499.52,0.5479999999999999,931.197,517.5427939250588,356.52
19,19,10/3/2021,11:31:16:968,356.52,31.12,511.13,0.547,931.197,517.2009059173254,356.52
20,20,10/3/2021,11:31:17:93,355.52,31.16,512.03,0.547,931.197,516.8609468937074,356.52
21,21,10/3/2021,11:31:17:187,356.02,31.14,529.73,0.547,931.047,516.5229977305046,356.52
22,22,10/3/2021,11:31:17:312,356.02,31.2,511.13,0.547,931.197,516.1871331766984,356.52
23,23,10/3/2021,11:31:17:422,356.02,31.2,510.83,0.547,931.197,515.8534354304081,356.52
24,24,10/3/2021,11:31:17:593,356.02,31.24,511.13,0.546,931.197,515.5219849101449,356.52
25,25,10/3/2021,11:31:17:640,356.02,31.24,511.13,0.546,931.197,515.1928467187628,356.52
26,26,10/3/2021,11:31:17:749,357.02,31.18,523.33,0.546,931.197,514.866070513908,356.52
27,27,10/3/2021,11:31:17:859,356.02,31.26,513.03,0.547,931.197,514.5417021435356,356.52
28,28,10/3/2021,11:31:17:968,355.52,31.2,527.63,0.547,931.197,514.2197972253516,356.52
29,29,10/3/2021,11:31:18:77,356.52,31.18,510.53,0.547,931.197,513.9004298708683,356.52
