,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,10/3/2021,10:58:15:136,343.32,30.99,476.92,0.55,928.896,482.1318008555235,343.32
1,1,10/3/2021,10:58:15:230,342.82,30.89,476.32,0.55,928.896,482.3949465765458,343.32
2,2,10/3/2021,10:58:15:339,342.82,30.91,478.52,0.5489999999999999,928.746,482.6587810311991,343.32
3,3,10/3/2021,10:58:15:448,342.82,30.89,479.42,0.5489999999999999,928.896,482.9231733627845,343.32
4,4,10/3/2021,10:58:15:558,344.82,30.91,478.22,0.5489999999999999,928.896,483.187990903956,343.32
5,5,10/3/2021,10:58:15:667,343.82,30.95,481.22,0.5489999999999999,928.896,483.45309936366914,343.32
6,6,10/3/2021,10:58:15:807,343.32,30.91,494.92,0.5489999999999999,928.896,483.7183633226304,343.32
7,7,10/3/2021,10:58:15:886,342.82,30.83,479.72,0.55,928.896,483.98364745462027,343.32
8,8,10/3/2021,10:58:16:42,343.32,30.95,496.82,0.551,928.746,484.2488176391028,343.32
9,9,10/3/2021,10:58:16:104,343.32,30.93,485.22,0.552,928.746,484.5137414342669,343.32
10,10,10/3/2021,10:58:16:214,343.82,30.85,498.02,0.552,928.596,484.7782885130719,343.32
11,11,10/3/2021,10:58:16:323,343.82,30.87,495.92,0.551,928.596,485.0423313660794,343.32
12,12,10/3/2021,10:58:16:433,343.32,30.79,481.22,0.551,928.596,485.3057457994776,343.32
13,13,10/3/2021,10:58:16:542,343.32,30.99,485.22,0.55,928.596,485.56841014430563,343.32
14,14,10/3/2021,10:58:16:656,344.82,30.91,488.22,0.55,928.596,485.83020355226654,343.32
15,15,10/3/2021,10:58:16:793,343.32,30.89,515.13,0.5489999999999999,928.596,486.0910059416085,343.32
16,16,10/3/2021,10:58:16:887,343.32,30.91,495.22,0.5489999999999999,928.746,486.3507005366559,343.32
17,17,10/3/2021,10:58:17:59,343.32,30.93,497.72,0.5489999999999999,928.746,486.6091762420395,343.32
18,18,10/3/2021,10:58:17:106,344.32,30.83,475.72,0.5489999999999999,928.746,486.86632702599616,343.32
19,19,10/3/2021,10:58:17:215,343.32,30.95,513.93,0.5489999999999999,928.596,487.1220496570952,343.32
