,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,10/3/2021,10:46:15:450,346.22,30.83,513.93,0.5479999999999999,929.346,518.8752659661213,346.22
1,1,10/3/2021,10:46:15:575,346.22,30.87,518.83,0.5479999999999999,929.346,518.6734089742051,346.22
2,2,10/3/2021,10:46:15:669,346.22,30.81,503.23,0.5479999999999999,929.346,518.4717785308427,346.22
3,3,10/3/2021,10:46:15:809,346.22,30.81,480.92,0.5479999999999999,929.496,518.2704905690136,346.22
4,4,10/3/2021,10:46:15:888,348.22,30.87,502.63,0.547,929.346,518.0696525010561,346.22
5,5,10/3/2021,10:46:16:59,345.72,30.79,503.53,0.547,929.346,517.8693599360956,346.22
6,6,10/3/2021,10:46:16:106,346.22,30.77,520.63,0.547,929.346,517.6696982929686,346.22
7,7,10/3/2021,10:46:16:216,347.22,30.89,493.12,0.5489999999999999,929.346,517.4707465282181,346.22
8,8,10/3/2021,10:46:16:325,346.22,30.79,520.63,0.5489999999999999,929.346,517.2725787242131,346.22
9,9,10/3/2021,10:46:16:435,346.22,30.81,498.02,0.55,929.346,517.0752639208545,346.22
10,10,10/3/2021,10:46:16:544,345.72,30.77,521.53,0.5489999999999999,929.196,516.8788663889097,346.22
11,11,10/3/2021,10:46:16:653,346.22,30.81,522.73,0.5489999999999999,929.196,516.6834471099938,346.22
12,12,10/3/2021,10:46:16:793,346.72,30.79,486.12,0.5479999999999999,929.346,516.4890653937179,346.22
13,13,10/3/2021,10:46:16:872,346.22,30.83,521.53,0.5479999999999999,929.196,516.2957779205876,346.22
14,14,10/3/2021,10:46:16:981,346.22,30.83,504.43,0.547,929.196,516.1036366593312,346.22
15,15,10/3/2021,10:46:17:90,346.22,30.81,505.33,0.547,929.196,515.9126889588422,346.22
16,16,10/3/2021,10:46:17:200,346.72,30.83,481.22,0.547,929.196,515.7229770575575,346.22
17,17,10/3/2021,10:46:17:309,346.22,30.83,520.03,0.547,929.196,515.5345353970802,346.22
18,18,10/3/2021,10:46:17:418,346.22,30.79,494.62,0.5479999999999999,929.346,515.3473897951664,346.22
19,19,10/3/2021,10:46:17:543,346.22,30.79,523.03,0.5479999999999999,929.196,515.1615596397087,346.22
