,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
0,0,10/3/2021,10:34:4:402,306.22,31.12,447.02,0.544,926.146,306.22
1,1,10/3/2021,10:34:4:496,305.72,31.08,447.02,0.545,926.296,306.22
2,2,10/3/2021,10:34:4:605,305.22,31.06,446.72,0.545,926.296,306.22
3,3,10/3/2021,10:34:4:714,305.72,31.04,458.62,0.545,926.296,306.22
4,4,10/3/2021,10:34:4:855,305.72,31.12,468.42,0.545,926.296,306.22
5,5,10/3/2021,10:34:4:933,305.22,31.0,462.02,0.544,926.296,306.22
6,6,10/3/2021,10:34:5:108,306.22,31.2,450.72,0.544,926.296,306.22
7,7,10/3/2021,10:34:5:155,305.72,31.18,465.92,0.544,926.296,306.22
8,8,10/3/2021,10:34:5:264,306.22,31.04,446.12,0.544,926.296,306.22
9,9,10/3/2021,10:34:5:374,305.72,31.04,446.42,0.544,926.296,306.22
10,10,10/3/2021,10:34:5:483,305.72,30.99,446.42,0.545,926.296,306.22
11,11,10/3/2021,10:34:5:592,305.72,31.12,445.52,0.545,926.296,306.22
12,12,10/3/2021,10:34:5:702,305.72,31.08,445.22,0.545,926.296,306.22
13,13,10/3/2021,10:34:5:842,305.22,31.08,428.42,0.544,926.296,306.22
14,14,10/3/2021,10:34:5:921,305.72,31.16,442.42,0.545,926.446,306.22
15,15,10/3/2021,10:34:6:30,305.72,31.08,434.52,0.545,926.296,306.22
16,16,10/3/2021,10:34:6:139,305.72,31.08,445.22,0.545,926.296,306.22
17,17,10/3/2021,10:34:6:249,306.22,31.02,449.52,0.545,926.296,306.22
18,18,10/3/2021,10:34:6:358,305.22,31.16,454.42,0.545,926.296,306.22
19,19,10/3/2021,10:34:6:467,306.22,31.2,445.22,0.544,926.296,306.22
20,20,10/3/2021,10:34:6:592,305.72,31.18,443.72,0.544,926.296,306.22
21,21,10/3/2021,10:34:6:686,306.22,31.2,436.62,0.544,926.296,306.22
22,22,10/3/2021,10:34:6:842,305.72,31.18,430.22,0.545,926.296,306.22
23,23,10/3/2021,10:34:6:905,305.72,31.04,427.52,0.544,926.296,306.22
24,24,10/3/2021,10:34:7:14,307.22,31.16,465.62,0.544,926.146,306.22
25,25,10/3/2021,10:34:7:124,306.22,31.16,428.42,0.544,926.296,306.22
26,26,10/3/2021,10:34:7:233,306.72,31.12,465.62,0.544,926.146,306.22
27,27,10/3/2021,10:34:7:342,306.22,31.12,439.12,0.544,926.146,306.22
28,28,10/3/2021,10:34:7:452,305.22,31.18,465.92,0.544,926.146,306.22
29,29,10/3/2021,10:34:7:592,305.72,31.1,432.42,0.544,926.296,306.22
