,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,16/3/2021,11:25:19:208,260.31,30.73,387.82,0.5489999999999999,936.547,389.70145523917574,260.31
1,1,16/3/2021,11:25:19:239,260.31,30.69,388.42,0.5489999999999999,936.547,389.74880476061793,260.31
2,2,16/3/2021,11:25:19:349,259.81,30.79,388.12,0.5489999999999999,936.547,389.7960833428624,260.31
3,3,16/3/2021,11:25:19:458,259.31,30.75,387.82,0.5489999999999999,936.397,389.8432746493757,260.31
4,4,16/3/2021,11:25:19:572,259.81,30.75,387.52,0.5489999999999999,936.397,389.8903621037702,260.31
5,5,16/3/2021,11:25:19:681,259.31,30.79,406.42,0.5489999999999999,936.397,389.9373290156744,260.31
6,6,16/3/2021,11:25:19:791,260.31,30.71,368.02,0.5489999999999999,936.547,389.98415886757766,260.31
7,7,16/3/2021,11:25:19:947,259.31,30.67,386.92,0.55,936.547,390.0308351110222,260.31
8,8,16/3/2021,11:25:20:9,259.81,30.71,377.42,0.55,936.397,390.0773403899311,260.31
9,9,16/3/2021,11:25:20:119,259.81,30.75,389.62,0.5489999999999999,936.397,390.123656126554,260.31
10,10,16/3/2021,11:25:20:228,259.81,30.77,390.92,0.5489999999999999,936.547,390.169762777238,260.31
11,11,16/3/2021,11:25:20:338,259.81,30.71,389.32,0.5489999999999999,936.547,390.2156403253412,260.31
12,12,16/3/2021,11:25:20:447,260.81,30.75,388.72,0.5489999999999999,936.397,390.2612686218673,260.31
13,13,16/3/2021,11:25:20:556,260.31,30.77,388.12,0.5489999999999999,936.397,390.30662742065283,260.31
14,14,16/3/2021,11:25:20:681,260.31,30.75,408.02,0.5479999999999999,936.397,390.3516964482045,260.31
15,15,16/3/2021,11:25:20:775,259.81,30.67,407.02,0.5479999999999999,936.547,390.39645601183975,260.31
16,16,16/3/2021,11:25:20:947,259.81,30.75,387.82,0.5479999999999999,936.397,390.4408877999821,260.31
17,17,16/3/2021,11:25:20:994,259.81,30.65,371.32,0.5489999999999999,936.547,390.4849747002931,260.31
18,18,16/3/2021,11:25:21:103,259.81,30.79,408.92,0.5489999999999999,936.397,390.5286996884306,260.31
19,19,16/3/2021,11:25:21:212,258.81,30.71,372.22,0.5489999999999999,936.547,390.5720452758917,260.31
20,20,16/3/2021,11:25:21:322,258.81,30.71,410.72,0.5489999999999999,936.397,390.6149937817456,260.31
21,21,16/3/2021,11:25:21:431,259.81,30.75,392.72,0.5489999999999999,936.547,390.6575277567279,260.31
22,22,16/3/2021,11:25:21:540,260.31,30.71,390.32,0.5489999999999999,936.397,390.6996303874851,260.31
23,23,16/3/2021,11:25:21:696,259.31,30.71,387.22,0.5489999999999999,936.547,390.74128546126326,260.31
24,24,16/3/2021,11:25:21:759,259.81,30.69,387.82,0.5489999999999999,936.397,390.782476843448,260.31
25,25,16/3/2021,11:25:21:868,259.81,30.77,405.82,0.5489999999999999,936.397,390.8231882485297,260.31
