,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,16/3/2021,11:17:2:910,259.31,30.79,410.72,0.552,936.097,410.1616231604193,259.31
1,1,16/3/2021,11:17:2:941,259.81,30.77,391.22,0.552,936.247,409.9466621826449,259.31
2,2,16/3/2021,11:17:3:51,259.81,31.06,390.32,0.552,936.247,409.73188205220487,259.31
3,3,16/3/2021,11:17:3:160,260.31,30.73,407.02,0.5529999999999999,936.247,409.51732630592795,259.31
4,4,16/3/2021,11:17:3:269,260.31,30.69,390.02,0.5539999999999999,936.097,409.3030379012504,259.31
5,5,16/3/2021,11:17:3:379,259.81,30.73,390.02,0.555,936.097,409.0890592492084,259.31
6,6,16/3/2021,11:17:3:488,260.31,30.65,387.22,0.5539999999999999,936.097,408.87543212105834,259.31
7,7,16/3/2021,11:17:3:629,259.31,30.63,411.02,0.552,935.947,408.6621975554113,259.31
8,8,16/3/2021,11:17:3:707,260.31,30.63,404.62,0.552,935.947,408.4493960120172,259.31
9,9,16/3/2021,11:17:3:816,259.81,30.69,389.32,0.551,936.097,408.237067619514,259.31
10,10,16/3/2021,11:17:3:926,260.31,30.65,391.52,0.551,936.097,408.0252521712268,259.31
11,11,16/3/2021,11:17:4:35,260.31,30.73,389.62,0.551,936.097,407.8139889058728,259.31
12,12,16/3/2021,11:17:4:144,259.81,30.67,389.62,0.551,936.097,407.6033163532669,259.31
13,13,16/3/2021,11:17:4:254,261.71,30.73,389.62,0.551,936.097,407.39327229609785,259.31
14,14,16/3/2021,11:17:4:378,259.81,30.69,389.02,0.551,936.097,407.1838937630058,259.31
15,15,16/3/2021,11:17:4:472,260.31,30.75,388.72,0.551,936.097,406.9752170253189,259.31
16,16,16/3/2021,11:17:4:650,259.31,30.71,390.92,0.551,936.097,406.7672775990272,259.31
17,17,16/3/2021,11:17:4:693,259.31,30.67,392.42,0.551,936.097,406.56011026962966,259.31
18,18,16/3/2021,11:17:4:802,260.31,30.73,374.72,0.551,936.097,406.35374910010216,259.31
19,19,16/3/2021,11:17:4:918,260.81,30.77,397.02,0.551,936.097,406.1482273580148,259.31
20,20,16/3/2021,11:17:5:19,259.31,30.73,374.42,0.551,936.247,405.94357744156304,259.31
21,21,16/3/2021,11:17:5:144,260.31,30.71,390.32,0.551,936.097,405.7398308618982,259.31
22,22,16/3/2021,11:17:5:238,259.31,30.73,389.02,0.551,936.097,405.53701824700835,259.31
23,23,16/3/2021,11:17:5:378,258.81,30.81,388.12,0.551,936.097,405.3351694061088,259.31
24,24,16/3/2021,11:17:5:457,259.81,30.75,387.22,0.551,936.097,405.134313413736,259.31
25,25,16/3/2021,11:17:5:566,259.31,30.75,381.72,0.551,936.097,404.9344786082458,259.31
26,26,16/3/2021,11:17:5:675,260.31,30.79,375.92,0.551,936.097,404.7356924999745,259.31
27,27,16/3/2021,11:17:5:785,259.81,30.71,390.62,0.551,936.097,404.5379816585604,259.31
28,28,16/3/2021,11:17:5:894,260.31,30.67,390.32,0.551,936.097,404.341371723422,259.31
29,29,16/3/2021,11:17:6:3,260.31,30.63,383.52,0.551,936.097,404.14588754765845,259.31
30,30,16/3/2021,11:17:6:128,259.81,30.73,412.52,0.551,935.947,403.9515533458539,259.31
31,31,16/3/2021,11:17:6:222,260.31,30.75,379.32,0.551,936.097,403.7583928484134,259.31
32,32,16/3/2021,11:17:6:378,260.31,30.73,387.52,0.551,936.097,403.5664293674002,259.31
33,33,16/3/2021,11:17:6:440,259.81,30.69,390.92,0.551,936.097,403.37568566304236,259.31
34,34,16/3/2021,11:17:6:550,259.31,30.71,375.92,0.551,936.247,403.1861838043983,259.31
35,35,16/3/2021,11:17:6:659,259.31,30.67,371.62,0.551,936.097,402.9979450607695,259.31
36,36,16/3/2021,11:17:6:774,260.31,30.73,390.32,0.551,936.097,402.81098973409513,259.31
37,37,16/3/2021,11:17:6:883,260.31,30.77,390.32,0.551,936.097,402.625337146873,259.31
38,38,16/3/2021,11:17:6:992,259.31,30.71,403.72,0.5529999999999999,936.097,402.4410058959085,259.31
39,39,16/3/2021,11:17:7:134,259.31,30.77,394.52,0.555,935.947,402.25801416260936,259.31
40,40,16/3/2021,11:17:7:212,259.81,30.51,390.02,0.555,935.947,402.0763798729074,259.31
41,41,16/3/2021,11:17:7:322,258.81,30.73,386.02,0.5539999999999999,935.947,401.8961206428389,259.31
42,42,16/3/2021,11:17:7:431,258.81,30.81,408.32,0.5529999999999999,935.797,401.7172536701011,259.31
43,43,16/3/2021,11:17:7:540,260.81,30.67,390.02,0.5539999999999999,935.947,401.53979579350494,259.31
44,44,16/3/2021,11:17:7:650,259.81,30.75,370.12,0.555,935.947,401.36376355368486,259.31
45,45,16/3/2021,11:17:7:759,259.81,30.75,370.42,0.555,935.797,401.1891729270561,259.31
46,46,16/3/2021,11:17:7:884,259.31,30.71,389.32,0.555,935.797,401.0160389378276,259.31
47,47,16/3/2021,11:17:7:978,259.31,30.71,388.42,0.5539999999999999,935.797,400.84437560901927,259.31
48,48,16/3/2021,11:17:8:149,259.81,30.69,386.62,0.552,935.947,400.6741962048369,259.31
49,49,16/3/2021,11:17:8:196,259.81,30.81,388.12,0.552,935.947,400.5055134084884,259.31
50,50,16/3/2021,11:17:8:306,259.81,30.75,411.62,0.551,935.797,400.33833941885615,259.31
51,51,16/3/2021,11:17:8:415,259.81,30.83,389.62,0.552,935.947,400.17268614951166,259.31
52,52,16/3/2021,11:17:8:524,259.81,30.67,405.22,0.5539999999999999,935.947,400.0085654274019,259.31
53,53,16/3/2021,11:17:8:634,259.31,30.67,390.02,0.555,935.947,399.84598902799524,259.31
54,54,16/3/2021,11:17:8:743,260.31,30.69,389.62,0.557,935.797,399.6849685976898,259.31
55,55,16/3/2021,11:17:8:884,259.81,30.83,389.02,0.555,935.797,399.5255155211385,259.31
56,56,16/3/2021,11:17:8:962,259.81,30.69,388.12,0.555,935.797,399.3676407940374,259.31
57,57,16/3/2021,11:17:9:71,259.31,30.79,386.62,0.5529999999999999,935.797,399.2113549627115,259.31
58,58,16/3/2021,11:17:9:181,259.81,30.73,391.22,0.552,935.797,399.0566681054936,259.31
59,59,16/3/2021,11:17:9:290,259.31,30.75,391.52,0.551,935.797,398.90358985378464,259.31
60,60,16/3/2021,11:17:9:399,259.81,30.69,379.32,0.551,935.947,398.7521294241046,259.31
61,61,16/3/2021,11:17:9:509,259.81,30.71,411.62,0.551,935.797,398.60229563033164,259.31
62,62,16/3/2021,11:17:9:634,260.31,30.75,399.12,0.551,935.947,398.4540970198632,259.31
63,63,16/3/2021,11:17:9:728,259.31,30.81,395.42,0.551,935.947,398.30754212106456,259.31
64,64,16/3/2021,11:17:9:884,260.31,30.81,387.52,0.551,936.097,398.162639500317,259.31
65,65,16/3/2021,11:17:9:946,261.21,30.69,383.22,0.551,936.097,398.0193975686487,259.31
66,66,16/3/2021,11:17:10:56,259.31,30.75,390.02,0.551,936.097,397.8778243638102,259.31
67,67,16/3/2021,11:17:10:165,259.31,30.75,371.62,0.551,936.097,397.73792741862883,259.31
68,68,16/3/2021,11:17:10:275,259.31,30.81,369.52,0.551,936.097,397.59971360902114,259.31
69,69,16/3/2021,11:17:10:384,259.81,30.69,371.62,0.551,936.097,397.46318891295647,259.31
70,70,16/3/2021,11:17:10:493,260.31,30.79,404.02,0.551,936.097,397.32835831466485,259.31
71,71,16/3/2021,11:17:10:634,260.31,30.85,388.12,0.551,936.097,397.1952260723193,259.31
72,72,16/3/2021,11:17:10:712,259.31,30.83,390.02,0.551,936.097,397.06379608963465,259.31
73,73,16/3/2021,11:17:10:822,260.31,30.71,393.92,0.551,936.097,396.9340720473069,259.31
74,74,16/3/2021,11:17:10:931,259.81,30.81,408.32,0.551,936.097,396.8060574354013,259.31
75,75,16/3/2021,11:17:11:41,260.31,30.79,371.32,0.551,936.247,396.6797556527964,259.31
76,76,16/3/2021,11:17:11:150,259.81,30.81,370.42,0.551,936.097,396.5551698941129,259.31
77,77,16/3/2021,11:17:11:259,260.31,30.77,371.32,0.551,936.247,396.4323027254104,259.31
78,78,16/3/2021,11:17:11:384,259.81,30.71,390.02,0.551,936.097,396.3111557822206,259.31
79,79,16/3/2021,11:17:11:478,259.31,30.67,373.82,0.552,936.247,396.191729836324,259.31
80,80,16/3/2021,11:17:11:634,259.31,30.77,386.02,0.552,936.097,396.0740249648568,259.31
81,81,16/3/2021,11:17:11:697,259.81,30.77,374.12,0.552,936.097,395.95804059588204,259.31
82,82,16/3/2021,11:17:11:806,258.81,30.73,401.22,0.5529999999999999,936.097,395.8437755307216,259.31
83,83,16/3/2021,11:17:11:915,259.31,30.75,373.22,0.555,936.097,395.7312280583537,259.31
84,84,16/3/2021,11:17:12:25,260.31,30.77,406.12,0.555,935.947,395.6203960868487,259.31
85,85,16/3/2021,11:17:12:149,259.81,30.79,371.02,0.555,936.097,395.51127721392317,259.31
86,86,16/3/2021,11:17:12:243,258.81,30.73,372.22,0.5529999999999999,935.947,395.40386866131934,259.31
87,87,16/3/2021,11:17:12:399,259.31,30.77,396.42,0.552,935.947,395.2981670740666,259.31
88,88,16/3/2021,11:17:12:462,259.81,30.71,372.92,0.552,935.947,395.194168453928,259.31
89,89,16/3/2021,11:17:12:571,259.31,30.79,374.42,0.551,935.947,395.0918682228205,259.31
90,90,16/3/2021,11:17:12:680,260.31,30.75,377.72,0.551,936.097,394.99126113848035,259.31
91,91,16/3/2021,11:17:12:790,259.81,30.77,390.62,0.551,935.947,394.8923412074243,259.31
92,92,16/3/2021,11:17:12:899,259.81,30.71,380.82,0.551,936.097,394.7951018052803,259.31
93,93,16/3/2021,11:17:13:9,260.81,30.77,391.52,0.551,935.947,394.69953584838163,259.31
94,94,16/3/2021,11:17:13:149,259.81,30.69,373.52,0.551,936.097,394.60563585288145,259.31
95,95,16/3/2021,11:17:13:227,259.31,30.63,394.52,0.551,936.097,394.51339390429337,259.31
96,96,16/3/2021,11:17:13:399,259.81,30.81,390.32,0.551,936.097,394.4228016740817,259.31
97,97,16/3/2021,11:17:13:446,259.31,30.71,376.22,0.551,936.097,394.33385051252617,259.31
98,98,16/3/2021,11:17:13:555,260.31,30.79,379.62,0.551,936.097,394.2465314204207,259.31
99,99,16/3/2021,11:17:13:665,259.81,30.79,371.92,0.5529999999999999,936.247,394.16083485669947,259.31
100,100,16/3/2021,11:17:13:774,259.31,30.75,386.32,0.5539999999999999,936.097,394.0767505931151,259.31
101,101,16/3/2021,11:17:13:883,259.81,30.75,390.32,0.555,936.097,393.9942677570726,259.31
102,102,16/3/2021,11:17:13:993,259.31,30.75,390.92,0.5539999999999999,936.097,393.9133750341888,259.31
103,103,16/3/2021,11:17:14:149,259.31,30.73,374.12,0.552,936.097,393.8340608283997,259.31
104,104,16/3/2021,11:17:14:211,258.81,30.81,370.42,0.552,936.097,393.7563131682296,259.31
105,105,16/3/2021,11:17:14:321,259.81,30.71,394.52,0.551,935.947,393.6801194861058,259.31
106,106,16/3/2021,11:17:14:430,259.81,30.75,372.62,0.551,936.097,393.60546658398863,259.31
107,107,16/3/2021,11:17:14:540,259.81,30.77,382.62,0.551,936.097,393.5323407297717,259.31
108,108,16/3/2021,11:17:14:649,259.81,30.81,386.02,0.551,936.097,393.4607276727996,259.31
109,109,16/3/2021,11:17:14:758,260.81,30.79,390.02,0.551,936.097,393.390612684066,259.31
110,110,16/3/2021,11:17:14:883,259.81,30.77,391.52,0.551,936.097,393.3219807066507,259.31
111,111,16/3/2021,11:17:14:977,260.81,30.67,392.12,0.55,936.097,393.254816501355,259.31
112,112,16/3/2021,11:17:15:149,259.31,30.57,374.72,0.551,936.097,393.1891046848677,259.31
113,113,16/3/2021,11:17:15:196,260.31,30.81,373.52,0.551,936.097,393.12482958201605,259.31
114,114,16/3/2021,11:17:15:305,259.81,30.75,399.42,0.55,936.097,393.06197501951243,259.31
115,115,16/3/2021,11:17:15:414,259.31,30.75,392.12,0.551,936.247,393.00052438157576,259.31
116,116,16/3/2021,11:17:15:524,259.81,30.81,403.72,0.55,936.097,392.9404609168968,259.31
117,117,16/3/2021,11:17:15:638,260.31,30.77,391.22,0.551,936.247,392.88176798473205,259.31
118,118,16/3/2021,11:17:15:743,261.21,30.77,392.72,0.55,936.247,392.8244291042936,259.31
119,119,16/3/2021,11:17:15:883,259.81,30.99,392.72,0.551,936.247,392.76842787850916,259.31
120,120,16/3/2021,11:17:15:961,259.81,30.75,393.02,0.551,936.247,392.71374791983214,259.31
121,121,16/3/2021,11:17:16:70,259.31,30.67,393.32,0.551,936.247,392.660372839438,259.31
122,122,16/3/2021,11:17:16:180,260.31,30.81,379.32,0.551,936.247,392.60828622451913,259.31
