,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,18/3/2021,12:58:15:583,271.01,30.24,408.92,0.551,938.047,407.0520514487133,271.01
1,1,18/3/2021,12:58:15:677,272.51,30.3,415.92,0.552,938.197,406.8954632544641,271.01
2,2,18/3/2021,12:58:15:817,271.51,30.26,408.32,0.551,938.047,406.7337411599341,271.01
3,3,18/3/2021,12:58:15:895,271.01,30.26,407.02,0.551,938.047,406.5674136566468,271.01
4,4,18/3/2021,12:58:16:5,270.51,30.26,407.32,0.551,938.047,406.39705821641417,271.01
5,5,18/3/2021,12:58:16:114,271.01,30.28,405.22,0.551,938.047,406.2232725730609,271.01
6,6,18/3/2021,12:58:16:223,271.51,30.32,386.02,0.551,938.047,406.0466397269254,271.01
7,7,18/3/2021,12:58:16:333,271.01,30.3,404.02,0.551,938.047,405.8676609132376,271.01
8,8,18/3/2021,12:58:16:442,272.01,30.26,403.12,0.551,938.047,405.68670744026633,271.01
9,9,18/3/2021,12:58:16:567,271.51,30.26,409.52,0.551,938.047,405.5040545939573,271.01
10,10,18/3/2021,12:58:16:661,271.01,30.3,402.22,0.551,938.047,405.31994854174064,271.01
11,11,18/3/2021,12:58:16:817,272.01,30.3,393.62,0.551,938.047,405.13462381167966,271.01
12,12,18/3/2021,12:58:16:880,271.01,30.28,388.42,0.551,938.047,404.9482489094012,271.01
13,13,18/3/2021,12:58:16:989,271.01,30.26,428.72,0.551,937.897,404.7608756609778,271.01
14,14,18/3/2021,12:58:17:98,271.51,30.22,404.62,0.551,938.047,404.57250474002655,271.01
15,15,18/3/2021,12:58:17:208,272.51,30.28,426.32,0.551,937.897,404.38322290070084,271.01
16,16,18/3/2021,12:58:17:321,272.51,30.26,407.02,0.551,938.047,404.1932828736492,271.01
17,17,18/3/2021,12:58:17:415,271.01,30.28,413.52,0.551,938.047,404.0031096342376,271.01
18,18,18/3/2021,12:58:17:571,271.51,30.3,405.52,0.551,937.897,403.81326912784033,271.01
19,19,18/3/2021,12:58:17:634,271.51,30.22,403.12,0.551,938.047,403.6244215867784,271.01
20,20,18/3/2021,12:58:17:743,271.51,30.26,397.32,0.551,938.047,403.4372691841661,271.01
21,21,18/3/2021,12:58:17:852,271.51,30.32,392.12,0.551,938.047,403.25249235760805,271.01
22,22,18/3/2021,12:58:17:962,271.01,30.28,387.82,0.551,938.047,403.0706771331799,271.01
23,23,18/3/2021,12:58:18:71,271.01,30.28,424.72,0.551,938.047,402.8922818181409,271.01
24,24,18/3/2021,12:58:18:181,271.01,30.26,398.82,0.551,938.047,402.71770742810526,271.01
25,25,18/3/2021,12:58:18:305,271.01,30.28,427.52,0.551,937.897,402.5474215117273,271.01
26,26,18/3/2021,12:58:18:399,271.51,30.34,393.92,0.551,938.047,402.38202826972696,271.01
27,27,18/3/2021,12:58:18:571,271.01,30.22,388.42,0.551,938.047,402.22223765482175,271.01
28,28,18/3/2021,12:58:18:618,272.51,30.26,397.62,0.551,938.047,402.0687455380033,271.01
29,29,18/3/2021,12:58:18:727,271.51,30.28,393.02,0.551,938.047,401.9221323195755,271.01
30,30,18/3/2021,12:58:18:837,273.51,30.28,388.72,0.551,938.047,401.7828427889029,271.01
31,31,18/3/2021,12:58:18:946,272.01,30.22,406.12,0.551,938.047,401.65119221293634,271.01
32,32,18/3/2021,12:58:19:55,271.51,30.28,387.52,0.551,938.047,401.5273841134672,271.01
33,33,18/3/2021,12:58:19:165,272.01,30.24,387.82,0.551,938.047,401.4115206107446,271.01
34,34,18/3/2021,12:58:19:321,271.51,30.24,392.12,0.552,938.047,401.30356455960737,271.01
35,35,18/3/2021,12:58:19:386,272.01,30.22,414.12,0.552,938.047,401.203325751968,271.01
36,36,18/3/2021,12:58:19:495,271.01,30.3,389.32,0.552,938.047,401.1105324397592,271.01
37,37,18/3/2021,12:58:19:605,270.51,30.2,412.82,0.552,938.047,401.02490488390197,271.01
38,38,18/3/2021,12:58:19:714,271.01,30.22,408.62,0.552,938.047,400.9461892845363,271.01
39,39,18/3/2021,12:58:19:823,270.51,30.16,408.32,0.552,938.047,400.87420466921935,271.01
40,40,18/3/2021,12:58:19:933,273.01,30.24,388.12,0.552,938.047,400.8088661662002,271.01
41,41,18/3/2021,12:58:20:58,270.51,30.28,388.12,0.552,938.047,400.75011209766336,271.01
42,42,18/3/2021,12:58:20:151,271.01,30.24,388.12,0.552,938.047,400.6977815176661,271.01
43,43,18/3/2021,12:58:20:307,271.01,30.3,428.12,0.551,937.897,400.6515750424792,271.01
44,44,18/3/2021,12:58:20:370,270.01,30.22,414.12,0.552,937.897,400.61117837151045,271.01
45,45,18/3/2021,12:58:20:481,270.51,30.18,389.02,0.552,938.047,400.57641799761535,271.01
46,46,18/3/2021,12:58:20:621,270.51,30.24,393.02,0.552,938.047,400.5472419412716,271.01
47,47,18/3/2021,12:58:20:700,271.01,30.26,406.42,0.551,938.047,400.5235864722856,271.01
