,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,18/3/2021,15:2:0:898,266.61,31.1,423.52,0.55,939.147,421.8525000966266,266.61
1,1,18/3/2021,15:2:1:23,266.61,31.14,420.22,0.55,939.147,421.60577566676216,266.61
2,2,18/3/2021,15:2:1:101,267.11,31.14,405.52,0.55,939.147,421.3569241390145,266.61
3,3,18/3/2021,15:2:1:210,267.11,31.18,407.02,0.55,939.147,421.10614622661467,266.61
4,4,18/3/2021,15:2:1:320,267.11,31.26,416.52,0.55,939.147,420.8536303732233,266.61
5,5,18/3/2021,15:2:1:429,268.11,31.14,402.52,0.55,939.147,420.5995508238609,266.61
6,6,18/3/2021,15:2:1:539,267.61,31.14,422.92,0.55,939.147,420.34406891194016,266.61
7,7,18/3/2021,15:2:1:653,267.61,31.16,404.62,0.55,939.147,420.08733481725153,266.61
8,8,18/3/2021,15:2:1:793,267.11,31.08,405.52,0.55,939.147,419.8294881569703,266.61
9,9,18/3/2021,15:2:1:871,267.61,31.2,417.12,0.55,939.147,419.5706562254109,266.61
10,10,18/3/2021,15:2:2:43,268.61,31.08,423.22,0.55,939.147,419.31095470329115,266.61
11,11,18/3/2021,15:2:2:90,267.11,31.14,406.72,0.55,939.297,419.050492804702,266.61
12,12,18/3/2021,15:2:2:199,267.11,31.14,420.82,0.55,939.147,418.7893760569752,266.61
13,13,18/3/2021,15:2:2:309,267.11,31.14,416.22,0.55,939.147,418.5277057598892,266.61
14,14,18/3/2021,15:2:2:418,268.11,31.14,427.82,0.55,939.147,418.26558068314864,266.61
15,15,18/3/2021,15:2:2:527,267.11,31.06,408.02,0.551,939.297,418.0031003792135,266.61
16,16,18/3/2021,15:2:2:637,267.61,30.99,426.02,0.55,939.147,417.74036582095437,266.61
17,17,18/3/2021,15:2:2:793,270.51,31.16,422.02,0.55,939.147,417.47747903249933,266.61
18,18,18/3/2021,15:2:2:856,267.11,31.18,422.62,0.551,939.147,417.21454533461474,266.61
19,19,18/3/2021,15:2:2:965,267.61,31.14,389.62,0.551,939.297,416.95167348351646,266.61
20,20,18/3/2021,15:2:3:74,266.61,31.06,423.82,0.55,939.147,416.68896890511576,266.61
21,21,18/3/2021,15:2:3:184,266.61,31.18,386.02,0.551,939.297,416.4265262833247,266.61
22,22,18/3/2021,15:2:3:293,268.11,31.18,423.22,0.55,939.147,416.16442679225037,266.61
23,23,18/3/2021,15:2:3:403,268.11,31.16,423.52,0.551,939.297,415.9027404258071,266.61
24,24,18/3/2021,15:2:3:527,267.11,31.08,421.42,0.55,939.147,415.64153441651206,266.61
25,25,18/3/2021,15:2:3:621,267.11,31.16,405.52,0.55,939.147,415.3808803620412,266.61
26,26,18/3/2021,15:2:3:777,266.61,31.2,409.82,0.551,939.147,415.12085197074936,266.61
27,27,18/3/2021,15:2:3:840,267.61,31.2,413.12,0.551,939.147,414.86151900051135,266.61
28,28,18/3/2021,15:2:3:949,268.61,31.1,402.52,0.551,939.147,414.602944710616,266.61
29,29,18/3/2021,15:2:4:59,267.11,31.22,404.02,0.551,939.297,414.345184658366,266.61
30,30,18/3/2021,15:2:4:168,266.61,31.14,405.22,0.551,939.297,414.0882840261691,266.61
31,31,18/3/2021,15:2:4:277,267.11,31.2,404.92,0.551,939.297,413.8322759702578,266.61
32,32,18/3/2021,15:2:4:387,267.61,31.16,401.22,0.551,939.147,413.57718175986986,266.61
33,33,18/3/2021,15:2:4:528,267.11,31.14,423.52,0.551,939.147,413.3230120148476,266.61
34,34,18/3/2021,15:2:4:606,267.61,31.14,423.52,0.551,939.147,413.06977217100854,266.61
35,35,18/3/2021,15:2:4:715,267.61,31.18,419.92,0.551,939.147,412.8174716427363,266.61
36,36,18/3/2021,15:2:4:825,267.11,31.18,416.52,0.551,939.147,412.56612933989237,266.61
37,37,18/3/2021,15:2:4:934,267.61,30.87,413.12,0.551,939.147,412.31577272490205,266.61
38,38,18/3/2021,15:2:5:43,266.61,31.24,409.82,0.551,939.147,412.0664341467891,266.61
39,39,18/3/2021,15:2:5:153,267.61,31.16,423.82,0.551,939.147,411.8181483196401,266.61
40,40,18/3/2021,15:2:5:293,267.11,31.14,405.52,0.551,939.147,411.5709526985245,266.61
41,41,18/3/2021,15:2:5:372,267.61,31.12,423.52,0.55,939.147,411.3248887229629,266.61
42,42,18/3/2021,15:2:5:528,266.61,31.2,418.62,0.55,939.147,411.08000288989496,266.61
43,43,18/3/2021,15:2:5:591,267.11,31.14,418.02,0.55,939.147,410.8363492553869,266.61
44,44,18/3/2021,15:2:5:700,267.11,31.16,411.92,0.55,939.147,410.5939909507055,266.61
45,45,18/3/2021,15:2:5:809,268.11,31.1,409.52,0.55,939.147,410.3529980215837,266.61
46,46,18/3/2021,15:2:5:920,269.51,31.08,405.82,0.55,939.147,410.1134433282887,266.61
47,47,18/3/2021,15:2:6:29,269.11,31.12,404.02,0.55,939.147,409.87539853627504,266.61
48,48,18/3/2021,15:2:6:139,267.61,31.2,403.42,0.55,939.147,409.6389308970245,266.61
49,49,18/3/2021,15:2:6:295,268.11,31.02,422.92,0.55,939.147,409.4041027027641,266.61
50,50,18/3/2021,15:2:6:358,267.61,31.12,404.62,0.55,939.147,409.1709750527125,266.61
51,51,18/3/2021,15:2:6:467,267.11,31.12,407.02,0.55,939.147,408.93961137126536,266.61
52,52,18/3/2021,15:2:6:577,267.61,31.1,423.82,0.551,939.147,408.7100772334224,266.61
53,53,18/3/2021,15:2:6:686,267.11,31.18,406.42,0.551,939.147,408.4824414567086,266.61
54,54,18/3/2021,15:2:6:795,267.11,31.14,406.42,0.551,939.147,408.25677811350937,266.61
55,55,18/3/2021,15:2:6:905,267.61,31.14,404.62,0.551,939.147,408.0331639969351,266.61
56,56,18/3/2021,15:2:7:16,267.11,31.08,403.42,0.551,939.147,407.8116741927905,266.61
57,57,18/3/2021,15:2:7:110,267.11,31.1,402.52,0.551,939.147,407.5923797480915,266.61
58,58,18/3/2021,15:2:7:266,266.61,31.16,404.62,0.551,939.297,407.375346720969,266.61
59,59,18/3/2021,15:2:7:328,267.11,31.14,415.32,0.551,939.147,407.16063699632105,266.61
60,60,18/3/2021,15:2:7:438,267.11,31.12,401.22,0.551,939.297,406.94831135921714,266.61
61,61,18/3/2021,15:2:7:547,267.11,31.18,403.42,0.551,939.297,406.73843110455607,266.61
62,62,18/3/2021,15:2:7:657,266.61,31.26,399.12,0.551,939.147,406.53105559174855,266.61
63,63,18/3/2021,15:2:7:766,266.61,31.18,385.12,0.551,939.147,406.32623760505805,266.61
64,64,18/3/2021,15:2:7:875,266.61,30.79,412.22,0.551,939.147,406.1240189953548,266.61
65,65,18/3/2021,15:2:8:16,267.11,31.14,401.92,0.551,939.147,405.9244308628608,266.61
66,66,18/3/2021,15:2:8:94,267.11,31.14,416.52,0.55,939.147,405.7274996263929,266.61
67,67,18/3/2021,15:2:8:203,267.11,31.24,403.12,0.551,939.147,405.53325323545965,266.61
68,68,18/3/2021,15:2:8:317,268.11,31.26,403.12,0.551,939.147,405.34172294260253,266.61
69,69,18/3/2021,15:2:8:429,267.11,31.16,408.62,0.551,939.147,405.15294148172086,266.61
70,70,18/3/2021,15:2:8:538,266.61,31.1,405.52,0.551,939.147,404.96694175821017,266.61
71,71,18/3/2021,15:2:8:648,266.61,31.18,407.32,0.551,939.147,404.7837577731845,266.61
72,72,18/3/2021,15:2:8:789,266.61,31.12,404.32,0.551,939.147,404.60342543663285,266.61
73,73,18/3/2021,15:2:8:867,269.11,31.2,407.32,0.551,939.147,404.42598240061966,266.61
74,74,18/3/2021,15:2:9:23,266.61,31.16,403.72,0.551,939.147,404.2514678582225,266.61
75,75,18/3/2021,15:2:9:86,267.11,31.08,404.92,0.551,939.147,404.07992234660173,266.61
76,76,18/3/2021,15:2:9:195,267.61,31.2,408.62,0.551,939.147,403.9113876464232,266.61
77,77,18/3/2021,15:2:9:304,266.61,31.1,404.62,0.551,939.147,403.7459075003382,266.61
78,78,18/3/2021,15:2:9:414,266.61,31.0,396.12,0.55,939.147,403.58352773571363,266.61
79,79,18/3/2021,15:2:9:523,267.11,31.18,401.52,0.55,939.147,403.4242936540486,266.61
80,80,18/3/2021,15:2:9:633,267.11,31.1,419.92,0.551,939.147,403.26824843919917,266.61
81,81,18/3/2021,15:2:9:773,267.11,31.04,404.02,0.55,939.147,403.1154373591546,266.61
82,82,18/3/2021,15:2:9:851,267.61,30.99,413.12,0.55,939.147,402.9659132633126,266.61
83,83,18/3/2021,15:2:9:961,268.61,30.97,382.92,0.55,939.147,402.81973598617174,266.61
84,84,18/3/2021,15:2:10:70,266.61,31.06,407.02,0.55,939.147,402.67696581884326,266.61
85,85,18/3/2021,15:2:10:179,267.11,31.08,382.92,0.551,939.147,402.5376568918695,266.61
86,86,18/3/2021,15:2:10:289,266.61,31.12,422.02,0.551,939.147,402.40185547474005,266.61
87,87,18/3/2021,15:2:10:398,266.61,31.1,403.72,0.551,939.147,402.26960473751063,266.61
88,88,18/3/2021,15:2:10:523,266.61,31.04,404.62,0.551,939.147,402.14095183784013,266.61
89,89,18/3/2021,15:2:10:617,267.11,31.14,386.62,0.551,939.147,402.0159487064597,266.61
90,90,18/3/2021,15:2:10:773,266.61,31.14,405.52,0.551,939.147,401.89464591590286,266.61
91,91,18/3/2021,15:2:10:836,266.61,31.18,404.02,0.551,939.147,401.777089097456,266.61
92,92,18/3/2021,15:2:10:947,267.61,31.14,403.12,0.551,939.147,401.66332181222674,266.61
93,93,18/3/2021,15:2:11:56,267.11,31.14,402.52,0.551,939.147,401.5533891096032,266.61
94,94,18/3/2021,15:2:11:166,266.61,31.12,406.42,0.551,939.147,401.4473383591857,266.61
95,95,18/3/2021,15:2:11:282,266.11,31.1,387.52,0.551,939.147,401.3452184633327,266.61
96,96,18/3/2021,15:2:11:381,267.11,31.26,405.22,0.551,939.147,401.2470770811969,266.61
97,97,18/3/2021,15:2:11:521,266.61,31.22,383.52,0.551,939.147,401.15295696370526,266.61
98,98,18/3/2021,15:2:11:599,266.61,31.06,400.02,0.551,939.147,401.0628933216466,266.61
99,99,18/3/2021,15:2:11:709,266.61,31.08,398.82,0.551,939.147,400.9769129034388,266.61
100,100,18/3/2021,15:2:11:818,267.11,31.16,397.62,0.551,939.147,400.8950359435546,266.61
101,101,18/3/2021,15:2:11:927,267.61,31.16,391.52,0.551,939.147,400.8172782827728,266.61
102,102,18/3/2021,15:2:12:37,267.11,31.14,385.72,0.551,939.147,400.74364949285075,266.61
103,103,18/3/2021,15:2:12:146,267.61,31.1,420.52,0.55,939.147,400.6741505886234,266.61
104,104,18/3/2021,15:2:12:271,267.11,31.18,403.72,0.55,939.147,400.6087788856923,266.61
105,105,18/3/2021,15:2:12:366,267.61,31.1,421.72,0.55,939.147,400.54753810454537,266.61
106,106,18/3/2021,15:2:12:521,267.61,31.1,388.12,0.551,939.147,400.49044391008766,266.61
107,107,18/3/2021,15:2:12:584,267.11,31.06,407.02,0.551,939.147,400.43752091910346,266.61
108,108,18/3/2021,15:2:12:694,266.61,31.12,396.12,0.551,939.147,400.38879648866134,266.61
109,109,18/3/2021,15:2:12:803,267.11,31.16,390.32,0.551,939.147,400.34429675222566,266.61
110,110,18/3/2021,15:2:12:913,269.51,31.18,386.62,0.551,939.147,400.3040428120725,266.61
111,111,18/3/2021,15:2:13:22,267.11,31.14,386.92,0.551,939.147,400.2680451042455,266.61
112,112,18/3/2021,15:2:13:131,266.61,30.99,386.02,0.551,939.147,400.2362991422937,266.61
113,113,18/3/2021,15:2:13:272,267.11,31.18,404.02,0.551,939.147,400.2087852232477,266.61
114,114,18/3/2021,15:2:13:350,267.11,31.2,411.92,0.551,939.147,400.1854740026861,266.61
115,115,18/3/2021,15:2:13:459,266.61,31.12,405.22,0.551,939.147,400.16633649339883,266.61
116,116,18/3/2021,15:2:13:568,267.11,31.12,413.82,0.551,939.147,400.15135180603653,266.61
117,117,18/3/2021,15:2:13:678,267.61,31.08,403.42,0.551,939.147,400.1405097407558,266.61
118,118,18/3/2021,15:2:13:787,267.11,31.14,415.92,0.551,939.147,400.13381108245943,266.61
119,119,18/3/2021,15:2:13:897,267.11,31.12,381.12,0.551,939.147,400.1312661148007,266.61
120,120,18/3/2021,15:2:14:21,266.61,31.04,409.22,0.551,939.147,400.13288931539773,266.61
121,121,18/3/2021,15:2:14:115,266.11,31.1,384.52,0.551,939.147,400.1386930925119,266.61
122,122,18/3/2021,15:2:14:271,267.61,31.14,401.22,0.551,939.147,400.1486846921109,266.61
123,123,18/3/2021,15:2:14:334,267.11,31.16,386.02,0.551,939.147,400.1628647298359,266.61
124,124,18/3/2021,15:2:14:443,267.11,31.14,390.32,0.551,939.147,400.1812251027097,266.61
125,125,18/3/2021,15:2:14:553,268.11,31.16,390.02,0.551,939.147,400.20374649587507,266.61
126,126,18/3/2021,15:2:14:662,267.11,31.08,406.42,0.551,939.147,400.23039812166456,266.61
127,127,18/3/2021,15:2:14:771,267.61,31.18,398.22,0.551,939.147,400.2611421207116,266.61
128,128,18/3/2021,15:2:14:881,267.61,31.18,407.02,0.55,939.147,400.2959394880738,266.61
129,129,18/3/2021,15:2:15:24,266.61,31.14,388.42,0.551,939.147,400.3347525497016,266.61
130,130,18/3/2021,15:2:15:103,267.11,31.06,399.42,0.551,939.147,400.37754284365275,266.61
131,131,18/3/2021,15:2:15:212,266.61,31.22,392.12,0.551,939.147,400.4242673893908,266.61
132,132,18/3/2021,15:2:15:322,266.61,30.95,387.52,0.551,939.147,400.4748760670816,266.61
133,133,18/3/2021,15:2:15:431,266.61,31.02,398.52,0.551,939.147,400.5293095764097,266.61
134,134,18/3/2021,15:2:15:540,266.61,31.12,385.42,0.551,939.297,400.5874982287108,266.61
135,135,18/3/2021,15:2:15:650,266.61,31.1,402.82,0.55,939.147,400.6493622875601,266.61
136,136,18/3/2021,15:2:15:788,267.11,31.06,399.72,0.55,939.147,400.7148139963031,266.61
137,137,18/3/2021,15:2:15:866,267.61,31.12,418.62,0.55,939.147,400.7837628457789,266.61
138,138,18/3/2021,15:2:16:22,267.11,31.08,388.42,0.55,939.147,400.8561218986992,266.61
139,139,18/3/2021,15:2:16:85,269.11,31.08,419.92,0.55,939.147,400.93180994234496,266.61
140,140,18/3/2021,15:2:16:194,266.61,31.04,381.12,0.55,939.147,401.010749746489,266.61
141,141,18/3/2021,15:2:16:303,267.61,31.22,398.52,0.55,939.147,401.0928640720634,266.61
142,142,18/3/2021,15:2:16:413,266.61,31.2,402.52,0.55,939.147,401.17807069933997,266.61
143,143,18/3/2021,15:2:16:522,266.61,31.08,404.02,0.55,939.147,401.2662821885617,266.61
144,144,18/3/2021,15:2:16:632,267.11,31.18,386.92,0.55,939.147,401.35740913521727,266.61
145,145,18/3/2021,15:2:16:772,269.51,31.12,386.32,0.551,939.147,401.45135801633216,266.61
146,146,18/3/2021,15:2:16:852,267.61,31.08,401.52,0.551,939.147,401.548024942688,266.61
147,147,18/3/2021,15:2:16:962,268.61,31.1,426.92,0.55,939.147,401.647296750464,266.61
148,148,18/3/2021,15:2:17:71,267.61,31.1,403.42,0.551,939.297,401.7490624003372,266.61
149,149,18/3/2021,15:2:17:181,267.11,31.1,426.62,0.551,939.147,401.85322375826684,266.61
150,150,18/3/2021,15:2:17:290,266.61,31.3,403.72,0.551,939.147,401.9596989841812,266.61
151,151,18/3/2021,15:2:17:399,266.61,31.06,407.02,0.551,939.147,402.0684210429542,266.61
152,152,18/3/2021,15:2:17:524,267.11,31.14,407.02,0.551,939.297,402.17933335225797,266.61
153,153,18/3/2021,15:2:17:618,267.61,31.06,406.72,0.551,939.147,402.2923858889814,266.61
154,154,18/3/2021,15:2:17:774,267.11,31.18,386.32,0.551,939.297,402.40753264619104,266.61
155,155,18/3/2021,15:2:17:836,267.61,31.14,395.42,0.551,939.147,402.5247260349708,266.61
156,156,18/3/2021,15:2:17:946,267.61,31.1,401.52,0.551,939.147,402.64391050710725,266.61
157,157,18/3/2021,15:2:18:55,266.61,31.22,397.32,0.551,939.147,402.7650218650392,266.61
158,158,18/3/2021,15:2:18:164,267.11,31.16,401.92,0.551,939.147,402.8879902215844,266.61
159,159,18/3/2021,15:2:18:274,267.11,31.12,382.62,0.551,939.147,403.01274041996516,266.61
160,160,18/3/2021,15:2:18:383,268.11,31.12,420.52,0.55,939.147,403.1391901602669,266.61
161,161,18/3/2021,15:2:18:524,267.61,31.12,404.92,0.551,939.147,403.2672524909951,266.61
162,162,18/3/2021,15:2:18:602,267.11,31.12,394.52,0.551,939.147,403.3968419584543,266.61
163,163,18/3/2021,15:2:18:711,267.61,31.14,398.22,0.551,939.147,403.5278745107676,266.61
164,164,18/3/2021,15:2:18:821,267.61,31.06,403.12,0.551,939.147,403.6602621715718,266.61
165,165,18/3/2021,15:2:18:930,267.11,31.22,405.82,0.551,939.147,403.79391190238425,266.61
166,166,18/3/2021,15:2:19:39,267.61,31.16,407.32,0.551,939.147,403.92872898437014,266.61
167,167,18/3/2021,15:2:19:154,268.61,31.16,407.72,0.551,939.147,404.06462038318153,266.61
168,168,18/3/2021,15:2:19:294,267.11,31.22,393.62,0.551,939.297,404.201495521204,266.61
169,169,18/3/2021,15:2:19:373,267.61,31.12,406.72,0.551,939.147,404.33926363461404,266.61
170,170,18/3/2021,15:2:19:529,267.61,31.1,408.32,0.551,939.147,404.47783149060376,266.61
171,171,18/3/2021,15:2:19:591,267.61,31.14,403.12,0.551,939.147,404.6171050479088,266.61
172,172,18/3/2021,15:2:19:701,267.11,31.14,405.22,0.551,939.147,404.75699153155074,266.61
173,173,18/3/2021,15:2:19:810,267.11,31.12,404.92,0.55,939.147,404.89739898475824,266.61
174,174,18/3/2021,15:2:19:920,267.11,31.1,405.22,0.55,939.147,405.03823552026483,266.61
