,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,18/3/2021,14:50:6:167,262.71,31.24,391.82,0.551,938.847,397.2626979564483,262.71
1,1,18/3/2021,14:50:6:260,262.21,31.12,410.72,0.55,938.697,397.0992538234146,262.71
2,2,18/3/2021,14:50:6:370,261.21,31.22,378.42,0.551,938.847,396.93629861709314,262.71
3,3,18/3/2021,14:50:6:479,262.21,31.14,415.32,0.55,938.697,396.77390413254767,262.71
4,4,18/3/2021,14:50:6:589,261.21,31.12,377.12,0.551,938.847,396.6121420214189,262.71
5,5,18/3/2021,14:50:6:745,261.71,31.14,382.32,0.551,938.697,396.451083131747,262.71
6,6,18/3/2021,14:50:6:807,261.21,31.32,380.22,0.551,938.847,396.2907957045362,262.71
7,7,18/3/2021,14:50:6:917,261.21,31.18,386.92,0.55,938.847,396.13134374146205,262.71
8,8,18/3/2021,14:50:7:26,261.21,31.18,389.02,0.55,938.697,395.9727870333818,262.71
9,9,18/3/2021,14:50:7:135,261.21,31.16,375.62,0.55,938.697,395.8151818331392,262.71
10,10,18/3/2021,14:50:7:244,261.21,31.06,375.02,0.55,938.847,395.6585805758637,262.71
11,11,18/3/2021,14:50:7:354,260.81,31.04,376.82,0.551,938.697,395.50303064480016,262.71
12,12,18/3/2021,14:50:7:494,262.21,31.16,415.92,0.55,938.697,395.34857424873155,262.71
13,13,18/3/2021,14:50:7:573,261.71,31.08,397.02,0.55,938.697,395.195251050601,262.71
14,14,18/3/2021,14:50:7:744,261.71,31.16,381.42,0.55,938.847,395.04310113657203,262.71
15,15,18/3/2021,14:50:7:791,261.21,31.16,395.82,0.55,938.697,394.8921650014792,262.71
16,16,18/3/2021,14:50:7:901,263.21,31.18,401.92,0.55,938.697,394.74248230322263,262.71
17,17,18/3/2021,14:50:8:10,261.21,31.12,390.32,0.55,938.697,394.59409225835475,262.71
18,18,18/3/2021,14:50:8:120,262.21,31.16,393.92,0.55,938.697,394.4470343858416,262.71
19,19,18/3/2021,14:50:8:244,261.21,31.12,378.42,0.551,938.697,394.3013479321037,262.71
20,20,18/3/2021,14:50:8:338,261.21,31.1,379.92,0.551,938.697,394.1570703745698,262.71
21,21,18/3/2021,14:50:8:479,261.21,31.16,402.52,0.55,938.697,394.01423626753007,262.71
22,22,18/3/2021,14:50:8:557,261.21,31.1,381.72,0.551,938.697,393.8728776804354,262.71
23,23,18/3/2021,14:50:8:667,261.21,31.12,395.12,0.551,938.697,393.73302533872254,262.71
24,24,18/3/2021,14:50:8:776,261.21,31.18,398.22,0.551,938.497,393.59470913130684,262.71
25,25,18/3/2021,14:50:8:885,261.21,31.14,395.42,0.551,938.697,393.4579587266568,262.71
26,26,18/3/2021,14:50:8:995,260.81,31.14,404.02,0.551,938.497,393.32280456616377,262.71
27,27,18/3/2021,14:50:9:104,261.21,31.04,409.52,0.551,938.697,393.1892788589708,262.71
28,28,18/3/2021,14:50:9:229,262.21,31.16,375.62,0.551,938.697,393.05741623942237,262.71
29,29,18/3/2021,14:50:9:323,262.21,31.16,375.62,0.551,938.697,392.9272524260826,262.71
30,30,18/3/2021,14:50:9:508,261.21,31.32,377.12,0.551,938.697,392.7988209270973,262.71
31,31,18/3/2021,14:50:9:539,261.21,31.32,377.12,0.551,938.697,392.6721506641512,262.71
32,32,18/3/2021,14:50:9:659,261.71,31.24,376.22,0.551,938.697,392.5472655100772,262.71
33,33,18/3/2021,14:50:9:749,261.21,31.18,377.72,0.551,938.697,392.424184404262,262.71
34,34,18/3/2021,14:50:9:859,261.21,31.16,381.12,0.551,938.697,392.3029214986556,262.71
35,35,18/3/2021,14:50:9:985,261.71,31.12,395.42,0.551,938.697,392.1834868445659,262.71
36,36,18/3/2021,14:50:10:79,261.71,31.16,418.02,0.551,938.697,392.0658884809399,262.71
37,37,18/3/2021,14:50:10:219,261.21,31.18,379.02,0.551,938.697,391.9501354373039,262.71
38,38,18/3/2021,14:50:10:297,261.71,31.18,418.32,0.551,938.497,391.83623931850127,262.71
39,39,18/3/2021,14:50:10:407,261.71,31.16,380.22,0.551,938.697,391.72421414213136,262.71
40,40,18/3/2021,14:50:10:516,261.21,30.95,381.72,0.551,938.697,391.614075429596,262.71
41,41,18/3/2021,14:50:10:626,261.21,31.18,381.12,0.551,938.697,391.5058381963404,262.71
42,42,18/3/2021,14:50:10:735,262.21,31.14,380.52,0.551,938.697,391.3995149006145,262.71
43,43,18/3/2021,14:50:10:846,261.21,31.14,382.02,0.551,938.697,391.29511476448465,262.71
44,44,18/3/2021,14:50:10:971,260.81,31.14,397.62,0.551,938.697,391.19264413994506,262.71
45,45,18/3/2021,14:50:11:66,261.21,31.14,384.22,0.55,938.697,391.0921076124581,262.71
46,46,18/3/2021,14:50:11:223,261.21,31.18,390.92,0.55,938.697,390.99350904741965,262.71
47,47,18/3/2021,14:50:11:285,262.21,31.2,392.42,0.55,938.697,390.89685185126325,262.71
48,48,18/3/2021,14:50:11:395,261.21,31.16,396.72,0.55,938.697,390.80213924559166,262.71
49,49,18/3/2021,14:50:11:504,261.21,31.16,393.02,0.55,938.697,390.70937499637,262.71
50,50,18/3/2021,14:50:11:618,261.21,31.2,378.02,0.55,938.697,390.61856361284964,262.71
51,51,18/3/2021,14:50:11:727,261.71,31.22,377.72,0.55,938.697,390.5297091340953,262.71
52,52,18/3/2021,14:50:11:837,261.21,31.22,378.02,0.55,938.697,390.44281318272186,262.71
53,53,18/3/2021,14:50:11:993,261.21,31.16,395.42,0.55,938.697,390.3578740792972,262.71
54,54,18/3/2021,14:50:12:55,262.21,31.2,384.52,0.551,938.697,390.27488773206716,262.71
55,55,18/3/2021,14:50:12:165,261.21,31.14,383.22,0.551,938.697,390.1938488395873,262.71
56,56,18/3/2021,14:50:12:274,261.21,31.18,399.72,0.551,938.697,390.1147512242515,262.71
57,57,18/3/2021,14:50:12:383,263.71,31.18,398.52,0.551,938.697,390.037588457309,262.71
58,58,18/3/2021,14:50:12:493,260.81,31.28,400.32,0.551,938.697,389.9623554393978,262.71
59,59,18/3/2021,14:50:12:602,261.21,31.2,404.02,0.551,938.697,389.88904975653634,262.71
60,60,18/3/2021,14:50:12:727,261.71,31.2,382.02,0.551,938.697,389.81767200150034,262.71
61,61,18/3/2021,14:50:12:821,261.21,31.22,381.42,0.551,938.697,389.7482246204962,262.71
62,62,18/3/2021,14:50:13:8,261.21,31.1,398.22,0.551,938.697,389.6807099686321,262.71
