,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,18/3/2021,12:45:45:292,258.81,30.38,376.22,0.5489999999999999,936.547,381.3472957001123,258.81
1,1,18/3/2021,12:45:45:423,259.81,30.4,377.12,0.5489999999999999,936.547,381.5507005766616,258.81
2,2,18/3/2021,12:45:45:502,258.31,30.32,391.22,0.5489999999999999,936.547,381.7564898067865,258.81
3,3,18/3/2021,12:45:45:658,257.81,30.34,394.82,0.5489999999999999,936.547,381.9626458497091,258.81
4,4,18/3/2021,12:45:45:720,257.81,30.42,407.32,0.5489999999999999,936.547,382.16725895626513,258.81
5,5,18/3/2021,12:45:45:830,258.81,30.42,388.72,0.5489999999999999,936.547,382.36863155017784,258.81
6,6,18/3/2021,12:45:45:939,259.81,30.36,395.12,0.5489999999999999,936.547,382.56530967385856,258.81
7,7,18/3/2021,12:45:46:48,259.31,30.38,391.22,0.5489999999999999,936.3969999999999,382.75604445109985,258.81
8,8,18/3/2021,12:45:46:173,259.81,30.4,390.62,0.5489999999999999,936.547,382.9397503051618,258.81
9,9,18/3/2021,12:45:46:269,259.81,30.38,372.22,0.5489999999999999,936.547,383.1154657067685,258.81
10,10,18/3/2021,12:45:46:409,258.31,30.3,410.72,0.5489999999999999,936.3969999999999,383.2823035943384,258.81
11,11,18/3/2021,12:45:46:487,258.81,30.4,411.32,0.5489999999999999,936.547,383.4394856053331,258.81
12,12,18/3/2021,12:45:46:597,259.31,30.3,402.52,0.5489999999999999,936.547,383.5864861747549,258.81
13,13,18/3/2021,12:45:46:706,258.31,30.32,369.82,0.5489999999999999,936.547,383.72309963036247,258.81
14,14,18/3/2021,12:45:46:816,258.31,30.38,407.32,0.5489999999999999,936.3969999999999,383.84933529095605,258.81
15,15,18/3/2021,12:45:46:925,259.81,30.36,389.02,0.5489999999999999,936.547,383.9653186748581,258.81
16,16,18/3/2021,12:45:47:34,258.81,30.36,392.72,0.5489999999999999,936.547,384.07130503733634,258.81
17,17,18/3/2021,12:45:47:159,258.31,30.42,383.22,0.5489999999999999,936.547,384.16769004335134,258.81
