,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,18/3/2021,12:33:39:993,257.81,30.44,392.72,0.551,936.097,392.3464911093456,257.81
1,1,18/3/2021,12:33:40:87,257.81,30.36,390.02,0.551,936.097,392.3434652013684,257.81
2,2,18/3/2021,12:33:40:196,258.81,30.4,389.02,0.551,936.097,392.3396197117048,257.81
3,3,18/3/2021,12:33:40:309,257.81,30.48,410.12,0.552,936.097,392.334904110596,257.81
4,4,18/3/2021,12:33:40:418,258.31,30.42,392.72,0.555,936.097,392.32927068268447,257.81
5,5,18/3/2021,12:33:40:528,258.81,30.42,394.82,0.5579999999999999,935.947,392.3226779863126,257.81
6,6,18/3/2021,12:33:40:652,258.31,30.42,402.82,0.562,935.797,392.31509055624684,257.81
7,7,18/3/2021,12:33:40:746,257.81,30.44,399.72,0.563,935.447,392.30647844919764,257.81
8,8,18/3/2021,12:33:40:934,257.81,30.44,391.22,0.563,935.297,392.29681844502153,257.81
9,9,18/3/2021,12:33:40:965,258.31,30.4,393.62,0.562,935.147,392.28609299447714,257.81
10,10,18/3/2021,12:33:41:74,257.31,30.46,392.12,0.56,935.147,392.2742871113239,257.81
11,11,18/3/2021,12:33:41:183,256.81,30.38,409.52,0.5579999999999999,935.147,392.2613876387258,257.81
12,12,18/3/2021,12:33:41:293,257.31,30.42,409.22,0.555,935.147,392.247387309308,257.81
13,13,18/3/2021,12:33:41:402,257.81,30.32,394.22,0.5529999999999999,935.297,392.2322903357468,257.81
14,14,18/3/2021,12:33:41:512,257.81,30.36,368.62,0.5529999999999999,935.447,392.21611115324487,257.81
15,15,18/3/2021,12:33:41:652,257.81,30.36,396.72,0.552,935.447,392.19886467243333,257.81
16,16,18/3/2021,12:33:41:731,258.31,30.42,372.62,0.552,935.597,392.18055801665514,257.81
17,17,18/3/2021,12:33:41:840,258.81,30.48,390.92,0.551,935.597,392.161188766857,257.81
18,18,18/3/2021,12:33:41:949,258.81,30.42,388.42,0.551,935.597,392.1407458312899,257.81
19,19,18/3/2021,12:33:42:60,257.31,30.32,387.82,0.551,935.797,392.1192115029276,257.81
20,20,18/3/2021,12:33:42:169,257.81,30.4,387.22,0.551,935.797,392.09656353120437,257.81
21,21,18/3/2021,12:33:42:279,258.31,30.38,387.82,0.551,935.797,392.07277533591383,257.81
22,22,18/3/2021,12:33:42:404,257.31,30.4,389.62,0.552,935.947,392.04781574764695,257.81
23,23,18/3/2021,12:33:42:498,257.81,30.44,391.82,0.552,935.947,392.02164969211645,257.81
24,24,18/3/2021,12:33:42:654,257.81,30.4,395.82,0.552,935.947,391.9942398909146,257.81
25,25,18/3/2021,12:33:42:717,257.81,30.46,373.82,0.552,936.097,391.965547877958,257.81
26,26,18/3/2021,12:33:42:829,257.31,30.38,407.02,0.552,936.097,391.9355326967982,257.81
27,27,18/3/2021,12:33:42:930,257.31,30.42,371.62,0.552,936.097,391.90414984978963,257.81
28,28,18/3/2021,12:33:43:40,258.31,30.48,397.02,0.552,936.097,391.8713512638494,257.81
29,29,18/3/2021,12:33:43:149,257.81,30.36,391.22,0.552,936.097,391.837084941238,257.81
30,30,18/3/2021,12:33:43:259,257.81,30.48,390.92,0.552,936.097,391.80129634557665,257.81
31,31,18/3/2021,12:33:43:399,257.81,30.44,404.02,0.552,936.097,391.7639312924307,257.81
32,32,18/3/2021,12:33:43:478,257.31,30.42,397.32,0.552,936.097,391.72493902608016,257.81
33,33,18/3/2021,12:33:43:592,257.31,30.42,393.62,0.552,936.097,391.68427496834113,257.81
34,34,18/3/2021,12:33:43:695,257.81,30.42,390.92,0.552,936.097,391.6419003905543,257.81
35,35,18/3/2021,12:33:43:808,257.81,30.46,385.72,0.552,936.097,391.5977790351573,257.81
36,36,18/3/2021,12:33:43:917,257.81,30.48,390.32,0.552,936.097,391.55187360721357,257.81
37,37,18/3/2021,12:33:44:26,257.81,30.4,385.72,0.552,936.097,391.5041437180658,257.81
38,38,18/3/2021,12:33:44:167,257.81,30.44,386.62,0.552,936.097,391.4545450504242,257.81
39,39,18/3/2021,12:33:44:245,257.31,30.34,396.72,0.552,936.097,391.40302936258666,257.81
40,40,18/3/2021,12:33:44:401,258.31,30.38,409.52,0.551,936.097,391.349547494075,257.81
41,41,18/3/2021,12:33:44:464,257.81,30.4,385.72,0.551,936.097,391.2940551551888,257.81
42,42,18/3/2021,12:33:44:573,257.81,30.44,409.22,0.551,936.097,391.23651604220976,257.81
43,43,18/3/2021,12:33:44:682,257.81,30.42,408.32,0.551,936.097,391.1769026606434,257.81
44,44,18/3/2021,12:33:44:792,259.31,30.46,408.02,0.551,936.097,391.11519999184304,257.81
45,45,18/3/2021,12:33:44:933,257.81,30.4,404.32,0.551,936.097,391.05140950460867,257.81
46,46,18/3/2021,12:33:45:12,258.81,30.4,381.42,0.552,936.097,390.985547928201,257.81
47,47,18/3/2021,12:33:45:152,258.31,30.4,390.62,0.552,936.097,390.91764028576216,257.81
48,48,18/3/2021,12:33:45:230,258.31,30.48,379.02,0.552,936.247,390.8477115719304,257.81
