,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,18/3/2021,12:21:41:942,250.51,30.79,401.22,0.55,934.697,396.422556179774,250.51
1,1,18/3/2021,12:21:42:51,249.51,30.79,400.02,0.5489999999999999,934.697,396.3054090431101,250.51
2,2,18/3/2021,12:21:42:161,249.51,30.81,361.32,0.55,934.847,396.1882655558255,250.51
3,3,18/3/2021,12:21:42:286,250.51,30.77,361.02,0.55,934.847,396.07114070244455,250.51
4,4,18/3/2021,12:21:42:380,250.01,30.83,364.62,0.55,934.847,395.9540491805582,250.51
5,5,18/3/2021,12:21:42:537,250.01,30.67,379.62,0.5489999999999999,934.847,395.83700530028364,250.51
6,6,18/3/2021,12:21:42:584,250.01,30.83,358.22,0.5489999999999999,934.847,395.7200230018831,250.51
7,7,18/3/2021,12:21:42:694,249.51,31.04,358.52,0.5489999999999999,934.847,395.60311587219115,250.51
8,8,18/3/2021,12:21:42:803,250.51,30.73,360.72,0.5489999999999999,934.847,395.4862970973115,250.51
9,9,18/3/2021,12:21:42:912,250.51,30.77,390.62,0.5489999999999999,934.847,395.36957944018576,250.51
10,10,18/3/2021,12:21:43:22,250.01,30.81,363.72,0.55,934.847,395.2529753101777,250.51
11,11,18/3/2021,12:21:43:131,250.01,30.79,395.12,0.55,934.697,395.1364968537931,250.51
12,12,18/3/2021,12:21:43:271,250.01,30.73,371.02,0.55,934.847,395.0201560053503,250.51
13,13,18/3/2021,12:21:43:350,250.01,30.69,398.52,0.55,934.697,394.9039645216756,250.51
14,14,18/3/2021,12:21:43:459,249.51,30.77,361.32,0.55,934.847,394.78793400495863,250.51
15,15,18/3/2021,12:21:43:568,249.51,30.81,360.72,0.55,934.847,394.67207586497426,250.51
16,16,18/3/2021,12:21:43:678,251.01,30.67,362.22,0.55,934.847,394.55640121074106,250.51
17,17,18/3/2021,12:21:43:803,250.51,30.73,363.42,0.55,934.847,394.44092075846635,250.51
18,18,18/3/2021,12:21:43:912,250.01,30.81,378.42,0.55,934.697,394.3256448244352,250.51
19,19,18/3/2021,12:21:44:37,250.01,30.75,378.72,0.55,934.697,394.2105833844065,250.51
20,20,18/3/2021,12:21:44:131,250.01,30.73,387.22,0.5489999999999999,934.847,394.09574615930916,250.51
21,21,18/3/2021,12:21:44:287,250.01,30.79,373.52,0.55,934.697,393.98114268289686,250.51
22,22,18/3/2021,12:21:44:350,250.51,30.79,397.92,0.5489999999999999,934.697,393.86678233245084,250.51
23,23,18/3/2021,12:21:44:459,251.01,30.77,359.12,0.55,934.847,393.7526743388978,250.51
24,24,18/3/2021,12:21:44:568,252.01,30.77,361.02,0.55,934.847,393.6388277459896,250.51
25,25,18/3/2021,12:21:44:678,250.51,30.75,360.72,0.55,934.847,393.52525129923583,250.51
26,26,18/3/2021,12:21:44:787,250.51,30.73,379.02,0.55,934.847,393.41195336606035,250.51
27,27,18/3/2021,12:21:44:897,251.01,30.73,366.82,0.55,934.697,393.2989419594944,250.51
28,28,18/3/2021,12:21:45:37,251.01,30.75,381.42,0.55,934.847,393.18622480024806,250.51
29,29,18/3/2021,12:21:45:115,250.51,30.85,361.62,0.55,934.847,393.0738093485801,250.51
30,30,18/3/2021,12:21:45:225,251.01,30.67,383.82,0.55,934.697,392.96170280581117,250.51
31,31,18/3/2021,12:21:45:349,252.01,30.81,387.82,0.55,934.697,392.8499121318039,250.51
32,32,18/3/2021,12:21:45:459,251.51,30.71,364.92,0.55,934.847,392.7384440954174,250.51
33,33,18/3/2021,12:21:45:584,252.01,30.77,364.62,0.55,934.847,392.62730527680196,250.51
34,34,18/3/2021,12:21:45:693,250.51,30.63,368.62,0.55,934.847,392.51650199221433,250.51
35,35,18/3/2021,12:21:45:834,250.51,30.71,379.32,0.55,934.847,392.4060402456079,250.51
36,36,18/3/2021,12:21:45:928,250.51,30.67,402.82,0.55,934.697,392.2959257826453,250.51
37,37,18/3/2021,12:21:46:68,250.51,30.79,380.22,0.55,934.847,392.1861642123304,250.51
38,38,18/3/2021,12:21:46:146,250.51,30.73,401.22,0.55,934.697,392.0767611024908,250.51
39,39,18/3/2021,12:21:46:241,251.01,30.79,381.42,0.55,934.847,391.96772200763564,250.51
40,40,18/3/2021,12:21:46:350,251.51,30.83,379.02,0.55,934.847,391.8590524524662,250.51
41,41,18/3/2021,12:21:46:459,251.01,30.71,363.72,0.55,934.847,391.7507578678652,250.51
42,42,18/3/2021,12:21:46:568,251.01,30.69,367.42,0.55,934.847,391.642843488898,250.51
43,43,18/3/2021,12:21:46:678,250.51,30.77,371.32,0.55,934.847,391.535314274739,250.51
44,44,18/3/2021,12:21:46:803,250.51,30.77,358.52,0.55,934.847,391.4281748793722,250.51
45,45,18/3/2021,12:21:46:912,251.01,30.83,395.82,0.55,934.847,391.32142966010946,250.51
46,46,18/3/2021,12:21:47:69,252.51,30.75,381.42,0.55,934.847,391.21508274037734,250.51
47,47,18/3/2021,12:21:47:132,250.51,30.71,379.32,0.55,934.847,391.1091381038863,250.51
48,48,18/3/2021,12:21:47:242,251.51,30.71,384.22,0.55,934.847,391.0035996329335,250.51
49,49,18/3/2021,12:21:47:351,250.51,30.75,380.82,0.55,934.847,390.8984710964785,250.51
50,50,18/3/2021,12:21:47:460,251.51,30.73,385.12,0.551,934.847,390.79375614934054,250.51
51,51,18/3/2021,12:21:47:585,251.01,30.77,385.72,0.55,934.847,390.68945834537453,250.51
52,52,18/3/2021,12:21:47:679,251.01,30.61,386.62,0.551,934.847,390.58558115501273,250.51
53,53,18/3/2021,12:21:47:851,250.01,30.73,365.22,0.5529999999999999,934.847,390.48212796627314,250.51
54,54,18/3/2021,12:21:47:898,250.51,30.69,383.52,0.5529999999999999,934.847,390.3791020422168,250.51
55,55,18/3/2021,12:21:48:7,251.01,30.71,383.22,0.555,934.697,390.2765064814984,250.51
56,56,18/3/2021,12:21:48:117,251.01,30.79,363.42,0.5539999999999999,934.547,390.17434422293474,250.51
57,57,18/3/2021,12:21:48:226,250.51,30.75,388.12,0.5529999999999999,934.547,390.07261804323264,250.51
58,58,18/3/2021,12:21:48:335,250.01,30.71,361.92,0.552,934.547,389.9713305351648,250.51
59,59,18/3/2021,12:21:48:445,250.51,30.67,389.62,0.551,934.547,389.8704841021878,250.51
60,60,18/3/2021,12:21:48:585,251.01,30.63,383.22,0.551,934.547,389.77008098054927,250.51
61,61,18/3/2021,12:21:48:663,250.51,30.69,378.72,0.551,934.547,389.6701232850692,250.51
62,62,18/3/2021,12:21:48:773,251.01,30.79,378.72,0.55,934.547,389.57061303282455,250.51
63,63,18/3/2021,12:21:48:882,251.01,30.75,379.32,0.55,934.547,389.4715521251111,250.51
64,64,18/3/2021,12:21:48:991,251.01,30.77,379.92,0.55,934.697,389.37294233170303,250.51
65,65,18/3/2021,12:21:49:101,251.01,30.65,380.82,0.55,934.697,389.2747852940204,250.51
66,66,18/3/2021,12:21:49:210,250.51,30.73,360.32,0.55,934.847,389.17708251772046,250.51
67,67,18/3/2021,12:21:49:351,251.01,30.75,360.72,0.55,934.847,389.07983531578,250.51
68,68,18/3/2021,12:21:49:429,251.01,30.73,398.52,0.5489999999999999,934.697,388.9830447466431,250.51
69,69,18/3/2021,12:21:49:585,252.51,30.69,398.82,0.5489999999999999,934.847,388.88671167330705,250.51
70,70,18/3/2021,12:21:49:648,251.01,30.69,401.22,0.55,934.847,388.7908369326162,250.51
71,71,18/3/2021,12:21:49:757,251.51,30.77,383.52,0.55,934.847,388.6954214519457,250.51
72,72,18/3/2021,12:21:49:866,250.51,30.77,384.22,0.55,934.697,388.6004662371508,250.51
73,73,18/3/2021,12:21:49:976,251.01,30.69,385.12,0.55,934.697,388.50597230019616,250.51
74,74,18/3/2021,12:21:50:85,251.01,30.75,379.62,0.55,934.847,388.4119406078399,250.51
75,75,18/3/2021,12:21:50:194,251.51,30.85,386.92,0.55,934.847,388.3183720636042,250.51
76,76,18/3/2021,12:21:50:350,251.01,30.75,398.22,0.55,934.697,388.2252675183476,250.51
77,77,18/3/2021,12:21:50:413,251.01,30.73,363.42,0.551,934.847,388.13262779775687,250.51
78,78,18/3/2021,12:21:50:522,251.01,30.73,393.32,0.55,934.697,388.04045368938637,250.51
79,79,18/3/2021,12:21:50:632,251.01,30.71,360.02,0.55,934.847,387.94874588821165,250.51
80,80,18/3/2021,12:21:50:741,251.01,30.69,389.02,0.55,934.697,387.8575049559252,250.51
81,81,18/3/2021,12:21:50:850,251.01,30.61,358.52,0.55,934.847,387.7667312986604,250.51
82,82,18/3/2021,12:21:50:960,251.01,30.59,382.32,0.55,934.697,387.67642514629983,250.51
83,83,18/3/2021,12:21:51:85,251.01,30.75,388.12,0.5489999999999999,934.697,387.58658655418526,250.51
84,84,18/3/2021,12:21:51:178,250.51,30.71,395.42,0.55,934.697,387.49721546807433,250.51
85,85,18/3/2021,12:21:51:334,251.01,30.69,375.92,0.55,934.697,387.4083118120563,250.51
86,86,18/3/2021,12:21:51:397,251.01,30.69,381.42,0.55,934.697,387.31987550422895,250.51
87,87,18/3/2021,12:21:51:507,251.51,30.77,402.22,0.5489999999999999,934.697,387.23190642668067,250.51
88,88,18/3/2021,12:21:51:616,251.01,30.69,382.62,0.55,934.847,387.14440444719514,250.51
89,89,18/3/2021,12:21:51:740,251.01,30.63,401.92,0.5489999999999999,934.697,387.05736947456313,250.51
90,90,18/3/2021,12:21:51:849,251.51,30.73,390.02,0.55,934.697,386.97080148861977,250.51
91,91,18/3/2021,12:21:51:959,251.01,30.69,397.92,0.55,934.697,386.8847005560514,250.51
92,92,18/3/2021,12:21:52:99,250.51,30.67,403.12,0.55,934.697,386.7990668497727,250.51
93,93,18/3/2021,12:21:52:177,252.01,30.73,404.62,0.55,934.697,386.7139006829188,250.51
94,94,18/3/2021,12:21:52:287,251.01,30.69,403.42,0.55,934.697,386.62920255419465,250.51
95,95,18/3/2021,12:21:52:396,250.01,30.69,402.22,0.551,934.697,386.54497317414763,250.51
96,96,18/3/2021,12:21:52:506,251.51,30.75,399.12,0.551,934.697,386.4612134631452,250.51
97,97,18/3/2021,12:21:52:615,251.51,30.71,382.62,0.5529999999999999,934.697,386.3779245211378,250.51
98,98,18/3/2021,12:21:52:724,250.51,30.65,378.72,0.5539999999999999,934.697,386.2951075536311,250.51
99,99,18/3/2021,12:21:52:849,250.51,30.69,375.62,0.5529999999999999,934.697,386.21276376841115,250.51
100,100,18/3/2021,12:21:52:943,251.01,30.65,378.72,0.552,934.547,386.1308942957042,250.51
101,101,18/3/2021,12:21:53:99,251.01,30.67,399.12,0.551,934.547,386.04950017499925,250.51
102,102,18/3/2021,12:21:53:161,250.51,30.75,398.52,0.55,934.547,385.9685824222825,250.51
103,103,18/3/2021,12:21:53:260,251.01,30.71,396.42,0.55,934.547,385.8881421321472,250.51
104,104,18/3/2021,12:21:53:369,251.01,30.71,396.42,0.55,934.547,385.8081805365928,250.51
105,105,18/3/2021,12:21:53:483,251.51,30.71,397.32,0.5489999999999999,934.697,385.72869901105315,250.51
106,106,18/3/2021,12:21:53:592,250.51,30.75,394.52,0.5489999999999999,934.697,385.6496990688978,250.51
107,107,18/3/2021,12:21:53:702,251.51,30.67,391.22,0.5489999999999999,934.697,385.57118235354204,250.51
108,108,18/3/2021,12:21:53:843,251.01,30.51,379.92,0.5489999999999999,934.697,385.49315060949385,250.51
109,109,18/3/2021,12:21:53:921,250.51,30.79,389.62,0.5489999999999999,934.697,385.4156056312259,250.51
110,110,18/3/2021,12:21:54:31,251.01,30.69,382.02,0.55,934.697,385.3385492223688,250.51
111,111,18/3/2021,12:21:54:140,250.51,30.73,393.92,0.5489999999999999,934.697,385.2619831897052,250.51
