,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,19/3/2021,10:59:40:246,294.91,30.59,454.72,0.552,939.147,459.3144151741145,294.91
1,1,19/3/2021,10:59:40:340,294.91,30.53,463.82,0.5539999999999999,939.147,458.09595892516165,294.91
2,2,19/3/2021,10:59:40:449,295.41,30.65,439.12,0.555,939.147,456.8862083674575,294.91
3,3,19/3/2021,10:59:40:559,294.91,30.49,437.92,0.5539999999999999,939.147,455.68839194552993,294.91
4,4,19/3/2021,10:59:40:683,294.91,30.55,433.32,0.5529999999999999,939.147,454.5055619956325,294.91
5,5,19/3/2021,10:59:40:777,295.91,30.63,426.02,0.5529999999999999,939.147,453.34049383428635,294.91
6,6,19/3/2021,10:59:40:949,295.41,30.53,438.22,0.551,939.147,452.19563192069427,294.91
7,7,19/3/2021,10:59:40:996,295.41,30.53,438.22,0.551,939.147,451.0730937792378,294.91
8,8,19/3/2021,10:59:41:105,294.91,30.61,438.22,0.551,939.147,449.9747262793254,294.91
9,9,19/3/2021,10:59:41:215,294.91,30.48,419.32,0.551,939.147,448.9021451827032,294.91
10,10,19/3/2021,10:59:41:324,295.91,30.55,439.12,0.551,939.147,447.8567097456744,294.91
11,11,19/3/2021,10:59:41:433,295.41,30.57,440.02,0.551,939.147,446.8395069672392,294.91
12,12,19/3/2021,10:59:41:543,295.41,30.59,441.52,0.551,939.147,445.85141500615646,294.91
13,13,19/3/2021,10:59:41:668,296.41,30.59,460.52,0.551,939.297,444.8932075148534,294.91
14,14,19/3/2021,10:59:41:762,295.91,30.59,423.52,0.552,939.297,443.9656386951458,294.91
15,15,19/3/2021,10:59:41:874,295.41,30.65,442.12,0.5539999999999999,939.297,443.06944995543984,294.91
16,16,19/3/2021,10:59:41:982,295.91,30.61,442.12,0.5539999999999999,939.147,442.20531600690964,294.91
17,17,19/3/2021,10:59:42:91,295.41,30.65,441.22,0.5539999999999999,939.147,441.37384099480124,294.91
18,18,19/3/2021,10:59:42:203,295.41,30.55,427.22,0.5529999999999999,939.147,440.57559129174797,294.91
19,19,19/3/2021,10:59:42:312,295.41,30.65,444.32,0.552,939.147,439.8110834022384,294.91
20,20,19/3/2021,10:59:42:424,295.91,30.51,440.32,0.552,939.147,439.08077378739205,294.91
21,21,19/3/2021,10:59:42:533,294.91,30.65,422.92,0.552,939.147,438.38508278937,294.91
