,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,19/3/2021,11:19:42:994,294.91,30.89,459.52,0.551,939.447,461.2822879568409,294.91
1,1,19/3/2021,11:19:43:113,295.41,30.77,454.02,0.551,939.447,460.7614838603878,294.91
2,2,19/3/2021,11:19:43:192,294.91,30.87,440.32,0.551,939.447,460.2409638188912,294.91
3,3,19/3/2021,11:19:43:303,294.51,30.95,432.72,0.551,939.447,459.7210148353185,294.91
4,4,19/3/2021,11:19:43:413,294.91,30.89,440.62,0.551,939.447,459.2019172609543,294.91
5,5,19/3/2021,11:19:43:521,294.51,30.95,444.32,0.551,939.447,458.6839432880252,294.91
6,6,19/3/2021,11:19:43:629,295.41,30.85,437.92,0.551,939.447,458.1673574338218,294.91
7,7,19/3/2021,11:19:43:741,294.01,30.95,423.52,0.552,939.447,457.65241689127646,294.91
8,8,19/3/2021,11:19:43:871,294.91,30.83,424.72,0.552,939.447,457.13936998398634,294.91
9,9,19/3/2021,11:19:43:957,294.51,31.0,428.12,0.552,939.447,456.62845394294516,294.91
10,10,19/3/2021,11:19:44:122,294.91,30.93,442.12,0.552,939.447,456.1198943984669,294.91
11,11,19/3/2021,11:19:44:181,294.91,30.87,442.82,0.552,939.447,455.61390721162064,294.91
12,12,19/3/2021,11:19:44:294,294.51,30.95,431.82,0.5529999999999999,939.447,455.1107008638234,294.91
13,13,19/3/2021,11:19:44:397,294.91,30.91,464.72,0.552,939.297,454.6104779233397,294.91
14,14,19/3/2021,11:19:44:576,294.51,30.95,422.92,0.5529999999999999,939.447,454.1134362227021,294.91
15,15,19/3/2021,11:19:44:640,294.01,30.93,423.22,0.5529999999999999,939.447,453.6197687425897,294.91
16,16,19/3/2021,11:19:44:725,294.51,30.87,438.82,0.5529999999999999,939.447,453.1296610597525,294.91
17,17,19/3/2021,11:19:44:867,296.91,30.83,422.92,0.5529999999999999,939.447,452.64328945676544,294.91
18,18,19/3/2021,11:19:44:942,294.91,30.91,422.62,0.552,939.447,452.16082084797836,294.91
19,19,19/3/2021,11:19:45:55,294.91,30.85,421.42,0.552,939.447,451.6824121183313,294.91
20,20,19/3/2021,11:19:45:161,294.91,30.79,423.82,0.552,939.447,451.20820904680636,294.91
21,21,19/3/2021,11:19:45:272,294.51,30.83,425.72,0.552,939.447,450.7383461818689,294.91
22,22,19/3/2021,11:19:45:385,295.41,30.85,427.52,0.552,939.447,450.272947477646,294.91
23,23,19/3/2021,11:19:45:495,295.41,30.89,441.52,0.551,939.447,449.8121274681311,294.91
24,24,19/3/2021,11:19:45:614,294.51,30.85,457.72,0.551,939.447,449.35599369816725,294.91
25,25,19/3/2021,11:19:45:711,294.91,30.87,443.12,0.551,939.447,448.9046503700196,294.91
26,26,19/3/2021,11:19:45:871,294.91,30.85,423.52,0.551,939.597,448.4582003835404,294.91
27,27,19/3/2021,11:19:45:928,294.51,30.77,440.62,0.551,939.597,448.01674381436277,294.91
28,28,19/3/2021,11:19:46:40,294.91,30.85,426.32,0.551,939.597,447.5803755286072,294.91
29,29,19/3/2021,11:19:46:145,294.01,30.85,425.72,0.551,939.597,447.14918418727217,294.91
30,30,19/3/2021,11:19:46:255,294.51,30.85,437.32,0.552,939.597,446.7232517423777,294.91
31,31,19/3/2021,11:19:46:377,294.91,30.85,429.02,0.552,939.597,446.3026534683879,294.91
32,32,19/3/2021,11:19:46:474,294.51,30.95,430.52,0.552,939.597,445.88745864021536,294.91
33,33,19/3/2021,11:19:46:616,295.41,30.91,451.92,0.552,939.447,445.47773126240344,294.91
34,34,19/3/2021,11:19:46:693,295.41,30.87,443.12,0.552,939.597,445.07353178366037,294.91
35,35,19/3/2021,11:19:46:802,294.51,30.85,441.52,0.552,939.447,444.67491941674757,294.91
36,36,19/3/2021,11:19:46:910,294.91,30.83,422.92,0.552,939.597,444.2819525200663,294.91
37,37,19/3/2021,11:19:47:25,294.91,30.81,437.32,0.552,939.597,443.8946867335529,294.91
38,38,19/3/2021,11:19:47:130,294.51,30.87,422.02,0.552,939.597,443.5131730857677,294.91
39,39,19/3/2021,11:19:47:241,294.51,30.87,421.72,0.552,939.597,443.1374569071237,294.91
40,40,19/3/2021,11:19:47:366,294.51,30.85,421.12,0.552,939.597,442.76757665618135,294.91
41,41,19/3/2021,11:19:47:462,294.91,30.77,424.72,0.552,939.597,442.4035629179557,294.91
42,42,19/3/2021,11:19:47:623,294.51,30.91,439.12,0.552,939.447,442.04543875769707,294.91
43,43,19/3/2021,11:19:47:675,294.51,30.87,421.72,0.5529999999999999,939.597,441.693221292184,294.91
44,44,19/3/2021,11:19:47:785,294.51,30.89,424.72,0.555,939.447,441.3469226415849,294.91
45,45,19/3/2021,11:19:47:897,294.51,30.89,462.02,0.555,939.297,441.006550213478,294.91
46,46,19/3/2021,11:19:48:8,294.51,30.89,437.02,0.555,939.297,440.6721089425232,294.91
47,47,19/3/2021,11:19:48:116,295.91,30.89,464.42,0.5539999999999999,939.147,440.34360495091966,294.91
48,48,19/3/2021,11:19:48:227,294.91,30.89,440.62,0.5529999999999999,939.147,440.0210478076871,294.91
49,49,19/3/2021,11:19:48:408,294.51,30.93,422.92,0.552,939.297,439.7044503848104,294.91
50,50,19/3/2021,11:19:48:444,294.51,30.87,426.02,0.552,939.297,439.3938259351059,294.91
51,51,19/3/2021,11:19:48:553,295.41,30.91,427.82,0.552,939.297,439.08918434733437,294.91
52,52,19/3/2021,11:19:48:661,294.91,30.87,429.62,0.552,939.297,438.7905306449472,294.91
53,53,19/3/2021,11:19:48:773,294.91,30.93,422.02,0.552,939.447,438.49786522748224,294.91
54,54,19/3/2021,11:19:48:880,294.91,30.89,457.42,0.552,939.447,438.2111846178855,294.91
55,55,19/3/2021,11:19:48:990,294.51,30.91,429.32,0.552,939.447,437.9304834369765,294.91
56,56,19/3/2021,11:19:49:141,294.51,30.95,418.92,0.552,939.447,437.65575599078414,294.91
57,57,19/3/2021,11:19:49:208,294.91,30.79,426.32,0.552,939.447,437.3869947141452,294.91
58,58,19/3/2021,11:19:49:370,294.51,30.89,421.12,0.552,939.447,437.1241874938578,294.91
59,59,19/3/2021,11:19:49:426,294.51,30.69,435.72,0.552,939.447,436.8673170103926,294.91
60,60,19/3/2021,11:19:49:536,294.51,30.87,421.72,0.552,939.447,436.61636162380944,294.91
61,61,19/3/2021,11:19:49:646,294.91,30.83,425.12,0.552,939.447,436.37129599599314,294.91
62,62,19/3/2021,11:19:49:753,294.51,30.87,425.42,0.552,939.447,436.1320907788229,294.91
63,63,19/3/2021,11:19:49:866,294.91,30.87,431.82,0.552,939.597,435.89871238476786,294.91
64,64,19/3/2021,11:19:49:973,294.91,30.91,440.62,0.552,939.597,435.6711239459538,294.91
65,65,19/3/2021,11:19:50:127,294.51,30.91,441.22,0.552,939.447,435.4492873116615,294.91
66,66,19/3/2021,11:19:50:194,294.01,30.91,437.32,0.5539999999999999,939.447,435.23316500485896,294.91
67,67,19/3/2021,11:19:50:307,294.51,30.87,429.62,0.556,939.447,435.0227208381354,294.91
68,68,19/3/2021,11:19:50:415,294.51,30.95,444.62,0.557,939.147,434.81791931974124,294.91
69,69,19/3/2021,11:19:50:523,294.51,30.81,443.42,0.556,939.147,434.618725677001,294.91
70,70,19/3/2021,11:19:50:637,294.91,30.95,425.42,0.556,938.997,434.42510672219163,294.91
71,71,19/3/2021,11:19:50:740,294.51,30.93,427.52,0.555,938.997,434.23703032947225,294.91
72,72,19/3/2021,11:19:50:882,294.01,30.87,440.02,0.5529999999999999,938.847,434.05446364873177,294.91
73,73,19/3/2021,11:19:50:957,294.51,30.85,420.52,0.552,938.997,433.87737244994275,294.91
74,74,19/3/2021,11:19:51:120,294.91,30.89,452.22,0.55,938.997,433.7057216561229,294.91
75,75,19/3/2021,11:19:51:177,294.51,30.93,419.32,0.551,938.997,433.5394761137757,294.91
76,76,19/3/2021,11:19:51:287,294.51,30.87,418.62,0.55,938.997,433.3786004754305,294.91
77,77,19/3/2021,11:19:51:397,294.51,30.89,442.12,0.55,938.997,433.2230575844049,294.91
78,78,19/3/2021,11:19:51:505,294.51,30.83,421.72,0.551,939.147,433.0728077989473,294.91
79,79,19/3/2021,11:19:51:620,294.51,30.65,440.92,0.551,939.147,432.9278100907411,294.91
80,80,19/3/2021,11:19:51:730,294.51,30.87,424.12,0.551,939.297,432.78802285093775,294.91
81,81,19/3/2021,11:19:51:865,294.51,30.93,427.82,0.551,939.297,432.653403791419,294.91
82,82,19/3/2021,11:19:51:944,294.51,30.87,426.02,0.551,939.447,432.52390923899225,294.91
83,83,19/3/2021,11:19:52:52,294.91,30.87,424.12,0.551,939.447,432.3994933428771,294.91
84,84,19/3/2021,11:19:52:160,294.51,30.87,423.22,0.551,939.447,432.28010760935615,294.91
85,85,19/3/2021,11:19:52:270,295.91,30.89,423.82,0.551,939.447,432.16570051674523,294.91
86,86,19/3/2021,11:19:52:384,294.91,30.93,442.42,0.551,939.447,432.05621771168717,294.91
87,87,19/3/2021,11:19:52:489,294.91,30.87,422.92,0.552,939.447,431.95160333617036,294.91
88,88,19/3/2021,11:19:52:643,294.51,30.89,425.72,0.552,939.447,431.85180098719184,294.91
89,89,19/3/2021,11:19:52:708,294.51,30.85,421.12,0.552,939.447,431.7567529005265,294.91
90,90,19/3/2021,11:19:52:862,294.51,30.83,424.12,0.552,939.447,431.6663985856685,294.91
91,91,19/3/2021,11:19:52:926,294.51,30.85,426.62,0.552,939.447,431.5806743447248,294.91
92,92,19/3/2021,11:19:53:41,294.91,30.75,422.02,0.552,939.447,431.49951349619164,294.91
93,93,19/3/2021,11:19:53:146,294.91,30.95,419.32,0.552,939.447,431.4228464396252,294.91
94,94,19/3/2021,11:19:53:259,295.91,30.89,418.32,0.552,939.447,431.3506000481504,294.91
95,95,19/3/2021,11:19:53:367,294.91,30.89,438.22,0.552,939.597,431.2826973060891,294.91
96,96,19/3/2021,11:19:53:477,294.51,30.89,419.62,0.552,939.447,431.21905829535245,294.91
97,97,19/3/2021,11:19:53:613,294.51,30.83,440.92,0.552,939.447,431.1596016641899,294.91
98,98,19/3/2021,11:19:53:691,294.51,30.87,440.02,0.552,939.447,431.1042458934119,294.91
99,99,19/3/2021,11:19:53:802,294.91,30.85,457.72,0.552,939.447,431.0529114346856,294.91
100,100,19/3/2021,11:19:53:915,295.41,30.83,445.22,0.552,939.447,431.00552362412697,294.91
101,101,19/3/2021,11:19:54:21,295.91,30.89,446.12,0.552,939.447,430.96201451250465,294.91
102,102,19/3/2021,11:19:54:129,295.91,30.91,425.72,0.552,939.447,430.92232235357903,294.91
103,103,19/3/2021,11:19:54:240,295.91,30.89,424.12,0.552,939.447,430.88638895631937,294.91
104,104,19/3/2021,11:19:54:364,294.91,30.81,424.72,0.5529999999999999,939.447,430.85415638218984,294.91
105,105,19/3/2021,11:19:54:460,295.41,30.85,424.12,0.5529999999999999,939.447,430.8255648171956,294.91
106,106,19/3/2021,11:19:54:611,294.51,30.93,427.82,0.552,939.447,430.8005520543518,294.91
107,107,19/3/2021,11:19:54:680,295.41,30.87,453.12,0.552,939.447,430.7790544075031,294.91
108,108,19/3/2021,11:19:54:788,294.91,30.79,422.92,0.552,939.447,430.7610089330854,294.91
109,109,19/3/2021,11:19:54:894,294.51,31.0,442.12,0.552,939.447,430.7463549970733,294.91
110,110,19/3/2021,11:19:55:6,294.51,30.97,438.82,0.552,939.447,430.7350342142134,294.91
111,111,19/3/2021,11:19:55:117,294.51,30.97,442.12,0.552,939.447,430.7269906908904,294.91
112,112,19/3/2021,11:19:55:225,295.41,30.87,437.62,0.551,939.447,430.7221718886929,294.91
113,113,19/3/2021,11:19:55:366,294.91,30.87,418.32,0.551,939.447,430.7205283492156,294.91
114,114,19/3/2021,11:19:55:442,294.91,30.87,418.02,0.551,939.447,430.7220114064231,294.91
115,115,19/3/2021,11:19:55:554,294.91,30.85,418.32,0.551,939.447,430.72657000715134,294.91
116,116,19/3/2021,11:19:55:663,294.91,30.85,419.92,0.551,939.447,430.7341487574398,294.91
117,117,19/3/2021,11:19:55:771,294.91,31.02,422.02,0.551,939.447,430.7446876739169,294.91
118,118,19/3/2021,11:19:55:884,294.91,30.83,439.42,0.551,939.447,430.75812305941,294.91
119,119,19/3/2021,11:19:55:993,296.91,30.97,442.12,0.551,939.447,430.7743897157807,294.91
120,120,19/3/2021,11:19:56:145,295.91,30.81,432.72,0.551,939.447,430.7934237413299,294.91
121,121,19/3/2021,11:19:56:209,295.41,30.85,441.22,0.551,939.447,430.81516394758927,294.91
