,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,19/3/2021,11:7:40:775,290.51,30.69,422.62,0.552,939.447,428.7419323493764,290.51
1,1,19/3/2021,11:7:40:865,294.51,30.69,422.92,0.552,939.447,428.88861498953383,290.51
2,2,19/3/2021,11:7:40:991,295.41,30.63,436.02,0.552,939.447,429.03699804832985,290.51
3,3,19/3/2021,11:7:41:87,294.01,30.75,428.42,0.551,939.447,429.18698078410256,290.51
4,4,19/3/2021,11:7:41:241,294.91,30.77,418.02,0.551,939.447,429.3384623644486,290.51
5,5,19/3/2021,11:7:41:314,294.51,30.69,441.22,0.551,939.297,429.49134136595,290.51
6,6,19/3/2021,11:7:41:414,294.91,30.65,457.72,0.551,939.447,429.64551676665934,290.51
7,7,19/3/2021,11:7:41:522,294.51,30.67,428.42,0.551,939.447,429.80089248377914,290.51
8,8,19/3/2021,11:7:41:633,294.01,30.71,459.22,0.551,939.447,429.95738075292496,290.51
9,9,19/3/2021,11:7:41:748,294.01,30.69,421.12,0.551,939.447,430.1149019825853,290.51
10,10,19/3/2021,11:7:41:847,294.91,30.73,423.52,0.551,939.447,430.2733822560945,290.51
11,11,19/3/2021,11:7:41:995,294.51,30.71,440.02,0.551,939.447,430.4327492736328,290.51
12,12,19/3/2021,11:7:42:68,294.01,30.77,431.22,0.551,939.447,430.59293043368757,290.51
13,13,19/3/2021,11:7:42:178,294.01,30.71,434.82,0.551,939.447,430.75385416055167,290.51
14,14,19/3/2021,11:7:42:289,294.51,30.67,421.42,0.552,939.447,430.9154504169668,290.51
15,15,19/3/2021,11:7:42:397,294.51,30.69,441.22,0.552,939.447,431.0776494816731,290.51
16,16,19/3/2021,11:7:42:505,295.41,30.75,442.42,0.552,939.447,431.24038205951587,290.51
17,17,19/3/2021,11:7:42:620,294.01,30.59,421.42,0.552,939.447,431.40358110759865,290.51
18,18,19/3/2021,11:7:42:739,296.91,30.77,428.42,0.552,939.447,431.5671815941412,290.51
19,19,19/3/2021,11:7:42:835,294.01,30.65,458.32,0.552,939.447,431.7311188145565,290.51
20,20,19/3/2021,11:7:42:991,294.01,30.65,431.52,0.552,939.447,431.89533019487305,290.51
21,21,19/3/2021,11:7:43:57,294.01,30.67,435.12,0.552,939.447,432.0597582197509,290.51
22,22,19/3/2021,11:7:43:161,294.51,30.71,437.32,0.552,939.447,432.22434969381055,290.51
23,23,19/3/2021,11:7:43:271,294.91,30.75,419.62,0.552,939.447,432.3890532864349,290.51
24,24,19/3/2021,11:7:43:383,294.91,30.67,420.22,0.552,939.447,432.55381690118185,290.51
25,25,19/3/2021,11:7:43:493,294.01,30.77,440.02,0.552,939.447,432.7185849647902,290.51
26,26,19/3/2021,11:7:43:599,294.91,30.61,433.32,0.552,939.447,432.8832986048169,290.51
27,27,19/3/2021,11:7:43:745,294.91,30.75,428.72,0.551,939.447,433.0478981864112,290.51
28,28,19/3/2021,11:7:43:820,294.91,30.75,421.42,0.551,939.447,433.2123237237049,290.51
29,29,19/3/2021,11:7:43:932,294.51,30.61,450.12,0.551,939.447,433.37651350183097,290.51
30,30,19/3/2021,11:7:44:38,294.91,30.77,421.72,0.551,939.447,433.54040461995186,290.51
31,31,19/3/2021,11:7:44:146,294.51,30.67,442.12,0.551,939.447,433.7039345460068,290.51
32,32,19/3/2021,11:7:44:257,295.41,30.71,425.12,0.551,939.447,433.8670410830496,290.51
33,33,19/3/2021,11:7:44:365,294.51,30.71,443.72,0.552,939.447,434.0296618391383,290.51
34,34,19/3/2021,11:7:44:514,294.51,30.77,441.22,0.552,939.447,434.1917349756407,290.51
35,35,19/3/2021,11:7:44:587,295.41,30.67,432.42,0.552,939.447,434.35320076289884,290.51
36,36,19/3/2021,11:7:44:763,294.51,30.67,439.72,0.552,939.447,434.514002015074,290.51
37,37,19/3/2021,11:7:44:803,294.01,30.83,435.42,0.552,939.447,434.6740832909977,290.51
