,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
0,0,19/3/2021,10:27:3:689,253.41,30.69,386.02,0.551,934.847,253.41
1,1,19/3/2021,10:27:3:736,253.41,30.69,386.02,0.551,934.847,253.41
2,2,19/3/2021,10:27:3:845,252.91,30.79,385.12,0.551,934.997,253.41
3,3,19/3/2021,10:27:3:954,252.91,30.81,387.52,0.551,934.997,253.41
4,4,19/3/2021,10:27:4:64,253.41,30.85,397.02,0.551,934.997,253.41
5,5,19/3/2021,10:27:4:173,252.91,30.77,386.02,0.551,934.997,253.41
6,6,19/3/2021,10:27:4:282,252.91,30.83,400.32,0.551,934.997,253.41
7,7,19/3/2021,10:27:4:438,252.51,30.81,401.22,0.5539999999999999,934.997,253.41
8,8,19/3/2021,10:27:4:501,252.91,30.83,383.22,0.5539999999999999,934.997,253.41
9,9,19/3/2021,10:27:4:611,253.41,30.79,383.82,0.555,934.847,253.41
10,10,19/3/2021,10:27:4:720,253.41,30.83,389.02,0.555,934.847,253.41
11,11,19/3/2021,10:27:4:829,253.41,30.79,382.02,0.5539999999999999,934.697,253.41
12,12,19/3/2021,10:27:4:939,252.91,30.75,408.62,0.552,934.697,253.41
13,13,19/3/2021,10:27:5:48,252.51,30.77,377.72,0.552,934.847,253.41
14,14,19/3/2021,10:27:5:189,252.51,30.73,388.72,0.551,934.847,253.41
15,15,19/3/2021,10:27:5:267,253.41,30.81,390.32,0.551,934.847,253.41
16,16,19/3/2021,10:27:5:439,252.91,30.81,388.42,0.551,934.847,253.41
17,17,19/3/2021,10:27:5:485,252.91,30.85,387.22,0.551,934.997,253.41
18,18,19/3/2021,10:27:5:595,252.91,30.87,386.32,0.551,934.847,253.41
19,19,19/3/2021,10:27:5:704,252.51,30.81,380.22,0.551,934.997,253.41
20,20,19/3/2021,10:27:5:814,252.91,30.79,387.82,0.551,934.997,253.41
21,21,19/3/2021,10:27:5:923,252.91,30.83,367.72,0.551,934.997,253.41
22,22,19/3/2021,10:27:6:32,252.91,30.85,386.02,0.551,934.997,253.41
23,23,19/3/2021,10:27:6:173,252.01,30.85,387.82,0.551,934.997,253.41
