,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,15/3/2021,14:21:57:669,246.61,31.83,358.82,0.551,935.447,366.35547720917305,246.61
1,1,15/3/2021,14:21:57:705,246.61,31.83,376.22,0.551,935.447,366.67893668957504,246.61
2,2,15/3/2021,14:21:57:818,246.61,31.84,393.92,0.551,935.447,367.0058480558025,246.61
3,3,15/3/2021,14:21:57:928,247.11,31.71,364.32,0.551,935.447,367.3355550327453,246.61
4,4,15/3/2021,14:21:58:34,247.11,31.9,378.72,0.552,935.447,367.66744405901375,246.61
5,5,15/3/2021,14:21:58:145,246.11,31.84,373.82,0.552,935.447,368.00093490612295,246.61
6,6,15/3/2021,14:21:58:257,246.11,31.77,372.22,0.552,935.447,368.33547155802626,246.61
7,7,15/3/2021,14:21:58:386,246.11,31.75,368.62,0.552,935.447,368.6705184714744,246.61
8,8,15/3/2021,14:21:58:472,247.11,31.86,364.62,0.552,935.447,369.0055519600738,246.61
9,9,15/3/2021,14:21:58:631,246.11,31.96,358.82,0.552,935.447,369.3400467710292,246.61
10,10,15/3/2021,14:21:58:690,246.11,31.83,375.62,0.552,935.447,369.6734645170711,246.61
11,11,15/3/2021,14:21:58:802,246.11,31.81,393.62,0.552,935.447,370.0052593653268,246.61
12,12,15/3/2021,14:21:58:912,246.61,31.83,366.82,0.552,935.447,370.3349033989589,246.61
13,13,15/3/2021,14:21:59:19,246.61,31.86,394.82,0.552,935.447,370.66190559218313,246.61
14,14,15/3/2021,14:21:59:138,246.61,31.83,397.62,0.551,935.447,370.9858201985237,246.61
15,15,15/3/2021,14:21:59:238,247.61,31.84,396.42,0.551,935.447,371.3062654299088,246.61
16,16,15/3/2021,14:21:59:376,247.61,31.81,374.42,0.551,935.447,371.62293910695394,246.61
17,17,15/3/2021,14:21:59:457,246.61,31.84,373.82,0.551,935.447,371.93560486285566,246.61
18,18,15/3/2021,14:21:59:567,249.51,31.84,376.82,0.551,935.447,372.2440611950682,246.61
19,19,15/3/2021,14:21:59:674,246.61,31.83,369.52,0.552,935.447,372.5481206562645,246.61
20,20,15/3/2021,14:21:59:787,246.61,31.96,376.52,0.5539999999999999,935.447,372.847602359188,246.61
21,21,15/3/2021,14:21:59:894,246.61,31.83,362.22,0.555,935.447,373.14232670996665,246.61
22,22,15/3/2021,14:22:0:6,246.61,31.79,393.62,0.557,935.297,373.43211210233636,246.61
23,23,15/3/2021,14:22:0:138,246.11,31.84,389.02,0.557,935.297,373.71678635820666,246.61
24,24,15/3/2021,14:22:0:223,246.61,31.84,397.32,0.5579999999999999,935.147,373.9962143233134,246.61
25,25,15/3/2021,14:22:0:407,246.61,31.84,390.92,0.5579999999999999,935.147,374.2703215473032,246.61
26,26,15/3/2021,14:22:0:441,246.61,31.92,397.92,0.5579999999999999,934.997,374.53910316374015,246.61
27,27,15/3/2021,14:22:0:553,246.61,31.83,375.32,0.557,935.147,374.80262192641646,246.61
28,28,15/3/2021,14:22:0:662,246.11,31.79,374.42,0.555,935.147,375.0609923622496,246.61
29,29,15/3/2021,14:22:0:768,246.11,31.81,373.52,0.5539999999999999,935.147,375.31435334272453,246.61
30,30,15/3/2021,14:22:0:880,247.11,31.84,372.92,0.5529999999999999,935.147,375.5628463732154,246.61
31,31,15/3/2021,14:22:0:991,247.11,31.86,370.12,0.5529999999999999,935.147,375.80660646149397,246.61
32,32,15/3/2021,14:22:1:153,246.61,31.88,375.92,0.552,935.297,376.0457582114486,246.61
33,33,15/3/2021,14:22:1:208,247.11,31.79,376.52,0.552,935.297,376.2804157781224,246.61
34,34,15/3/2021,14:22:1:317,246.11,31.71,362.52,0.551,935.297,376.51068456028014,246.61
35,35,15/3/2021,14:22:1:432,246.61,31.84,360.72,0.552,935.447,376.73665280639983,246.61
36,36,15/3/2021,14:22:1:541,246.61,31.77,389.02,0.552,935.447,376.9583785650229,246.61
37,37,15/3/2021,14:22:1:650,247.11,31.83,375.62,0.552,935.447,377.17589638649736,246.61
38,38,15/3/2021,14:22:1:760,246.61,31.73,375.62,0.551,935.447,377.3892377634621,246.61
39,39,15/3/2021,14:22:1:885,247.11,31.86,375.32,0.551,935.447,377.59843721467735,246.61
40,40,15/3/2021,14:22:1:984,246.11,31.84,374.72,0.551,935.447,377.8035254648907,246.61
41,41,15/3/2021,14:22:2:145,246.61,31.81,377.72,0.551,935.447,378.00452543340026,246.61
42,42,15/3/2021,14:22:2:189,246.61,31.81,377.72,0.551,935.447,378.20145310985885,246.61
43,43,15/3/2021,14:22:2:299,246.61,31.84,366.42,0.552,935.447,378.39431772947717,246.61
44,44,15/3/2021,14:22:2:410,246.61,31.83,374.12,0.552,935.447,378.58311523514396,246.61
45,45,15/3/2021,14:22:2:520,246.61,31.81,378.72,0.552,935.447,378.7678210165155,246.61
46,46,15/3/2021,14:22:2:623,246.61,31.92,378.42,0.552,935.447,378.9483935039351,246.61
47,47,15/3/2021,14:22:2:733,246.11,31.86,378.42,0.552,935.447,379.1247837670903,246.61
48,48,15/3/2021,14:22:2:873,246.61,31.79,375.62,0.552,935.447,379.2969396748142,246.61
49,49,15/3/2021,14:22:3:16,246.11,31.73,356.42,0.552,935.597,379.4647992296011,246.61
50,50,15/3/2021,14:22:3:66,247.11,31.9,375.32,0.552,935.597,379.62827318878936,246.61
51,51,15/3/2021,14:22:3:177,246.61,31.84,384.22,0.551,935.447,379.78723509934775,246.61
52,52,15/3/2021,14:22:3:285,246.11,31.81,382.02,0.552,935.447,379.9415357333811,246.61
53,53,15/3/2021,14:22:3:393,247.61,31.83,379.62,0.5529999999999999,935.447,380.09102455803634,246.61
54,54,15/3/2021,14:22:3:508,246.61,31.86,381.72,0.555,935.447,380.23555673861364,246.61
55,55,15/3/2021,14:22:3:646,247.11,31.86,393.32,0.5539999999999999,935.447,380.3749938782378,246.61
56,56,15/3/2021,14:22:3:722,247.61,31.86,391.82,0.5529999999999999,935.297,380.50921371565363,246.61
57,57,15/3/2021,14:22:3:877,247.11,31.9,375.32,0.552,935.447,380.6381214951896,246.61
58,58,15/3/2021,14:22:3:942,246.61,31.84,380.82,0.551,935.297,380.76164479322,246.61
59,59,15/3/2021,14:22:4:51,247.61,31.88,393.32,0.551,935.447,380.879719892544,246.61
60,60,15/3/2021,14:22:4:157,247.61,31.86,391.22,0.552,935.447,380.99229433579717,246.61
61,61,15/3/2021,14:22:4:267,246.61,31.83,375.32,0.552,935.447,381.0993390645675,246.61
62,62,15/3/2021,14:22:4:397,247.11,31.81,387.22,0.552,935.447,381.2008460499708,246.61
63,63,15/3/2021,14:22:4:488,246.11,31.83,386.02,0.552,935.447,381.2968178742455,246.61
64,64,15/3/2021,14:22:4:651,246.11,31.81,381.42,0.551,935.447,381.38726654075424,246.61
65,65,15/3/2021,14:22:4:706,246.61,31.92,397.32,0.551,935.447,381.4722180479772,246.61
66,66,15/3/2021,14:22:4:817,246.61,31.86,375.32,0.551,935.447,381.5517167820729,246.61
67,67,15/3/2021,14:22:4:928,246.61,31.84,391.52,0.551,935.447,381.6258261070395,246.61
68,68,15/3/2021,14:22:5:34,246.61,31.79,358.52,0.551,935.597,381.6946188716776,246.61
69,69,15/3/2021,14:22:5:143,246.11,31.86,374.72,0.551,935.447,381.75815687205215,246.61
70,70,15/3/2021,14:22:5:257,246.11,31.77,393.62,0.551,935.447,381.81647462438383,246.61
71,71,15/3/2021,14:22:5:380,247.11,31.75,393.62,0.552,935.447,381.86959187784913,246.61
72,72,15/3/2021,14:22:5:475,246.11,31.81,391.82,0.552,935.597,381.9175454573645,246.61
73,73,15/3/2021,14:22:5:631,246.11,31.86,377.42,0.5539999999999999,935.447,381.9604047639849,246.61
74,74,15/3/2021,14:22:5:690,246.61,31.84,387.82,0.5539999999999999,935.447,381.9982628640384,246.61
75,75,15/3/2021,14:22:5:804,246.11,32.08,377.12,0.555,935.447,382.0312223215937,246.61
76,76,15/3/2021,14:22:5:910,247.11,31.83,388.12,0.5539999999999999,935.447,382.0593886257946,246.61
