,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,15/3/2021,14:42:19:537,254.41,31.86,384.22,0.5529999999999999,936.097,377.22067979709885,254.41
1,1,15/3/2021,14:42:19:631,252.91,31.84,384.22,0.5529999999999999,936.097,377.291611060199,254.41
2,2,15/3/2021,14:42:19:741,253.41,31.75,384.52,0.552,936.097,377.3597957542028,254.41
3,3,15/3/2021,14:42:19:850,252.91,31.86,385.12,0.552,936.097,377.42515924779184,254.41
4,4,15/3/2021,14:42:19:985,253.41,31.86,385.12,0.551,936.097,377.48763409317263,254.41
5,5,15/3/2021,14:42:20:74,252.91,31.83,363.72,0.551,936.247,377.5471589341665,254.41
6,6,15/3/2021,14:42:20:230,253.41,31.9,383.22,0.551,936.097,377.60367452111916,254.41
7,7,15/3/2021,14:42:20:293,253.41,31.94,369.22,0.551,936.247,377.65711970397723,254.41
8,8,15/3/2021,14:42:20:403,252.91,31.86,402.82,0.551,936.097,377.707431933293,254.41
9,9,15/3/2021,14:42:20:527,252.91,31.81,397.62,0.551,936.097,377.75455350683995,254.41
10,10,15/3/2021,14:42:20:621,253.91,31.86,385.12,0.551,936.097,377.79843967576284,254.41
11,11,15/3/2021,14:42:20:730,252.91,31.83,385.12,0.551,936.247,377.83906102368604,254.41
12,12,15/3/2021,14:42:20:840,253.91,31.9,384.52,0.551,936.247,377.87639953713983,254.41
13,13,15/3/2021,14:42:20:980,252.91,31.88,401.92,0.551,936.097,377.9104460777285,254.41
14,14,15/3/2021,14:42:21:59,253.41,31.83,384.22,0.551,936.097,377.9412025605111,254.41
15,15,15/3/2021,14:42:21:168,252.91,31.83,383.82,0.551,936.097,377.9686838262304,254.41
16,16,15/3/2021,14:42:21:277,252.91,31.88,371.62,0.551,936.247,377.9929144549148,254.41
17,17,15/3/2021,14:42:21:387,253.41,31.83,383.22,0.552,936.097,378.0139229837107,254.41
18,18,15/3/2021,14:42:21:496,252.91,31.81,365.22,0.5529999999999999,936.247,378.0317379162957,254.41
19,19,15/3/2021,14:42:21:605,253.41,31.86,403.42,0.5539999999999999,936.097,378.04638687285666,254.41
20,20,15/3/2021,14:42:21:730,252.91,31.77,383.82,0.5529999999999999,936.097,378.0579002481779,254.41
21,21,15/3/2021,14:42:21:824,252.91,31.83,384.22,0.552,936.097,378.06631681593,254.41
22,22,15/3/2021,14:42:21:980,252.91,31.81,392.12,0.551,936.097,378.07168536947853,254.41
23,23,15/3/2021,14:42:22:43,253.41,31.84,384.52,0.551,936.097,378.07406385956637,254.41
24,24,15/3/2021,14:42:22:152,252.91,31.83,367.42,0.551,936.097,378.07351826892085,254.41
25,25,15/3/2021,14:42:22:261,253.41,31.88,384.52,0.551,936.097,378.0701185937799,254.41
26,26,15/3/2021,14:42:22:371,253.91,31.84,386.02,0.551,936.097,378.06393542855835,254.41
27,27,15/3/2021,14:42:22:527,253.41,31.88,385.42,0.551,936.097,378.05504194937487,254.41
28,28,15/3/2021,14:42:22:589,252.91,31.79,403.42,0.551,936.247,378.0435186169177,254.41
29,29,15/3/2021,14:42:22:761,253.41,31.84,379.92,0.551,936.247,378.0294573931285,254.41
30,30,15/3/2021,14:42:22:808,251.51,31.79,393.62,0.55,936.247,378.01296341097947,254.41
31,31,15/3/2021,14:42:22:918,253.91,31.88,364.92,0.551,936.247,377.99415229651487,254.41
32,32,15/3/2021,14:42:23:27,252.91,31.88,383.82,0.551,936.247,377.9731446343847,254.41
33,33,15/3/2021,14:42:23:136,252.91,31.88,367.12,0.551,936.247,377.95006091215566,254.41
34,34,15/3/2021,14:42:23:246,252.91,31.79,366.12,0.551,936.247,377.92501810664777,254.41
35,35,15/3/2021,14:42:23:355,253.91,31.84,365.22,0.551,936.247,377.89812610524865,254.41
36,36,15/3/2021,14:42:23:495,252.91,31.86,399.12,0.551,936.097,377.8694862702585,254.41
37,37,15/3/2021,14:42:23:577,261.21,31.86,379.62,0.551,936.247,377.83919703476977,254.41
38,38,15/3/2021,14:42:23:737,253.41,31.81,372.22,0.551,936.247,377.8073609482962,254.41
39,39,15/3/2021,14:42:23:783,253.91,31.88,384.52,0.551,936.247,377.77408473146414,254.41
40,40,15/3/2021,14:42:23:893,253.41,31.81,380.52,0.551,936.247,377.7394766280266,254.41
41,41,15/3/2021,14:42:24:2,252.91,31.79,366.12,0.551,936.247,377.7036460850346,254.41
42,42,15/3/2021,14:42:24:112,252.51,31.84,381.42,0.551,936.247,377.66670227095915,254.41
43,43,15/3/2021,14:42:24:237,253.41,31.81,382.92,0.55,936.247,377.6287524155704,254.41
44,44,15/3/2021,14:42:24:330,253.41,31.83,383.52,0.551,936.247,377.58990412368826,254.41
45,45,15/3/2021,14:42:24:471,252.91,32.0,391.82,0.551,936.247,377.55026952780014,254.41
46,46,15/3/2021,14:42:24:549,253.41,31.88,366.12,0.551,936.247,377.50996733141744,254.41
47,47,15/3/2021,14:42:24:659,253.41,31.84,365.22,0.551,936.247,377.46911975420267,254.41
48,48,15/3/2021,14:42:24:768,252.91,31.83,366.12,0.551,936.247,377.4278449542418,254.41
49,49,15/3/2021,14:42:24:877,252.91,31.73,364.92,0.551,936.247,377.3862510350169,254.41
50,50,15/3/2021,14:42:24:987,253.41,31.86,383.52,0.551,936.247,377.34443546122037,254.41
51,51,15/3/2021,14:42:25:96,252.91,31.83,366.12,0.551,936.247,377.30248834864716,254.41
52,52,15/3/2021,14:42:25:221,252.51,31.83,377.12,0.551,936.247,377.26049554391767,254.41
53,53,15/3/2021,14:42:25:315,254.41,31.84,381.12,0.551,936.247,377.21853970556975,254.41
54,54,15/3/2021,14:42:25:471,252.91,31.84,380.82,0.551,936.247,377.1767022453456,254.41
55,55,15/3/2021,14:42:25:533,252.51,31.83,382.92,0.551,936.247,377.13506655657153,254.41
56,56,15/3/2021,14:42:25:643,252.51,31.81,382.92,0.551,936.247,377.0937201347464,254.41
57,57,15/3/2021,14:42:25:752,252.51,31.84,382.92,0.551,936.247,377.05275557169136,254.41
58,58,15/3/2021,14:42:25:861,252.51,31.92,364.32,0.551,936.247,377.012269946689,254.41
59,59,15/3/2021,14:42:25:970,252.51,31.9,378.72,0.551,936.247,376.9723612840754,254.41
60,60,15/3/2021,14:42:26:80,252.51,31.79,364.02,0.551,936.247,376.93312434204216,254.41
61,61,15/3/2021,14:42:26:236,253.41,31.88,370.42,0.55,936.247,376.89464815210385,254.41
62,62,15/3/2021,14:42:26:299,252.91,31.86,363.72,0.55,936.247,376.8570141829046,254.41
63,63,15/3/2021,14:42:26:408,252.51,31.73,397.02,0.55,936.247,376.8202964092122,254.41
64,64,15/3/2021,14:42:26:517,252.91,31.83,361.92,0.55,936.397,376.78456560656684,254.41
65,65,15/3/2021,14:42:26:627,252.91,31.83,362.22,0.55,936.247,376.74989181952924,254.41
66,66,15/3/2021,14:42:26:736,253.91,31.83,362.52,0.55,936.397,376.7163392856397,254.41
