,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,15/3/2021,14:29:43:909,248.11,31.9,356.42,0.551,935.797,353.57179706610384,248.11
1,1,15/3/2021,14:29:43:972,247.61,31.92,357.02,0.551,935.597,353.8051237016137,248.11
2,2,15/3/2021,14:29:44:81,246.61,31.9,374.72,0.551,935.797,354.0384332662324,248.11
3,3,15/3/2021,14:29:44:191,248.11,31.84,357.02,0.551,935.797,354.2716437415781,248.11
4,4,15/3/2021,14:29:44:300,246.61,31.84,390.62,0.55,935.597,354.50467499484137,248.11
5,5,15/3/2021,14:29:44:409,249.01,31.9,354.92,0.55,935.797,354.737449385795,248.11
6,6,15/3/2021,14:29:44:519,247.61,31.86,380.22,0.55,935.597,354.96989204192414,248.11
7,7,15/3/2021,14:29:44:644,247.11,31.84,375.62,0.55,935.597,355.2019308117803,248.11
8,8,15/3/2021,14:29:44:737,247.11,31.9,369.52,0.55,935.797,355.4334964100666,248.11
9,9,15/3/2021,14:29:44:893,247.61,31.86,375.62,0.5489999999999999,935.597,355.6645225779215,248.11
10,10,15/3/2021,14:29:44:956,247.61,31.88,373.82,0.55,935.597,355.894945973918,248.11
11,11,15/3/2021,14:29:45:66,247.11,31.79,374.72,0.55,935.797,356.1247061498938,248.11
12,12,15/3/2021,14:29:45:175,247.11,31.86,375.62,0.55,935.597,356.3537456348225,248.11
13,13,15/3/2021,14:29:45:284,247.61,31.94,375.62,0.55,935.797,356.58200997742983,248.11
14,14,15/3/2021,14:29:45:393,246.61,31.96,384.22,0.55,935.597,356.8094478686238,248.11
15,15,15/3/2021,14:29:45:503,247.61,31.86,385.72,0.55,935.597,357.036011512224,248.11
16,16,15/3/2021,14:29:45:643,247.61,31.94,375.32,0.55,935.597,357.26165707350305,248.11
17,17,15/3/2021,14:29:45:722,247.11,31.84,390.92,0.55,935.597,357.48634481815736,248.11
18,18,15/3/2021,14:29:45:838,247.11,31.84,365.22,0.55,935.797,357.7100389639075,248.11
19,19,15/3/2021,14:29:45:947,247.11,31.84,367.42,0.55,935.797,357.93270716907136,248.11
20,20,15/3/2021,14:29:46:56,247.61,31.83,370.12,0.55,935.597,358.15431958144654,248.11
21,21,15/3/2021,14:29:46:166,247.61,32.0,372.62,0.55,935.797,358.3748481900066,248.11
22,22,15/3/2021,14:29:46:275,247.11,31.96,374.12,0.55,935.797,358.59426689808737,248.11
23,23,15/3/2021,14:29:46:400,247.61,31.79,390.32,0.55,935.597,358.8125519942276,248.11
24,24,15/3/2021,14:29:46:494,248.11,31.83,355.22,0.551,935.597,359.0296826352954,248.11
25,25,15/3/2021,14:29:46:650,247.61,31.79,375.32,0.551,935.797,359.2456406639656,248.11
26,26,15/3/2021,14:29:46:713,249.01,31.88,367.42,0.551,935.797,359.46040984932966,248.11
27,27,15/3/2021,14:29:46:822,247.61,31.9,389.62,0.55,935.597,359.67397572088953,248.11
28,28,15/3/2021,14:29:46:931,246.61,31.88,358.22,0.551,935.797,359.88632609177813,248.11
29,29,15/3/2021,14:29:47:41,249.51,31.88,355.52,0.55,935.597,360.097450957705,248.11
30,30,15/3/2021,14:29:47:150,245.61,31.94,365.82,0.55,935.597,360.30734137313834,248.11
31,31,15/3/2021,14:29:47:260,247.11,31.83,368.62,0.55,935.797,360.51598865454764,248.11
32,32,15/3/2021,14:29:47:400,247.61,31.83,375.92,0.55,935.597,360.7233847308912,248.11
33,33,15/3/2021,14:29:47:478,247.61,31.92,373.52,0.55,935.797,360.9295229381929,248.11
34,34,15/3/2021,14:29:47:588,247.11,31.9,372.62,0.55,935.597,361.13439853890765,248.11
35,35,15/3/2021,14:29:47:697,248.11,31.96,354.52,0.55,935.797,361.3380086472857,248.11
36,36,15/3/2021,14:29:47:807,247.61,31.88,372.92,0.55,935.797,361.5403515738524,248.11
37,37,15/3/2021,14:29:47:916,247.61,31.79,353.92,0.55,935.597,361.7414261872409,248.11
38,38,15/3/2021,14:29:48:27,247.61,31.81,390.62,0.5489999999999999,935.597,361.94123185933694,248.11
39,39,15/3/2021,14:29:48:151,246.61,31.88,361.02,0.55,935.597,362.13976902500974,248.11
40,40,15/3/2021,14:29:48:245,246.61,31.86,363.12,0.5489999999999999,935.597,362.33703961695085,248.11
41,41,15/3/2021,14:29:48:401,247.61,31.83,375.32,0.55,935.597,362.53304673904745,248.11
42,42,15/3/2021,14:29:48:464,246.61,31.9,354.22,0.55,935.797,362.72779421688284,248.11
43,43,15/3/2021,14:29:48:573,246.61,31.86,355.82,0.55,935.797,362.9212862553752,248.11
