,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,15/3/2021,14:10:29:110,246.11,32.29,352.12,0.551,934.997,349.5514735869173,246.11
1,1,15/3/2021,14:10:29:207,246.61,31.83,353.02,0.551,934.997,349.85249794224245,246.11
2,2,15/3/2021,14:10:29:363,246.61,31.88,353.92,0.551,934.847,350.15374957828567,246.11
3,3,15/3/2021,14:10:29:423,248.51,31.92,353.92,0.551,934.847,350.4550806103422,246.11
4,4,15/3/2021,14:10:29:560,246.11,31.83,369.22,0.551,934.847,350.756345142469,246.11
5,5,15/3/2021,14:10:29:642,245.61,31.83,353.62,0.551,934.997,351.0574005510048,246.11
6,6,15/3/2021,14:10:29:810,246.11,31.81,366.42,0.551,934.847,351.3581085696934,246.11
7,7,15/3/2021,14:10:29:862,246.61,31.86,357.32,0.55,934.847,351.6583354281343,246.11
8,8,15/3/2021,14:10:29:972,245.61,31.71,371.02,0.55,934.847,351.95795191385315,246.11
9,9,15/3/2021,14:10:30:81,245.61,31.88,370.72,0.55,934.997,352.25683424246114,246.11
10,10,15/3/2021,14:10:30:196,245.61,31.96,352.42,0.55,934.847,352.554865030138,246.11
11,11,15/3/2021,14:10:30:301,245.61,31.86,353.02,0.551,934.997,352.85193234456136,246.11
12,12,15/3/2021,14:10:30:410,245.61,31.96,352.72,0.55,934.997,353.1479268711908,246.11
13,13,15/3/2021,14:10:30:565,246.11,31.84,354.52,0.55,934.997,353.442739814158,246.11
14,14,15/3/2021,14:10:30:627,245.61,31.94,371.02,0.55,934.847,353.7362629321234,246.11
15,15,15/3/2021,14:10:30:785,245.61,31.9,369.22,0.55,934.847,354.02839051355994,246.11
16,16,15/3/2021,14:10:30:849,246.11,31.88,374.72,0.55,934.847,354.31902219734116,246.11
17,17,15/3/2021,14:10:30:958,246.61,31.9,371.62,0.55,934.997,354.6080649917608,246.11
18,18,15/3/2021,14:10:31:65,246.61,31.88,371.32,0.55,934.997,354.895433981792,246.11
19,19,15/3/2021,14:10:31:176,246.11,31.84,354.22,0.55,934.997,355.1810517246291,246.11
20,20,15/3/2021,14:10:31:284,245.11,31.92,352.42,0.55,934.847,355.46484588284505,246.11
21,21,15/3/2021,14:10:31:394,246.11,31.9,354.22,0.55,934.997,355.7467459115725,246.11
22,22,15/3/2021,14:10:31:543,245.61,31.84,356.42,0.55,934.997,356.0266809427282,246.11
23,23,15/3/2021,14:10:31:615,248.11,31.83,383.82,0.55,934.847,356.3045803006379,246.11
24,24,15/3/2021,14:10:31:727,245.11,31.86,371.92,0.55,934.847,356.5803766717707,246.11
25,25,15/3/2021,14:10:31:832,245.61,31.9,378.72,0.55,934.847,356.8540097827961,246.11
26,26,15/3/2021,14:10:31:941,245.11,31.88,352.72,0.55,934.847,357.1254274547204,246.11
27,27,15/3/2021,14:10:32:49,245.61,31.86,375.32,0.5489999999999999,934.847,357.39458375533684,246.11
28,28,15/3/2021,14:10:32:160,245.61,31.88,356.12,0.55,934.847,357.6614369060646,246.11
29,29,15/3/2021,14:10:32:310,245.61,32.08,353.02,0.55,934.997,357.9259479835119,246.11
30,30,15/3/2021,14:10:32:379,245.61,31.86,370.42,0.55,934.847,358.18807950019226,246.11
31,31,15/3/2021,14:10:32:538,246.11,31.92,371.92,0.55,934.847,358.44779523637794,246.11
32,32,15/3/2021,14:10:32:598,245.61,31.84,352.72,0.55,934.847,358.70506181066287,246.11
33,33,15/3/2021,14:10:32:704,246.11,31.81,353.92,0.55,934.847,358.9598485593437,246.11
34,34,15/3/2021,14:10:32:813,245.11,31.92,391.82,0.55,934.847,359.21212602794,246.11
35,35,15/3/2021,14:10:32:927,245.11,31.88,372.62,0.55,934.847,359.4618676783145,246.11
36,36,15/3/2021,14:10:33:45,245.61,31.92,352.42,0.55,934.847,359.7090530624381,246.11
37,37,15/3/2021,14:10:33:142,246.11,31.86,353.32,0.55,934.847,359.9536665100753,246.11
38,38,15/3/2021,14:10:33:287,246.11,31.9,355.52,0.55,934.847,360.19569264283683,246.11
39,39,15/3/2021,14:10:33:362,245.61,31.81,352.72,0.55,934.847,360.43511375175416,246.11
40,40,15/3/2021,14:10:33:474,245.61,31.92,352.72,0.55,934.847,360.6719092736574,246.11
41,41,15/3/2021,14:10:33:580,245.61,31.9,354.22,0.55,934.847,360.9060555238538,246.11
42,42,15/3/2021,14:10:33:689,246.11,31.84,354.22,0.55,934.847,361.1375255036969,246.11
43,43,15/3/2021,14:10:33:797,246.11,31.9,370.72,0.551,934.847,361.3662894378591,246.11
44,44,15/3/2021,14:10:33:910,246.11,31.9,369.82,0.551,934.847,361.5923166847844,246.11
45,45,15/3/2021,14:10:34:55,247.11,31.88,390.92,0.55,934.847,361.8155789778093,246.11
46,46,15/3/2021,14:10:34:129,245.61,31.81,373.82,0.55,934.847,362.03605394815565,246.11
47,47,15/3/2021,14:10:34:287,246.11,31.88,357.32,0.55,934.847,362.2537265713877,246.11
48,48,15/3/2021,14:10:34:347,245.61,31.84,372.92,0.55,934.847,362.4685870973491,246.11
49,49,15/3/2021,14:10:34:455,245.61,31.86,387.82,0.55,934.847,362.68062899554366,246.11
50,50,15/3/2021,14:10:34:564,245.61,31.88,354.22,0.55,934.847,362.8898498923306,246.11
51,51,15/3/2021,14:10:34:673,245.61,31.84,371.02,0.55,934.847,363.0962519764849,246.11
52,52,15/3/2021,14:10:34:784,246.11,31.84,370.42,0.55,934.847,363.2998402091954,246.11
53,53,15/3/2021,14:10:34:896,245.61,31.83,355.82,0.55,934.847,363.5006212184868,246.11
