,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
0,0,15/3/2021,13:50:19:274,230.01,32.02,343.92,0.54,933.347,230.01
1,1,15/3/2021,13:50:19:414,230.01,31.9,338.72,0.54,933.347,230.01
2,2,15/3/2021,13:50:19:477,229.51,32.04,334.72,0.541,933.497,230.01
3,3,15/3/2021,13:50:19:586,229.51,31.9,349.72,0.541,933.497,230.01
4,4,15/3/2021,13:50:19:695,230.01,31.96,353.62,0.54,933.347,230.01
5,5,15/3/2021,13:50:19:805,230.01,32.1,354.92,0.54,933.347,230.01
6,6,15/3/2021,13:50:19:914,230.51,32.04,337.52,0.54,933.347,230.01
7,7,15/3/2021,13:50:20:24,230.01,32.0,355.82,0.539,933.347,230.01
8,8,15/3/2021,13:50:20:164,230.51,31.98,371.02,0.539,933.347,230.01
9,9,15/3/2021,13:50:20:242,230.01,32.06,356.12,0.539,933.347,230.01
10,10,15/3/2021,13:50:20:414,230.01,32.08,334.72,0.539,933.347,230.01
11,11,15/3/2021,13:50:20:555,230.51,31.98,353.32,0.539,933.347,230.01
12,12,15/3/2021,13:50:20:570,230.51,32.08,360.72,0.54,933.347,230.01
13,13,15/3/2021,13:50:20:680,230.01,32.0,337.52,0.54,933.347,230.01
14,14,15/3/2021,13:50:20:789,229.51,32.02,355.52,0.54,933.347,230.01
15,15,15/3/2021,13:50:20:898,229.51,31.98,355.82,0.539,933.347,230.01
16,16,15/3/2021,13:50:21:8,230.01,32.0,342.62,0.539,933.347,230.01
17,17,15/3/2021,13:50:21:164,230.51,32.02,353.02,0.539,933.497,230.01
18,18,15/3/2021,13:50:21:226,228.01,32.0,349.42,0.539,933.497,230.01
19,19,15/3/2021,13:50:21:336,230.01,32.0,335.62,0.539,933.497,230.01
20,20,15/3/2021,13:50:21:445,229.51,32.0,357.62,0.539,933.347,230.01
21,21,15/3/2021,13:50:21:555,230.51,32.02,334.72,0.539,933.497,230.01
22,22,15/3/2021,13:50:21:664,230.01,31.96,349.12,0.539,933.347,230.01
23,23,15/3/2021,13:50:21:773,230.51,32.04,339.02,0.539,933.497,230.01
24,24,15/3/2021,13:50:21:898,230.51,32.02,345.42,0.54,933.347,230.01
25,25,15/3/2021,13:50:21:989,230.51,32.02,348.72,0.54,933.497,230.01
26,26,15/3/2021,13:50:22:153,229.51,31.96,356.42,0.54,933.347,230.01
27,27,15/3/2021,13:50:22:215,229.51,31.88,336.52,0.54,933.347,230.01
28,28,15/3/2021,13:50:22:309,229.51,32.02,355.52,0.541,933.347,230.01
29,29,15/3/2021,13:50:22:434,229.51,32.04,351.22,0.541,933.497,230.01
30,30,15/3/2021,13:50:22:544,229.51,32.0,355.82,0.541,933.347,230.01
31,31,15/3/2021,13:50:22:668,230.51,31.94,371.32,0.541,933.347,230.01
32,32,15/3/2021,13:50:22:778,229.51,31.92,347.82,0.541,933.497,230.01
33,33,15/3/2021,13:50:22:902,230.01,31.92,352.42,0.541,933.347,230.01
34,34,15/3/2021,13:50:23:12,230.01,32.0,354.52,0.541,933.347,230.01
35,35,15/3/2021,13:50:23:154,229.51,31.96,353.02,0.54,933.497,230.01
36,36,15/3/2021,13:50:23:216,230.01,32.02,337.52,0.54,933.347,230.01
37,37,15/3/2021,13:50:23:326,230.51,32.02,337.82,0.54,933.497,230.01
38,38,15/3/2021,13:50:23:435,231.01,31.96,338.12,0.54,933.497,230.01
39,39,15/3/2021,13:50:23:545,230.51,31.9,373.82,0.539,933.347,230.01
40,40,15/3/2021,13:50:23:654,229.51,32.0,338.12,0.54,933.497,230.01
41,41,15/3/2021,13:50:23:763,229.51,32.04,374.72,0.54,933.347,230.01
42,42,15/3/2021,13:50:23:888,229.51,32.0,355.52,0.539,933.347,230.01
43,43,15/3/2021,13:50:23:982,230.01,31.96,356.12,0.539,933.347,230.01
44,44,15/3/2021,13:50:24:138,230.51,32.0,356.42,0.539,933.347,230.01
45,45,15/3/2021,13:50:24:201,230.51,31.98,356.72,0.539,933.347,230.01
46,46,15/3/2021,13:50:24:310,230.01,32.02,356.72,0.539,933.347,230.01
47,47,15/3/2021,13:50:24:419,230.01,31.96,357.32,0.539,933.497,230.01
48,48,15/3/2021,13:50:24:529,230.01,32.0,358.22,0.539,933.347,230.01
49,49,15/3/2021,13:50:24:638,230.01,32.02,357.92,0.54,933.347,230.01
50,50,15/3/2021,13:50:24:747,231.51,31.94,353.62,0.54,933.347,230.01
51,51,15/3/2021,13:50:24:888,229.51,31.84,374.12,0.54,933.347,230.01
52,52,15/3/2021,13:50:24:966,229.51,31.96,371.02,0.54,933.347,230.01
53,53,15/3/2021,13:50:25:75,229.51,32.0,342.92,0.539,933.347,230.01
54,54,15/3/2021,13:50:25:187,230.01,31.94,356.42,0.539,933.347,230.01
55,55,15/3/2021,13:50:25:296,230.01,31.9,357.02,0.539,933.347,230.01
56,56,15/3/2021,13:50:25:405,229.51,32.08,357.62,0.539,933.347,230.01
57,57,15/3/2021,13:50:25:515,230.01,31.96,361.92,0.539,933.347,230.01
58,58,15/3/2021,13:50:25:655,230.01,32.06,346.02,0.539,933.497,230.01
59,59,15/3/2021,13:50:25:734,230.51,32.04,337.82,0.539,933.497,230.01
60,60,15/3/2021,13:50:25:890,230.01,31.88,356.12,0.539,933.347,230.01
61,61,15/3/2021,13:50:25:952,229.51,32.02,352.12,0.539,933.347,230.01
62,62,15/3/2021,13:50:26:62,230.01,31.88,355.52,0.5379999999999999,933.347,230.01
63,63,15/3/2021,13:50:26:171,230.01,31.96,335.02,0.539,933.497,230.01
