,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,24/3/2021,11:57:47:868,827.84,32.86,1104.16,0.545,949.497,1102.5064877683633,827.84
1,1,24/3/2021,11:57:47:964,828.84,32.94,1088.35,0.545,949.497,1102.4252306851579,827.84
2,2,24/3/2021,11:57:48:73,829.74,32.98,1089.85,0.545,949.497,1102.3435460483577,827.84
3,3,24/3/2021,11:57:48:183,827.84,32.88,1079.45,0.545,949.497,1102.2623457446234,827.84
4,4,24/3/2021,11:57:48:323,827.84,32.96,1119.46,0.545,949.497,1102.182343093594,827.84
5,5,24/3/2021,11:57:48:401,828.34,33.0,1103.56,0.545,949.497,1102.1041242681065,827.84
6,6,24/3/2021,11:57:48:511,828.84,33.0,1085.85,0.545,949.497,1102.028265266141,827.84
7,7,24/3/2021,11:57:48:620,828.34,33.01,1094.45,0.545,949.497,1101.9553253240242,827.84
8,8,24/3/2021,11:57:48:729,829.34,33.0,1094.75,0.545,949.497,1101.8857552891805,827.84
9,9,24/3/2021,11:57:48:839,829.74,33.05,1105.46,0.545,949.497,1101.8198760970006,827.84
10,10,24/3/2021,11:57:48:948,828.34,32.98,1105.16,0.545,949.497,1101.757939381055,827.84
11,11,24/3/2021,11:57:49:88,828.34,32.94,1106.96,0.545,949.497,1101.7002013205836,827.84
12,12,24/3/2021,11:57:49:167,828.34,33.0,1099.66,0.545,949.497,1101.6469638294604,827.84
13,13,24/3/2021,11:57:49:323,828.34,33.0,1107.26,0.545,949.347,1101.5985741966645,827.84
14,14,24/3/2021,11:57:49:385,828.34,32.98,1102.96,0.545,949.497,1101.5554153803641,827.84
15,15,24/3/2021,11:57:49:495,828.34,33.03,1104.56,0.545,949.497,1101.517909296066,827.84
16,16,24/3/2021,11:57:49:604,827.84,32.98,1116.76,0.545,949.497,1101.4865329952877,827.84
17,17,24/3/2021,11:57:49:714,827.34,32.76,1086.15,0.545,949.497,1101.4618369891878,827.84
18,18,24/3/2021,11:57:49:823,827.34,32.96,1084.65,0.545,949.497,1101.4443982917883,827.84
19,19,24/3/2021,11:57:49:932,827.84,33.01,1083.75,0.545,949.497,1101.4346840926041,827.84
20,20,24/3/2021,11:57:50:88,827.84,32.98,1081.95,0.545,949.497,1101.432930454659,827.84
21,21,24/3/2021,11:57:50:151,828.34,32.98,1083.75,0.545,949.497,1101.439096221814,827.84
