,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,25/3/2021,11:30:34:557,979.75,31.65,1280.36,0.56,952.848,1279.964082768448,979.75
1,25/3/2021,11:30:34:667,978.75,31.63,1282.76,0.56,952.848,1280.5362593586094,979.75
2,25/3/2021,11:30:34:761,979.25,31.61,1285.46,0.56,952.848,1281.1041870041547,979.75
3,25/3/2021,11:30:34:917,979.25,31.75,1308.37,0.56,952.698,1281.6657099657298,979.75
4,25/3/2021,11:30:34:979,982.15,31.69,1291.26,0.56,952.698,1282.2188200625415,979.75
5,25/3/2021,11:30:35:89,979.75,31.75,1294.06,0.56,952.848,1282.761730851127,979.75
6,25/3/2021,11:30:35:198,979.75,31.81,1295.26,0.56,952.848,1283.2928729869964,979.75
7,25/3/2021,11:30:35:307,979.25,31.73,1278.16,0.56,952.848,1283.8108457446785,979.75
8,25/3/2021,11:30:35:416,980.25,31.57,1313.57,0.56,952.848,1284.3143778203414,979.75
9,25/3/2021,11:30:35:526,979.75,31.65,1294.06,0.56,952.848,1284.8023457201145,979.75
10,25/3/2021,11:30:35:666,978.75,31.69,1296.76,0.56,952.848,1285.273834108826,979.75
11,25/3/2021,11:30:35:745,978.75,31.69,1294.06,0.56,952.848,1285.7281433982475,979.75
12,25/3/2021,11:30:35:854,978.75,31.79,1291.96,0.56,952.848,1286.1647440330992,979.75
13,25/3/2021,11:30:35:963,978.75,31.71,1294.06,0.56,952.848,1286.583238963857,979.75
14,25/3/2021,11:30:36:73,982.65,31.69,1295.56,0.56,952.848,1286.98334630225,979.75
15,25/3/2021,11:30:36:213,978.75,31.83,1312.97,0.56,952.698,1287.3649170889792,979.75
16,25/3/2021,11:30:36:291,979.25,31.75,1295.56,0.56,952.848,1287.7279949177548,979.75
17,25/3/2021,11:30:36:432,978.75,31.57,1295.56,0.56,952.848,1288.0728518431815,979.75
18,25/3/2021,11:30:36:510,978.25,31.71,1274.86,0.56,952.848,1288.3999300228074,979.75
19,25/3/2021,11:30:36:667,978.25,31.77,1280.96,0.56,952.848,1288.7097105770156,979.75
20,25/3/2021,11:30:36:729,979.25,31.71,1273.86,0.56,952.848,1289.0025872322847,979.75
21,25/3/2021,11:30:36:839,981.15,31.71,1307.47,0.56,952.848,1289.2788215031553,979.75
22,25/3/2021,11:30:36:948,978.75,31.75,1272.36,0.56,952.848,1289.5385970613534,979.75
23,25/3/2021,11:30:37:57,978.75,31.73,1292.86,0.56,952.848,1289.7820733801145,979.75
24,25/3/2021,11:30:37:167,978.75,31.73,1293.46,0.56,952.848,1290.0093809766229,979.75
25,25/3/2021,11:30:37:276,979.25,31.73,1275.76,0.56,952.848,1290.2206184598824,979.75
26,25/3/2021,11:30:37:416,980.25,31.67,1301.07,0.5589999999999999,952.848,1290.4158538594593,979.75
27,25/3/2021,11:30:37:495,979.75,31.63,1294.06,0.5589999999999999,952.848,1290.5951319892101,979.75
28,25/3/2021,11:30:37:604,978.25,31.65,1290.06,0.5589999999999999,952.848,1290.7585197981018,979.75
29,25/3/2021,11:30:37:713,979.25,31.65,1275.76,0.5589999999999999,952.848,1290.90611447655,979.75
30,25/3/2021,11:30:37:823,978.75,31.73,1301.37,0.5589999999999999,952.698,1291.0379840220864,979.75
31,25/3/2021,11:30:37:932,980.25,31.77,1293.76,0.56,952.848,1291.1541512997549,979.75
32,25/3/2021,11:30:38:42,979.25,31.59,1305.07,0.56,952.848,1291.2546635080807,979.75
33,25/3/2021,11:30:38:167,979.25,31.65,1291.26,0.56,952.848,1291.3396624556144,979.75
34,25/3/2021,11:30:38:260,978.75,31.63,1293.46,0.56,952.848,1291.4093927352108,979.75
35,25/3/2021,11:30:38:432,979.25,31.71,1282.16,0.56,952.848,1291.4641538410776,979.75
36,25/3/2021,11:30:38:479,979.25,31.63,1294.96,0.56,952.848,1291.5042375029368,979.75
37,25/3/2021,11:30:38:589,978.25,31.63,1294.36,0.56,952.848,1291.5299051661161,979.75
38,25/3/2021,11:30:38:698,978.25,31.67,1294.36,0.56,952.848,1291.541417990672,979.75
39,25/3/2021,11:30:38:807,980.25,31.55,1286.16,0.56,952.848,1291.5390638567662,979.75
40,25/3/2021,11:30:38:916,980.25,31.63,1313.27,0.56,952.698,1291.5231617767556,979.75
41,25/3/2021,11:30:39:26,980.25,31.63,1287.96,0.56,952.848,1291.4940944386224,979.75
42,25/3/2021,11:30:39:167,978.75,31.83,1288.86,0.56,952.848,1291.4523372441654,979.75
43,25/3/2021,11:30:39:245,979.75,31.67,1292.86,0.56,952.848,1291.3984158229953,979.75
44,25/3/2021,11:30:39:354,980.75,31.57,1296.16,0.56,952.848,1291.3328584674116,979.75
45,25/3/2021,11:30:39:464,978.75,31.71,1297.36,0.56,952.848,1291.25621324875,979.75
46,25/3/2021,11:30:39:573,979.25,31.67,1296.76,0.56,952.848,1291.1690889289455,979.75
47,25/3/2021,11:30:39:682,978.75,31.63,1276.66,0.56,952.848,1291.0721580051145,979.75
48,25/3/2021,11:30:39:792,978.75,31.69,1295.26,0.56,952.848,1290.9661021750944,979.75
49,25/3/2021,11:30:39:916,980.25,31.67,1294.96,0.56,952.698,1290.851567319537,979.75
50,25/3/2021,11:30:40:10,979.25,31.65,1276.96,0.56,952.848,1290.729176271224,979.75
51,25/3/2021,11:30:40:166,979.25,31.45,1285.16,0.56,952.848,1290.5995195759199,979.75
52,25/3/2021,11:30:40:229,979.75,31.63,1288.26,0.56,952.848,1290.463104044894,979.75
53,25/3/2021,11:30:40:339,979.25,31.59,1312.67,0.5589999999999999,952.848,1290.320368146747,979.75
54,25/3/2021,11:30:40:448,978.25,32.02,1290.36,0.5589999999999999,952.848,1290.1717901851864,979.75
55,25/3/2021,11:30:40:557,983.15,31.61,1293.16,0.56,952.848,1290.0179691573953,979.75
56,25/3/2021,11:30:40:667,979.25,31.65,1293.46,0.56,952.848,1289.859605980496,979.75
