,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,25/3/2021,10:52:40:108,944.05,31.26,1242.76,0.5429999999999999,951.198,1242.2383853567376,944.05
1,25/3/2021,10:52:40:187,944.55,31.16,1229.36,0.542,951.048,1242.1084987979318,944.05
2,25/3/2021,10:52:40:343,944.55,31.2,1248.86,0.5429999999999999,951.198,1241.9772848367998,944.05
3,25/3/2021,10:52:40:405,944.55,31.2,1240.66,0.542,951.198,1241.8451426571753,944.05
4,25/3/2021,10:52:40:514,944.55,31.2,1233.36,0.542,951.198,1241.712449722183,944.05
5,25/3/2021,10:52:40:624,944.55,31.18,1242.16,0.542,951.048,1241.5795589566358,944.05
6,25/3/2021,10:52:40:733,944.55,31.18,1242.46,0.5429999999999999,951.198,1241.4467797470254,944.05
7,25/3/2021,10:52:40:858,945.55,31.2,1235.16,0.5429999999999999,951.198,1241.3143890839685,944.05
8,25/3/2021,10:52:40:952,944.55,31.26,1241.86,0.5429999999999999,951.048,1241.1826406548735,944.05
9,25/3/2021,10:52:41:92,945.55,31.22,1240.96,0.5429999999999999,951.048,1241.0517592026058,944.05
10,25/3/2021,10:52:41:171,943.55,31.02,1261.96,0.5429999999999999,951.048,1240.9219705729934,944.05
11,25/3/2021,10:52:41:280,944.55,31.18,1221.76,0.5429999999999999,951.198,1240.7935602296934,944.05
12,25/3/2021,10:52:41:389,945.55,31.12,1261.66,0.5429999999999999,951.048,1240.6668832754997,944.05
13,25/3/2021,10:52:41:499,944.55,31.2,1224.16,0.5429999999999999,951.198,1240.5423313401118,944.05
14,25/3/2021,10:52:41:608,946.05,31.28,1224.76,0.5429999999999999,951.198,1240.4202859804238,944.05
15,25/3/2021,10:52:41:718,944.05,31.18,1245.86,0.5429999999999999,951.198,1240.3010405431814,944.05
16,25/3/2021,10:52:41:858,943.55,31.18,1226.86,0.5429999999999999,951.198,1240.1847619795,944.05
17,25/3/2021,10:52:41:936,944.05,31.24,1244.96,0.5429999999999999,951.198,1240.0715254770332,944.05
18,25/3/2021,10:52:42:92,947.05,31.16,1246.16,0.5429999999999999,951.198,1239.9613597756595,944.05
19,25/3/2021,10:52:42:155,944.05,31.28,1247.66,0.5429999999999999,951.198,1239.854307456801,944.05
20,25/3/2021,10:52:42:264,944.05,31.16,1247.96,0.5429999999999999,951.198,1239.750491914782,944.05
21,25/3/2021,10:52:42:373,943.15,31.14,1243.66,0.542,951.198,1239.6501471172642,944.05
22,25/3/2021,10:52:42:483,944.05,31.28,1227.56,0.542,951.048,1239.553595521998,944.05
23,25/3/2021,10:52:42:592,944.05,31.12,1243.36,0.542,951.198,1239.461179706046,944.05
