,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,23/3/2021,15:36:42:707,852.24,31.26,1193.96,0.544,948.747,1198.5689324620712,852.24
1,1,23/3/2021,15:36:42:786,852.24,31.16,1189.96,0.544,948.747,1197.5006473162116,852.24
2,2,23/3/2021,15:36:42:957,851.74,31.2,1189.06,0.544,948.597,1196.4447135887092,852.24
3,3,23/3/2021,15:36:43:4,850.74,31.04,1184.76,0.544,948.747,1195.4037381205715,852.24
4,4,23/3/2021,15:36:43:114,857.64,31.28,1182.66,0.544,948.747,1194.380197662358,852.24
5,5,23/3/2021,15:36:43:223,851.74,31.22,1184.16,0.544,948.747,1193.3764157927521,852.24
6,6,23/3/2021,15:36:43:333,851.74,31.24,1183.56,0.544,948.747,1192.394554196834,852.24
7,7,23/3/2021,15:36:43:442,851.74,31.2,1180.86,0.544,948.747,1191.436619730918,852.24
8,8,23/3/2021,15:36:43:551,851.74,31.2,1186.66,0.544,948.747,1190.5044751455398,852.24
9,9,23/3/2021,15:36:43:692,852.74,31.24,1160.06,0.544,948.747,1189.5998340252702,852.24
10,10,23/3/2021,15:36:43:770,851.24,31.16,1167.96,0.544,948.747,1188.7242020718531,852.24
11,11,23/3/2021,15:36:43:879,852.74,31.18,1172.56,0.544,948.747,1187.8787908443794,852.24
12,12,23/3/2021,15:36:43:989,851.74,31.18,1167.36,0.544,948.747,1187.0644923999996,852.24
13,13,23/3/2021,15:36:44:98,851.74,31.24,1162.16,0.544,948.747,1186.2818989178825,852.24
14,14,23/3/2021,15:36:44:208,852.74,31.24,1186.66,0.5429999999999999,948.747,1185.5313142320645,852.24
15,15,23/3/2021,15:36:44:321,852.74,31.06,1173.16,0.544,948.747,1184.8128022285407,852.24
16,16,23/3/2021,15:36:44:461,851.24,31.12,1174.06,0.544,948.747,1184.126264786192,852.24
17,17,23/3/2021,15:36:44:539,852.74,31.16,1182.36,0.544,948.747,1183.4714761069627,852.24
18,18,23/3/2021,15:36:44:695,852.24,31.08,1171.06,0.544,948.747,1182.848091285884,852.24
19,19,23/3/2021,15:36:44:758,852.24,31.2,1170.76,0.544,948.747,1182.255651070287,852.24
20,20,23/3/2021,15:36:44:867,852.24,31.41,1180.56,0.544,948.747,1181.6935671100478,852.24
21,21,23/3/2021,15:36:44:976,851.74,31.14,1168.56,0.544,949.047,1181.1611199909928,852.24
22,22,23/3/2021,15:36:45:86,851.74,31.14,1185.96,0.5429999999999999,948.747,1180.6574833257307,852.24
23,23,23/3/2021,15:36:45:195,852.74,31.12,1163.46,0.5429999999999999,948.747,1180.1817457246752,852.24
24,24,23/3/2021,15:36:45:304,852.24,31.18,1174.76,0.5429999999999999,948.747,1179.732906470731,852.24
25,25,23/3/2021,15:36:45:461,851.24,31.18,1189.96,0.544,948.747,1179.309866370108,852.24
26,26,23/3/2021,15:36:45:523,852.74,31.14,1178.36,0.544,948.747,1178.911478072029,852.24
27,27,23/3/2021,15:36:45:633,853.24,31.18,1183.26,0.544,948.747,1178.536623296632,852.24
28,28,23/3/2021,15:36:45:742,851.24,31.18,1187.26,0.544,948.747,1178.184244518167,852.24
29,29,23/3/2021,15:36:45:851,851.74,31.1,1191.16,0.544,948.747,1177.8533684774673,852.24
30,30,23/3/2021,15:36:45:961,851.24,31.24,1171.66,0.544,948.747,1177.543139096738,852.24
31,31,23/3/2021,15:36:46:70,851.74,31.22,1168.56,0.544,948.747,1177.25278675615,852.24
32,32,23/3/2021,15:36:46:195,850.74,31.22,1192.76,0.544,948.747,1176.9815496493516,852.24
33,33,23/3/2021,15:36:46:289,852.24,31.2,1187.26,0.544,948.747,1176.7286769551179,852.24
34,34,23/3/2021,15:36:46:445,853.74,31.22,1176.56,0.544,948.747,1176.49351169119,852.24
35,35,23/3/2021,15:36:46:507,852.24,31.16,1176.26,0.544,948.747,1176.2755118322846,852.24
36,36,23/3/2021,15:36:46:617,851.74,31.26,1178.36,0.544,948.747,1176.07419438902,852.24
37,37,23/3/2021,15:36:46:726,851.74,31.1,1181.16,0.544,948.747,1175.8891008717756,852.24
38,38,23/3/2021,15:36:46:835,851.24,31.12,1184.76,0.544,948.747,1175.7198155543015,852.24
39,39,23/3/2021,15:36:46:960,852.74,31.14,1149.96,0.544,948.747,1175.5659727547068,852.24
40,40,23/3/2021,15:36:47:54,851.74,31.2,1150.86,0.544,948.747,1175.427158626609,852.24
41,41,23/3/2021,15:36:47:194,852.74,31.26,1169.56,0.544,948.747,1175.30274843259,852.24
42,42,23/3/2021,15:36:47:273,851.24,31.24,1178.06,0.544,948.747,1175.1918629704062,852.24
43,43,23/3/2021,15:36:47:382,851.74,31.18,1186.36,0.544,948.747,1175.0934907848778,852.24
44,44,23/3/2021,15:36:47:491,850.74,31.2,1169.86,0.545,948.747,1175.0066297747348,852.24
45,45,23/3/2021,15:36:47:601,851.24,31.2,1173.46,0.544,948.747,1174.9303278480859,852.24
46,46,23/3/2021,15:36:47:710,850.74,31.22,1176.86,0.544,948.747,1174.8636457581665,852.24
47,47,23/3/2021,15:36:47:820,851.74,31.18,1180.86,0.544,948.747,1174.805640257032,852.24
48,48,23/3/2021,15:36:47:960,851.24,31.22,1169.56,0.544,948.747,1174.7553875771355,852.24
49,49,23/3/2021,15:36:48:38,851.24,31.22,1189.96,0.544,948.747,1174.7120003398852,852.24
50,50,23/3/2021,15:36:48:194,853.24,31.18,1155.76,0.544,949.047,1174.6746273714346,852.24
51,51,23/3/2021,15:36:48:257,851.24,31.14,1153.96,0.544,948.747,1174.6423984000182,852.24
52,52,23/3/2021,15:36:48:367,850.74,31.24,1194.26,0.544,948.747,1174.6143253530186,852.24
53,53,23/3/2021,15:36:48:476,851.24,31.18,1153.66,0.544,948.747,1174.5892964301759,852.24
54,54,23/3/2021,15:36:48:585,852.24,31.24,1188.76,0.544,948.747,1174.5661478501368,852.24
55,55,23/3/2021,15:36:48:694,852.24,31.24,1167.96,0.544,948.747,1174.5436987783341,852.24
56,56,23/3/2021,15:36:48:804,850.74,31.18,1176.26,0.544,948.747,1174.5207649625333,852.24
57,57,23/3/2021,15:36:48:945,851.74,31.14,1182.66,0.544,948.747,1174.496173332854,852.24
58,58,23/3/2021,15:36:49:23,851.24,31.16,1188.76,0.544,948.747,1174.4687949462875,852.24
59,59,23/3/2021,15:36:49:132,851.24,31.18,1193.66,0.544,948.747,1174.4376235066534,852.24
60,60,23/3/2021,15:36:49:241,852.74,31.06,1194.86,0.544,948.747,1174.401864851268,852.24
