,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,23/3/2021,16:27:33:415,966.55,29.77,1254.06,0.555,951.048,1254.4731654618213,966.55
1,1,23/3/2021,16:27:33:509,966.05,29.77,1267.46,0.555,950.898,1255.5258541839553,966.55
2,2,23/3/2021,16:27:33:634,967.55,29.85,1270.26,0.555,950.898,1256.575569139603,966.55
3,3,23/3/2021,16:27:33:728,966.55,29.83,1269.66,0.555,950.898,1257.6185510172418,966.55
4,4,23/3/2021,16:27:33:884,966.05,29.89,1289.16,0.555,950.898,1258.6512434851006,966.55
5,5,23/3/2021,16:27:33:947,967.55,29.83,1285.86,0.555,950.898,1259.6703702853627,966.55
6,6,23/3/2021,16:27:34:56,966.05,29.83,1284.86,0.555,950.898,1260.6730198020493,966.55
7,7,23/3/2021,16:27:34:165,968.45,29.79,1282.46,0.555,950.898,1261.6566791183807,966.55
8,8,23/3/2021,16:27:34:275,965.55,29.69,1279.36,0.555,950.898,1262.6192062944388,966.55
9,9,23/3/2021,16:27:34:384,966.05,29.81,1276.66,0.555,950.898,1263.558779139205,966.55
10,10,23/3/2021,16:27:34:493,966.05,29.77,1293.16,0.555,950.898,1264.4738572823446,966.55
11,11,23/3/2021,16:27:34:634,966.05,29.79,1250.76,0.555,950.898,1265.3631603055244,966.55
12,12,23/3/2021,16:27:34:712,965.05,29.75,1254.96,0.555,950.898,1266.2255751492753,966.55
13,13,23/3/2021,16:27:34:821,966.55,29.83,1290.36,0.555,950.898,1267.0600067639432,966.55
14,14,23/3/2021,16:27:34:931,965.55,30.03,1282.46,0.555,951.048,1267.865370316576,966.55
15,15,23/3/2021,16:27:35:40,966.55,29.79,1276.66,0.555,950.898,1268.6407238979966,966.55
16,16,23/3/2021,16:27:35:149,966.05,29.85,1285.46,0.555,950.898,1269.3853378930035,966.55
17,17,23/3/2021,16:27:35:259,967.05,29.79,1283.06,0.555,950.898,1270.0986846415922,966.55
18,18,23/3/2021,16:27:35:384,966.55,29.67,1281.56,0.555,950.898,1270.780437161604,966.55
19,19,23/3/2021,16:27:35:479,966.55,29.81,1280.06,0.555,950.898,1271.4304653341087,966.55
20,20,23/3/2021,16:27:35:651,965.55,29.83,1275.16,0.555,950.898,1272.0488050747929,966.55
21,21,23/3/2021,16:27:35:697,966.05,29.81,1270.86,0.555,950.898,1272.6356079064578,966.55
22,22,23/3/2021,16:27:35:807,966.05,29.85,1276.66,0.555,950.898,1273.1910841975346,966.55
23,23,23/3/2021,16:27:35:916,965.55,29.79,1251.96,0.555,950.898,1273.7154467947646,966.55
