,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
0,0,23/3/2021,15:24:20:399,825.34,31.16,1131.96,0.544,947.847,1132.1755757629844,825.34
1,1,23/3/2021,15:24:20:473,827.34,31.2,1131.66,0.544,947.847,1132.191523183151,825.34
2,2,23/3/2021,15:24:20:582,824.44,30.83,1121.56,0.544,947.997,1132.2116771323058,825.34
3,3,23/3/2021,15:24:20:691,826.34,31.24,1115.46,0.544,947.847,1132.2366925449119,825.34
4,4,23/3/2021,15:24:20:801,825.34,31.22,1117.96,0.544,947.847,1132.267080326279,825.34
5,5,23/3/2021,15:24:20:948,825.84,31.14,1133.56,0.544,947.997,1132.3031565314031,825.34
6,6,23/3/2021,15:24:21:25,825.84,31.16,1131.96,0.544,947.997,1132.3450821711742,825.34
7,7,23/3/2021,15:24:21:135,825.84,31.14,1130.16,0.545,947.997,1132.39294974892,825.34
8,8,23/3/2021,15:24:21:244,825.34,31.3,1128.36,0.545,947.847,1132.446827765161,825.34
9,9,23/3/2021,15:24:21:354,824.44,31.24,1131.66,0.544,947.847,1132.5067546055059,825.34
10,10,23/3/2021,15:24:21:463,826.34,31.2,1117.96,0.544,947.847,1132.5727180945355,825.34
11,11,23/3/2021,15:24:21:572,824.94,31.14,1123.16,0.544,947.847,1132.6446167162132,825.34
12,12,23/3/2021,15:24:21:713,824.44,31.14,1151.56,0.544,947.847,1132.7222375171948,825.34
13,13,23/3/2021,15:24:21:780,824.44,31.16,1117.66,0.544,947.847,1132.805312923598,825.34
14,14,23/3/2021,15:24:21:936,823.94,31.14,1116.46,0.545,947.847,1132.8935592294204,825.34
15,15,23/3/2021,15:24:21:999,828.34,31.14,1137.16,0.545,947.847,1132.9866082941608,825.34
16,16,23/3/2021,15:24:22:108,826.84,31.1,1157.66,0.545,947.847,1133.0839953418815,825.34
17,17,23/3/2021,15:24:22:217,825.34,31.18,1131.66,0.545,947.997,1133.1852955279878,825.34
18,18,23/3/2021,15:24:22:327,824.94,31.16,1130.46,0.545,947.847,1133.2902193747952,825.34
19,19,23/3/2021,15:24:22:456,824.44,31.14,1128.66,0.544,947.847,1133.3985527680607,825.34
20,20,23/3/2021,15:24:22:571,824.94,31.08,1133.56,0.544,947.847,1133.510064611531,825.34
21,21,23/3/2021,15:24:22:713,824.94,31.22,1138.66,0.544,947.847,1133.6244886542966,825.34
22,22,23/3/2021,15:24:22:791,825.34,31.18,1137.16,0.544,947.847,1133.741560669998,825.34
23,23,23/3/2021,15:24:22:939,825.34,31.22,1115.16,0.544,947.847,1133.8610365707996,825.34
24,24,23/3/2021,15:24:23:2,824.94,31.24,1132.86,0.544,947.997,1133.9826379121318,825.34
25,25,23/3/2021,15:24:23:111,826.34,31.22,1145.76,0.544,947.847,1134.1060020419784,825.34
26,26,23/3/2021,15:24:23:221,824.94,31.14,1131.66,0.544,947.847,1134.2307330712129,825.34
27,27,23/3/2021,15:24:23:330,824.44,31.22,1129.56,0.544,947.847,1134.356465984219,825.34
28,28,23/3/2021,15:24:23:439,825.84,31.18,1135.06,0.544,947.847,1134.4828469434058,825.34
29,29,23/3/2021,15:24:23:549,824.94,31.26,1133.56,0.544,947.847,1134.609496606505,825.34
30,30,23/3/2021,15:24:23:691,826.34,31.14,1149.66,0.544,947.847,1134.7360282499185,825.34
31,31,23/3/2021,15:24:23:769,824.44,31.14,1139.96,0.544,947.847,1134.862109779709,825.34
32,32,23/3/2021,15:24:23:879,825.34,31.26,1131.66,0.544,947.847,1134.98750955282,825.34
33,33,23/3/2021,15:24:23:988,824.94,31.22,1139.96,0.544,947.847,1135.112074708723,825.34
34,34,23/3/2021,15:24:24:97,824.94,31.28,1135.06,0.544,947.847,1135.235686102142,825.34
35,35,23/3/2021,15:24:24:207,824.44,31.2,1138.66,0.544,947.847,1135.3582474841307,825.34
36,36,23/3/2021,15:24:24:316,824.44,31.26,1135.36,0.544,947.847,1135.479690011208,825.34
37,37,23/3/2021,15:24:24:441,824.94,31.22,1135.06,0.544,947.847,1135.5999672120136,825.34
38,38,23/3/2021,15:24:24:535,826.84,31.16,1134.16,0.544,947.847,1135.7190409978175,825.34
39,39,23/3/2021,15:24:24:707,823.94,31.2,1137.16,0.544,947.847,1135.8368680813005,825.34
